,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['java', 'gradle']","{'account_id': 96393, 'reputation': 23689, 'user_id': 262022, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/2969bc1f725d2052af3c6cd95699769e?s=256&d=identicon&r=PG', 'display_name': 'radai', 'link': 'https://stackoverflow.com/users/262022/radai'}",True,3976,4,9,1669100728,1568756257,57982393,CC BY-SA 4.0,https://stackoverflow.com/questions/57982393/how-to-disable-gradle-build-scan-permanently,how to disable gradle build scan permanently?,,,,,,
1,"['java', 'spring-boot', 'unit-testing', 'mockserver']","{'account_id': 10595855, 'reputation': 2286, 'user_id': 7804595, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1667139386646497/picture?type=large', 'display_name': 'Valeriy K.', 'link': 'https://stackoverflow.com/users/7804595/valeriy-k'}",False,1305,1,0,1669022764,1567669149,57800606,CC BY-SA 4.0,https://stackoverflow.com/questions/57800606/mockserver-netty-test-doesnt-works,mockserver-netty test doesn&#39;t works,,,,,,
2,"['java', 'android', 'drop-down-menu', 'material-design', 'spinner']","{'account_id': 15465883, 'reputation': 31, 'user_id': 11157225, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XXe9VA2gAXY/AAAAAAAAAAI/AAAAAAAAAAc/Xx9goQv1ppo/photo.jpg?sz=256', 'display_name': 'drak', 'link': 'https://stackoverflow.com/users/11157225/drak'}",False,712,3,0,1668984048,1569283851,58071525,CC BY-SA 4.0,https://stackoverflow.com/questions/58071525/how-to-reset-selected-item-in-mdc-spinner-autocompletetextview-exposeddropdown,How to reset selected item in MDC spinner (AutoCompleteTextview/ ExposedDropdownMenu) with press of a button,1569284827.0,,,,,
3,"['java', 'validation', 'hl7-v2']","{'account_id': 16662436, 'reputation': 73, 'user_id': 12042059, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/jUTiG.png?s=256&g=1', 'display_name': 'Jaiprasad', 'link': 'https://stackoverflow.com/users/12042059/jaiprasad'}",False,481,2,1,1668883396,1568038872,57855905,CC BY-SA 4.0,https://stackoverflow.com/questions/57855905/hl7-adt-message-validation-using-conformance-profile-xml,HL7 ADT Message Validation using Conformance Profile XML,1568140552.0,,,,,
4,"['java', 'spring-retry']","{'account_id': 16727300, 'reputation': 11, 'user_id': 12090608, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAxMWmDd53Umkj1iYmpjhbAs0yH29JvuiivPiAM=k-s256', 'display_name': 'Vincent B.', 'link': 'https://stackoverflow.com/users/12090608/vincent-b'}",False,857,2,1,1668774094,1568900970,58012578,CC BY-SA 4.0,https://stackoverflow.com/questions/58012578/is-it-possible-to-access-the-arguments-of-the-failed-method-in-retrylistener,Is it possible to access the arguments of the failed method in RetryListener?,,,,,,
5,"['java', 'spring', 'spring-boot', 'unit-testing']","{'account_id': 1245419, 'reputation': 13883, 'user_id': 1206998, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/z3jRS.jpg?s=256&g=1', 'display_name': 'Juh_', 'link': 'https://stackoverflow.com/users/1206998/juh'}",True,7252,3,9,1668766260,1567515760,57772342,CC BY-SA 4.0,https://stackoverflow.com/questions/57772342/how-to-add-a-bean-in-springboottest,How to add a bean in SpringBootTest,1567609983.0,57773519.0,,,,
6,"['java', 'file', 'permissions', 'nio2']","{'account_id': 7644185, 'reputation': 90, 'user_id': 5795392, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10207693573809631/picture?type=large', 'display_name': 'Остап Страшевский', 'link': 'https://stackoverflow.com/users/5795392/%d0%9e%d1%81%d1%82%d0%b0%d0%bf-%d0%a1%d1%82%d1%80%d0%b0%d1%88%d0%b5%d0%b2%d1%81%d0%ba%d0%b8%d0%b9'}",True,1161,1,0,1668713121,1569409297,58096912,CC BY-SA 4.0,https://stackoverflow.com/questions/58096912/how-to-set-file-permissions-using-java-nio2-on-windows,How to set file permissions using java NIO2 on Windows?,,,,,,
7,"['java', 'intellij-idea', 'sdk']","{'account_id': 16776598, 'reputation': 1227, 'user_id': 12127749, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd9443b27ee779eb2d27db27736b43e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'nobism', 'link': 'https://stackoverflow.com/users/12127749/nobism'}",True,375112,16,121,1668712342,1569539574,58125830,CC BY-SA 4.0,https://stackoverflow.com/questions/58125830/has-been-compiled-by-a-more-recent-version-of-the-java-runtime-class-file-versi,Has been compiled by a more recent version of the Java Runtime (class file version 57.0),1569541106.0,,1570914078.0,,,
8,"['java', 'parquet', 'bytearrayoutputstream']","{'account_id': 1529019, 'reputation': 2055, 'user_id': 1426724, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/71fea24abf0d7e13cfe9bef655016a27?s=256&d=identicon&r=PG', 'display_name': 'chrismead', 'link': 'https://stackoverflow.com/users/1426724/chrismead'}",True,3823,1,11,1668698226,1569617786,58141248,CC BY-SA 4.0,https://stackoverflow.com/questions/58141248/read-parquet-data-from-bytearrayoutputstream-instead-of-file,Read parquet data from ByteArrayOutputStream instead of file,1569853766.0,58261488.0,,,,
9,"['java', 'maven', 'selenium-webdriver', 'grid', 'selenium-extent-report']","{'account_id': 10785233, 'reputation': 3, 'user_id': 7934438, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XEFIi.png?s=256&g=1', 'display_name': 'Dhanaprabhu', 'link': 'https://stackoverflow.com/users/7934438/dhanaprabhu'}",True,417,1,0,1668392828,1568778157,57984774,CC BY-SA 4.0,https://stackoverflow.com/questions/57984774/selenium-grid-maven-testng-extent-reports-parallel-testing,Selenium Grid + Maven + TestNG + Extent Reports + Parallel Testing,1568779325.0,58011686.0,,,,
