,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,locked_date
0,"['java', 'string', 'unicode']","{'account_id': 5976, 'reputation': 85548, 'user_id': 9859, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/KEZOL.jpg?s=256&g=1', 'display_name': 'rampion', 'link': 'https://stackoverflow.com/users/9859/rampion'}",True,35643,1527891.0,4,114,1668657519,1254860025,1500396448.0,1527856,CC BY-SA 3.0,https://stackoverflow.com/questions/1527856/how-can-i-iterate-through-the-unicode-codepoints-of-a-java-string,How can I iterate through the unicode codepoints of a Java String?,,,,,
1,"['java', 'constructor', 'initialization', 'thread-safety']","{'account_id': 40645, 'reputation': 17836, 'user_id': 117783, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/b62c0a8e7b98e7dd694ead5fe60f1875?s=256&d=identicon&r=PG', 'display_name': 'non sequitor', 'link': 'https://stackoverflow.com/users/117783/non-sequitor'}",True,6362,1588470.0,7,23,1668355202,1255955440,,1588420,CC BY-SA 2.5,https://stackoverflow.com/questions/1588420/how-does-this-escape-the-constructor-in-java,How does &quot;this&quot; escape the constructor in Java?,,,,,
2,"['java', 'android', 'android-asynctask', 'android-networking']","{'account_id': 45425, 'reputation': 42234, 'user_id': 133858, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/KObod.jpg?s=256&g=1', 'display_name': 'Vidar Vestnes', 'link': 'https://stackoverflow.com/users/133858/vidar-vestnes'}",True,507793,27312494.0,63,711,1668105996,1255445991,1615138106.0,1560788,CC BY-SA 4.0,https://stackoverflow.com/questions/1560788/how-to-check-internet-access-on-android-inetaddress-never-times-out,How to check internet access on Android? InetAddress never times out,1480287412.0,,,,
3,"['java', 'date', 'time', 'timedelta', 'java.util.date']","{'account_id': 19815, 'reputation': 21509, 'user_id': 46768, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/9e15d450570f19449ca6ca417caf65eb?s=256&d=identicon&r=PG', 'display_name': 'pr1001', 'link': 'https://stackoverflow.com/users/46768/pr1001'}",True,754714,1555307.0,45,494,1667910185,1255361749,1504191148.0,1555262,CC BY-SA 3.0,https://stackoverflow.com/questions/1555262/calculating-the-difference-between-two-java-date-instances,Calculating the difference between two Java date instances,1440160812.0,,,,
4,"['java', 'arrays', 'postgresql', 'hibernate', 'orm']","{'account_id': 48948, 'reputation': 33847, 'user_id': 145574, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/683ed6ba54880a577aaa2592f6e9ebe8?s=256&d=identicon&r=PG', 'display_name': 'pstanton', 'link': 'https://stackoverflow.com/users/145574/pstanton'}",True,79717,1647660.0,6,63,1667549368,1256866813,1667549368.0,1647583,CC BY-SA 4.0,https://stackoverflow.com/questions/1647583/how-to-map-a-postgresql-array-with-hibernate,How to map a PostgreSQL array with Hibernate,,,,,
5,['java'],"{'account_id': 68284, 'reputation': 1295, 'user_id': 199311, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7ba6a8de8f3f1e589fedf943581f32d9?s=256&d=identicon&r=PG', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/199311/paul'}",True,493140,1647277.0,19,122,1667295051,1256860855,1488577606.0,1647260,CC BY-SA 3.0,https://stackoverflow.com/questions/1647260/java-dynamic-array-sizes,Java dynamic array sizes?,,,,,
6,['java'],"{'account_id': 39088, 'reputation': 65923, 'user_id': 112671, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/3e09fc9ec9f79f9444a60bc7b258cf71?s=256&d=identicon&r=PG', 'display_name': 'Robert Munteanu', 'link': 'https://stackoverflow.com/users/112671/robert-munteanu'}",True,45912,1563039.0,11,70,1667188379,1255469651,,1563030,CC BY-SA 2.5,https://stackoverflow.com/questions/1563030/anonymous-code-blocks-in-java,Anonymous code blocks in Java,,,,,
7,"['java', 'heap-memory']","{'account_id': 53227, 'reputation': 4003, 'user_id': 159136, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/129f22d617831225e202a15ff4fa2286?s=256&d=identicon&r=PG', 'display_name': 'Sunil ', 'link': 'https://stackoverflow.com/users/159136/sunil'}",True,887422,1566026.0,13,319,1666795305,1255515178,1458659444.0,1565388,CC BY-SA 3.0,https://stackoverflow.com/questions/1565388/increase-heap-size-in-java,Increase heap size in Java,,,,,
8,"['java', 'debugging', 'jvmti', 'jdwp']","{'account_id': 9760, 'reputation': 84600, 'user_id': 18157, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/4d3de78b198076dd5a5006abd17cb0f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jim Garrison', 'link': 'https://stackoverflow.com/users/18157/jim-garrison'}",True,13913,6037405.0,3,13,1666305114,1255468940,,1562979,CC BY-SA 2.5,https://stackoverflow.com/questions/1562979/java-jvmti-doesnt-work-alongside-xdebug-xrunjdwp,Java JVMTI doesn&#39;t work alongside -Xdebug -Xrunjdwp,,,,,
9,"['java', 'reflection', 'bytecode']","{'account_id': 4790, 'reputation': 2263, 'user_id': 7382, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/631e1f6c0207c2c74b69fef33b5c509b?s=256&d=identicon&r=PG', 'display_name': 'JHollanti', 'link': 'https://stackoverflow.com/users/7382/jhollanti'}",True,2418,1650442.0,6,2,1666210808,1256907361,,1649674,CC BY-SA 2.5,https://stackoverflow.com/questions/1649674/resolve-class-name-from-bytecode,Resolve class name from bytecode,,,,,
