,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,closed_reason,last_edit_date,accepted_answer_id,migrated_from,protected_date,locked_date
0,"['java', 'spring-boot', 'thymeleaf']","{'account_id': 15352190, 'reputation': 21, 'user_id': 11075602, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/891ba5aec34e256f086b5fbc5633112b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rahil', 'link': 'https://stackoverflow.com/users/11075602/rahil'}",False,237,0,1,1669171272,1650548192,71955445,CC BY-SA 4.0,https://stackoverflow.com/questions/71955445/xmlnsth-http-www-thymeleaf-org-cannot-be-fetch-by-intellij,xmlns:th=&quot;http://www.thymeleaf.org&quot; cannot be fetch by intellij,,,,,,,
1,"['java', 'android', 'security']","{'account_id': 25059979, 'reputation': 1, 'user_id': 18914964, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bfe60205633fd6f430af790f429daf99?s=256&d=identicon&r=PG', 'display_name': 'nestackovenflow', 'link': 'https://stackoverflow.com/users/18914964/nestackovenflow'}",False,48,2,0,1669149184,1650683782,71976550,,https://stackoverflow.com/questions/71976550/what-would-be-the-best-practice-to-decrypt-data-which-encrypted-by-key-using-fin,What would be the best practice to decrypt data which encrypted by key using fingerprint scanner?,1669208246.0,Not suitable for this site,,,,,
2,"['java', 'discord', 'discord-jda']","{'account_id': 24845073, 'reputation': 1, 'user_id': 18722682, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJytLzrFFIgTpkvMV-GORnecXXDr4OIL80Y4tvVN=k-s256', 'display_name': 'Anthony Mayoral', 'link': 'https://stackoverflow.com/users/18722682/anthony-mayoral'}",False,1108,1,0,1669147875,1649320808,71778916,CC BY-SA 4.0,https://stackoverflow.com/questions/71778916/cannot-get-java-discord-bot-jda-to-send-embed,Cannot get Java Discord bot (JDA) to send embed,,,1649331014.0,,,,
3,"['java', 'android', 'http', 'post', 'multipartform-data']","{'account_id': 6235362, 'reputation': 169, 'user_id': 9281849, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0Iq6U.png?s=256&g=1', 'display_name': 'bolero', 'link': 'https://stackoverflow.com/users/9281849/bolero'}",False,573,0,-1,1669089030,1648923990,71720135,CC BY-SA 4.0,https://stackoverflow.com/questions/71720135/android-http-post-multipart-form-data,android http post multipart/form-data,,,,,,,
4,"['java', 'android', 'post', 'multipartform-data']","{'account_id': 6235362, 'reputation': 169, 'user_id': 9281849, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0Iq6U.png?s=256&g=1', 'display_name': 'bolero', 'link': 'https://stackoverflow.com/users/9281849/bolero'}",False,150,0,0,1669088944,1649060610,71734039,CC BY-SA 4.0,https://stackoverflow.com/questions/71734039/android-multipart-form-data-post-get-400-error,android multipart/form-data POST get 400 error,,,,,,,
5,"['java', 'gradle', 'sonarqube', 'jenkins-pipeline', 'build.gradle']","{'account_id': 6769373, 'reputation': 31, 'user_id': 10968047, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dcebee1e994208cb1b6989077f376855?s=256&d=identicon&r=PG&f=1', 'display_name': 'quickLambda', 'link': 'https://stackoverflow.com/users/10968047/quicklambda'}",True,91,1,0,1668977976,1650558723,71957895,CC BY-SA 4.0,https://stackoverflow.com/questions/71957895/run-two-different-sonar-configurations-in-parallel-with-jenkins,Run two different sonar configurations in parallel with jenkins?,,,1668977976.0,71959764.0,,,
6,"['java', 'netbeans', 'comments', 'code-folding']","{'account_id': 19701528, 'reputation': 1, 'user_id': 17173481, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghi3Spv8IIB5n2RRe-1Dz78JcD6CGpK3IxMdb4CAQ=k-s256', 'display_name': 'DBG', 'link': 'https://stackoverflow.com/users/17173481/dbg'}",False,81,2,0,1668864187,1649859139,71858991,CC BY-SA 4.0,https://stackoverflow.com/questions/71858991/remove-stroke-collapse-netbeans-ide,Remove stroke collapse - Netbeans IDE,,,1668864187.0,,,,
7,['java'],"{'account_id': 38425, 'reputation': 10674, 'user_id': 110264, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/302fc648681a1d7ca4fe01373f02f520?s=256&d=identicon&r=PG', 'display_name': 'Marquis Wang', 'link': 'https://stackoverflow.com/users/110264/marquis-wang'}",True,103,2,3,1668794082,1650321310,71917744,CC BY-SA 4.0,https://stackoverflow.com/questions/71917744/can-i-assume-that-a-jdk-jre-will-have-a-release-file,Can I assume that a JDK/JRE will have a `release` file?,,,1650324711.0,71918091.0,,,
8,"['java', 'mockito']","{'account_id': 3464234, 'reputation': 833, 'user_id': 2900314, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/42ceab74c6ea177fc5c1bcfa40cf5071?s=256&d=identicon&r=PG&f=1', 'display_name': 'User27854', 'link': 'https://stackoverflow.com/users/2900314/user27854'}",True,997,2,1,1668788769,1648835477,71710995,CC BY-SA 4.0,https://stackoverflow.com/questions/71710995/mockito-mocking-a-method-within-the-mocked-class,Mockito mocking a method within the mocked class,,,1648868365.0,,,,
9,"['java', 'hibernate', 'jpa']","{'account_id': 25103918, 'reputation': 21, 'user_id': 18954296, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/876420eabaae7a6ae02d668e666a99e6?s=256&d=identicon&r=PG', 'display_name': 'SaladCesar', 'link': 'https://stackoverflow.com/users/18954296/saladcesar'}",True,587,1,2,1668788087,1650986375,72016485,CC BY-SA 4.0,https://stackoverflow.com/questions/72016485/jakarta-persistence-persistenceexception-no-persistence-provider-for-entitymana,jakarta.persistence.PersistenceException: No Persistence provider for EntityManager named error when trying to createEntityManagerFactory,,,,,,,
