,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date,migrated_from
0,"['java', 'xml', 'certificate', 'ssl-certificate', 'digital-signature']","{'account_id': 3886707, 'reputation': 1116, 'user_id': 3217883, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3217883', 'link': 'https://stackoverflow.com/users/3217883/user3217883'}",True,1189,59220607.0,2,0,1669122930,1575655686,1575664636.0,59218272,CC BY-SA 4.0,https://stackoverflow.com/questions/59218272/how-to-prevent-adding-whitespace-into-java-xml-signature-and-certificate,How to prevent adding whitespace into java xml signature and certificate?,,,,,
1,"['java', 'android', 'firebase', 'android-manifest']","{'account_id': 17340055, 'reputation': 1, 'user_id': 12560956, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCfxEKdyrnzvob1jWA4Vwpeuiv6wRt6geuIJNWMyg=k-s256', 'display_name': 'Tanvir Ishtiaq', 'link': 'https://stackoverflow.com/users/12560956/tanvir-ishtiaq'}",False,2173,,1,0,1668955033,1576699509,1576722415.0,59399289,CC BY-SA 4.0,https://stackoverflow.com/questions/59399289/installation-did-not-succeed-the-application-could-not-be-installed-install-pa,Installation did not succeed. The application could not be installed: INSTALL_PARSE_FAILED_MANIFEST_MALFORMED Installation failed due to: &#39;null&#39;,,,,,
2,"['java', 'ubuntu', 'jenkins']","{'account_id': 17044282, 'reputation': 11, 'user_id': 12331486, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-hFtzTDRddHM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf4C6sV_GxUucj0THhyCg9bbfx8nw/photo.jpg?sz=256', 'display_name': 'Opher Lubzens', 'link': 'https://stackoverflow.com/users/12331486/opher-lubzens'}",True,3463,,2,1,1668898675,1577175152,,59465780,CC BY-SA 4.0,https://stackoverflow.com/questions/59465780/jenkins-returns-403-forbidden-when-slaves-try-to-contact-it,Jenkins returns 403 forbidden when slaves try to contact it,,,,,
3,"['java', 'gradle']","{'account_id': 15419590, 'reputation': 53, 'user_id': 11123978, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86eb7d8b04977530a300d2b321664c37?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arnaiz', 'link': 'https://stackoverflow.com/users/11123978/arnaiz'}",True,262,,1,2,1668791776,1575868781,,59242922,CC BY-SA 4.0,https://stackoverflow.com/questions/59242922/gradle-tests-not-running-with-javafx-project,Gradle tests not running with javafx project,,,,,
4,"['java', 'database', 'postgresql', 'spring-boot', 'jdbc']","{'account_id': 6869865, 'reputation': 1174, 'user_id': 5280707, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://lh6.googleusercontent.com/-353yjasZ-Qk/AAAAAAAAAAI/AAAAAAAAAFQ/kbGkUItjlao/photo.jpg?sz=256', 'display_name': 'Daniel', 'link': 'https://stackoverflow.com/users/5280707/daniel'}",False,1402,,3,1,1668788183,1576625277,1576625935.0,59383535,CC BY-SA 4.0,https://stackoverflow.com/questions/59383535/how-do-i-make-queries-made-by-jdbc-show-up-in-postgres-logs,How do I make queries made by JDBC show up in postgres logs?,,,,,
5,"['java', 'ssl', 'apache-kafka']","{'account_id': 2840474, 'reputation': 1866, 'user_id': 2440202, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/1eb4610d0e524773a8d28f8896dd5f20?s=256&d=identicon&r=PG', 'display_name': 'Dth', 'link': 'https://stackoverflow.com/users/2440202/dth'}",True,9825,,1,6,1668527148,1576225136,1576225481.0,59318588,CC BY-SA 4.0,https://stackoverflow.com/questions/59318588/is-it-possible-to-disable-ssl-certificate-verification-in-apache-kafka-java-clie,Is it possible to disable SSL certificate verification in Apache Kafka Java client?,,,,,
6,"['java', 'sdkman', 'groovysh']","{'account_id': 138328, 'reputation': 76600, 'user_id': 343204, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://i.stack.imgur.com/uOZYt.jpg?s=256&g=1', 'display_name': 'Snowcrash', 'link': 'https://stackoverflow.com/users/343204/snowcrash'}",False,760,,1,0,1668510905,1576757191,,59409470,CC BY-SA 4.0,https://stackoverflow.com/questions/59409470/groovysh-sdk-java-warning-an-illegal-reflective-access-operation-has-occu,groovysh &gt; sdk - java - WARNING: An illegal reflective access operation has occurred,,,,,
7,"['java', 'spring-boot', 'h2', 'spring-webflux', 'r2dbc']","{'account_id': 1537344, 'reputation': 11681, 'user_id': 1432980, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/e646027bcc545177a971230c1e23134a?s=256&d=identicon&r=PG', 'display_name': 'lapots', 'link': 'https://stackoverflow.com/users/1432980/lapots'}",True,12674,,4,14,1668484737,1577190720,,59468908,CC BY-SA 4.0,https://stackoverflow.com/questions/59468908/reactive-repository-throws-exception-when-saving-a-new-object,reactive repository throws exception when saving a new object,,,,,
8,"['java', 'spring-boot', 'hikaricp', 'testcontainers']","{'account_id': 3994817, 'reputation': 202, 'user_id': 3292651, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/dYy6j.jpg?s=256&g=1', 'display_name': 'davide', 'link': 'https://stackoverflow.com/users/3292651/davide'}",True,2758,,3,11,1668465515,1576577933,,59372048,CC BY-SA 4.0,https://stackoverflow.com/questions/59372048/testcontainers-hikari-and-failed-to-validate-connection-org-postgresql-jdbc-pgc,"testcontainers, hikari and Failed to validate connection org.postgresql.jdbc.PgConnection",,,,,
9,"['java', 'spring-boot', 'jackson', 'nullable', 'openapi-generator']","{'account_id': 13615572, 'reputation': 347, 'user_id': 9821593, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Dhanuj Dharmarajan', 'link': 'https://stackoverflow.com/users/9821593/dhanuj-dharmarajan'}",True,16831,59535512.0,5,18,1668461380,1577664368,1577966090.0,59524404,CC BY-SA 4.0,https://stackoverflow.com/questions/59524404/openapi-springboot-generator-jackson-no-string-argument-constructor-factory-meth,openapi springboot generator jackson no String-argument constructor/factory method to deserialize from String value,,,,,
