,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['java', 'selenium', 'webdriver']","{'account_id': 1525384, 'reputation': 2730, 'user_id': 1423967, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/1bd67c85298a7bf3cc5c177ed1eb9e81?s=256&d=identicon&r=PG', 'display_name': 'Dave A', 'link': 'https://stackoverflow.com/users/1423967/dave-a'}",False,7969,2,1,1669284020,1338302723,10801453,CC BY-SA 3.0,https://stackoverflow.com/questions/10801453/how-do-i-download-a-file-using-java-selenium-webdriver,How do I download a file using java Selenium WebDriver?,,,,,,,
1,"['java', 'rmi']","{'account_id': 313697, 'reputation': 1953, 'user_id': 628469, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/338fa1d0e6b5e2e63ec621497a150903?s=256&d=identicon&r=PG', 'display_name': 'Pumpkin', 'link': 'https://stackoverflow.com/users/628469/pumpkin'}",True,945,3,1,1668792942,1337374796,10659684,CC BY-SA 3.0,https://stackoverflow.com/questions/10659684/java-rmi-unexpected-error,java RMI - unexpected error,12005248.0,1337419882.0,,,,,
2,"['java', 'image-processing', 'colors', 'imagemagick', 'jmagick']","{'account_id': 1217232, 'reputation': 1335, 'user_id': 1184571, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/bc05a098326a39b2a9b27514f37142cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Er&#231;in Ak&#231;ay', 'link': 'https://stackoverflow.com/users/1184571/er%c3%a7in-ak%c3%a7ay'}",True,23189,7,14,1668701450,1336639446,10530426,CC BY-SA 4.0,https://stackoverflow.com/questions/10530426/how-can-i-find-dominant-color-of-an-image,How can I find dominant color of an image?,10530562.0,1668701357.0,,,,,
3,"['java', 'maven', 'maven-3']","{'account_id': 216903, 'reputation': 25954, 'user_id': 472416, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/aa78d79fb4238d200e26fb87e3de947b?s=256&d=identicon&r=PG', 'display_name': 'utdemir', 'link': 'https://stackoverflow.com/users/472416/utdemir'}",True,164910,7,82,1668571194,1336866341,10568275,CC BY-SA 3.0,https://stackoverflow.com/questions/10568275/noclassdeffounderror-on-maven-dependency,NoClassDefFoundError on Maven dependency,10568348.0,,,,,,
4,"['java', 'multithreading', 'thread-safety']","{'account_id': 1127486, 'reputation': 1102, 'user_id': 1114387, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/48c3a986c88c1410ee7c7b5eadb87ec4?s=256&d=identicon&r=PG&f=1', 'display_name': 'svkvvenky', 'link': 'https://stackoverflow.com/users/1114387/svkvvenky'}",True,183669,6,72,1668407479,1337235291,10630737,CC BY-SA 3.0,https://stackoverflow.com/questions/10630737/how-to-stop-a-thread-created-by-implementing-runnable-interface,How to stop a thread created by implementing runnable interface?,10630837.0,,,,,,
5,"['java', 'jsr310']","{'account_id': 483595, 'reputation': 6782, 'user_id': 898763, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/5a00b5bb181a9f38e13ca8cd0fd71ea8?s=256&d=identicon&r=PG', 'display_name': 'amaidment', 'link': 'https://stackoverflow.com/users/898763/amaidment'}",True,8332,3,20,1668355306,1338289181,10797808,CC BY-SA 4.0,https://stackoverflow.com/questions/10797808/how-to-parse-case-insensitive-strings-with-jsr-310-datetimeformatter,How to parse case-insensitive strings with JSR-310 DateTimeFormatter?,10797809.0,1668355306.0,,,,,
6,"['java', 'algorithm']","{'account_id': 1297392, 'reputation': 341, 'user_id': 1248092, 'user_type': 'registered', 'accept_rate': 31, 'profile_image': 'https://www.gravatar.com/avatar/c55344ed209b2da1e102a4aa4d2138e7?s=256&d=identicon&r=PG', 'display_name': 'user1248092', 'link': 'https://stackoverflow.com/users/1248092/user1248092'}",True,31205,11,15,1668251562,1337353465,10655085,CC BY-SA 3.0,https://stackoverflow.com/questions/10655085/print-directory-tree,print directory tree,,1355246145.0,,,,,
7,"['java', 'jackson']","{'account_id': 1474154, 'reputation': 2419, 'user_id': 1384991, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/862a6c7bb57e3ea6fd9381e4f64e7753?s=256&d=identicon&r=PG', 'display_name': 'user1384991', 'link': 'https://stackoverflow.com/users/1384991/user1384991'}",True,174525,11,200,1667824595,1336577400,10519265,CC BY-SA 3.0,https://stackoverflow.com/questions/10519265/jackson-overcoming-underscores-in-favor-of-camel-case,Jackson overcoming underscores in favor of camel-case,10519316.0,1458731077.0,,,,,
8,"['java', 'arrays', 'arraylist']","{'account_id': 246829, 'reputation': 21597, 'user_id': 521180, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ba2547eb8ddbae235fea3cb2d72d6d67?s=256&d=identicon&r=PG', 'display_name': '124697', 'link': 'https://stackoverflow.com/users/521180/124697'}",True,54209,7,28,1667450554,1338051327,10768170,CC BY-SA 3.0,https://stackoverflow.com/questions/10768170/how-do-i-declare-a-2d-string-arraylist,How do I declare a 2D String arraylist?,10768198.0,1448750720.0,,,,,
9,"['java', 'httpclient']","{'account_id': 236909, 'reputation': 7713, 'user_id': 504717, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/598508c7ef12ece4ca6c1c0f542e5dcd?s=256&d=identicon&r=PG', 'display_name': 'Em Ae', 'link': 'https://stackoverflow.com/users/504717/em-ae'}",True,184661,10,98,1667390644,1336771177,10558791,CC BY-SA 4.0,https://stackoverflow.com/questions/10558791/apache-httpclient-interim-error-nohttpresponseexception,Apache HttpClient Interim Error: NoHttpResponseException,10600762.0,1532442915.0,,,,,
