,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['java', 'swing']","{'account_id': 60511, 'reputation': 884, 'user_id': 180699, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/41d616c4fc39f7c15f169ab3c0c60a24?s=256&d=identicon&r=PG', 'display_name': 'Killercode', 'link': 'https://stackoverflow.com/users/180699/killercode'}",True,768,11544023.0,2,0,1669089663,1342612525,11540771,CC BY-SA 3.0,https://stackoverflow.com/questions/11540771/increase-all-controls-size-and-font-size,Increase all controls size and font size,,,,,
1,"['java', 'json', 'jaxb', 'moxy']","{'account_id': 111681, 'reputation': 12905, 'user_id': 1480018, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/adc85b2c054f3eb102da8eb68545dca4?s=256&d=identicon&r=PG', 'display_name': 'Paul Taylor', 'link': 'https://stackoverflow.com/users/1480018/paul-taylor'}",True,679,11477503.0,1,4,1668815688,1342170936,11467530,CC BY-SA 3.0,https://stackoverflow.com/questions/11467530/how-do-you-get-moxy-oxml-mapping-file-to-recognise-static-classes,How do you get MOXy oxml mapping file to recognise static classes,1342184405.0,,,,
2,"['java', 'multithreading', 'garbage-collection']","{'account_id': 1106613, 'reputation': 2050, 'user_id': 1097890, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/662d423abf83ed9bcb8209e60564f81c?s=256&d=identicon&r=PG', 'display_name': 'Mridul Vishal', 'link': 'https://stackoverflow.com/users/1097890/mridul-vishal'}",False,1176,,2,0,1668800746,1342162552,11465564,CC BY-SA 3.0,https://stackoverflow.com/questions/11465564/system-setproperty-in-multithreaded-application,System.setproperty in multithreaded application,,,,,
3,"['java', 'eclipse', 'eclipse-jdt']","{'account_id': 47518, 'reputation': 20458, 'user_id': 140803, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/9b0721c1da4f00e69cd58a4cc909768c?s=256&d=identicon&r=PG', 'display_name': 'Blessed Geek', 'link': 'https://stackoverflow.com/users/140803/blessed-geek'}",True,25123,11636838.0,5,14,1668800211,1343147460,11635325,CC BY-SA 3.0,https://stackoverflow.com/questions/11635325/eclipse-find-references-for-method,Eclipse find references for method,,,,,
4,"['java', 'stack-trace']","{'account_id': 989964, 'reputation': 355, 'user_id': 1007546, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2781ea67470393590893d969dbb58e2a?s=256&d=identicon&r=PG', 'display_name': 'jsurls', 'link': 'https://stackoverflow.com/users/1007546/jsurls'}",True,2036,11415101.0,3,4,1668774098,1341928147,11414782,CC BY-SA 3.0,https://stackoverflow.com/questions/11414782/how-to-check-if-a-java-class-is-part-of-the-current-stack-trace,How to check if a Java Class is part of the current stack trace?,,,,,
5,"['java', 'pipe', 'java-io']","{'account_id': 71367, 'reputation': 7444, 'user_id': 206491, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/0cBBl.jpg?s=256&g=1', 'display_name': 'Siva Arunachalam', 'link': 'https://stackoverflow.com/users/206491/siva-arunachalam'}",True,62751,11716090.0,4,31,1668594581,1343627029,11715979,,https://stackoverflow.com/questions/11715979/best-way-to-pipe-inputstream-to-outputstream,Best way to Pipe InputStream to OutputStream,,1487241144.0,Duplicate,,
6,"['java', 'spring', 'environment-variables', 'spring-test']","{'account_id': 11209, 'reputation': 24710, 'user_id': 21499, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/cb452d3798265b84bec8314f538ff6ca?s=256&d=identicon&r=PG', 'display_name': 'Hans-Peter St&#246;rr', 'link': 'https://stackoverflow.com/users/21499/hans-peter-st%c3%b6rr'}",True,234219,12144312.0,10,124,1668586799,1341303366,11306951,CC BY-SA 3.0,https://stackoverflow.com/questions/11306951/how-to-set-environment-variable-or-system-property-in-spring-tests,How to set environment variable or system property in spring tests?,1341402241.0,,,,
7,"['java', 'serialization']","{'account_id': 1428006, 'reputation': 762, 'user_id': 1514499, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/136adca04aede3c68157e66063d4a01f?s=256&d=identicon&r=PG', 'display_name': 'user1514499', 'link': 'https://stackoverflow.com/users/1514499/user1514499'}",True,8210,14340252.0,8,4,1668349625,1341935319,11417103,CC BY-SA 3.0,https://stackoverflow.com/questions/11417103/serialization-how-to-secure-a-serialized-java-object,Serialization - How to secure a serialized JAVA object?,1341935490.0,,,,
8,"['java', 'jpa']","{'account_id': 1157141, 'reputation': 21, 'user_id': 1137440, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b90fde2c20c2e0754bfc32229fc7348?s=256&d=identicon&r=PG', 'display_name': 'Bhumir Jhaveri', 'link': 'https://stackoverflow.com/users/1137440/bhumir-jhaveri'}",False,17894,,2,2,1668182790,1341780685,11386610,CC BY-SA 3.0,https://stackoverflow.com/questions/11386610/jpa-joincolumn-issues-while-joining-on-non-primary-key-columns,JPA @JoinColumn issues while joining on non primary key columns,1465327716.0,,,,
9,['java'],"{'account_id': 232243, 'reputation': 81079, 'user_id': 496949, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/119517ef6ad29d801c4fb4d3a1727c44?s=256&d=identicon&r=PG', 'display_name': 'user496949', 'link': 'https://stackoverflow.com/users/496949/user496949'}",True,26826,11488781.0,3,25,1668020855,1342316629,11488754,,https://stackoverflow.com/questions/11488754/whats-the-difference-between-canonicalpath-and-absolutepath,what&#39;s the difference between canonicalpath and absolutepath?,1495541878.0,1342319386.0,exact duplicate,,
