,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,locked_date,closed_date,closed_reason,protected_date
0,"['java', 'spring', 'thymeleaf', 'flying-saucer']","{'account_id': 20522820, 'reputation': 69, 'user_id': 15163685, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-T37JIcgW6oQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmRWYuvfptNDH9jp9UpzIAHabumMQ/s96-c/photo.jpg?sz=256', 'display_name': 'ALEX', 'link': 'https://stackoverflow.com/users/15163685/alex'}",False,1108,2,1,1669018863,1618724721,67145533,CC BY-SA 4.0,https://stackoverflow.com/questions/67145533/relative-path-for-an-image-in-thymeleaf,Relative path for an image in Thymeleaf,,,,,,
1,"['java', 'ethereum', 'smartcontracts', 'web3-java']","{'account_id': 2852138, 'reputation': 1026, 'user_id': 2449110, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://i.stack.imgur.com/2wXVD.jpg?s=256&g=1', 'display_name': 'Sorin Grecu', 'link': 'https://stackoverflow.com/users/2449110/sorin-grecu'}",True,1421,1,3,1668807466,1619541569,67287219,CC BY-SA 4.0,https://stackoverflow.com/questions/67287219/web3j-and-uniswap-router-v2-converting-wei-to-uint256,"Web3j and Uniswap Router V2, converting wei to uint256",67290627.0,1668807466.0,,,,
2,"['java', 'android', 'xml', 'fragment', 'android-inflate']","{'account_id': 19758953, 'reputation': 279, 'user_id': 14468588, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/937236138204e854db3eebaf045d3db5?s=256&d=identicon&r=PG&f=1', 'display_name': 'mohammad rezza', 'link': 'https://stackoverflow.com/users/14468588/mohammad-rezza'}",True,4998,7,9,1668626641,1618512932,67114506,CC BY-SA 4.0,https://stackoverflow.com/questions/67114506/error-inflating-class-com-google-android-material-slider-slider,Error inflating class com.google.android.material.slider.Slider,67466210.0,1620311775.0,,,,
3,"['java', 'spring', 'spring-boot', 'spring-mvc', 'sap-commerce-cloud']","{'account_id': 944889, 'reputation': 848, 'user_id': 972314, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/7da93e048927dde42339e9f1087cc046?s=256&d=identicon&r=PG', 'display_name': 'sree', 'link': 'https://stackoverflow.com/users/972314/sree'}",True,618,2,0,1668620756,1619208988,67236344,CC BY-SA 4.0,https://stackoverflow.com/questions/67236344/no-bean-named-datamapper-available,No bean named &#39;dataMapper&#39; available,,1619248765.0,,,,
4,['java'],"{'account_id': 20170029, 'reputation': 11, 'user_id': 14793061, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e07637284fa17e2e54fbc82875841be7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/14793061/paul'}",False,882,2,1,1668601221,1617278810,66904213,CC BY-SA 4.0,https://stackoverflow.com/questions/66904213/why-cant-i-get-java-bindings-gdal-to-work,Why can&#39;t I get java bindings (GDAL) to work,,1617279137.0,,,,
5,"['java', 'maven', 'netbeans']","{'account_id': 20563755, 'reputation': 331, 'user_id': 15093936, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/amG1I.png?s=256&g=1', 'display_name': 'Zarcor', 'link': 'https://stackoverflow.com/users/15093936/zarcor'}",True,41739,10,23,1668382464,1617372482,66920567,CC BY-SA 4.0,https://stackoverflow.com/questions/66920567/error-injecting-org-apache-maven-plugin-war-warmojo,Error injecting: org.apache.maven.plugin.war.WarMojo,,,,,,
6,"['java', 'spring', 'spring-webflux', 'project-reactor', 'spring-webclient']","{'account_id': 318890, 'reputation': 2444, 'user_id': 636334, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/4851e8cc98f3602755b5a826d7f298f2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Babu Subburathinam', 'link': 'https://stackoverflow.com/users/636334/babu-subburathinam'}",True,631,1,2,1668266311,1618592029,67129283,CC BY-SA 4.0,https://stackoverflow.com/questions/67129283/how-to-do-pagination-in-reactor,How to do pagination in Reactor?,67131903.0,1668266311.0,,,,
7,"['java', 'spring', 'spring-boot', 'validation', 'kotlin']","{'account_id': 20231162, 'reputation': 171, 'user_id': 14837661, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-pMHar5ca3a8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbEdpgJkv1OVcsvQ3iosookDF5Pg/s96-c/photo.jpg?sz=256', 'display_name': 'Yunz', 'link': 'https://stackoverflow.com/users/14837661/yunz'}",True,5066,3,4,1668256734,1619121770,67220022,CC BY-SA 4.0,https://stackoverflow.com/questions/67220022/spring-boot-validation-message-not-shown,Spring Boot validation message not shown,,,,,,
8,"['java', 'generics']","{'account_id': 14713952, 'reputation': 39, 'user_id': 14183715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c8e08344fcbe2dd62a22a79ccd7248bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arunabh Bhattacharya', 'link': 'https://stackoverflow.com/users/14183715/arunabh-bhattacharya'}",True,3353,2,2,1668187496,1617206169,66891186,CC BY-SA 4.0,https://stackoverflow.com/questions/66891186/what-step-can-i-take-to-fix-the-warning-of-raw-use-of-parameterized-class-clas,What step can I take to fix the warning of &quot;Raw use of parameterized class &#39;Class&#39; &quot;?,66892166.0,1668187496.0,1667522602.0,,,
9,"['java', 'logback', 'slf4j', 'noclassdeffounderror', 'spring-logback']","{'account_id': 21242364, 'reputation': 63, 'user_id': 15625608, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-G5CNhX0uAXM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYnrxPNjS1RLPjs2SvBDoTT2wjxQ/s96-c/photo.jpg?sz=256', 'display_name': 'Simeon Yachev', 'link': 'https://stackoverflow.com/users/15625608/simeon-yachev'}",True,3139,1,5,1668079439,1618347865,67082351,CC BY-SA 4.0,https://stackoverflow.com/questions/67082351/slf4j-with-logback-noclassdeffounderror-org-slf4j-impl-staticloggerbinder,SLF4J with Logback: NoClassDefFoundError: org/slf4j/impl/StaticLoggerBinder,67084500.0,,,,,
