,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,accepted_answer_id,last_edit_date,closed_date,closed_reason,locked_date,community_owned_date
0,['java'],"{'user_type': 'does_not_exist', 'display_name': 'jamie'}",True,2867,9,6,1668955592,1245280657,1009994,CC BY-SA 2.5,https://stackoverflow.com/questions/1009994/is-there-any-way-to-rearrange-imports-in-java-source-file,is there any way to rearrange imports in java source file,,,,,,,
1,"['java', 'jar', 'executable-jar']","{'user_type': 'does_not_exist', 'display_name': 'user123003'}",True,281372,23,492,1667440266,1245124191,999489,CC BY-SA 2.5,https://stackoverflow.com/questions/999489/invalid-signature-file-when-attempting-to-run-a-jar,&quot;Invalid signature file&quot; when attempting to run a .jar,1404518641.0,999522.0,,,,,
2,"['java', 'static']","{'account_id': 2772, 'reputation': 7790, 'user_id': 3898, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/46d631c50ff6986b6cbc443be8b5fc73?s=256&d=identicon&r=PG', 'display_name': 'Miles D', 'link': 'https://stackoverflow.com/users/3898/miles-d'}",True,210549,15,283,1667035419,1243888936,936684,CC BY-SA 2.5,https://stackoverflow.com/questions/936684/getting-the-class-name-from-a-static-method-in-java,Getting the class name from a static method in Java,,936696.0,,,,,
3,"['java', 'list', 'generics', 'collections', 'casting']","{'account_id': 28682, 'reputation': 46809, 'user_id': 76835, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/67e30611a423f3bf36c1fc65fd392bfb?s=256&d=identicon&r=PG', 'display_name': 'Jeremy Logan', 'link': 'https://stackoverflow.com/users/76835/jeremy-logan'}",True,326768,20,300,1666927109,1243826718,933447,CC BY-SA 3.0,https://stackoverflow.com/questions/933447/how-do-you-cast-a-list-of-supertypes-to-a-list-of-subtypes,How do you cast a List of supertypes to a List of subtypes?,,933600.0,1411697845.0,,,,
4,"['java', 'hibernate', 'collections', 'jpa', 'annotations']","{'account_id': 5350, 'reputation': 18834, 'user_id': 8563, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/c97e1c9936b160af6572f4e33d55f484?s=256&d=identicon&r=PG', 'display_name': 'Nathan Feger', 'link': 'https://stackoverflow.com/users/8563/nathan-feger'}",True,14479,3,15,1666732254,1243945578,939235,CC BY-SA 2.5,https://stackoverflow.com/questions/939235/how-do-i-map-a-nested-collection-mapkey-listvalues-with-hibernate-jpa-anno,"How do I map a nested collection, Map&lt;Key,List&lt;Values&gt;&gt;, with hibernate JPA annotations?",,,1243956206.0,,,,
5,"['java', 'string-comparison']","{'account_id': 1710, 'reputation': 18470, 'user_id': 2309, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/LoLKZ.jpg?s=256&g=1', 'display_name': 'Mario Orteg&#243;n', 'link': 'https://stackoverflow.com/users/2309/mario-orteg%c3%b3n'}",True,141749,12,140,1666180348,1244195699,955110,CC BY-SA 3.0,https://stackoverflow.com/questions/955110/similarity-string-comparison-in-java,Similarity String Comparison in Java,,955122.0,1468845460.0,,,,
6,"['java', 'console-application']","{'account_id': 34192, 'reputation': 3520, 'user_id': 96389, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/299756bbcc9933cb0da37a43f52f67e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'setzamora', 'link': 'https://stackoverflow.com/users/96389/setzamora'}",True,49798,4,28,1665504207,1245157271,1001335,CC BY-SA 4.0,https://stackoverflow.com/questions/1001335/move-console-cursor-to-specified-position,Move console cursor to specified position,,1001368.0,1665503994.0,,,,
7,['java'],"{'account_id': 13362, 'reputation': 7645, 'user_id': 26788, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/c33a6628062ada6921fa471b902f2652?s=256&d=identicon&r=PG', 'display_name': 'Krishna Kumar', 'link': 'https://stackoverflow.com/users/26788/krishna-kumar'}",True,21771,8,8,1664843919,1246343999,1062064,CC BY-SA 3.0,https://stackoverflow.com/questions/1062064/is-startswith-faster-than-indexof,Is &quot;startsWith&quot; faster than &quot;indexOf&quot;?,,1062114.0,1486017865.0,,,,
8,"['java', 'performance', 'comparison', 'stream', 'nio']","{'account_id': 36501, 'reputation': 9094, 'user_id': 104143, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/4934fbd5d733dd4b0b7b1881ac141371?s=256&d=identicon&r=PG', 'display_name': 'Peter Kofler', 'link': 'https://stackoverflow.com/users/104143/peter-kofler'}",True,26742,11,18,1664468388,1244458486,964332,CC BY-SA 2.5,https://stackoverflow.com/questions/964332/java-large-files-disk-io-performance,Java Large Files Disk IO Performance,,980357.0,1283883083.0,,,,
9,"['java', 'kerberos']","{'account_id': 23599, 'reputation': 3441, 'user_id': 59241, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/5279abbbda9046c5c88a6f7e2f7370c9?s=256&d=identicon&r=PG', 'display_name': 'Dikla', 'link': 'https://stackoverflow.com/users/59241/dikla'}",True,6309,2,5,1664317836,1245830742,1037009,CC BY-SA 2.5,https://stackoverflow.com/questions/1037009/kerberos-authentication-in-java-does-login-action-in-java-equals-to-kinit,Kerberos Authentication in Java - does &quot;login&quot; action in java equals to &quot;kinit&quot;?,,1037289.0,,,,,
10,"['java', 'methods', 'parameters', 'overloading', 'default-parameters']","{'account_id': 35103, 'reputation': 24334, 'user_id': 99317, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc2e00dbe90b975153a8b9869ed91193?s=256&d=identicon&r=PG', 'display_name': 'gnavi', 'link': 'https://stackoverflow.com/users/99317/gnavi'}",True,1780202,27,2029,1664281190,1245089068,997482,CC BY-SA 4.0,https://stackoverflow.com/questions/997482/does-java-support-default-parameter-values,Does Java support default parameter values?,1365591866.0,997529.0,1557306081.0,,,,
11,"['java', 'debugging', 'remote-debugging']","{'user_type': 'does_not_exist', 'display_name': 'Guru'}",True,455734,7,293,1664202675,1244636871,975271,CC BY-SA 3.0,https://stackoverflow.com/questions/975271/remote-debugging-a-java-application,Remote debugging a Java application,,975342.0,1462039518.0,,,,
12,"['java', 'multithreading', 'wait', 'sleep', 'java-threads']","{'account_id': 35904, 'reputation': 22834, 'user_id': 102040, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/dbf44501979768be513fc1d001e4238e?s=256&d=identicon&r=PG', 'display_name': 'Geek', 'link': 'https://stackoverflow.com/users/102040/geek'}",True,969254,33,1326,1663325798,1245826120,1036754,CC BY-SA 4.0,https://stackoverflow.com/questions/1036754/difference-between-wait-vs-sleep-in-java,Difference between &quot;wait()&quot; vs &quot;sleep()&quot; in Java,1494410325.0,1036763.0,1663325798.0,,,,
13,"['java', 'junit', 'selenium', 'bamboo']","{'account_id': 29477, 'reputation': 5029, 'user_id': 79685, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/62cb6282ef76a95622316621fbaf3702?s=256&d=identicon&r=PG', 'display_name': 'Afamee', 'link': 'https://stackoverflow.com/users/79685/afamee'}",False,5577,1,2,1663242521,1244744519,982790,CC BY-SA 2.5,https://stackoverflow.com/questions/982790/runtimeexception-could-not-start-selenium-session-internal-server-error,RuntimeException: Could not start Selenium session: Internal Server Error,,,1244751468.0,,,,
14,"['java', 'encryption', 'applet', 'keystore']","{'user_type': 'does_not_exist', 'display_name': 'Tomi'}",True,196247,16,53,1662919382,1246103027,1052700,CC BY-SA 4.0,https://stackoverflow.com/questions/1052700/java-io-ioexception-invalid-keystore-format,java.io.IOException: Invalid Keystore format,,,1662547923.0,,,,
15,"['java', 'java-native-interface']","{'account_id': 28408, 'reputation': 5156, 'user_id': 75857, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/dc395e410c60d281339aa7fc79c992c9?s=256&d=identicon&r=PG', 'display_name': 'benhsu', 'link': 'https://stackoverflow.com/users/75857/benhsu'}",True,32860,7,23,1662853638,1245253146,1007861,CC BY-SA 3.0,https://stackoverflow.com/questions/1007861/how-do-i-get-a-list-of-jni-libraries-which-are-loaded,How do I get a list of JNI libraries which are loaded?,,,1355340991.0,,,,
16,"['java', 'eclipse', 'code-formatting', 'checkstyle']","{'account_id': 12917, 'reputation': 22152, 'user_id': 25688, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/bf312679a804d2defbce9f993c9d6a23?s=256&d=identicon&r=PG', 'display_name': 'Ken Liu', 'link': 'https://stackoverflow.com/users/25688/ken-liu'}",True,28886,2,43,1662109400,1244775038,984778,CC BY-SA 3.0,https://stackoverflow.com/questions/984778/how-to-generate-an-eclipse-formatter-configuration-from-a-checkstyle-configurati,How to generate an Eclipse formatter configuration from a checkstyle configuration?,,9665882.0,1461762997.0,,,,
17,"['java', 'operators', 'bit-manipulation']","{'account_id': 6901, 'reputation': 18354, 'user_id': 11760, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/9993fc795f05b8f971c953e8c84ae39c?s=256&d=identicon&r=PG', 'display_name': 'Nate', 'link': 'https://stackoverflow.com/users/11760/nate'}",True,6799,9,17,1661353835,1245785333,1034640,,https://stackoverflow.com/questions/1034640/javas-versus-operator,Java&#39;s &gt;&gt; versus &gt;&gt;&gt; Operator?,,1034666.0,1246051714.0,1505468762.0,Duplicate,,
18,"['java', 'repository', 'maven-2']","{'account_id': 23695, 'reputation': 4125, 'user_id': 59561, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/db3da67e599f5fd1864f21a8227129ce?s=256&d=identicon&r=PG', 'display_name': 'cwash', 'link': 'https://stackoverflow.com/users/59561/cwash'}",True,7967,7,29,1660931425,1245859898,1039362,CC BY-SA 4.0,https://stackoverflow.com/questions/1039362/tips-for-maintaining-an-internal-maven-repository,Tips for maintaining an internal Maven Repository?,,1650403.0,1660931425.0,,,,
19,"['java', 'sql', 'mysql', 'jdbc']","{'account_id': 41275, 'reputation': 90747, 'user_id': 119895, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/dEYOs.jpg?s=256&g=1', 'display_name': 'Macarse', 'link': 'https://stackoverflow.com/users/119895/macarse'}",True,69744,13,70,1660832576,1245939264,1044194,CC BY-SA 2.5,https://stackoverflow.com/questions/1044194/running-a-sql-script-using-mysql-with-jdbc,Running a .sql script using MySQL with JDBC,,1044837.0,1280019581.0,,,,
20,"['java', 'list', 'chain-of-responsibility']","{'account_id': 15489, 'reputation': 24503, 'user_id': 32775, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/853ea0ee58ffef56c0b32e34d0a935c2?s=256&d=identicon&r=PG', 'display_name': 'luiscubal', 'link': 'https://stackoverflow.com/users/32775/luiscubal'}",True,6390,5,18,1660482588,1246211958,1055383,CC BY-SA 2.5,https://stackoverflow.com/questions/1055383/what-are-the-advantages-of-chain-of-responsibility-vs-lists-of-classes,What are the advantages of chain-of-responsibility vs. lists of classes?,,1055418.0,,,,,
21,"['java', 'class', 'javac']","{'account_id': 22198, 'reputation': 5677, 'user_id': 54522, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/ae3ae20d8c11a0436cba8d6be6f0bb2b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ariod', 'link': 'https://stackoverflow.com/users/54522/ariod'}",True,15945,9,17,1660080312,1245756145,1031962,CC BY-SA 2.5,https://stackoverflow.com/questions/1031962/multiple-class-files-generated-for-a-class,Multiple .class files generated for a class?,,1031966.0,,,,,
22,"['java', 'spring', 'autowired']","{'user_type': 'does_not_exist', 'display_name': 'user124722'}",True,206043,13,189,1659680283,1245427882,1018797,CC BY-SA 4.0,https://stackoverflow.com/questions/1018797/can-you-use-autowired-with-static-fields,Can you use @Autowired with static fields?,,1019053.0,1592479339.0,,,,
