,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,accepted_answer_id,protected_date
0,"['java', 'spring', 'spring-boot']","{'account_id': 6180382, 'reputation': 171, 'user_id': 4816074, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dd85a2dd5bd6c850da80abc299544bce?s=256&d=identicon&r=PG', 'display_name': 'Tomboyo', 'link': 'https://stackoverflow.com/users/4816074/tomboyo'}",True,165,2,2,1669115937,1628613066,68730482,CC BY-SA 4.0,https://stackoverflow.com/questions/68730482/spring-jsontest-does-not-respect-jackson2objectmapperbuildercustomizer-customiz,Spring @JsonTest does not respect Jackson2ObjectMapperBuilderCustomizer customization bean,,,,,
1,"['java', 'couchbase', 'spring-data-couchbase']","{'account_id': 4925534, 'reputation': 43, 'user_id': 3966854, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deepak Naik', 'link': 'https://stackoverflow.com/users/3966854/deepak-naik'}",True,258,2,1,1669020048,1628624137,68732623,CC BY-SA 4.0,https://stackoverflow.com/questions/68732623/how-to-execute-dynamic-n1ql-query-with-spring-data-couchbasetemplate,How to execute dynamic n1ql query with Spring data CouchbaseTemplate,1628693164.0,,,,
2,"['java', 'list', 'algorithm', 'sorting']","{'account_id': 22427892, 'reputation': 11, 'user_id': 16634205, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzT5Wl63qMUIchIfLdnN6b9k9tXpm4YtrOL95Pa=k-s256', 'display_name': 'Rohit Maheshwari', 'link': 'https://stackoverflow.com/users/16634205/rohit-maheshwari'}",False,113,2,0,1668771586,1628747770,68752292,CC BY-SA 4.0,https://stackoverflow.com/questions/68752292/sorting-an-arraylist-of-arraylist-in-lexicographical-order,Sorting an ArrayList of ArrayList in lexicographical order,1628753821.0,,,,
3,"['java', 'apache-flink', 'flink-streaming', 'complex-event-processing', 'flink-cep']","{'account_id': 1410679, 'reputation': 3058, 'user_id': 1337338, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/c4720bd523de6f16b07b8edd28ae230e?s=256&d=identicon&r=PG', 'display_name': 'voidMainReturn', 'link': 'https://stackoverflow.com/users/1337338/voidmainreturn'}",False,594,2,3,1668715192,1629696888,68887743,CC BY-SA 4.0,https://stackoverflow.com/questions/68887743/how-to-run-multiple-complex-rules-with-flink,How to run multiple complex rules with flink,,,,,
4,"['java', 'oop', 'inheritance', 'invoke', 'super']","{'account_id': 21730227, 'reputation': 53, 'user_id': 16039091, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/N8kHR.jpg?s=256&g=1', 'display_name': 'Imesh Isuranga', 'link': 'https://stackoverflow.com/users/16039091/imesh-isuranga'}",False,324,1,1,1668706172,1630393561,68994241,,https://stackoverflow.com/questions/68994241/is-it-not-possible-to-invoke-superclass-method,Is it not possible to invoke superclass method?,1630394810.0,1668704889.0,Duplicate,,
5,"['java', 'rabbitmq']","{'account_id': 16549719, 'reputation': 41, 'user_id': 11958374, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mB19iWHn6Cs2Sly0DxcVjFRU_yOUzQP4-SZa8U87Q=k-s256', 'display_name': 'Karis Njiru', 'link': 'https://stackoverflow.com/users/11958374/karis-njiru'}",True,240,1,4,1668527747,1629483843,68866627,CC BY-SA 4.0,https://stackoverflow.com/questions/68866627/adding-dynamically-created-queues-to-a-listener-rabbitmq-spring,Adding Dynamically created queues to a listener RabbitMq Spring,1668022687.0,,,,
6,"['java', 'linux', 'fedora', 'rpm', 'jpackage']","{'account_id': 1620076, 'reputation': 81, 'user_id': 1496859, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c9b34332b6860b83be773e605b2c5afb?s=256&d=identicon&r=PG', 'display_name': 'wolfman', 'link': 'https://stackoverflow.com/users/1496859/wolfman'}",False,497,1,1,1668527230,1628701369,68746207,CC BY-SA 4.0,https://stackoverflow.com/questions/68746207/unable-to-create-a-jpackage-installer-on-fedora-but-it-works-in-ubuntu-macos-a,"Unable to create a jpackage installer on Fedora but it works in Ubuntu, macOS, and Windows",,,,,
7,"['java', 'spring', 'kubernetes']","{'account_id': 156773, 'reputation': 1690, 'user_id': 374265, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/437a3c3bd52a2b894e77d36e641c9373?s=256&d=identicon&r=PG', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/374265/james'}",False,214,1,0,1668419237,1628092809,68654505,CC BY-SA 4.0,https://stackoverflow.com/questions/68654505/slow-initial-http-requests-with-spring-in-k8s,Slow initial http requests with spring in k8s,,,,,
8,"['java', 'junit', 'set', 'java-stream']","{'user_type': 'does_not_exist', 'display_name': 'user16578994'}",True,116,2,0,1668330083,1628232120,68677229,CC BY-SA 4.0,https://stackoverflow.com/questions/68677229/strange-bug-with-streams,Strange bug with Streams,1628240779.0,,,68677427.0,
9,"['java', 'tomcat', 'axis2', 'tomcat9']","{'account_id': 18566931, 'reputation': 39, 'user_id': 13529636, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ad2e27e5f96219652bb552e9c633a9d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marat', 'link': 'https://stackoverflow.com/users/13529636/marat'}",False,415,0,2,1668296482,1630260076,68975635,CC BY-SA 4.0,https://stackoverflow.com/questions/68975635/processaxisfault-found-a-null-http-status-and-the-program-execution-stops,&quot;processAxisFault() found a null HTTP status&quot; and the program execution stops,,,,,
10,"['java', 'eclipse', 'maven', 'cacerts']","{'account_id': 1471077, 'reputation': 5251, 'user_id': 1382647, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/23769ad2d10421beca47cb44f275c817?s=256&d=identicon&r=PG', 'display_name': 'fatherazrael', 'link': 'https://stackoverflow.com/users/1382647/fatherazrael'}",True,1990,2,1,1668171479,1630332768,68985577,CC BY-SA 4.0,https://stackoverflow.com/questions/68985577/java-certificates-eclipse-and-maven-pkix-path-building-failed,"Java Certificates, Eclipse and Maven: PKIX path building failed",,,,,
11,"['java', 'maven', 'jenkins', 'jenkins-pipeline', 'maven-3']","{'account_id': 17490217, 'reputation': 91, 'user_id': 12682515, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7a544f832a038048dd2bcd362b7b7a4f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Faisal Khan', 'link': 'https://stackoverflow.com/users/12682515/faisal-khan'}",True,1122,2,2,1668021704,1628782956,68760474,CC BY-SA 4.0,https://stackoverflow.com/questions/68760474/maven-friendly-ci-revision-property-doesnt-work-with-jenkins-build,Maven friendly CI - revision property doesn&#39;t work with Jenkins build,,,,,
12,"['java', 'performance', 'java-8', 'java-stream']","{'account_id': 367521, 'reputation': 6694, 'user_id': 713777, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/I4ciN.jpg?s=256&g=1', 'display_name': 'Ahmed Ghoneim', 'link': 'https://stackoverflow.com/users/713777/ahmed-ghoneim'}",False,250,0,1,1668011465,1627896961,68619335,CC BY-SA 4.0,https://stackoverflow.com/questions/68619335/java-streams-0-performance-on-codility,Java Streams 0% Performance on Codility,1668011465.0,,,,
13,"['java', 'spring-boot']","{'user_type': 'does_not_exist', 'display_name': 'user14800407'}",False,1980,2,4,1667975727,1629181774,68812594,CC BY-SA 4.0,https://stackoverflow.com/questions/68812594/validation-beans-are-not-working-in-java-11-and-spring-boot-2-5-3,Validation beans are not working in Java 11 and spring boot 2.5.3,,,,,
14,['java'],"{'account_id': 13992658, 'reputation': 47, 'user_id': 15092163, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-86cpv_6kY7A/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7pfPBMnVow5dMJ2ftu2OOdwVpWeYA/mo/photo.jpg?sz=256', 'display_name': 'Duno', 'link': 'https://stackoverflow.com/users/15092163/duno'}",True,863,2,0,1667665828,1629294158,68833582,CC BY-SA 4.0,https://stackoverflow.com/questions/68833582/how-to-insert-into-a-linked-list-at-the-end,How to insert into a Linked List at the end,1629296569.0,,,68833738.0,
