,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date
0,"['java', 'jpa', 'data-access-layer']","{'account_id': 20416869, 'reputation': 29, 'user_id': 14978856, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f08eca4c17c8a02c2a3a4c8a43ff66ff?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jacko', 'link': 'https://stackoverflow.com/users/14978856/jacko'}",True,123,65983228.0,1,-1,1669071614,1610791205,1669071614.0,65748377,CC BY-SA 4.0,https://stackoverflow.com/questions/65748377/who-specifies-which-if-any-data-access-layer-patterns-are-used-in-jpa,Who specifies which (if any) data access layer pattern(s) are used in JPA?,,,,
1,"['java', 'filesystems']","{'account_id': 20381882, 'reputation': 3, 'user_id': 14951820, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhQUqcbFQ6BFn1C2i9os1hu7Uype7xaBAvjbRJA=k-s256', 'display_name': 'byteAtDawn', 'link': 'https://stackoverflow.com/users/14951820/byteatdawn'}",True,405,65603712.0,2,-1,1669059626,1609955489,,65600876,CC BY-SA 4.0,https://stackoverflow.com/questions/65600876/my-java-program-is-throwing-java-lang-classnotfoundexception-for-some-awt-classe,My java program is throwing java.lang.ClassNotFoundException for some AWT classes what do I do?,,,,
2,"['java', 'android', 'build', 'android-source', 'android-embedded-api']","{'account_id': 20477060, 'reputation': 21, 'user_id': 15026135, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhNcpdUlcTxF9yTOC10DtyKYjIUAOhJiVBlp2rbNQ=k-s256', 'display_name': 'Ahmed Abidi', 'link': 'https://stackoverflow.com/users/15026135/ahmed-abidi'}",False,571,,1,2,1669053081,1610917791,,65765977,CC BY-SA 4.0,https://stackoverflow.com/questions/65765977/aosp-building-hiddenapi-no-dex-files-specified,AOSP building : hiddenapi: No DEX files specified,,,,
3,"['java', 'spring', 'spring-boot', 'java-8']","{'account_id': 19948553, 'reputation': 29, 'user_id': 14618698, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6027accaaef1fe2a04604c3c2043e26e?s=256&d=identicon&r=PG&f=1', 'display_name': 'xbwxlvn', 'link': 'https://stackoverflow.com/users/14618698/xbwxlvn'}",True,2690,,4,1,1669029447,1611830359,,65935419,CC BY-SA 4.0,https://stackoverflow.com/questions/65935419/spring-boot-list-all-the-files-in-the-classpath,Spring boot - list all the files in the classpath,,,,
4,"['java', 'c#', 'android', 'xamarin']","{'account_id': 6701558, 'reputation': 1, 'user_id': 5167865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f4195b97d73b8bd8c3e3e6f803818fb9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Илья Петров', 'link': 'https://stackoverflow.com/users/5167865/%d0%98%d0%bb%d1%8c%d1%8f-%d0%9f%d0%b5%d1%82%d1%80%d0%be%d0%b2'}",False,60,,2,-1,1668800931,1610989133,1610990871.0,65778884,CC BY-SA 4.0,https://stackoverflow.com/questions/65778884/can-i-write-from-mediarecorder-to-my-android-linux-pipes,Can i write from MediaRecorder to my android / linux pipe&#39;s?,,,,
5,"['java', 'hibernate']","{'account_id': 20371301, 'reputation': 45, 'user_id': 14943453, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0bfe3a6e5c641355c4c01cf78f079c85?s=256&d=identicon&r=PG&f=1', 'display_name': 'marcoF76IT', 'link': 'https://stackoverflow.com/users/14943453/marcof76it'}",False,177,,1,1,1668679498,1611824346,,65933923,CC BY-SA 4.0,https://stackoverflow.com/questions/65933923/hibernate-hql-query-with-boolean-attibute-and-sap-hana-db,Hibernate HQL query with boolean attibute and SAP HANA DB,,,,
6,"['java', 'android', 'themes']","{'account_id': 17504146, 'reputation': 141, 'user_id': 12693743, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/CipfN.png?s=256&g=1', 'display_name': 'prsnlme', 'link': 'https://stackoverflow.com/users/12693743/prsnlme'}",True,905,65925194.0,2,1,1668261535,1611771740,,65925090,CC BY-SA 4.0,https://stackoverflow.com/questions/65925090/avoid-recreating-activity-when-dark-theme-was-changed-outside-of-app-just-ignor,Avoid recreating activity when Dark theme was changed outside of app (just ignore ),,,,
7,"['java', 'android', 'android-10.0', 'wifimanager']","{'account_id': 7464445, 'reputation': 2128, 'user_id': 5674583, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/8WOaR.png?s=256&g=1', 'display_name': 'Blue Bot', 'link': 'https://stackoverflow.com/users/5674583/blue-bot'}",False,655,,1,1,1668160760,1609841325,1622023341.0,65576816,CC BY-SA 4.0,https://stackoverflow.com/questions/65576816/how-to-disconnect-and-forget-wi-fi-network-programmatically-in-and-above-android,How to disconnect and forget Wi-fi Network Programmatically in and above Android API level 29 (&gt;= 29),,,,
8,"['java', 'javafx-11', 'adoptopenjdk', 'apple-m1', 'azul-zulu']","{'account_id': 20386119, 'reputation': 94, 'user_id': 14955092, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bab9ad64582eb86bd339cc05e7214852?s=256&d=identicon&r=PG&f=1', 'display_name': 'notnull', 'link': 'https://stackoverflow.com/users/14955092/notnull'}",True,8565,65767767.0,2,4,1668148721,1610917053,1659714940.0,65765861,CC BY-SA 4.0,https://stackoverflow.com/questions/65765861/when-will-adoptopenjdk-11-come-for-apple-with-m1-chip,When will AdoptOpenJDK 11 come for Apple with M1 chip?,,,,
9,"['java', 'sftp', 'jsch']","{'account_id': 20104966, 'reputation': 93, 'user_id': 14759788, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgwXGpURrOaTRJet86Xdq9JQbEynYfh8GWfdYhT=k-s256', 'display_name': 'cryptomania14', 'link': 'https://stackoverflow.com/users/14759788/cryptomania14'}",True,176,65658543.0,1,0,1668147568,1610307248,1668147539.0,65657619,CC BY-SA 4.0,https://stackoverflow.com/questions/65657619/send-files-from-one-remote-server-using-jsch-to-another-server-using-jsch-too,Send files from one remote server using JSch to another server using JSch too,,,,
