,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,community_owned_date,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
0,"['java', 'string', 'equality']","{'account_id': 12902, 'reputation': 47003, 'user_id': 25645, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/b02cab91fb3c5604163c116c494de2a5?s=256&d=identicon&r=PG', 'display_name': 'Nathan H', 'link': 'https://stackoverflow.com/users/25645/nathan-h'}",True,4431215,1391145623.0,513839.0,23,1387280770.0,723,1390766401.0,1668251745,1233789427,1358948167.0,513832,CC BY-SA 3.0,https://stackoverflow.com/questions/513832/how-do-i-compare-strings-in-java,How do I compare strings in Java?,,
1,"['java', 'string', 'comparison', 'string-comparison']","{'account_id': 18419, 'reputation': 47975, 'user_id': 42155, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://www.gravatar.com/avatar/bec1c77805ad9d7e6b1dca098442e984?s=256&d=identicon&r=PG', 'display_name': 'user42155', 'link': 'https://stackoverflow.com/users/42155/user42155'}",True,84880,,,9,,39,,1667373414,1234261011,1450683995.0,531779,CC BY-SA 3.0,https://stackoverflow.com/questions/531779/comparing-a-string-with-the-empty-string-java,Comparing a string with the empty string (Java),,
2,"['java', 'regex']","{'account_id': 17588, 'reputation': 480, 'user_id': 39511, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/6dc8fb44addae009831304398663e472?s=256&d=identicon&r=PG', 'display_name': 'John Daly', 'link': 'https://stackoverflow.com/users/39511/john-daly'}",True,54893,,559276.0,5,,20,,1666137113,1234914518,,559254,CC BY-SA 2.5,https://stackoverflow.com/questions/559254/how-to-use-regular-expressions-to-match-everything-before-a-certain-type-of-word,How to use regular expressions to match everything before a certain type of word,,
3,"['java', 'eclipse', 'jar', 'export']","{'user_type': 'does_not_exist', 'display_name': 'boomathon'}",True,58948,,528036.0,7,,22,,1666081372,1234183595,1437232479.0,528007,CC BY-SA 3.0,https://stackoverflow.com/questions/528007/eclipse-java-export-jar-include-referenced-libraries-without-fatjar,"Eclipse Java; export jar, include referenced libraries, without fatjar",,
4,"['java', 'build', 'maven-2', 'executable-jar', 'build-automation']","{'account_id': 25971, 'reputation': 28504, 'user_id': 67219, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f3cc17431211a37e6d52154fef3f710?s=256&d=identicon&r=PG', 'display_name': 'soemirno', 'link': 'https://stackoverflow.com/users/67219/soemirno'}",True,1755902,1302806041.0,574650.0,33,,2795,,1665828406,1235292225,1665828406.0,574594,CC BY-SA 4.0,https://stackoverflow.com/questions/574594/how-can-i-create-an-executable-runnable-jar-with-dependencies-using-maven,How can I create an executable/runnable JAR with dependencies using Maven?,,
5,"['java', 'eclipse']","{'user_type': 'does_not_exist', 'display_name': 'Sasha'}",True,81421,,591185.0,8,,149,,1665046172,1235663955,1441464565.0,591172,CC BY-SA 3.0,https://stackoverflow.com/questions/591172/delete-a-line-in-eclipse,Delete a line in Eclipse,,
6,"['java', 'file', 'cross-platform', 'atomic', 'file-rename']","{'account_id': 2035, 'reputation': 16383, 'user_id': 2797, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/665a6ade9036bac2651362fba5e8dd0c?s=256&d=identicon&r=PG', 'display_name': 'S&#233;bastien RoccaSerra', 'link': 'https://stackoverflow.com/users/2797/s%c3%a9bastien-roccaserra'}",True,37842,,,8,,42,,1664946747,1235753973,1664946747.0,595631,CC BY-SA 4.0,https://stackoverflow.com/questions/595631/how-to-atomically-rename-a-file-in-java-even-if-the-dest-file-already-exists,"How to atomically rename a file in Java, even if the dest file already exists?",,
7,"['java', 'url', 'mocking']","{'account_id': 20743, 'reputation': 1215, 'user_id': 49854, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/570dabae6279734f218df115ca282d17?s=256&d=identicon&r=PG', 'display_name': 'bowsie', 'link': 'https://stackoverflow.com/users/49854/bowsie'}",True,52972,,565555.0,12,,26,,1664930397,1235053560,,565535,CC BY-SA 2.5,https://stackoverflow.com/questions/565535/mocking-a-url-in-java,Mocking a URL in Java,,
8,"['java', 'inheritance']","{'account_id': 10777, 'reputation': 31603, 'user_id': 20498, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/caf535053871de07bfe535acc555d0bb?s=256&d=identicon&r=PG', 'display_name': 'carrier', 'link': 'https://stackoverflow.com/users/20498/carrier'}",True,778052,,541769.0,13,,595,,1664694659,1234451904,1516653043.0,541749,CC BY-SA 3.0,https://stackoverflow.com/questions/541749/how-to-determine-an-objects-class,How to determine an object&#39;s class?,,
9,"['java', 'validation', 'string', 'character']","{'account_id': 13492, 'reputation': 26941, 'user_id': 1390354, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/WBzkI.png?s=256&g=1', 'display_name': 'barfoon', 'link': 'https://stackoverflow.com/users/1390354/barfoon'}",True,1178953,1523617696.0,506107.0,16,,271,,1664265622,1233639522,1336389457.0,506105,CC BY-SA 3.0,https://stackoverflow.com/questions/506105/how-can-i-check-if-a-single-character-appears-in-a-string,How can I check if a single character appears in a string?,,
