,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'java', 'node.js', 'cryptojs']","{'account_id': 1072254, 'reputation': 5908, 'user_id': 1071246, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/RsluQ.jpg?s=256&g=1', 'display_name': 'Suresh Pattu', 'link': 'https://stackoverflow.com/users/1071246/suresh-pattu'}",True,8841,3,3,1669021713,1579266847,59788079,CC BY-SA 4.0,https://stackoverflow.com/questions/59788079/aes-cbc-pkcs5padding-in-nodejs,AES/CBC/PKCS5Padding in NodeJs,,,,,,
1,"['java', 'android', 'nfs', 'nfsclient']","{'account_id': 7357487, 'reputation': 634, 'user_id': 5601761, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Zlr5Y.jpg?s=256&g=1', 'display_name': 'SoulaimenK', 'link': 'https://stackoverflow.com/users/5601761/soulaimenk'}",False,10951,1,1,1669017735,1578644068,59677723,CC BY-SA 4.0,https://stackoverflow.com/questions/59677723/android-nfs-client,Android NFS Client,,,,,,
2,"['java', 'sap-commerce-cloud', 'impex']","{'account_id': 13616336, 'reputation': 334, 'user_id': 9822153, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Himanshu Jain', 'link': 'https://stackoverflow.com/users/9822153/himanshu-jain'}",True,963,1,2,1669013245,1579699684,59860850,CC BY-SA 4.0,https://stackoverflow.com/questions/59860850/de-hybris-platform-impex-jalo-impexexceptionhy-1-exception-in-hybris-impex,de.hybris.platform.impex.jalo.ImpExException[HY--1] Exception in Hybris ImpEx,74515139.0,1579773878.0,,,,
3,"['java', 'flutter', 'encryption', 'dart', 'media']","{'account_id': 11131060, 'reputation': 166, 'user_id': 8511016, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Xdc8v.jpg?s=256&g=1', 'display_name': 'Jan Ndungu', 'link': 'https://stackoverflow.com/users/8511016/jan-ndungu'}",True,2539,1,3,1668695609,1580371009,59981337,CC BY-SA 4.0,https://stackoverflow.com/questions/59981337/how-can-i-encrypt-video-file-using-dart,How can I encrypt video file using Dart?,60054142.0,,,,,
4,"['java', 'spring', 'hibernate', 'redis', 'redisson']","{'account_id': 7116821, 'reputation': 179, 'user_id': 5442812, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/5dca72f5909f72101121e8d43e2edd31?s=256&d=identicon&r=PG&f=1', 'display_name': 'gariaable', 'link': 'https://stackoverflow.com/users/5442812/gariaable'}",True,3130,3,1,1668675556,1577979192,59565939,CC BY-SA 4.0,https://stackoverflow.com/questions/59565939/problem-with-redisson-hibernate-2l-cache-config-in-spring-mvc,Problem with Redisson Hibernate 2L cache config in Spring MVC,59624425.0,,,,,
5,"['java', 'junit', 'mockito']","{'account_id': 4072211, 'reputation': 2901, 'user_id': 3344832, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/UAA19.jpg?s=256&g=1', 'display_name': 'Mohamed Ennahdi El Idrissi', 'link': 'https://stackoverflow.com/users/3344832/mohamed-ennahdi-el-idrissi'}",False,125,0,0,1668305936,1579643919,59849780,CC BY-SA 4.0,https://stackoverflow.com/questions/59849780/provoke-file-mkdirs-to-return-false-in-linux,Provoke File.mkdirs() to return false in Linux,,1668305936.0,,,,
6,"['java', 'spring-boot']","{'account_id': 14248673, 'reputation': 143, 'user_id': 10292872, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-yDmLNIbcon8/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaOmZ0zBwCWeDSDMcMmqRdln-nAqvw/mo/photo.jpg?sz=256', 'display_name': 'Akash ', 'link': 'https://stackoverflow.com/users/10292872/akash'}",True,121967,11,14,1668108757,1580412154,59993124,CC BY-SA 4.0,https://stackoverflow.com/questions/59993124/the-injection-point-has-the-following-annotations-org-springframework-beans,The injection point has the following annotations: - @org.springframework.beans.factory.annotation.Autowired(required=true),59994805.0,1580420411.0,1662463783.0,,,
7,"['java', 'android', 'android-studio', 'android-fragments']","{'account_id': 16517966, 'reputation': 41, 'user_id': 11934870, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2753ea639f035085943042e99a9781a0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ahmad Takkoush', 'link': 'https://stackoverflow.com/users/11934870/ahmad-takkoush'}",False,428,1,0,1668070910,1578151965,59592159,CC BY-SA 4.0,https://stackoverflow.com/questions/59592159/java-lang-illegalstateexception-fragmentmanager-is-already-executing-transactio,java.lang.IllegalStateException: FragmentManager is already executing transactions?,,1592644375.0,,,,
8,"['java', 'video', 'video-processing', 'javacv', 'javacpp']","{'account_id': 15543730, 'reputation': 1433, 'user_id': 11213660, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HNb82.png?s=256&g=1', 'display_name': 'cegredev', 'link': 'https://stackoverflow.com/users/11213660/cegredev'}",False,417,1,0,1668050069,1579015993,59737017,CC BY-SA 4.0,https://stackoverflow.com/questions/59737017/javacv-ffmpegframefilter-does-not-work-for-fps-filter,JavaCV FFmpegFrameFilter does not work for fps filter,,1579016838.0,,,,
9,"['java', 'google-api', 'google-api-java-client', 'google-directory-api']","{'account_id': 4449509, 'reputation': 43, 'user_id': 3621877, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3621877', 'link': 'https://stackoverflow.com/users/3621877/user3621877'}",False,436,1,1,1667980582,1578007166,59571257,CC BY-SA 4.0,https://stackoverflow.com/questions/59571257/members-list-giving-requested-entity-was-not-found,members list giving &quot;Requested entity was not found&quot;,,1667980582.0,,,,
