,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,locked_date,migrated_from
0,"['java', 'string', 'escaping']","{'account_id': 746, 'reputation': 48931, 'user_id': 974, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3d7e0433078e5d9b54fb90edf7bd10a3?s=256&d=identicon&r=PG', 'display_name': 'izb', 'link': 'https://stackoverflow.com/users/974/izb'}",True,574779,1538586571.0,1367339.0,5,137,1669028685,1251893446,1505898991.0,1367322,CC BY-SA 3.0,https://stackoverflow.com/questions/1367322/what-are-all-the-escape-characters,What are all the escape characters?,,,,,
1,"['java', 'sockets', 'http', 'tcp', 'keep-alive']","{'account_id': 47968, 'reputation': 11771, 'user_id': 142299, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/cbf41bc6367035a9ef55082b45698562?s=256&d=identicon&r=PG', 'display_name': 'Kevin Boyd', 'link': 'https://stackoverflow.com/users/142299/kevin-boyd'}",True,191515,,1480246.0,8,100,1668468108,1253930960,1448473977.0,1480236,CC BY-SA 3.0,https://stackoverflow.com/questions/1480236/does-a-tcp-socket-connection-have-a-keep-alive,Does a TCP socket connection have a &quot;keep alive&quot;?,,,,,
2,"['java', 'hibernate', 'jpa', 'lazy-loading', 'one-to-one']","{'account_id': 32278, 'reputation': 6673, 'user_id': 89397, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/a616e8275df8e8774046d116e6c9b8a9?s=256&d=identicon&r=PG', 'display_name': 'KCL', 'link': 'https://stackoverflow.com/users/89397/kcl'}",True,134536,1500480276.0,1445694.0,12,249,1667808945,1253276500,1590152954.0,1444227,CC BY-SA 4.0,https://stackoverflow.com/questions/1444227/how-can-i-make-a-jpa-onetoone-relation-lazy,How can I make a JPA OneToOne relation lazy,,,,,
3,"['java', 'ejb', 'dto', 'anti-patterns', 'data-transfer-objects']","{'account_id': 19818, 'reputation': 7302, 'user_id': 2200391, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/c5f0c8efdeb3204bdeb53af2cef09c6c?s=256&d=identicon&r=PG', 'display_name': 'ntownsend', 'link': 'https://stackoverflow.com/users/2200391/ntownsend'}",True,71948,,1440994.0,11,149,1667332902,1253216794,1504451018.0,1440952,CC BY-SA 3.0,https://stackoverflow.com/questions/1440952/why-are-data-transfer-objects-dtos-an-anti-pattern,Why are data transfer objects (DTOs) an anti-pattern?,,,,,
4,"['java', 'oracle', 'arrays', 'stored-procedures']","{'account_id': 10990, 'reputation': 2209, 'user_id': 21011, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/7feaccc7239191cfd436db212cf128c6?s=256&d=identicon&r=PG', 'display_name': 'coder', 'link': 'https://stackoverflow.com/users/21011/coder'}",True,20910,,,3,3,1666911629,1252503686,,1399750,CC BY-SA 2.5,https://stackoverflow.com/questions/1399750/java-passing-array-in-oracle-stored-procedure,java - passing array in oracle stored procedure,,,,,
5,"['java', 'generics']","{'account_id': 28814, 'reputation': 5581, 'user_id': 77278, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/041c012f7e2888023cbd4cad43db5cf3?s=256&d=identicon&r=PG', 'display_name': 'Tomasz Błachowicz', 'link': 'https://stackoverflow.com/users/77278/tomasz-b%c5%82achowicz'}",True,66413,,1368212.0,10,183,1665792820,1251903012,1347825314.0,1368166,CC BY-SA 3.0,https://stackoverflow.com/questions/1368166/what-is-a-difference-between-super-e-and-extends-e,What is a difference between &lt;? super E&gt; and &lt;? extends E&gt;?,,,,,
6,"['java', 'c', 'garbage-collection']","{'account_id': 26634, 'reputation': 26229, 'user_id': 69514, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/cfdf373f964f3a565faf5a8e1a82c8ae?s=256&d=identicon&r=PG', 'display_name': 'user69514', 'link': 'https://stackoverflow.com/users/69514/user69514'}",True,7358,,1424706.0,11,16,1665691239,1252977615,1252987969.0,1424660,CC BY-SA 2.5,https://stackoverflow.com/questions/1424660/garbage-collection-vs-non-garbage-collection-programming-languages,Garbage collection vs. non garbage collection programming languages,,,,,
7,"['java', 'arrays', 'jna']","{'account_id': 37911, 'reputation': 1513, 'user_id': 108546, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/e819b2408e9528b895dc192aee309912?s=256&d=identicon&r=PG&f=1', 'display_name': 'ravun', 'link': 'https://stackoverflow.com/users/108546/ravun'}",True,6364,,7984722.0,3,7,1665560810,1253109750,1328203180.0,1433175,CC BY-SA 3.0,https://stackoverflow.com/questions/1433175/returning-c-array-to-java-using-jna,Returning C array to Java using JNA,,,,,
8,"['java', 'exception-handling', 'encapsulation']","{'account_id': 560872, 'reputation': 1063, 'user_id': 180209, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/6a35e59a085e9c62bc977ef22f8bc75b?s=256&d=identicon&r=PG', 'display_name': 'Bad Horse', 'link': 'https://stackoverflow.com/users/180209/bad-horse'}",True,238869,,1486082.0,27,106,1665167735,1254128529,1501922923.0,1486077,CC BY-SA 3.0,https://stackoverflow.com/questions/1486077/good-way-to-encapsulate-integer-parseint,Good way to encapsulate Integer.parseInt(),,,,,
9,"['java', 'standards', 'coding-style']","{'account_id': 49781, 'reputation': 9981, 'user_id': 148381, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/d8496b22f653f4209e5038cf06fe5de5?s=256&d=identicon&r=PG', 'display_name': 'DaveJohnston', 'link': 'https://stackoverflow.com/users/148381/davejohnston'}",True,20071,,1373015.0,11,40,1664983803,1251979193,1498826939.0,1372991,CC BY-SA 3.0,https://stackoverflow.com/questions/1372991/should-a-collection-of-constants-be-placed-in-a-class-or-interface,Should a collection of constants be placed in a class or interface?,,,,,
10,"['java', 'string', 'decimal', 'hex']","{'account_id': 49786, 'reputation': 23918, 'user_id': 148389, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/9f39c13ac4b4769b3ad6049cc530bb07?s=256&d=identicon&r=PG', 'display_name': 'Tony Stark', 'link': 'https://stackoverflow.com/users/148389/tony-stark'}",True,13726,,1388392.0,4,6,1664809215,1252314953,1664809215.0,1388383,CC BY-SA 4.0,https://stackoverflow.com/questions/1388383/write-decimal-hex-to-a-file-and-not-string,"Write decimal/hex to a file, and not String",,,,,
11,"['java', 'ide', 'intellij-idea']","{'account_id': 3649, 'reputation': 6771, 'user_id': 5284, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/ea349055db4ef3a2cfa8e50a780b4e1c?s=256&d=identicon&r=PG', 'display_name': 'Tim', 'link': 'https://stackoverflow.com/users/5284/tim'}",True,2655,,21168027.0,4,10,1664802827,1253211836,,1440525,CC BY-SA 2.5,https://stackoverflow.com/questions/1440525/idea-live-template-to-log-method-args,Idea Live Template to Log Method Args,,,,,
12,"['java', 'data-structures']","{'account_id': 56649, 'reputation': 991, 'user_id': 169723, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/128cb14f59b8e6577b274d1ccc1085a3?s=256&d=identicon&r=PG', 'display_name': 'Peter Lee', 'link': 'https://stackoverflow.com/users/169723/peter-lee'}",True,49775,,,9,70,1664052225,1252382858,1252385077.0,1391918,CC BY-SA 2.5,https://stackoverflow.com/questions/1391918/does-java-have-a-linkedconcurrenthashmap-data-structure,Does java have a &quot;LinkedConcurrentHashMap&quot; data structure?,,,,,
13,"['java', 'mapping', 'dto']","{'account_id': 46097, 'reputation': 3596, 'user_id': 136106, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/FRUp3.png?s=256&g=1', 'display_name': 'ravinikam', 'link': 'https://stackoverflow.com/users/136106/ravinikam'}",True,176863,,1432773.0,9,244,1663697921,1253105439,1498331573.0,1432764,,https://stackoverflow.com/questions/1432764/any-tool-for-java-object-to-object-mapping,any tool for java object to object mapping?,1352900358.0,not constructive,,,
14,"['java', 'regex']","{'account_id': 445, 'reputation': 112786, 'user_id': 572, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/Ct4o3.jpg?s=256&g=1', 'display_name': 'Thomas Owens', 'link': 'https://stackoverflow.com/users/572/thomas-owens'}",True,72791,,1379236.0,7,48,1663137032,1252070233,1495541339.0,1379191,CC BY-SA 3.0,https://stackoverflow.com/questions/1379191/why-does-this-java-regex-cause-illegal-escape-character-errors,Why does this Java regex cause &quot;illegal escape character&quot; errors?,,,,,
15,"['java', 'datetime']","{'account_id': 9111, 'reputation': 19453, 'user_id': 16686, 'user_type': 'registered', 'accept_rate': 35, 'profile_image': 'https://www.gravatar.com/avatar/c938e635f9e3b38b23fd735b6a45ef56?s=256&d=identicon&r=PG', 'display_name': 'Arne Evertsson', 'link': 'https://stackoverflow.com/users/16686/arne-evertsson'}",True,345815,,1439792.0,33,230,1662813140,1253203376,1592516844.0,1439779,CC BY-SA 4.0,https://stackoverflow.com/questions/1439779/how-to-compare-two-dates-without-the-time-portion,How to compare two Dates without the time portion?,,,,,
16,"['java', 'eclipse', 'jar', 'manifest']","{'user_type': 'does_not_exist', 'display_name': 'ajib'}",True,85301,,,10,17,1661272549,1252668474,1314225945.0,1410355,CC BY-SA 3.0,https://stackoverflow.com/questions/1410355/automatically-creating-manifest-file-with-eclipse-for-jar-files,Automatically Creating Manifest File with Eclipse for JAR Files,,,,,
17,"['java', 'hibernate']","{'account_id': 58106, 'reputation': 1713, 'user_id': 174005, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/31ed8d1702b442b883c855da3aeb2ff5?s=256&d=identicon&r=PG', 'display_name': 'Altug', 'link': 'https://stackoverflow.com/users/174005/altug'}",True,3684,,1430077.0,3,3,1661019983,1253055573,,1430067,CC BY-SA 2.5,https://stackoverflow.com/questions/1430067/a-tool-for-converting-database-tables-to-entity-java-classes-for-hibernate,A tool for converting database tables to entity java classes for hibernate,,,,,
18,"['java', 'facebook', 'rest', 'junit', 'httpclient']","{'account_id': 878349, 'reputation': 687, 'user_id': 144173, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/80808dab54ec15e186403ac5c03c154f?s=256&d=identicon&r=PG', 'display_name': 'mw_javaguy', 'link': 'https://stackoverflow.com/users/144173/mw-javaguy'}",False,16997,,,2,1,1661014970,1252649070,1347274110.0,1409220,CC BY-SA 3.0,https://stackoverflow.com/questions/1409220/facebook-getting-incorrect-signature-104-when-getting-session-key,Facebook: Getting Incorrect Signature (104) when Getting Session Key,,,,,
