,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,accepted_answer_id,content_license,protected_date,migrated_from
0,"['java', 'html', 'selenium-webdriver', 'webdriverwait', 'constraint-validation-api']","{'account_id': 9828809, 'reputation': 21, 'user_id': 11064150, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/464746f84a61b77b0d77c434aea1157c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Victor', 'link': 'https://stackoverflow.com/users/11064150/victor'}",True,678,1669212600.0,1,2,1669212861,1553285502,1669212772.0,55307160,https://stackoverflow.com/questions/55307160/how-to-validate-html5-constraint-validation-message-using-selenium-webdriver-and,Duplicate,How to validate html5 constraint validation message using Selenium-Webdriver and Java,,,,
1,"['java', 'intellij-idea']","{'account_id': 3785624, 'reputation': 7504, 'user_id': 3143670, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/aBy5w.jpg?s=256&g=1', 'display_name': 'Neeraj Jain', 'link': 'https://stackoverflow.com/users/3143670/neeraj-jain'}",True,3355,,5,8,1669029385,1553854909,1553856006.0,55415252,https://stackoverflow.com/questions/55415252/compilation-error-duplicate-class-with-mapstruct-in-intellij-idea-2019-1,,Compilation error: duplicate class with MapStruct in IntelliJ IDEA 2019.1,70923774.0,CC BY-SA 4.0,,
2,"['java', 'macos', 'gradle', 'intellij-idea', 'lombok']","{'account_id': 15162396, 'reputation': 113, 'user_id': 10941025, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/167b47dc43f548a32971a27b3f401260?s=256&d=identicon&r=PG&f=1', 'display_name': 'babylonian', 'link': 'https://stackoverflow.com/users/10941025/babylonian'}",False,119,,0,3,1669009047,1553700104,,55380788,https://stackoverflow.com/questions/55380788/lombok-installer-popup-prevents-me-from-running-build,,Lombok installer popup prevents me from running build,,CC BY-SA 4.0,,
3,"['java', 'spring', 'eclipse', 'maven']","{'account_id': 7500075, 'reputation': 965, 'user_id': 5698825, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/cacca43d703d28a63d908a89b11bbfa4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Daniel Haughton', 'link': 'https://stackoverflow.com/users/5698825/daniel-haughton'}",True,874,,3,0,1668928949,1553178721,,55282805,https://stackoverflow.com/questions/55282805/spring-maven-build-invalid-entry-size-expected-2-but-got-1-bytes,,Spring maven build: invalid entry size (expected 2 but got 1 bytes),,CC BY-SA 4.0,,
4,"['java', 'android', 'android-recyclerview', 'item-decoration']","{'account_id': 15080879, 'reputation': 83, 'user_id': 10888882, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-JSaSpvEjvg4/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcbSAvZ6L9SybH3I6acEBj_JXoHXrw/mo/photo.jpg?sz=256', 'display_name': 'Mr.patel', 'link': 'https://stackoverflow.com/users/10888882/mr-patel'}",True,3140,,4,0,1668928496,1552105324,1668928496.0,55073954,https://stackoverflow.com/questions/55073954/add-thickness-to-recycler-view-item-decoration-lines,,Add thickness to recycler view item decoration lines,,CC BY-SA 4.0,,
5,"['java', 'visual-studio-code']","{'account_id': 10853619, 'reputation': 874, 'user_id': 7980673, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d11d28f353bf389057aad578db3d52c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Quinten Scheppermans', 'link': 'https://stackoverflow.com/users/7980673/quinten-scheppermans'}",True,1679,,2,4,1668820030,1551432860,,54941743,https://stackoverflow.com/questions/54941743/visual-studio-code-doesnt-give-java-import-suggestions-with-language-support-fo,,Visual Studio Code doesn&#39;t give java import suggestions with Language support for java plugin,54943978.0,CC BY-SA 4.0,,
6,"['java', 'jar', 'manifest', 'instrumentation']","{'account_id': 6712423, 'reputation': 310, 'user_id': 5604048, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/lmKKb.jpg?s=256&g=1', 'display_name': 'octopus', 'link': 'https://stackoverflow.com/users/5604048/octopus'}",True,6626,,1,2,1668706652,1553079224,1553091978.0,55259056,https://stackoverflow.com/questions/55259056/failed-to-find-premain-class-manifest-attribute-from-a-jar-file,,Failed to find Premain-Class manifest attribute from a jar file,55259245.0,CC BY-SA 4.0,,
7,"['java', 'arrays', 'json', 'parsing', 'primitive-types']","{'account_id': 8670945, 'reputation': 132, 'user_id': 6489903, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/f2e15e4c9e4089b6b0255d2eec82ea31?s=256&d=identicon&r=PG&f=1', 'display_name': 'ofitz', 'link': 'https://stackoverflow.com/users/6489903/ofitz'}",False,1993,,2,-1,1668659940,1552556034,1552557640.0,55159086,https://stackoverflow.com/questions/55159086/get-the-data-type-of-json-element-in-java,,Get the data type of JSON element in Java,,CC BY-SA 4.0,,
8,"['java', 'java-stream']","{'account_id': 11279049, 'reputation': 125, 'user_id': 8272184, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f4964af2f28927f52483a094e27a1bac?s=256&d=identicon&r=PG&f=1', 'display_name': 'griips21', 'link': 'https://stackoverflow.com/users/8272184/griips21'}",True,420,,4,-2,1668606236,1551387606,1551477102.0,54934176,https://stackoverflow.com/questions/54934176/flatmapping-a-2d-array-by-column-rather-than-row-in-java,,Flatmapping a 2D array by column rather than row in Java,54934371.0,CC BY-SA 4.0,1668588315.0,
9,"['java', 'date', 'datetime', 'time', 'zoneddatetime']","{'account_id': 8370632, 'reputation': 708, 'user_id': 6285880, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/d07822f083f2d1608a9cec54c1f97383?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gianmarco F.', 'link': 'https://stackoverflow.com/users/6285880/gianmarco-f'}",True,3015,1553768357.0,3,2,1668299781,1553767756,1668299781.0,55394931,https://stackoverflow.com/questions/55394931/java-time-format-datetimeparseexception-unable-to-obtain-zoneddatetime-from-tem,Duplicate,java.time.format.DateTimeParseException: Unable to obtain ZonedDateTime from TemporalAccessor in format ddMMyyyyhhmmss,55395084.0,,,
