,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,community_owned_date,closed_date,closed_reason,locked_date
0,"['java', 'mocking', 'mockito']","{'account_id': 23171, 'reputation': 14113, 'user_id': 57847, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/f2c9624bde8ce8209edc8736d8e24cde?s=256&d=identicon&r=PG', 'display_name': 'Priyank', 'link': 'https://stackoverflow.com/users/57847/priyank'}",True,247762,12,322,1669121465,1247832057,1388069879.0,1142837,CC BY-SA 3.0,https://stackoverflow.com/questions/1142837/verify-object-attribute-value-with-mockito,Verify object attribute value with mockito,,,,,,
1,"['java', 'arrays']","{'account_id': 9045, 'reputation': 32844, 'user_id': 16534, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/JnmCP.jpg?s=256&g=1', 'display_name': 'Mike Sickler', 'link': 'https://stackoverflow.com/users/16534/mike-sickler'}",True,2517238,30,2613,1669082449,1247616201,1546679166.0,1128723,CC BY-SA 4.0,https://stackoverflow.com/questions/1128723/how-do-i-determine-whether-an-array-contains-a-particular-value-in-java,How do I determine whether an array contains a particular value in Java?,1433930944.0,1128728.0,,,,
2,"['java', 'c++', 'javadoc']","{'account_id': 37494, 'reputation': 8258, 'user_id': 107183, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ebb259c31968b457a3725ac5d53fe968?s=256&d=identicon&r=PG', 'display_name': 'DHamrick', 'link': 'https://stackoverflow.com/users/107183/dhamrick'}",True,44043,6,60,1669074781,1247798693,1299545273.0,1141228,CC BY-SA 2.5,https://stackoverflow.com/questions/1141228/javadoc-like-documentation-for-c,Javadoc-like Documentation for C++,,1141909.0,,,,
3,"['java', 'arrays']","{'account_id': 17991, 'reputation': 25783, 'user_id': 40842, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/p89Vc.png?s=256&g=1', 'display_name': 'bestattendance', 'link': 'https://stackoverflow.com/users/40842/bestattendance'}",True,5434250,30,2451,1668609251,1248877347,1574355492.0,1200621,CC BY-SA 4.0,https://stackoverflow.com/questions/1200621/how-do-i-declare-and-initialize-an-array-in-java,How do I declare and initialize an array in Java?,1375953809.0,1200646.0,,,,
4,"['java', 'string', 'junit', 'assert']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,261950,12,235,1668413308,1246971734,1246972099.0,1092219,CC BY-SA 2.5,https://stackoverflow.com/questions/1092219/assertcontains-on-strings-in-junit,AssertContains on strings in jUnit,,1092241.0,,,,
5,"['java', 'command-line', 'javap']","{'account_id': 28750, 'reputation': 13454, 'user_id': 77087, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/ebef5d4de7f904f18b1ce576518359d8?s=256&d=identicon&r=PG', 'display_name': 'Prabhu R', 'link': 'https://stackoverflow.com/users/77087/prabhu-r'}",True,21891,5,21,1668393595,1248354038,,1171549,CC BY-SA 2.5,https://stackoverflow.com/questions/1171549/how-do-i-print-the-class-structures-in-a-jar-file-using-the-javap-tool,How do I print the class structures in a jar file using the javap tool?,,1171675.0,,,,
6,"['java', 'maven-2', 'javadoc', 'package']","{'account_id': 20942, 'reputation': 1172, 'user_id': 50498, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/451eebb72d35042265365a33bd237fb4?s=256&d=identicon&r=PG', 'display_name': 'StevenC', 'link': 'https://stackoverflow.com/users/50498/stevenc'}",True,5464,1,11,1667583963,1247757693,1247758201.0,1138390,CC BY-SA 2.5,https://stackoverflow.com/questions/1138390/javadoc-for-package-info-java-only,javadoc for package-info.java only,,1141707.0,,,,
7,"['java', 'intellij-idea', 'build', 'jar']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,817752,23,639,1667477377,1246727135,1667477377.0,1082580,CC BY-SA 4.0,https://stackoverflow.com/questions/1082580/how-to-build-jars-from-intellij-properly,How to build JARs from IntelliJ properly?,1534439346.0,4901370.0,1265374056.0,,,
8,"['java', 'macos', 'swing']","{'account_id': 17546, 'reputation': 15333, 'user_id': 39371, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/f6d198c90875a1c5ae754c6cf2dc1545?s=256&d=identicon&r=PG', 'display_name': 'Stephane Grenier', 'link': 'https://stackoverflow.com/users/39371/stephane-grenier'}",True,125018,5,35,1667306148,1246391844,,1065691,CC BY-SA 2.5,https://stackoverflow.com/questions/1065691/how-to-set-the-background-color-of-a-jbutton-on-the-mac-os,How to Set the Background Color of a JButton on the Mac OS,,1066016.0,,,,
9,"['java', 'security', 'https']","{'account_id': 49317, 'reputation': 4971, 'user_id': 146781, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/cfa36455a6c668934acdae7d4e2d8842?s=256&d=identicon&r=PG', 'display_name': 'Midnight Blue', 'link': 'https://stackoverflow.com/users/146781/midnight-blue'}",True,133671,3,67,1667210329,1248880778,1317095026.0,1201048,CC BY-SA 3.0,https://stackoverflow.com/questions/1201048/allowing-java-to-use-an-untrusted-certificate-for-ssl-https-connection,Allowing Java to use an untrusted certificate for SSL/HTTPS connection,,1201102.0,,,,
