,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,locked_date
0,['java'],"{'account_id': 15326969, 'reputation': 21, 'user_id': 11057834, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-SNgNhmcpEOs/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQOdGFQzgIVbQh8fWveyV0svJLXaZQ/mo/photo.jpg?sz=256', 'display_name': 'Rinkle seth', 'link': 'https://stackoverflow.com/users/11057834/rinkle-seth'}",True,12025,4,2,1669132562,1550077904,1550078136.0,54675873,CC BY-SA 4.0,https://stackoverflow.com/questions/54675873/error-incompatible-types-boolean-cannot-be-converted-to-liststring,error: incompatible types: boolean cannot be converted to List&lt;String&gt;,,,,,
1,"['java', 'android', 'facebook']","{'account_id': 15411461, 'reputation': 197, 'user_id': 11118069, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c22d1bfaa3fe61f8c1b4ea1fd5f66ed?s=256&d=identicon&r=PG&f=1', 'display_name': 'hd92', 'link': 'https://stackoverflow.com/users/11118069/hd92'}",True,27361,1,18,1669065096,1551169685,1551170060.0,54881205,CC BY-SA 4.0,https://stackoverflow.com/questions/54881205/login-failed-you-cant-use-facebook-to-log-into-this-app,Login Failed you cant use facebook to log into this app,1669065120.0,,,,
2,"['java', 'json', 'jackson', 'escaping']","{'account_id': 6371020, 'reputation': 353, 'user_id': 4943412, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://graph.facebook.com/1696070383954279/picture?type=large', 'display_name': 'Mohan Krishnan', 'link': 'https://stackoverflow.com/users/4943412/mohan-krishnan'}",False,751,1,0,1668873378,1549036024,1668871997.0,54482774,CC BY-SA 4.0,https://stackoverflow.com/questions/54482774/how-to-escape-double-quotes-in-a-json-in-java-dynamically,How to escape double quotes in a JSON in Java dynamically,,,,,
3,"['java', 'maven', 'visual-studio-code', 'slf4j']","{'account_id': 8538748, 'reputation': 433, 'user_id': 6399544, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/3PGab.jpg?s=256&g=1', 'display_name': 'Cesar', 'link': 'https://stackoverflow.com/users/6399544/cesar'}",False,406,0,2,1668805908,1549027579,1668805908.0,54480503,CC BY-SA 4.0,https://stackoverflow.com/questions/54480503/java-slf4j-class-path-contains-multiple-slf4j-bindings-on-debug,JAVA SLF4J: Class path contains multiple SLF4J bindings on debug,,,,,
4,"['java', 'oop', 'inheritance', 'abstract-class']","{'user_type': 'does_not_exist', 'display_name': 'user9432743'}",True,55,3,1,1668699041,1550254711,1575699682.0,54714988,CC BY-SA 4.0,https://stackoverflow.com/questions/54714988/accessing-abstract-class-method,Accessing abstract class method,,,,,
5,"['java', 'spring', 'spring-boot', 'openshift']","{'account_id': 475032, 'reputation': 3313, 'user_id': 885119, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/af585f191d8f7d015e031e01cd3a4b95?s=256&d=identicon&r=PG', 'display_name': 'Vikk', 'link': 'https://stackoverflow.com/users/885119/vikk'}",True,8614,6,14,1668483319,1550555495,1550737853.0,54759652,CC BY-SA 4.0,https://stackoverflow.com/questions/54759652/spring-boot-cold-start,Spring boot cold start,,,,,
6,"['java', 'arraylist', 'hashmap']","{'account_id': 12941972, 'reputation': 1302, 'user_id': 9357484, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/x0wQp.png?s=256&g=1', 'display_name': 'Encipher', 'link': 'https://stackoverflow.com/users/9357484/encipher'}",True,3400,4,3,1668136856,1550096992,1550134447.0,54680443,CC BY-SA 4.0,https://stackoverflow.com/questions/54680443/anagrams-finding-in-java,Anagrams finding in java,,54680715.0,,,
7,"['java', 'spring', 'maven', 'spring-boot', 'pom.xml']","{'account_id': 401234, 'reputation': 3253, 'user_id': 767676, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/njYjc.jpg?s=256&g=1', 'display_name': 'Acapulco', 'link': 'https://stackoverflow.com/users/767676/acapulco'}",True,102276,4,63,1668074293,1548960294,1642394613.0,54467287,CC BY-SA 4.0,https://stackoverflow.com/questions/54467287/how-to-specify-java-version-in-spring-spring-boot-pom-xml,How to specify Java version in Spring/Spring Boot pom.xml?,,54468127.0,,,
8,"['java', 'automation', 'appium']","{'account_id': 12218669, 'reputation': 2336, 'user_id': 8918302, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-FGW9oXTjKBE/AAAAAAAAAAI/AAAAAAAAAHM/u5ig741yBH8/photo.jpg?sz=256', 'display_name': 'Suban Dhyako', 'link': 'https://stackoverflow.com/users/8918302/suban-dhyako'}",True,18179,4,7,1667900301,1549963984,,54646837,CC BY-SA 4.0,https://stackoverflow.com/questions/54646837/could-not-proxy-command-to-remote-server-original-error-error-read-econnreset,Could not proxy command to remote server. Original error: Error: read ECONNRESET,,54647046.0,,,
9,"['java', 'daml']","{'account_id': 15332875, 'reputation': 15, 'user_id': 11062109, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-hRu-tiDBsEs/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQNYsl64HArKEy4IXkcezyRmrLq7vA/mo/photo.jpg?sz=256', 'display_name': 'Gaspar', 'link': 'https://stackoverflow.com/users/11062109/gaspar'}",True,157,1,1,1667787584,1550148719,,54690867,CC BY-SA 4.0,https://stackoverflow.com/questions/54690867/invalidprotocolbufferexception-trying-to-get-main-module-package-id,InvalidProtocolBufferException trying to get main module package id,,54692343.0,,,
