,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
0,"['java', 'oop', 'interface', 'abstract-class']","{'user_type': 'does_not_exist', 'display_name': 'keyur'}",True,206648,1492761807.0,15,293,1668664348,1251095200,1456781104.0,1320745,CC BY-SA 3.0,https://stackoverflow.com/questions/1320745/abstract-class-in-java,Abstract class in Java,,,,,,
1,"['java', 'jar', 'jar-signing']","{'account_id': 32399, 'reputation': 48647, 'user_id': 89904, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/4fef65cead13e5d519f6bce3c501a537?s=256&d=identicon&r=PG', 'display_name': 'Hamza Yerlikaya', 'link': 'https://stackoverflow.com/users/89904/hamza-yerlikaya'}",True,20233,,7,12,1668634708,1250573598,1606480839.0,1291978,CC BY-SA 4.0,https://stackoverflow.com/questions/1291978/unsigning-a-signed-jar,Unsigning a signed jar,,,,,,
2,"['java', 'integer']","{'account_id': 53549, 'reputation': 5544, 'user_id': 160116, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/4bd143897382f57b3f426f0f165e4fdb?s=256&d=identicon&r=PG', 'display_name': 'fnst', 'link': 'https://stackoverflow.com/users/160116/fnst'}",True,679832,1446370356.0,29,458,1667902026,1250779915,1605197319.0,1306727,CC BY-SA 4.0,https://stackoverflow.com/questions/1306727/way-to-get-number-of-digits-in-an-int,Way to get number of digits in an int?,1306799.0,,,,,
3,"['java', 'jvm', 'javac']","{'account_id': 27644, 'reputation': 8250, 'user_id': 73148, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/a422796b41dd348def68fbd6b8edb5c4?s=256&d=identicon&r=PG', 'display_name': 'Rahul Garg', 'link': 'https://stackoverflow.com/users/73148/rahul-garg'}",True,107010,1452950775.0,10,244,1667834631,1249281699,1462117536.0,1220914,CC BY-SA 3.0,https://stackoverflow.com/questions/1220914/in-which-language-are-the-java-compiler-and-jvm-written,In which language are the Java compiler and JVM written?,1220931.0,,,,,
4,"['java', 'filesystems', 'case-sensitive', 'system-properties']","{'account_id': 4400, 'reputation': 37462, 'user_id': 6583, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/f758b3311bad48256cad485352104576?s=256&d=identicon&r=PG', 'display_name': 'Epaga', 'link': 'https://stackoverflow.com/users/6583/epaga'}",True,5848,,6,16,1667743489,1250517534,,1288102,CC BY-SA 2.5,https://stackoverflow.com/questions/1288102/how-do-i-detect-whether-the-file-system-is-case-sensitive,How do I detect whether the file system is case-sensitive?,1288178.0,,,,,
5,"['java', 'dns', 'gslb']","{'account_id': 50238, 'reputation': 73606, 'user_id': 149808, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/6c86720e9a178abc0b6f169ae67151fd?s=256&d=identicon&r=PG', 'display_name': 'ZZ Coder', 'link': 'https://stackoverflow.com/users/149808/zz-coder'}",True,126186,,7,114,1667457049,1249930187,1545074564.0,1256556,CC BY-SA 4.0,https://stackoverflow.com/questions/1256556/how-to-make-java-honor-the-dns-caching-timeout,How to make Java honor the DNS Caching Timeout?,,,,,,
6,"['java', 'python']","{'account_id': 52948, 'reputation': 519, 'user_id': 158310, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/130f3e9304936eb982461e361e15a24b?s=256&d=identicon&r=PG', 'display_name': 'kush87', 'link': 'https://stackoverflow.com/users/158310/kush87'}",True,6415,,3,6,1667037034,1251266352,1581802210.0,1332598,CC BY-SA 4.0,https://stackoverflow.com/questions/1332598/how-to-determine-whether-java-is-installed-on-a-system-through-python,How to determine whether java is installed on a system through python?,1332697.0,,,,,
7,"['java', 'eclipse', 'ide']","{'account_id': 32879, 'reputation': 685, 'user_id': 91544, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/92b34a0b91ef3406f4c426b1515e3b13?s=256&d=identicon&r=PG', 'display_name': 'Roy Marco Aruta', 'link': 'https://stackoverflow.com/users/91544/roy-marco-aruta'}",True,24633,,7,14,1666892234,1249141048,1249142695.0,1216840,CC BY-SA 2.5,https://stackoverflow.com/questions/1216840/why-is-the-eclipse-ide-getting-slower,Why is the Eclipse IDE getting slower?,1216853.0,,,,,
8,"['java', 'android', 'reverse-engineering', 'decompiler', 'dex']","{'account_id': 8670, 'reputation': 72657, 'user_id': 15721, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/4f5c51f41af7b385236610802a5e50b2?s=256&d=identicon&r=PG', 'display_name': 'Will', 'link': 'https://stackoverflow.com/users/15721/will'}",True,628728,1368388878.0,17,760,1666806307,1249767585,1666806307.0,1249973,CC BY-SA 4.0,https://stackoverflow.com/questions/1249973/how-to-decompile-dex-into-java-source-code,How to decompile DEX into Java source code?,4177581.0,,,,,
9,"['java', 'bytearray', 'inputstream']","{'account_id': 47576, 'reputation': 12347, 'user_id': 140962, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/ttvCS.jpg?s=256&g=1', 'display_name': 'JGC', 'link': 'https://stackoverflow.com/users/140962/jgc'}",True,1140740,1485901984.0,34,970,1666783378,1250062042,1410343749.0,1264709,CC BY-SA 3.0,https://stackoverflow.com/questions/1264709/convert-inputstream-to-byte-array-in-java,Convert InputStream to byte array in Java,1264756.0,,,,,
