,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['java', 'android', 'google-tv']","{'account_id': 1587730, 'reputation': 243, 'user_id': 1471705, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/d44d62f2609070088cd0e613efe72803?s=256&d=identicon&r=PG', 'display_name': 'Muhammad Tahir Ashraf', 'link': 'https://stackoverflow.com/users/1471705/muhammad-tahir-ashraf'}",True,603,1669282570.0,11207005.0,1,3,1669282095,1340273510,1340273929.0,11135972,CC BY-SA 3.0,https://stackoverflow.com/questions/11135972/google-tv-addon-android-emulator-low-space-notification,Google TV Addon Android Emulator Low Space Notification,,,
1,"['java', 'spring', 'maven', 'spring-ws', 'maven-shade-plugin']","{'account_id': 438909, 'reputation': 22593, 'user_id': 827480, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/15e7a6e4a98126f1d11435ba77112214?s=256&d=identicon&r=PG', 'display_name': 'Eric B.', 'link': 'https://stackoverflow.com/users/827480/eric-b'}",True,40876,,11160606.0,7,32,1669132341,1340383262,1340383740.0,11160534,CC BY-SA 3.0,https://stackoverflow.com/questions/11160534/how-to-create-spring-based-executable-jar-with-maven,How to create spring-based executable jar with maven?,,,
2,"['java', 'file', 'collections', 'memory-leaks', 'filewriter']","{'account_id': 1546895, 'reputation': 955, 'user_id': 1440250, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/80412c16211a91fb0d61362fd2f670cd?s=256&d=identicon&r=PG', 'display_name': 'flyleaf', 'link': 'https://stackoverflow.com/users/1440250/flyleaf'}",False,8201,,,3,0,1668992620,1339882143,,11067162,CC BY-SA 3.0,https://stackoverflow.com/questions/11067162/how-to-write-or-append-string-in-loop-in-a-file-in-java,How to write or append string in loop in a file in java?,,,
3,"['java', 'date']","{'account_id': 485524, 'reputation': 4360, 'user_id': 1277859, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/d0ba6483b52efcc8319e0fd04128e13d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/1277859/joe'}",True,204755,,11097520.0,5,36,1668929661,1340094654,1461583449.0,11097256,CC BY-SA 3.0,https://stackoverflow.com/questions/11097256/how-to-convert-mon-jun-18-000000-ist-2012-to-18-06-2012,How to convert &quot;Mon Jun 18 00:00:00 IST 2012&quot; to 18/06/2012?,,,
4,['java'],"{'account_id': 192292, 'reputation': 7586, 'user_id': 433348, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/51f12ff3cf4d02ac04d1f56f0c363134?s=256&d=identicon&r=PG', 'display_name': 'Kevin Welker', 'link': 'https://stackoverflow.com/users/433348/kevin-welker'}",True,5604,,11247849.0,1,33,1668787240,1340896865,1668787240.0,11247793,CC BY-SA 4.0,https://stackoverflow.com/questions/11247793/why-do-some-folks-use-classmethod-instead-of-class-method-in-correspondence,Why do some folks use Class#method instead of Class.method in correspondence?,,,
5,['java'],"{'account_id': 966751, 'reputation': 5104, 'user_id': 990069, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/vul9z.jpg?s=256&g=1', 'display_name': 'Birdman', 'link': 'https://stackoverflow.com/users/990069/birdman'}",True,273050,,11005310.0,8,222,1668722628,1339537232,1340557039.0,11005286,CC BY-SA 3.0,https://stackoverflow.com/questions/11005286/check-if-null-boolean-is-true-results-in-exception,Check if null Boolean is true results in exception,,,
6,"['java', 'jpa', 'eclipselink']","{'account_id': 991364, 'reputation': 2575, 'user_id': 1008572, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/2546a87d9eb9ce02de5bf6a62ec7893c?s=256&d=identicon&r=PG', 'display_name': 'Rox', 'link': 'https://stackoverflow.com/users/1008572/rox'}",True,99938,,11048784.0,5,52,1668591512,1339753099,,11048177,CC BY-SA 3.0,https://stackoverflow.com/questions/11048177/entitymanager-flush-vs-entitymanager-gettransaction-commit-what-should-i-p,Entitymanager.flush() VS EntityManager.getTransaction().commit - What should I prefer?,,,
7,"['java', 'security', 'rsa']","{'account_id': 363150, 'reputation': 17563, 'user_id': 706727, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/62b57726dde0fa4568fa73b135680bd5?s=256&d=identicon&r=PG', 'display_name': 'Usman Ismail', 'link': 'https://stackoverflow.com/users/706727/usman-ismail'}",True,47262,,10902896.0,6,42,1668529038,1338911778,1338913084.0,10900643,CC BY-SA 3.0,https://stackoverflow.com/questions/10900643/how-can-i-construct-a-java-security-publickey-object-from-a-base64-encoded-strin,How can I construct a java.security.PublicKey object from a base64 encoded string?,,,
8,"['java', 'jvm', 'system-properties']","{'account_id': 37614, 'reputation': 27510, 'user_id': 107591, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/7f07885cd1bf5945d1a104bc1d44ae11?s=256&d=identicon&r=PG', 'display_name': 'RobV', 'link': 'https://stackoverflow.com/users/107591/robv'}",True,12472,,10957939.0,3,24,1668434169,1339194011,1339195085.0,10956676,CC BY-SA 3.0,https://stackoverflow.com/questions/10956676/if-i-specify-a-system-property-multiple-times-when-invoking-jvm-which-value-is-u,If I specify a System property multiple times when invoking JVM which value is used?,,,
9,"['java', 'sql', 'jpa', 'eclipselink']","{'account_id': 991364, 'reputation': 2575, 'user_id': 1008572, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/2546a87d9eb9ce02de5bf6a62ec7893c?s=256&d=identicon&r=PG', 'display_name': 'Rox', 'link': 'https://stackoverflow.com/users/1008572/rox'}",True,23141,,11034480.0,4,14,1668341681,1339681073,,11034322,CC BY-SA 3.0,https://stackoverflow.com/questions/11034322/how-do-i-find-a-value-in-a-column-that-just-have-unique-values-with-eclipselink,How do I find a value in a column that just have unique values with EclipseLink?,,,
10,"['java', 'multithreading', 'listener']","{'account_id': 1170165, 'reputation': 22745, 'user_id': 1147529, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/8c7dd2ab0a20f3c13ae01234441ca4f3?s=256&d=identicon&r=PG', 'display_name': 'Paulius Matulionis', 'link': 'https://stackoverflow.com/users/1147529/paulius-matulionis'}",True,654037,,10961760.0,9,311,1668339784,1339251306,1444971546.0,10961714,CC BY-SA 3.0,https://stackoverflow.com/questions/10961714/how-to-properly-stop-the-thread-in-java,How to properly stop the Thread in Java?,,,
11,"['java', 'selenium', 'screenshot', 'testng']","{'account_id': 1584933, 'reputation': 121, 'user_id': 1469519, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/5dd8a4c3533b0f2a231a14919ce57c3d?s=256&d=identicon&r=PG', 'display_name': 'Vlad', 'link': 'https://stackoverflow.com/users/1469519/vlad'}",False,13881,,,8,7,1668178855,1340204025,1495540947.0,11122261,CC BY-SA 3.0,https://stackoverflow.com/questions/11122261/attaching-screenshots-to-testng-failed-methods-results,Attaching screenshots to TestNG Failed methods results,,,
12,"['java', 'if-statement', 'switch-statement']","{'account_id': 991008, 'reputation': 3338, 'user_id': 1008340, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/9c32984a245a0b503db85cd6e4bdf548?s=256&d=identicon&r=PG', 'display_name': 'davidx1', 'link': 'https://stackoverflow.com/users/1008340/davidx1'}",True,221951,,67570709.0,20,106,1668026970,1338754274,1565953200.0,10873590,CC BY-SA 4.0,https://stackoverflow.com/questions/10873590/using-switch-statement-with-a-range-of-value-in-each-case,Using switch statement with a range of value in each case?,,,
