,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
0,"['java', 'javafx']","{'account_id': 16472927, 'reputation': 809, 'user_id': 11901563, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3ce80cf82e578e68346d05844aeef2c4?s=256&d=identicon&r=PG', 'display_name': 'Andy', 'link': 'https://stackoverflow.com/users/11901563/andy'}",False,738,1,2,1669211107,1572235451,58585654,CC BY-SA 4.0,https://stackoverflow.com/questions/58585654/how-to-sort-node-in-the-vbox-in-javafx-i-have-a-duplicate-children-added-exce,How to sort node in the VBox in JavaFX? I Have a &quot;duplicate children added&quot; Exception,,,,,,
1,"['xml', 'xml-parsing', 'java', 'xxe']","{'account_id': 13532622, 'reputation': 464, 'user_id': 9762633, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Abhishek Singh', 'link': 'https://stackoverflow.com/users/9762633/abhishek-singh'}",True,25491,8,15,1669197483,1571046861,58374278,CC BY-SA 4.0,https://stackoverflow.com/questions/58374278/org-xml-sax-saxnotrecognizedexception-property-http-javax-xml-xmlconstants-p,org.xml.sax.SAXNotRecognizedException: Property &#39;http://javax.xml.XMLConstants/property/accessExternalDTD&#39; is not recognized,58522022.0,,,,,
2,"['java', 'hibernate', 'hibernate-search']","{'account_id': 1578628, 'reputation': 1715, 'user_id': 1464495, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/pPWDw.jpg?s=256&g=1', 'display_name': 'brandones', 'link': 'https://stackoverflow.com/users/1464495/brandones'}",True,611,1,0,1669125455,1571182237,58403820,CC BY-SA 4.0,https://stackoverflow.com/questions/58403820/choosing-an-analyzer-at-runtime-in-hibernate-search,Choosing an analyzer at runtime in Hibernate Search,58415931.0,1571235085.0,,,,
3,"['java', 'dom', 'sax']","{'account_id': 14396250, 'reputation': 342, 'user_id': 10399467, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/jBrh9.jpg?s=256&g=1', 'display_name': 'qingmu', 'link': 'https://stackoverflow.com/users/10399467/qingmu'}",True,1135,1,0,1669084026,1571583702,58474256,CC BY-SA 4.0,https://stackoverflow.com/questions/58474256/what-is-the-cause-of-the-premature-end-of-file-org-xml-sax-saxparseexceptio,"What is the cause of the &quot;Premature end of file, org. xml. sax. SAXParseException&quot; exception?",58479220.0,1669084026.0,,,,
4,"['java', 'android', 'webview']","{'account_id': 7500334, 'reputation': 629, 'user_id': 5698994, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/745159005628707/picture?type=large', 'display_name': 'Muhammad Arslan', 'link': 'https://stackoverflow.com/users/5698994/muhammad-arslan'}",True,2150,1,0,1668959287,1570715170,58324468,CC BY-SA 4.0,https://stackoverflow.com/questions/58324468/webview-in-android-studio-with-error-webpage-could-not-be-loaded-because-net,webview in Android Studio with error &quot;&quot;webpage could not be loaded because net:: ERR_ACCESS_DENIED&quot;&quot;,,1574668262.0,,,,
5,"['java', 'debugging', 'intellij-idea', 'windows-subsystem-for-linux', 'wsl-2']","{'account_id': 2541237, 'reputation': 837, 'user_id': 2279924, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/b01fe82617d675c3f2f74ed42f5bfc43?s=256&d=identicon&r=PG', 'display_name': 'Patrick', 'link': 'https://stackoverflow.com/users/2279924/patrick'}",False,11114,2,12,1668938866,1571319785,58434120,CC BY-SA 4.0,https://stackoverflow.com/questions/58434120/run-and-debug-java-in-wsl-2-with-intellij-idea-on-windows-10,Run and Debug Java in WSL 2 with Intellij IDEA on Windows 10,,1579718661.0,,,,
6,"['java', 'spring-boot', 'apache-kafka']","{'account_id': 11335558, 'reputation': 31, 'user_id': 8311544, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2caa2f1e80ee9edad16dad737d33b7a6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deepa Khanna', 'link': 'https://stackoverflow.com/users/8311544/deepa-khanna'}",False,10949,2,3,1668927835,1570183325,58234179,CC BY-SA 4.0,https://stackoverflow.com/questions/58234179/error-creating-bean-with-name-kafkalistenercontainerfactory,Error creating bean with name &#39;kafkaListenerContainerFactory,,1570198784.0,,,,
7,"['java', 'android', 'security', 'screenshot']","{'account_id': 2725644, 'reputation': 4575, 'user_id': 2350799, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/CaaDE.png?s=256&g=1', 'display_name': 'xcesco', 'link': 'https://stackoverflow.com/users/2350799/xcesco'}",True,1518,1,5,1668921101,1571844688,58526382,CC BY-SA 4.0,https://stackoverflow.com/questions/58526382/customize-android-app-preview-when-it-is-in-background-with-secure-flag,Customize android app preview when it is in background with secure flag,69944652.0,1668921101.0,,,,
8,"['java', 'spring-boot', 'gradle', 'logback']","{'account_id': 5745825, 'reputation': 10137, 'user_id': 4537090, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/Dwxvn.jpg?s=256&g=1', 'display_name': 'WesternGun', 'link': 'https://stackoverflow.com/users/4537090/westerngun'}",True,4368,3,0,1668889115,1570392358,58260835,CC BY-SA 4.0,https://stackoverflow.com/questions/58260835/spring-boot-gradle-logback-bootrun-fails-with-failed-to-instantiate-ch-qos-lo,Spring Boot/Gradle/Logback: bootRun fails with &quot;Failed to instantiate [ch.qos.logback.classic.LoggerContext]&quot;: java.lang.AbstractMethodError:,58260836.0,,,,,
9,"['java', 'gradle', 'dependencies', 'build.gradle']","{'account_id': 10139154, 'reputation': 6137, 'user_id': 7489488, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/d045abb9b1a093eef729729702d11cea?s=256&d=identicon&r=PG&f=1', 'display_name': 'p4t', 'link': 'https://stackoverflow.com/users/7489488/p4t'}",True,2131,1,2,1668753557,1570508873,58280194,CC BY-SA 4.0,https://stackoverflow.com/questions/58280194/cant-import-jar-file-dependency-using-gradle-and-intellij,Can&#39;t import jar file dependency using Gradle and Intellij,58281059.0,1668753557.0,,,,
