,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['java', 'selenium', 'getattribute', 'constraint-validation-api']","{'account_id': 2437205, 'reputation': 311, 'user_id': 2126805, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/zK2w5.jpg?s=256&g=1', 'display_name': 'Arjun', 'link': 'https://stackoverflow.com/users/2126805/arjun'}",False,422,3,0,1669213740,1561015793,1669213740.0,56681079,CC BY-SA 4.0,https://stackoverflow.com/questions/56681079/how-to-get-the-email-text-entered-into-a-field-when-there-is-no-value-attribut,How to get the Email/Text entered into a field when there is no &quot;value&quot; attribute or text in the code snippet for Java Selenium,,,,,
1,"['java', 'selenium', 'automated-tests', 'cucumber', 'autotest']","{'account_id': 15115102, 'reputation': 13, 'user_id': 10907781, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-o4N1caP2J9A/AAAAAAAAAAI/AAAAAAAAHkg/se6tntU1O-4/photo.jpg?sz=256', 'display_name': 'Mark 100F', 'link': 'https://stackoverflow.com/users/10907781/mark-100f'}",False,10550,3,0,1668970860,1561445033,1561538546.0,56748209,CC BY-SA 4.0,https://stackoverflow.com/questions/56748209/cucumberexception-failed-to-instantiate-class-stepdefinitions-when-run-tests,CucumberException: Failed to instantiate class stepDefinitions When run tests,,,,,
2,"['java', 'selenium']","{'account_id': 11305234, 'reputation': 117, 'user_id': 8290055, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d1fe0829bf19a6a155c10f7b295c59de?s=256&d=identicon&r=PG&f=1', 'display_name': 'pityo10000', 'link': 'https://stackoverflow.com/users/8290055/pityo10000'}",True,1624,1,1,1668822979,1560353024,1668822979.0,56565642,CC BY-SA 4.0,https://stackoverflow.com/questions/56565642/how-can-i-check-if-a-web-element-exists-in-selenium,How can I check if a web element exists in Selenium?,56566964.0,,,,
3,"['java', 'gson']","{'account_id': 6258945, 'reputation': 715, 'user_id': 4866692, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://graph.facebook.com/485252421623466/picture?type=large', 'display_name': 'bw_dev', 'link': 'https://stackoverflow.com/users/4866692/bw-dev'}",False,106,2,1,1668793030,1560693751,1560695056.0,56619541,CC BY-SA 4.0,https://stackoverflow.com/questions/56619541/is-there-any-way-to-find-circular-references,Is there any way to find circular references?,,,,,
4,"['java', 'kotlin', 'model', 'realm', 'data-class']","{'account_id': 8044424, 'reputation': 1459, 'user_id': 6065032, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/a986538d45d245a747ed5a53ff95bb32?s=256&d=identicon&r=PG&f=1', 'display_name': 'B.shruti', 'link': 'https://stackoverflow.com/users/6065032/b-shruti'}",True,5408,3,5,1668689528,1560579983,1560585286.0,56607925,CC BY-SA 4.0,https://stackoverflow.com/questions/56607925/kotlin-data-class-v-s-open-class,Kotlin Data class v/s open class?,56608309.0,,,,
5,"['java', 'hibernate', 'spring-boot', 'spring-data-jpa', 'modelmapper']","{'account_id': 3796499, 'reputation': 5466, 'user_id': 3151415, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/2cHKh.jpg?s=256&g=1', 'display_name': 'garg10may', 'link': 'https://stackoverflow.com/users/3151415/garg10may'}",False,5978,3,0,1668667678,1560409392,1560415045.0,56575008,CC BY-SA 4.0,https://stackoverflow.com/questions/56575008/how-to-map-onetomany-using-modelmapper,How to map oneToMany using ModelMapper,,,,,
6,"['java', 'eclipse', 'javafx']","{'user_type': 'does_not_exist', 'display_name': 'user10559318'}",True,52196,3,4,1668211919,1560716309,1560717219.0,56622327,CC BY-SA 4.0,https://stackoverflow.com/questions/56622327/error-could-not-find-or-load-main-class-application-main-javafx,Error: Could not find or load main class application.Main JAVAFX,,,,,
7,"['java', 'spring', 'jpa']","{'account_id': 12965353, 'reputation': 45, 'user_id': 9373093, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/MZrg7.jpg?s=256&g=1', 'display_name': 'Azhar Uddin Azad', 'link': 'https://stackoverflow.com/users/9373093/azhar-uddin-azad'}",True,2226,1,2,1668170812,1560078855,1560079282.0,56514122,CC BY-SA 4.0,https://stackoverflow.com/questions/56514122/how-to-use-arrays-aslist-method-to-return-a-list-of-objects,How to use Arrays.asList() method to return a list of objects?,59373739.0,,,,
8,"['java', 'sql', 'jdbc', 'h2']","{'account_id': 3274297, 'reputation': 1043, 'user_id': 2756820, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/wihJp.jpg?s=256&g=1', 'display_name': 'Ram', 'link': 'https://stackoverflow.com/users/2756820/ram'}",True,13883,4,4,1668104532,1561525725,1561526048.0,56765568,CC BY-SA 4.0,https://stackoverflow.com/questions/56765568/how-to-fix-cannot-parse-date-constant-issue-in-h2-database,How to fix Cannot parse &quot;DATE&quot; constant issue in H2 Database?,56765647.0,,,,
9,"['java', 'java-11', 'javaagents']","{'account_id': 7656771, 'reputation': 760, 'user_id': 5874459, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/rbO0P.jpg?s=256&g=1', 'display_name': 'Vivek Shankar', 'link': 'https://stackoverflow.com/users/5874459/vivek-shankar'}",True,13133,4,10,1668095479,1561626980,1561643501.0,56787777,CC BY-SA 4.0,https://stackoverflow.com/questions/56787777/virtualmachine-attachpid-fails-with-java-io-ioexception-can-not-attach-to-cur,VirtualMachine.attach(pid) fails with java.io.IOException: Can not attach to current VM,59574298.0,,,,
