,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,protected_date
0,"['css', 'reactjs', 'material-ui', 'accordion', 'modern-ui']","{'account_id': 22881557, 'reputation': 51, 'user_id': 17023076, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxF4wL4AdHo3zuqGwn3V-PmveOIZ4dMp586lpM=k-s256', 'display_name': 'Aishwarya ', 'link': 'https://stackoverflow.com/users/17023076/aishwarya'}",True,13881,4,5,1669081642,1632819931,1632821074.0,69358781,CC BY-SA 4.0,https://stackoverflow.com/questions/69358781/material-ui-expand-accordion-by-clicking-the-icon-only,Material-UI: Expand Accordion by clicking the icon only,,,,
1,"['html', 'css', 'web']","{'account_id': 19194353, 'reputation': 53, 'user_id': 14023413, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghh2aaM4Gu9AhsrY8YHe7QuAr2iuEV1ZG70VSKn=k-s256', 'display_name': 'Ayaz', 'link': 'https://stackoverflow.com/users/14023413/ayaz'}",False,29,0,-3,1668846935,1630477486,1668846935.0,69008733,,https://stackoverflow.com/questions/69008733/navigation-bar-move-ul-items-to-right-side-of-screen,Navigation bar move ul items to Right side of screen,1630492782.0,Not suitable for this site,,
2,"['css', 'position', 'css-position', 'lottie']","{'account_id': 11168546, 'reputation': 1044, 'user_id': 8196358, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/01a798c19a9703b7c87994af48397c69?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alena', 'link': 'https://stackoverflow.com/users/8196358/alena'}",False,728,1,0,1668514575,1632414431,,69303726,CC BY-SA 4.0,https://stackoverflow.com/questions/69303726/lottie-animation-with-parrallax-effect-on-page-scroll,Lottie animation with parrallax effect on page scroll,,,,
3,"['css', 'webkit', 'puppeteer', 'chromium', 'gamut']","{'account_id': 11771885, 'reputation': 21, 'user_id': 8614693, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-S4CS7Y5ZMAM/AAAAAAAAAAI/AAAAAAAAAEA/_AzjiuyKutM/photo.jpg?sz=256', 'display_name': 'iCosic', 'link': 'https://stackoverflow.com/users/8614693/icosic'}",False,168,1,1,1668495722,1631118653,,69106732,CC BY-SA 4.0,https://stackoverflow.com/questions/69106732/headless-chromium-support-for-wide-gamut-colours-in-css,Headless Chromium support for wide-gamut colours in css,,,,
4,"['html', 'css', 'flexbox', 'shopify-template', 'flexboxgrid']","{'account_id': 22299152, 'reputation': 1, 'user_id': 16524658, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/FERyH.png?s=256&g=1', 'display_name': 'George Lugo', 'link': 'https://stackoverflow.com/users/16524658/george-lugo'}",False,450,4,0,1668484113,1632795199,1632795724.0,69355033,CC BY-SA 4.0,https://stackoverflow.com/questions/69355033/i-am-trying-to-display-3-columns-in-1-row,I am trying to display 3 columns in 1 row,,,,
5,"['javascript', 'html', 'css', 'svg', 'icons']","{'account_id': 4135051, 'reputation': 490, 'user_id': 3391887, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b21e35efbd9b0e1c0c185d9771a42bc4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeremias Nater', 'link': 'https://stackoverflow.com/users/3391887/jeremias-nater'}",True,1297,1,1,1668436395,1631267640,,69130461,CC BY-SA 4.0,https://stackoverflow.com/questions/69130461/most-practical-way-of-loading-svg-icons-into-a-html-page-without-repetition-s,Most practical way of loading svg icons into a html page without repetition? / Should i use &lt;use href&gt;?,,,,
6,"['css', 'razor', 'blazor']","{'account_id': 22432453, 'reputation': 27, 'user_id': 16638123, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/da8dd8dd43ecd672d7fea07ed29d9574?s=256&d=identicon&r=PG&f=1', 'display_name': 'IntrepidShape', 'link': 'https://stackoverflow.com/users/16638123/intrepidshape'}",True,836,2,0,1668411007,1630906274,1630925533.0,69069507,CC BY-SA 4.0,https://stackoverflow.com/questions/69069507/blazor-cannot-find-or-is-ignoring-scoped-css,Blazor cannot find or is ignoring scoped CSS,,,69070014.0,
7,"['css', 'sass', 'next.js', 'frontend', 'tailwind-css']","{'account_id': 16753038, 'reputation': 245, 'user_id': 12109726, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/b0eGM.png?s=256&g=1', 'display_name': 'agoumi', 'link': 'https://stackoverflow.com/users/12109726/agoumi'}",True,3889,5,6,1668364023,1632136207,1636724759.0,69253420,CC BY-SA 4.0,https://stackoverflow.com/questions/69253420/text-stroke-webkit-text-stroke-css-problem,Text Stroke (-webkit-text-stroke) css Problem,,,69937834.0,
8,"['html', 'css', 'forms', 'validation', 'smooth-scrolling']","{'account_id': 22627726, 'reputation': 91, 'user_id': 16805588, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgrAsG9n-25Ryrz_RDwNMxgLO8VBJ-vCG5opYrI=k-s256', 'display_name': 'Darren Greer', 'link': 'https://stackoverflow.com/users/16805588/darren-greer'}",False,1186,1,9,1668325785,1630505453,1630508557.0,69015407,CC BY-SA 4.0,https://stackoverflow.com/questions/69015407/html5-form-validation-message-doesnt-show-when-scroll-behaviour-is-set-to-smoo,HTML5 Form validation message doesn&#39;t show when scroll-behaviour is set to &#39;smooth&#39; on html tag in Chrome,,,,
9,"['javascript', 'css', 'menu', 'href', 'nav']","{'account_id': 17959163, 'reputation': 3, 'user_id': 13050512, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-dzOb612PCro/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nDfryxbZ_vepEFICYdBTMi3OiqgUA/photo.jpg?sz=256', 'display_name': 'vicky sharma', 'link': 'https://stackoverflow.com/users/13050512/vicky-sharma'}",False,191,1,0,1667742396,1632397380,1632404483.0,69299348,CC BY-SA 4.0,https://stackoverflow.com/questions/69299348/href-not-working-when-i-add-data-toggle-dropdown,href not working when i add data-toggle=&quot;dropdown&quot;,,,,
10,"['html', 'css', 'visual-studio-code', 'vscode-settings', 'shortcut']","{'account_id': 21126369, 'reputation': 1, 'user_id': 15531585, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LbhX8.png?s=256&g=1', 'display_name': 'JNemune', 'link': 'https://stackoverflow.com/users/15531585/jnemune'}",False,3507,2,0,1667469937,1632383963,1632394509.0,69296105,CC BY-SA 4.0,https://stackoverflow.com/questions/69296105/shortcut-commenting-on-internal-css-in-vscode,Shortcut commenting on internal CSS in VSCode,,,,
