,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,accepted_answer_id,content_license,migrated_from,protected_date
0,"['css', 'flexbox']","{'account_id': 6509886, 'reputation': 58940, 'user_id': 5037551, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/BYnIO.jpg?s=256&g=1', 'display_name': 'Dekel', 'link': 'https://stackoverflow.com/users/5037551/dekel'}",True,2329,1588979941.0,1,4,1669199863,1588978485,1669199863.0,61689404,https://stackoverflow.com/questions/61689404/css-100-height-flex-inside-table-cell,Duplicate,css 100% height flex inside table cell,,,,
1,"['css', 'reactjs', 'react-native', 'flexbox']","{'account_id': 9483664, 'reputation': 87, 'user_id': 7050681, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8972b259bba9cb3afa9d26dfe8c4c8e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'JamesTheHunt', 'link': 'https://stackoverflow.com/users/7050681/jamesthehunt'}",True,5378,,5,4,1669143826,1588620846,1588627692.0,61600137,https://stackoverflow.com/questions/61600137/react-native-align-self-flex-end-not-working-as-expected,,React Native Align Self Flex End not working as expected,61600366.0,CC BY-SA 4.0,,
2,"['html', 'css']","{'account_id': 18498955, 'reputation': 484, 'user_id': 13476728, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-KtPNr9iMoGg/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMWgzgnKyo_XCt-JA3t-nxYXW19_w/photo.jpg?sz=256', 'display_name': 'James Lee', 'link': 'https://stackoverflow.com/users/13476728/james-lee'}",True,52326,,12,12,1669111153,1590815348,,62098093,https://stackoverflow.com/questions/62098093/scroll-behaviour-smooth-not-working-at-all,,scroll behaviour smooth not working at all,67124806.0,CC BY-SA 4.0,,
3,"['javascript', 'css']","{'account_id': 17916241, 'reputation': 13, 'user_id': 13017116, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhdD0luq4xJVdk2wYoINFW74SCTs4S1u5sVdb0gAg=k-s256', 'display_name': 'Umut PAMUK', 'link': 'https://stackoverflow.com/users/13017116/umut-pamuk'}",False,76,,1,0,1669036717,1590734924,1669036717.0,62080212,https://stackoverflow.com/questions/62080212/how-to-turn-collapse-on-and-off-with-javascript,,How to turn collapse on and off with javascript,,CC BY-SA 4.0,,
4,"['html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'anon'}",True,389,,2,1,1668944264,1589528064,1668944264.0,61814058,https://stackoverflow.com/questions/61814058/box-shadow-inset-fill-leaving-unfilled-edges,,Box-shadow Inset fill leaving unfilled edges?,61814338.0,CC BY-SA 4.0,,
5,"['javascript', 'css', 'web-component', 'shadow-dom', 'lit-element']","{'account_id': 210546, 'reputation': 1066, 'user_id': 462210, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7bb7a63203f764eb00a5953137298390?s=256&d=identicon&r=PG', 'display_name': 'Isochronous', 'link': 'https://stackoverflow.com/users/462210/isochronous'}",True,1926,,2,0,1668790055,1588281389,1588342187.0,61532839,https://stackoverflow.com/questions/61532839/host-context-not-working-as-expected-in-lit-element-web-component,,:host-context not working as expected in Lit-Element web component,61545226.0,CC BY-SA 4.0,,
6,"['html', 'css']","{'account_id': 13443311, 'reputation': 799, 'user_id': 9699953, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3d8f2f272840d7479e70cc3cc5bf2938?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sxribe', 'link': 'https://stackoverflow.com/users/9699953/sxribe'}",False,396,,1,1,1668701799,1589830064,,61877492,https://stackoverflow.com/questions/61877492/overflow-y-scroll-is-cutting-of-background-color,,overflow-y: scroll is cutting of background color,,CC BY-SA 4.0,,
7,"['jquery', 'css', 'css-animations']","{'account_id': 15071602, 'reputation': 5, 'user_id': 10876883, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/0IwD4.png?s=256&g=1', 'display_name': 'mazaka', 'link': 'https://stackoverflow.com/users/10876883/mazaka'}",True,213,,2,0,1668518296,1590479763,1590479873.0,62017185,https://stackoverflow.com/questions/62017185/delete-the-class-after-running-the-animation,,Delete the class after running the animation,62017539.0,CC BY-SA 4.0,,
8,"['html', 'css', 'tailwind-css']","{'account_id': 6829715, 'reputation': 1920, 'user_id': 5254224, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://lh4.googleusercontent.com/-oOkdF0Z_r48/AAAAAAAAAAI/AAAAAAAAAK4/U1wsJOhA9rM/photo.jpg?sz=256', 'display_name': 'ahinkle', 'link': 'https://stackoverflow.com/users/5254224/ahinkle'}",True,12710,,3,4,1668001480,1590633227,,62056034,https://stackoverflow.com/questions/62056034/tailwind-css-navigation-hover-dropdown-with-padding,,Tailwind CSS Navigation Hover Dropdown with Padding,67806417.0,CC BY-SA 4.0,,
9,"['javascript', 'html', 'jquery', 'css', 'slick.js']","{'account_id': 18563206, 'reputation': 83, 'user_id': 13526768, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-gc1wZZC9QdA/AAAAAAAAAAI/AAAAAAAABcs/AMZuucl32pS6KPOWqJffjGWVQnY0GEfU6g/photo.jpg?sz=256', 'display_name': 'Santos1600', 'link': 'https://stackoverflow.com/users/13526768/santos1600'}",True,4252,,1,2,1667853591,1590158133,1667853591.0,61957408,https://stackoverflow.com/questions/61957408/slick-slider-not-loading-properly-on-a-hidden-div,,Slick Slider not loading properly on a hidden div,61960542.0,CC BY-SA 4.0,,
