,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,migrated_from
0,"['javascript', 'html', 'css']","{'account_id': 30799, 'reputation': 144835, 'user_id': 84201, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5cce99e9bf6154703d8ecdf474a750bd?s=256&d=identicon&r=PG', 'display_name': 'Jitendra Vyas', 'link': 'https://stackoverflow.com/users/84201/jitendra-vyas'}",True,30373,1384185696.0,11455779.0,6,50,1669205898,1342108164,1530433254.0,11455667,https://stackoverflow.com/questions/11455667/are-there-any-offline-html-css-javascript-editors-like-jsfiddle-jsbin-codepen,Not suitable for this site,"Are there any offline HTML CSS JavaScript editors like JSFiddle, jsbin, codepen etc.?",,,
1,"['css', 'firefox', 'border', 'sprite']","{'account_id': 1237523, 'reputation': 418, 'user_id': 1200815, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/enKxH.jpg?s=256&g=1', 'display_name': 'jiraya85', 'link': 'https://stackoverflow.com/users/1200815/jiraya85'}",True,472,,11503364.0,1,1,1669136312,1342437994,1669136312.0,11503287,https://stackoverflow.com/questions/11503287/unwanted-css-sprite-border-in-firefox,,unwanted CSS sprite border in FireFox,CC BY-SA 4.0,,
2,"['css', 'margin']","{'account_id': 371568, 'reputation': 17869, 'user_id': 720164, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/654c5b015c1aa595fe534b2f217590cb?s=256&d=identicon&r=PG', 'display_name': 'Jonathan Allard', 'link': 'https://stackoverflow.com/users/720164/jonathan-allard'}",True,436,,11594581.0,4,3,1669035690,1342592215,1669035690.0,11535320,https://stackoverflow.com/questions/11535320/uncollapsing-margins-between-in-flow-siblings,,Uncollapsing margins between in-flow siblings,CC BY-SA 4.0,,
3,['css'],"{'account_id': 109010, 'reputation': 1355, 'user_id': 289068, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/7dc191872f1414253a14bd92f92908a2?s=256&d=identicon&r=PG&f=1', 'display_name': 'naveed', 'link': 'https://stackoverflow.com/users/289068/naveed'}",True,48754,,11477928.0,2,14,1668955340,1342211015,1668955188.0,11477854,https://stackoverflow.com/questions/11477854/show-truncated-text-normally-but-show-full-text-on-hover,,"Show truncated text normally, but show full text on hover",CC BY-SA 4.0,,
4,"['css', 'pseudo-element']","{'account_id': 1618282, 'reputation': 349, 'user_id': 1495388, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/xmzP4.jpg?s=256&g=1', 'display_name': 'swati16', 'link': 'https://stackoverflow.com/users/1495388/swati16'}",True,11214,,63455470.0,4,9,1666630264,1343572939,1343576810.0,11710103,https://stackoverflow.com/questions/11710103/how-to-apply-css-to-the-first-letter-after-before-content,,How to apply CSS to the first letter after :before content?,CC BY-SA 3.0,,
5,['css'],"{'account_id': 480291, 'reputation': 20592, 'user_id': 893432, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/3d431328ab8f16f82ad332394b44ea67?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/893432/ali'}",True,262637,,11600702.0,9,284,1666288268,1342963844,1403790942.0,11600687,https://stackoverflow.com/questions/11600687/hover-and-active-only-when-not-disabled,,Hover and Active only when not disabled,CC BY-SA 3.0,,
6,"['html', 'css', 'scroll', 'overflow', 'margin']","{'account_id': 430615, 'reputation': 5112, 'user_id': 814160, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/baa101e6bc6c6803752fd72cc5f0063d?s=256&d=identicon&r=PG', 'display_name': 'Sean the Bean', 'link': 'https://stackoverflow.com/users/814160/sean-the-bean'}",True,27835,,28682628.0,3,52,1665199163,1343421639,1424710869.0,11695354,https://stackoverflow.com/questions/11695354/css-right-margin-does-not-work-inside-a-div-with-overflow-scroll,,CSS Right Margin Does Not Work Inside a Div With Overflow Scroll,CC BY-SA 3.0,,
7,"['html', 'css', 'vertical-alignment']","{'account_id': 1433432, 'reputation': 4787, 'user_id': 1355300, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/f5d8e06a28aa454e585fee26bf16dcc2?s=256&d=identicon&r=PG', 'display_name': 'user1355300', 'link': 'https://stackoverflow.com/users/1355300/user1355300'}",True,139964,,17103249.0,3,92,1665147680,1343638336,1665147680.0,11718134,https://stackoverflow.com/questions/11718134/why-doesnt-vertical-align-work-properly-when-using-float-in-css,,Why doesn&#39;t vertical-align work properly when using float in CSS?,CC BY-SA 4.0,,
8,"['javascript', 'css', 'css-transitions']","{'account_id': 1649643, 'reputation': 101, 'user_id': 1520481, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/031824eb71b17e0ce643eaaf3741dac7?s=256&d=identicon&r=PG', 'display_name': 'user1520481', 'link': 'https://stackoverflow.com/users/1520481/user1520481'}",True,16014,,,4,10,1665127777,1342091416,1639856868.0,11450552,https://stackoverflow.com/questions/11450552/how-to-set-and-trigger-an-css-transition-from-javascript,,How to set and trigger an css transition from JavaScript,CC BY-SA 4.0,,
9,"['css', 'media-queries']","{'account_id': 971010, 'reputation': 13806, 'user_id': 993588, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/9fa28f6df1de1e29c12bf648947879de?s=256&d=identicon&r=PG', 'display_name': 'Fraser', 'link': 'https://stackoverflow.com/users/993588/fraser'}",True,593949,,11404776.0,5,580,1664830894,1341877021,1475805553.0,11404744,https://stackoverflow.com/questions/11404744/css-media-queries-max-width-or-max-height,,CSS media queries: max-width OR max-height,CC BY-SA 3.0,1668787484.0,
