,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['html', 'css', 'toggle', 'navbar']","{'account_id': 20510496, 'reputation': 1, 'user_id': 15052389, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-KsDRsu4udn4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckn_OH81bXvnyTdP8sxcuqjNiR92w/s96-c/photo.jpg?sz=256', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/15052389/paul'}",False,152,1,0,1669046320,1612207789,1669046320.0,65998956,CC BY-SA 4.0,https://stackoverflow.com/questions/65998956/how-to-align-navbar-item-to-the-right-side-also-in-the-data-toggle-when-minimiz,How to align navbar item to the right side (also in the data-toggle when minimizing)?,,,,,
1,"['css', 'webpack', 'sass', 'postcss']","{'account_id': 19968062, 'reputation': 21, 'user_id': 14634185, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f354b5272b7e5b977e706067d730dc7?s=256&d=identicon&r=PG&f=1', 'display_name': 'NolWag', 'link': 'https://stackoverflow.com/users/14634185/nolwag'}",True,394,2,0,1668622668,1614185230,,66355240,CC BY-SA 4.0,https://stackoverflow.com/questions/66355240/postcss-wont-complie-scss-due-to-indentation,PostCSS won&#39;t complie SCSS due to indentation?,,,,,
2,"['javascript', 'css', 'blazor']","{'account_id': 219060, 'reputation': 23542, 'user_id': 475727, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/014426d2ac16e019b76c9a9048df1e5d?s=256&d=identicon&r=PG', 'display_name': 'Liero', 'link': 'https://stackoverflow.com/users/475727/liero'}",True,2857,2,1,1668182072,1614267116,,66371563,CC BY-SA 4.0,https://stackoverflow.com/questions/66371563/how-to-dynamically-generate-css-rules-in-blazor,How to dynamically generate CSS rules in Blazor,,,,,
3,"['python', 'css', 'selenium', 'css-selectors']","{'account_id': 19617804, 'reputation': 704, 'user_id': 14358886, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-2bJFs9Drf7U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQC4HOiulQtifPNkLCfCqp2w2_Yg/photo.jpg?sz=256', 'display_name': 'Void S', 'link': 'https://stackoverflow.com/users/14358886/void-s'}",True,700,3,0,1668103388,1613343373,1668103388.0,66200913,CC BY-SA 4.0,https://stackoverflow.com/questions/66200913/get-multiple-elements-by-tag-with-python-and-selenium,Get multiple elements by tag with Python and Selenium,66201155.0,,,,
4,"['javascript', 'css', 'scroll', 'navbar', 'offset']","{'account_id': 19444949, 'reputation': 90, 'user_id': 14222695, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gir-jndydqswoSlhQjYNt55ur0-0PP8UghpTw5axw=k-s256', 'display_name': 'Josh', 'link': 'https://stackoverflow.com/users/14222695/josh'}",True,399,2,2,1667479320,1612448212,,66047445,CC BY-SA 4.0,https://stackoverflow.com/questions/66047445/how-to-modify-this-navbar-to-hide-on-scroll-down-only-after-100px,How to modify this navbar to hide on scroll down only after 100px?,66047698.0,,,,
5,"['css', 'tailwind-css']","{'account_id': 20470764, 'reputation': 51, 'user_id': 15021260, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79453f76adf31f6b4a664773b61fef14?s=256&d=identicon&r=PG&f=1', 'display_name': 'partseven', 'link': 'https://stackoverflow.com/users/15021260/partseven'}",True,818,2,0,1666841422,1614333796,1666827551.0,66383707,CC BY-SA 4.0,https://stackoverflow.com/questions/66383707/how-to-style-color-in-tailwind,How to style color in Tailwind?,66383983.0,,,,
6,"['html', 'css', 'bootstrap-5']","{'account_id': 19030219, 'reputation': 865, 'user_id': 13892487, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3H3a4.jpg?s=256&g=1', 'display_name': 'Midhun Raj', 'link': 'https://stackoverflow.com/users/13892487/midhun-raj'}",True,17826,4,4,1666824532,1613328841,1613350354.0,66198931,CC BY-SA 4.0,https://stackoverflow.com/questions/66198931/how-to-strictly-justify-text-in-bootstrap-5,How to strictly justify text in bootstrap 5,74215031.0,,,,
7,"['html', 'css', 'bootstrap-4']","{'account_id': 20325116, 'reputation': 3, 'user_id': 14908782, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/25fbb10546dca2c4117cfa33c659b085?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mike Garbanzo', 'link': 'https://stackoverflow.com/users/14908782/mike-garbanzo'}",True,541,4,0,1666800608,1612655048,,66083146,CC BY-SA 4.0,https://stackoverflow.com/questions/66083146/bootstrap-4-button-color-changing-on-hover,Bootstrap 4 button color changing on hover,,,,,
8,"['css', 'lwc']","{'account_id': 13751483, 'reputation': 1, 'user_id': 10877458, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-BtZ8T3fcugs/AAAAAAAAAAI/AAAAAAAAAN8/NMKRkxTt8-U/photo.jpg?sz=256', 'display_name': 'Karumuri Sai Srinivas', 'link': 'https://stackoverflow.com/users/10877458/karumuri-sai-srinivas'}",False,927,1,0,1666766612,1612358852,1612453455.0,66028520,CC BY-SA 4.0,https://stackoverflow.com/questions/66028520/carousel-lwc-component-only-width-needs-to-increase,carousel lwc component only width needs to increase,,,,,
9,"['javascript', 'html', 'css', 'dom', 'm-files-api']","{'account_id': 13981405, 'reputation': 11, 'user_id': 10097456, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b99613dae43942e306222410af20b5e?s=256&d=identicon&r=PG&f=1', 'display_name': 'V. Kovar', 'link': 'https://stackoverflow.com/users/10097456/v-kovar'}",True,37,2,0,1666701522,1612448365,,66047482,CC BY-SA 4.0,https://stackoverflow.com/questions/66047482/m-files-plugin-dom-style-changes-not-reflect-by-page,M-Files plugin: DOM style changes not reflect by page,,,,,
