,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['javascript', 'html', 'jquery', 'css', 'responsive-design']","{'account_id': 9166347, 'reputation': 59, 'user_id': 6815773, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-56QhF49j7dA/AAAAAAAAAAI/AAAAAAAACgA/14Ruir5mKJs/photo.jpg?sz=256', 'display_name': 'Ammar Yassir', 'link': 'https://stackoverflow.com/users/6815773/ammar-yassir'}",True,61,64409265.0,1,1,1669158113,1602987810,1602990143.0,64409129,CC BY-SA 4.0,https://stackoverflow.com/questions/64409129/menu-button-in-navigation-bar-not-accessible-after-scrolling-down,Menu button in navigation bar not accessible after scrolling down,,,
1,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 19604612, 'reputation': 21, 'user_id': 14348603, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GigjsJMkuxgXyJeF_E9RWJ7-quTKMBtru0_PIa5vg=k-s256', 'display_name': 'Andrew T', 'link': 'https://stackoverflow.com/users/14348603/andrew-t'}",False,304,,1,-1,1669046614,1602807843,1669046614.0,64381339,CC BY-SA 4.0,https://stackoverflow.com/questions/64381339/collapse-an-element-with-position-absolute,Collapse an Element with Position: Absolute,,,
2,"['html', 'css', 'bootstrap-4', 'hamburger-menu']","{'account_id': 17290792, 'reputation': 11, 'user_id': 12522390, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-sB42HfuoTTk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcZQeOOYXJNakKUZzU_IuIk7GhTBQ/photo.jpg?sz=256', 'display_name': 'webdev99', 'link': 'https://stackoverflow.com/users/12522390/webdev99'}",False,654,,1,1,1669046601,1603902842,1669046601.0,64577294,CC BY-SA 4.0,https://stackoverflow.com/questions/64577294/how-can-i-stop-my-bootstrap-hamburger-icon-and-collapsible-menu-from-jumping-whe,How can I stop my bootstrap hamburger icon and collapsible menu from jumping when clicked?,,,
3,"['javascript', 'html', 'css', 'vaadin', 'lit-element']","{'account_id': 19126845, 'reputation': 366, 'user_id': 13969650, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23d8fab8845323c4f0563d7a043a72ee?s=256&d=identicon&r=PG', 'display_name': 'AmAn KumAr', 'link': 'https://stackoverflow.com/users/13969650/aman-kumar'}",True,1216,64502897.0,2,1,1669022763,1603465770,1603897136.0,64502642,CC BY-SA 4.0,https://stackoverflow.com/questions/64502642/how-to-access-an-element-deep-inside-shadow-root,How to access an element deep inside shadow-root,,,
4,"['css', 'tailwind-css', 'alpine.js']","{'account_id': 1595018, 'reputation': 7599, 'user_id': 1477407, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/mKuN0.jpg?s=256&g=1', 'display_name': 'Andy Holmes', 'link': 'https://stackoverflow.com/users/1477407/andy-holmes'}",True,3871,64553799.0,2,8,1668873155,1603728722,,64540908,CC BY-SA 4.0,https://stackoverflow.com/questions/64540908/tailwind-css-alpine-js-transition-out-issue,Tailwind CSS &amp; Alpine JS transition out issue,,,
5,"['css', 'reactjs']","{'account_id': 17661897, 'reputation': 175, 'user_id': 12820187, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-AiPxs0iKKlQ/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdAPDm4h_o5NR0bhJEO0jojsPDtow/photo.jpg?sz=256', 'display_name': 'Pushpendra Yadav', 'link': 'https://stackoverflow.com/users/12820187/pushpendra-yadav'}",False,479,,1,-1,1668675865,1602587944,,64334230,,https://stackoverflow.com/questions/64334230/react-show-more-show-less-functionality-display-button-only-when-the-text-con,"React: Show more/ Show less functionality, display button only when the text content is bigger than certain limit",1668678327.0,Not suitable for this site,
6,"['css', 'bulma']","{'account_id': 19740987, 'reputation': 1, 'user_id': 14454369, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4ed8b4c3fcfe8f190d53be91a2a59b4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Langweilig', 'link': 'https://stackoverflow.com/users/14454369/langweilig'}",False,311,,1,0,1668648455,1602749990,1602759932.0,64367539,CC BY-SA 4.0,https://stackoverflow.com/questions/64367539/bulma-select-and-input-next-to-each-other-with-the-same-width,Bulma: Select and Input next to each other with the same width,,,
7,"['html', 'css']","{'account_id': 9709316, 'reputation': 6184, 'user_id': 7201774, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/10f80f0fb0ff980c50ddbed91630ff89?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rich', 'link': 'https://stackoverflow.com/users/7201774/rich'}",True,834,64176485.0,2,2,1668619524,1601662206,1601662768.0,64176382,CC BY-SA 4.0,https://stackoverflow.com/questions/64176382/how-to-make-the-last-row-of-a-table-frozen,How to make the last row of a table frozen?,,,
8,"['css', 'cascade']","{'account_id': 2312185, 'reputation': 43, 'user_id': 2030079, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/61554d52aa668f4ef42a0edd1684f5de?s=256&d=identicon&r=PG', 'display_name': 'Neil Garcia', 'link': 'https://stackoverflow.com/users/2030079/neil-garcia'}",True,82,64178947.0,3,2,1668604148,1601677560,1601695841.0,64178910,CC BY-SA 4.0,https://stackoverflow.com/questions/64178910/make-css-to-not-apply-to-child-tables,Make CSS To Not Apply To Child Tables,,,
9,"['html', 'css']","{'account_id': 19697853, 'reputation': 9, 'user_id': 14421368, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj7qoGqlruxdPhEOX9nBDno4v_eIgd8oNj5mbj4=k-s256', 'display_name': 'dmoro euro', 'link': 'https://stackoverflow.com/users/14421368/dmoro-euro'}",True,235,,3,0,1668552446,1602258336,1602262993.0,64283237,CC BY-SA 4.0,https://stackoverflow.com/questions/64283237/rounded-scrollbar,Rounded scrollbar,,,
