,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_from,closed_date,closed_reason,protected_date
0,"['html', 'css']","{'account_id': 7949830, 'reputation': 2592, 'user_id': 6000966, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-CBWU6IbBTGE/AAAAAAAAAAI/AAAAAAAAABo/ZmVPbtOluXA/photo.jpg?sz=256', 'display_name': 'Stephen Romero', 'link': 'https://stackoverflow.com/users/6000966/stephen-romero'}",True,11991,62517824.0,6,10,1669158491,1559348957,1592839378.0,56402991,CC BY-SA 4.0,https://stackoverflow.com/questions/56402991/how-to-use-css-counter-increment-for-dynamic-page-numbers,How to use CSS counter increment for dynamic page numbers,,,,
1,"['html', 'css']","{'account_id': 128202, 'reputation': 3815, 'user_id': 325868, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/3e28f3fb861ffc63569c2c4927de718c?s=256&d=identicon&r=PG', 'display_name': 'LeO', 'link': 'https://stackoverflow.com/users/325868/leo'}",True,713,56514494.0,6,1,1668679007,1560080938,,56514331,CC BY-SA 4.0,https://stackoverflow.com/questions/56514331/how-to-display-browsers-screen-width,How to display browsers screen width?,,,,
2,"['javascript', 'css', 'reactjs', 'material-ui', 'dom-events']","{'account_id': 13188297, 'reputation': 90, 'user_id': 9525486, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Catalin Leca', 'link': 'https://stackoverflow.com/users/9525486/catalin-leca'}",True,1309,56457415.0,3,1,1668611473,1559665435,1559724126.0,56447828,CC BY-SA 4.0,https://stackoverflow.com/questions/56447828/stop-parent-component-ripple-being-triggered-from-child-component,Stop parent component ripple being triggered from child component,,,,
3,"['html', 'css', 'border']","{'account_id': 10282246, 'reputation': 319, 'user_id': 7586897, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/9f8b7a148f0de5b8eb410e649d5d7e14?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joey Arnanzo', 'link': 'https://stackoverflow.com/users/7586897/joey-arnanzo'}",True,7804,56407368.0,2,6,1668440768,1559394530,,56407055,CC BY-SA 4.0,https://stackoverflow.com/questions/56407055/create-wavy-borders-in-css-for-top-and-bottom-borders,Create wavy borders in CSS for top and bottom borders,,,,
4,"['css', 'forms', 'css-grid']","{'account_id': 42451, 'reputation': 100710, 'user_id': 123671, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/23fc4556be14017796d38579dd4778ab?s=256&d=identicon&r=PG', 'display_name': 'mikemaccana', 'link': 'https://stackoverflow.com/users/123671/mikemaccana'}",True,1813,56549052.0,3,7,1667949955,1560262759,1560286225.0,56545830,CC BY-SA 4.0,https://stackoverflow.com/questions/56545830/how-can-i-make-an-input-element-respect-the-dimensions-of-a-grid-container,How can I make an input element respect the dimensions of a grid container?,,,,
5,"['html', 'css', 'flexbox']","{'account_id': 1489052, 'reputation': 467, 'user_id': 1396625, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/d9657043da5e7074495538808d1c38e6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Barto', 'link': 'https://stackoverflow.com/users/1396625/barto'}",False,7661,,2,0,1667912680,1561365913,1561365941.0,56732889,CC BY-SA 4.0,https://stackoverflow.com/questions/56732889/css-display-elements-in-columns,CSS - display elements in columns,,,,
6,"['css', 'flexbox']","{'account_id': 1180123, 'reputation': 1428, 'user_id': 1155216, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/LzfqE.png?s=256&g=1', 'display_name': 'realPro', 'link': 'https://stackoverflow.com/users/1155216/realpro'}",False,212,,3,0,1667853797,1559851854,1559853077.0,56484471,CC BY-SA 4.0,https://stackoverflow.com/questions/56484471/flex-box-item-position-custom-ordering,Flex box item position custom ordering,,,,
7,"['javascript', 'css', 'reactjs', 'react-native']","{'account_id': 11570111, 'reputation': 1764, 'user_id': 8477139, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-ox5SwCtfow0/AAAAAAAAAAI/AAAAAAAAABI/dxN7vpD-lek/photo.jpg?sz=256', 'display_name': 'Abhigyan Gaurav', 'link': 'https://stackoverflow.com/users/8477139/abhigyan-gaurav'}",True,44742,56575503.0,7,25,1667475736,1560410958,,56575412,CC BY-SA 4.0,https://stackoverflow.com/questions/56575412/how-to-draw-dashed-border-style-in-react-native,How to draw dashed border style in react native,,,,
8,"['javascript', 'css']","{'account_id': 16057637, 'reputation': 93, 'user_id': 11589474, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f00bbdba0b36fdfa963ade676acad35?s=256&d=identicon&r=PG&f=1', 'display_name': 'IanWing', 'link': 'https://stackoverflow.com/users/11589474/ianwing'}",True,1663,56613181.0,2,4,1667275734,1560623672,1560777657.0,56613149,CC BY-SA 4.0,https://stackoverflow.com/questions/56613149/adding-a-style-attribute-without-removing-the-previous-styles,Adding a style attribute without removing the previous styles,,,,
9,"['css', 'vuejs2', 'vuetify.js']","{'account_id': 15944965, 'reputation': 1239, 'user_id': 11505813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/42975613142fbfd6683dfc70caae8bd9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Somethingwhatever', 'link': 'https://stackoverflow.com/users/11505813/somethingwhatever'}",True,15654,56775058.0,6,6,1666081015,1561557614,,56774641,CC BY-SA 4.0,https://stackoverflow.com/questions/56774641/vuetify-v-text-field-minimum-height-limitation,Vuetify v-text field minimum height limitation?,,,,
