,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
0,"['html', 'css', 'sass', 'less', 'tailwind-css']","{'account_id': 14391845, 'reputation': 171, 'user_id': 10518234, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-KSvP-D5NPVA/AAAAAAAAAAI/AAAAAAAAA8Q/kaupOZJMbLQ/photo.jpg?sz=256', 'display_name': 'Hello There', 'link': 'https://stackoverflow.com/users/10518234/hello-there'}",True,2928,71583668.0,4,2,1669085060,1648022320,71583585,CC BY-SA 4.0,https://stackoverflow.com/questions/71583585/how-to-group-clases-in-css-tailwind,How to group clases in CSS - Tailwind,,,
1,"['html', 'css', 'accordion', 'bootstrap-5']","{'account_id': 13936308, 'reputation': 61, 'user_id': 10063225, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-h-ntt67znZ4/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7o6G3xP18Wp9nmzmuTTV9EZ2r5mwA/mo/photo.jpg?sz=256', 'display_name': 'Skiwo55', 'link': 'https://stackoverflow.com/users/10063225/skiwo55'}",True,1239,,1,1,1669043688,1646381589,71348359,CC BY-SA 4.0,https://stackoverflow.com/questions/71348359/multiple-collapse-bootstrap,Multiple Collapse Bootstrap,1669043688.0,,
2,"['javascript', 'html', 'css', 'reactjs', 'input']","{'account_id': 19304669, 'reputation': 11, 'user_id': 14111763, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb2d8d22255c8d4113d1653a33ac24a7?s=256&d=identicon&r=PG&f=1', 'display_name': 'pr0grara', 'link': 'https://stackoverflow.com/users/14111763/pr0grara'}",True,160,71682924.0,3,1,1669042645,1648416042,71640408,CC BY-SA 4.0,https://stackoverflow.com/questions/71640408/trouble-with-input-styling-and-autofill,Trouble with &lt;input&gt; styling and autofill,,,
3,"['css', 'shadow-dom']","{'account_id': 15839158, 'reputation': 143, 'user_id': 11428165, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/--ojqGmQa7VM/AAAAAAAAAAI/AAAAAAAAAKM/Dnoiu0G4-Io/photo.jpg?sz=256', 'display_name': 'Malkom', 'link': 'https://stackoverflow.com/users/11428165/malkom'}",False,274,,1,1,1668999276,1647856468,71555649,CC BY-SA 4.0,https://stackoverflow.com/questions/71555649/css-root-to-host,CSS root to host,1647869666.0,,
4,"['html', 'css', 'tailwind-css', 'auto-generate']","{'account_id': 68231, 'reputation': 1114, 'user_id': 199200, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/BnUu6.jpg?s=256&g=1', 'display_name': 'Schleichermann', 'link': 'https://stackoverflow.com/users/199200/schleichermann'}",False,393,,2,1,1668879454,1647969160,71576243,CC BY-SA 4.0,https://stackoverflow.com/questions/71576243/tailwind-css-styling-dynamically-created-html,Tailwind CSS: Styling Dynamically Created HTML,,,
5,"['html', 'css', 'visual-studio-code']","{'account_id': 24464309, 'reputation': 1, 'user_id': 18384927, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/7162413370466546/picture?type=large', 'display_name': 'Giorgi Abelishvili', 'link': 'https://stackoverflow.com/users/18384927/giorgi-abelishvili'}",False,356,,2,-2,1668842882,1646511181,71365639,CC BY-SA 4.0,https://stackoverflow.com/questions/71365639/why-doesnt-visual-studio-code-class-attribute-work,why doesn&#39;t visual studio code class attribute work?,,,
6,"['html', 'css', 'drop-down-menu']","{'account_id': 5457453, 'reputation': 1692, 'user_id': 4340444, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/a65a3f287e49bf902c69b808ca69a005?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sha', 'link': 'https://stackoverflow.com/users/4340444/sha'}",True,824,,3,0,1668630174,1648556114,71661838,CC BY-SA 4.0,https://stackoverflow.com/questions/71661838/hide-dropdown-menu-on-click-in-css,Hide dropdown menu on click in CSS,,,
7,"['javascript', 'html', 'css', 'media-queries', 'tailwind-css']","{'account_id': 17757982, 'reputation': 1825, 'user_id': 12894626, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/660d1000214eb86afc54558df591ad2a?s=256&d=identicon&r=PG&f=1', 'display_name': 'wongz', 'link': 'https://stackoverflow.com/users/12894626/wongz'}",False,109,,0,0,1668573917,1646425028,71356821,CC BY-SA 4.0,https://stackoverflow.com/questions/71356821/how-do-i-trigger-a-media-query-manually,How do I trigger a media query manually?,,,
8,"['javascript', 'css', 'reactjs', 'material-ui']","{'account_id': 23136282, 'reputation': 43, 'user_id': 17240474, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw7YUuRnWYnPDr8GlqIEkfvPyL4tuex16q-ZwaO=k-s256', 'display_name': 'Prateek Madan', 'link': 'https://stackoverflow.com/users/17240474/prateek-madan'}",False,2311,,2,3,1668568937,1648719221,71690187,CC BY-SA 4.0,https://stackoverflow.com/questions/71690187/how-to-make-material-ui-modal-and-dialog-scrollable,How to make Material UI modal and dialog scrollable?,1648719529.0,,
9,"['javascript', 'css', 'reactjs', 'css-animations', 'react-animations']","{'account_id': 23263404, 'reputation': 388, 'user_id': 17349359, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KZwds.jpg?s=256&g=1', 'display_name': 'Abhishek Kokate', 'link': 'https://stackoverflow.com/users/17349359/abhishek-kokate'}",False,238,,2,0,1668404283,1646132413,71307432,CC BY-SA 4.0,https://stackoverflow.com/questions/71307432/change-scroll-from-vertical-to-horizontal-automatically-when-section-comes-in-vi,change scroll from vertical to horizontal automatically when section comes in view,,,
