,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,community_owned_date
0,"['css', 'background']","{'account_id': 913828, 'reputation': 903, 'user_id': 947093, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/da86dafc9177b7b9459c4c321acd9767?s=256&d=identicon&r=PG', 'display_name': 'francisMi', 'link': 'https://stackoverflow.com/users/947093/francismi'}",True,37640,1415906944.0,10682928.0,3,22,1669391404,1337592929,1337603022.0,10682765,CC BY-SA 3.0,https://stackoverflow.com/questions/10682765/does-css3-offer-a-minimum-size-property-for-background,Does CSS3 offer a &quot;minimum-size&quot; property for &quot;background&quot;?,,,,
1,"['html', 'css']","{'account_id': 392215, 'reputation': 553, 'user_id': 753346, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/4ae2bd8600e831eaa74961a3b1f9dc1c?s=256&d=identicon&r=PG', 'display_name': 'greenpool', 'link': 'https://stackoverflow.com/users/753346/greenpool'}",True,3370,,10773502.0,2,0,1669036629,1338112831,1669036629.0,10773098,CC BY-SA 4.0,https://stackoverflow.com/questions/10773098/webpage-collapses-when-minimizing-html-css,webpage collapses when minimizing html &amp; css,,,,
2,"['css', 'html']","{'account_id': 64680, 'reputation': 56160, 'user_id': 190822, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/KB0Hd.jpg?s=256&g=1', 'display_name': 'yazz.com', 'link': 'https://stackoverflow.com/users/190822/yazz-com'}",True,57674,,10634955.0,6,41,1668925964,1337254238,,10634898,CC BY-SA 3.0,https://stackoverflow.com/questions/10634898/how-can-i-scroll-programmatically-a-div-with-its-own-scrollbars,How can I scroll programmatically a div with its own scrollbars?,,,,
3,"['javascript', 'html', 'css', 'image', 'render']","{'account_id': 40744, 'reputation': 10788, 'user_id': 118125, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/617e5dd459d1527261644fb4adf3a41f?s=256&d=identicon&r=PG', 'display_name': 'Martin Delille', 'link': 'https://stackoverflow.com/users/118125/martin-delille'}",True,499527,1601363621.0,46243263.0,19,282,1668878474,1337782745,,10721884,CC BY-SA 3.0,https://stackoverflow.com/questions/10721884/render-html-to-an-image,Render HTML to an image,,,,
4,"['html', 'css']","{'account_id': 382137, 'reputation': 1419, 'user_id': 737195, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/6N6rb.jpg?s=256&g=1', 'display_name': 'Tgwizman', 'link': 'https://stackoverflow.com/users/737195/tgwizman'}",True,45080,,11900003.0,9,43,1668540646,1336093227,1344807680.0,10441362,CC BY-SA 3.0,https://stackoverflow.com/questions/10441362/how-can-i-remove-the-border-around-an-image-without-a-source,How can I remove the border around an image without a source?,,,,
5,"['html', 'css', 'html-lists']","{'account_id': 453893, 'reputation': 2116, 'user_id': 851149, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/7828acf397f213edbde0bd7992f8ca3f?s=256&d=identicon&r=PG', 'display_name': 'dirk', 'link': 'https://stackoverflow.com/users/851149/dirk'}",True,154017,,10405962.0,10,116,1667832242,1335916419,1667832242.0,10405945,CC BY-SA 4.0,https://stackoverflow.com/questions/10405945/html-ordered-list-1-1-1-2-nested-counters-and-scope-not-working,"HTML ordered list 1.1, 1.2 (Nested counters and scope) not working",,,,
6,['css'],"{'account_id': 73371, 'reputation': 15961, 'user_id': 211327, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/f50ea766b73c2f3e168daad07286a10b?s=256&d=identicon&r=PG', 'display_name': 'Alan H.', 'link': 'https://stackoverflow.com/users/211327/alan-h'}",True,6871,,10455580.0,2,8,1667518579,1336162076,1667518579.0,10455465,CC BY-SA 4.0,https://stackoverflow.com/questions/10455465/why-can-t-i-seem-to-use-background-clip,Why can’t I seem to use background-clip?,,,,
7,"['css', 'twitter-bootstrap']","{'account_id': 1215200, 'reputation': 1054, 'user_id': 1182942, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/cKwZU.jpg?s=256&g=1', 'display_name': 'SM Farhad Ali', 'link': 'https://stackoverflow.com/users/1182942/sm-farhad-ali'}",True,235825,,10769515.0,10,44,1666958563,1338058064,1498651972.0,10768891,CC BY-SA 3.0,https://stackoverflow.com/questions/10768891/how-to-change-the-default-background-color-white-to-something-else-in-twitter-bo,How to change the default background color white to something else in twitter bootstrap,,,,
8,"['html', 'css']","{'account_id': 101237, 'reputation': 17000, 'user_id': 272501, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/eyMn5.png?s=256&g=1', 'display_name': 'test', 'link': 'https://stackoverflow.com/users/272501/test'}",True,5884,,10559975.0,3,5,1666592649,1336780500,,10559928,CC BY-SA 3.0,https://stackoverflow.com/questions/10559928/css-div-width-100-goes-over-div,CSS DIV width 100% goes over div,,,,
9,"['html', 'css', 'google-chrome', 'css-float']","{'account_id': 466702, 'reputation': 494, 'user_id': 871614, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/b61eb00f0b9c71a1720f3190060490c8?s=256&d=identicon&r=PG', 'display_name': 'WebMW', 'link': 'https://stackoverflow.com/users/871614/webmw'}",True,101,,10481094.0,3,1,1666466315,1336387977,1666466315.0,10480777,CC BY-SA 4.0,https://stackoverflow.com/questions/10480777/positioning-issue-in-chrome-other-browsers-work-fine,Positioning issue in Chrome (other browsers work fine),,,,
10,"['html', 'css']","{'account_id': 960198, 'reputation': 1846, 'user_id': 984734, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/1c5b4c0bc3f44cd9b4ca9c8de73f1315?s=256&d=identicon&r=PG', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/984734/ben'}",True,322007,,18805158.0,7,42,1666351225,1335958342,1478329246.0,10412883,CC BY-SA 3.0,https://stackoverflow.com/questions/10412883/span-with-onclick-event-inside-a-tag,span with onclick event inside a tag,,,,
11,"['html', 'css', 'less']","{'account_id': 44027, 'reputation': 85076, 'user_id': 128967, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/e6ce48656d5e39227a10b37a51754134?s=256&d=identicon&r=PG', 'display_name': 'Naftuli Kay', 'link': 'https://stackoverflow.com/users/128967/naftuli-kay'}",True,46673,,10574532.0,4,23,1666264387,1336933360,1373523368.0,10574126,CC BY-SA 3.0,https://stackoverflow.com/questions/10574126/box-shadow-around-rounded-corners,Box shadow around rounded corners?,,,,
12,"['html', 'css', 'drop-down-menu']","{'account_id': 1035768, 'reputation': 3684, 'user_id': 1043102, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/wirf2.jpg?s=256&g=1', 'display_name': 'Gopesh', 'link': 'https://stackoverflow.com/users/1043102/gopesh'}",True,319573,,,10,89,1665148225,1336401785,1430464784.0,10484053,CC BY-SA 3.0,https://stackoverflow.com/questions/10484053/change-select-list-option-background-colour-on-hover,Change Select List Option background colour on hover,,,,
13,"['css', 'html']","{'account_id': 466543, 'reputation': 4078, 'user_id': 871354, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/2b6ef2c52b3585bd23220bdd8ad1a81a?s=256&d=identicon&r=PG', 'display_name': 'benams', 'link': 'https://stackoverflow.com/users/871354/benams'}",True,38238,,10813665.0,5,60,1664561932,1338370358,1635343413.0,10813581,CC BY-SA 4.0,https://stackoverflow.com/questions/10813581/can-i-replace-the-expand-icon-of-the-details-element,Can I replace the expand icon (▶) of the &lt;details&gt; element?,,,,
