,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,accepted_answer_id,last_edit_date,closed_reason,migrated_from
0,"['javascript', 'css', 'reactjs', 'react-router', 'react-router-dom']","{'account_id': 23125631, 'reputation': 129, 'user_id': 17231480, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/15c9e2dfa7c368ae6c197c3579815a7f?s=256&d=identicon&r=PG', 'display_name': 'jethro-dev', 'link': 'https://stackoverflow.com/users/17231480/jethro-dev'}",True,8957,4,7,1668633964,1638413950,70193712,CC BY-SA 4.0,https://stackoverflow.com/questions/70193712/how-to-scroll-to-top-on-route-change-with-react-router-dom-v6,How to scroll to top on route change with react router dom v6?,,,,,
1,['css'],"{'account_id': 20961011, 'reputation': 59, 'user_id': 15400452, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/L6Z1p.png?s=256&g=1', 'display_name': 'Taha Paracha', 'link': 'https://stackoverflow.com/users/15400452/taha-paracha'}",True,502,4,0,1668449745,1639998982,70420977,,https://stackoverflow.com/questions/70420977/so-im-making-a-grid-but-for-my-grid-elements-i-want-a-border-but-the-border,"So, i&#39;m making a grid, but for my grid-elements I want a border, but the border isn&#39;t showing",1640028169.0,70421024.0,1668449745.0,Duplicate,
2,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 14970941, 'reputation': 253, 'user_id': 10807847, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/12301bc0b13a03bc853b7050349c0426?s=256&d=identicon&r=PG&f=1', 'display_name': '&#192;tishking', 'link': 'https://stackoverflow.com/users/10807847/%c3%80tishking'}",False,1541,2,3,1668403690,1639306380,70322886,CC BY-SA 4.0,https://stackoverflow.com/questions/70322886/react-force-horizontal-scrolling-as-vertical-scroll-when-reaching-element-view,React Force horizontal scrolling as vertical scroll when reaching element view,,,,,
3,"['javascript', 'html', 'css', 'url']","{'account_id': 23555152, 'reputation': 19, 'user_id': 17597265, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4aba327ee1e3fa82b7ab3f391fc5825e?s=256&d=identicon&r=PG', 'display_name': 'Saantuu', 'link': 'https://stackoverflow.com/users/17597265/saantuu'}",True,306,1,-1,1668244150,1639417454,70338807,CC BY-SA 4.0,https://stackoverflow.com/questions/70338807/how-to-use-a-question-mark-in-url,How to use a question mark in url?,,70338872.0,,,
4,"['html', 'css', 'z-index', 'positioning', 'visual-web-developer']","{'account_id': 13469832, 'reputation': 25, 'user_id': 17695937, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgLrzIUa2oBSU8T4hW0spVqyR5RAa4dH4H_5PxC0Q=k-s256', 'display_name': 'thang truong', 'link': 'https://stackoverflow.com/users/17695937/thang-truong'}",True,402,2,1,1667920254,1640109676,70439774,CC BY-SA 4.0,https://stackoverflow.com/questions/70439774/z-index-does-not-work-properly-even-when-setting-position-elements-and-z-index,Z-index does not work properly even when setting position elements and z-index?,,70439956.0,1640110068.0,,
5,"['html', 'css']","{'account_id': 15568072, 'reputation': 306, 'user_id': 11231267, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1083587425098637/picture?type=large', 'display_name': 'Vishal Vishwakarma', 'link': 'https://stackoverflow.com/users/11231267/vishal-vishwakarma'}",True,1959,4,2,1667918484,1640149893,70444474,CC BY-SA 4.0,https://stackoverflow.com/questions/70444474/how-to-divide-css-grid-like-first-column-50-second-column-50-and-third-column,"how to divide css grid like first column 50%, second column 50% and third column 100%?",,70444638.0,1640150801.0,,
6,"['css', 'angular', 'ionic-framework', 'css-variables']","{'account_id': 22153431, 'reputation': 9, 'user_id': 16401625, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/455670696c400d5723cd3f90264da51b?s=256&d=identicon&r=PG&f=1', 'display_name': 'JBateman', 'link': 'https://stackoverflow.com/users/16401625/jbateman'}",False,801,2,0,1667675838,1638564024,70220429,CC BY-SA 4.0,https://stackoverflow.com/questions/70220429/ionic-5-dynamically-change-primary-color,Ionic 5 Dynamically change primary color,,,,,
7,"['css', 'google-chrome']","{'account_id': 47944, 'reputation': 5862, 'user_id': 142233, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/3h2RG.png?s=256&g=1', 'display_name': 'Jeff', 'link': 'https://stackoverflow.com/users/142233/jeff'}",True,171,2,0,1667657480,1640904706,70537461,CC BY-SA 4.0,https://stackoverflow.com/questions/70537461/chromium-chrome-page-vertical-scrolling-upwards-on-soft-or-hard-reload,Chromium / Chrome page vertical scrolling upwards on soft or hard reload,,74328137.0,1667657432.0,,
8,"['html', 'css', 'background-clip']","{'account_id': 1621628, 'reputation': 2256, 'user_id': 1498053, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/lCgmb.jpg?s=256&g=1', 'display_name': 'elveti', 'link': 'https://stackoverflow.com/users/1498053/elveti'}",True,201,4,6,1667334375,1639057570,70291008,CC BY-SA 4.0,https://stackoverflow.com/questions/70291008/wrong-scroll-behaviour-when-using-background-clip,Wrong scroll behaviour when using background-clip,,,1639060035.0,,
9,"['html', 'css', 'bootstrap-5']","{'account_id': 10746714, 'reputation': 101, 'user_id': 10516592, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67a311f21176847a2c20c90b842a3bfb?s=256&d=identicon&r=PG&f=1', 'display_name': 'canijusttravel', 'link': 'https://stackoverflow.com/users/10516592/canijusttravel'}",True,82,2,1,1666987151,1638336282,70179499,CC BY-SA 4.0,https://stackoverflow.com/questions/70179499/bootstap-responsive-image-on-top-of-another-image,Bootstap responsive image on top of another image,,70187763.0,1666987151.0,,
