,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['javascript', 'css', 'navbar']","{'account_id': 23271111, 'reputation': 11, 'user_id': 17355925, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgfK7zuzhDwordaPFiCFW3AXCaJLF4xNMqPkQtS_w=k-s256', 'display_name': 'Oasix89', 'link': 'https://stackoverflow.com/users/17355925/oasix89'}",False,1229,1,1,1669043697,1636365390,1669043697.0,69881583,CC BY-SA 4.0,https://stackoverflow.com/questions/69881583/bootstrap-5-1-3-navbar-not-collapse-after-click,Bootstrap 5.1.3 navbar not collapse after click,,,,
1,"['css', 'reactjs', 'react-native']","{'account_id': 19680062, 'reputation': 131, 'user_id': 17071123, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzUECsJ2n71clGWZiEofo2QjA3owQ11TqzEr71F=k-s256', 'display_name': 'Keltouma Indtaher', 'link': 'https://stackoverflow.com/users/17071123/keltouma-indtaher'}",True,1084,2,1,1669029095,1635949727,1636103898.0,69826638,CC BY-SA 4.0,https://stackoverflow.com/questions/69826638/remove-the-header-of-drawer-navigator-react-native,Remove the header of Drawer navigator - React native,69829592.0,,,
2,"['css', 'reactjs', 'material-ui', 'border']","{'account_id': 23493349, 'reputation': 11, 'user_id': 17544088, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4bd5bf6fbcb750abb768ce1a1f4a3e6?s=256&d=identicon&r=PG', 'display_name': 't1nyTi', 'link': 'https://stackoverflow.com/users/17544088/t1nyti'}",False,215,1,1,1668978193,1638211803,,70159889,CC BY-SA 4.0,https://stackoverflow.com/questions/70159889/i-cant-change-tablecell-border-color-in-material-ui,I can&#39;t change TableCell border color in material-ui,,,,
3,"['javascript', 'css', 'reactjs', 'webpack', 'frontend']","{'account_id': 5424720, 'reputation': 2429, 'user_id': 4317383, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/b5f458620efb40a779ca01ff8f7b4c2c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rose', 'link': 'https://stackoverflow.com/users/4317383/rose'}",True,3612,3,4,1668974142,1636496654,1636499731.0,69905828,CC BY-SA 4.0,https://stackoverflow.com/questions/69905828/resolving-css-background-image-url-with-webpack,Resolving css background-image url with Webpack,69906036.0,,,
4,"['html', 'css', 'django', 'django-templates']","{'account_id': 22308116, 'reputation': 25, 'user_id': 16532505, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzWi8iMio1AdNFlZDC6q7j2Fye1ZiFdD0Yw5sKn=k-s256', 'display_name': 'cr_untilted ', 'link': 'https://stackoverflow.com/users/16532505/cr-untilted'}",False,191,0,0,1668919820,1637712262,1668919820.0,70089300,CC BY-SA 4.0,https://stackoverflow.com/questions/70089300/setting-a-css-variable-in-django,Setting a CSS variable in Django,,,,
5,"['html', 'css', 'button', 'flexbox', 'overflow']","{'account_id': 7809173, 'reputation': 45, 'user_id': 16799703, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/00c39af29bf00f91eb9bc67b66919165?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kay', 'link': 'https://stackoverflow.com/users/16799703/kay'}",True,706,2,0,1668609481,1638192682,1668609481.0,70155515,CC BY-SA 4.0,https://stackoverflow.com/questions/70155515/css-overflow-hidden-not-working-with-button,CSS overflow: hidden not working with button,70159312.0,,,
6,"['css', 'laravel', 'tailwind-css']","{'account_id': 11066072, 'reputation': 399, 'user_id': 8125857, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-78obMFO6Vwg/AAAAAAAAAAI/AAAAAAAAB18/xVUgR_AXHso/photo.jpg?sz=256', 'display_name': 'Thomas Read', 'link': 'https://stackoverflow.com/users/8125857/thomas-read'}",True,32031,9,16,1668439407,1637011717,1637519319.0,69981112,CC BY-SA 4.0,https://stackoverflow.com/questions/69981112/focusoutline-none-not-working-tailwind-css-with-laravel,focus:outline-none not working Tailwind CSS with Laravel,70072557.0,,,
7,"['css', 'visual-studio-code', 'styled-components', 'syntax-highlighting', 'emotion']","{'account_id': 16857320, 'reputation': 648, 'user_id': 12188968, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDoa8XUypAoRLVXo8BWbqkQaHGbsfp9vSrRVEk=k-s256', 'display_name': ' HigoChumbo ', 'link': 'https://stackoverflow.com/users/12188968/higochumbo'}",False,1049,1,3,1668065519,1637830077,,70108163,CC BY-SA 4.0,https://stackoverflow.com/questions/70108163/vs-code-syntax-highlighting-for-template-string-css-emotion,VS Code syntax highlighting for template string css? (Emotion),,,,
8,"['css', 'visual-studio-code', 'vscode-settings', 'intellisense']","{'account_id': 18181897, 'reputation': 255, 'user_id': 13229482, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ji0Fk5PcuJM/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMzYAeBVIiXbLAnBFUMMTh447A3gw/photo.jpg?sz=256', 'display_name': 'Cristian Diaz', 'link': 'https://stackoverflow.com/users/13229482/cristian-diaz'}",True,7205,7,6,1667879477,1638027033,1638027191.0,70136170,CC BY-SA 4.0,https://stackoverflow.com/questions/70136170/how-to-solve-css-intellisense-for-vscode-not-working,How to solve CSS intellisense for VSCode not working?,,,,
9,"['css', 'background', 'opacity', 'tailwind-css', 'tailwind-ui']","{'account_id': 17783007, 'reputation': 97, 'user_id': 12913776, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84a09d4c6a86b132a6e5ad8fdc379dbb?s=256&d=identicon&r=PG&f=1', 'display_name': 'r1a2k3i4b', 'link': 'https://stackoverflow.com/users/12913776/r1a2k3i4b'}",True,3750,2,2,1667829972,1636129193,,69856261,CC BY-SA 4.0,https://stackoverflow.com/questions/69856261/tailwind-bg-opacity,Tailwind bg opacity,69856336.0,,,
