,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from
0,['css'],"{'account_id': 17418044, 'reputation': 17, 'user_id': 12624099, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/457355cb22e86c63e4fb998558f74e75?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nikolay', 'link': 'https://stackoverflow.com/users/12624099/nikolay'}",True,136,3,-1,1669186526,1578517064,1669186526.0,59653702,CC BY-SA 4.0,https://stackoverflow.com/questions/59653702/how-to-distance-word-in-navigation-bar,How to distance word in navigation bar?,,,,
1,"['javascript', 'html', 'css']","{'account_id': 15902110, 'reputation': 5, 'user_id': 11474209, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-1mlpLVBB5zA/AAAAAAAAAAI/AAAAAAAAAww/pkq46vWJWkk/photo.jpg?sz=256', 'display_name': 'wANN', 'link': 'https://stackoverflow.com/users/11474209/wann'}",True,3125,3,0,1669144689,1579551416,1579551635.0,59830291,CC BY-SA 4.0,https://stackoverflow.com/questions/59830291/how-would-you-make-a-button-add-text-a-header-a-paragraph-on-click,How would you make a button add text/a header/a paragraph on-click?,,,,
2,"['html', 'css']","{'account_id': 17502823, 'reputation': 3, 'user_id': 12692688, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCcfwMVKyFclPdgN9F_jtuUEAtGEcCQp9aqZH9v=k-s256', 'display_name': 'Posi', 'link': 'https://stackoverflow.com/users/12692688/posi'}",True,1027,1,0,1669036097,1578710683,1669036097.0,59691209,CC BY-SA 4.0,https://stackoverflow.com/questions/59691209/problems-with-the-display-property-on-bootstrap-4,Problems with the Display property on Bootstrap 4,59691489.0,,,
3,"['css', 'twitter-bootstrap-3']","{'account_id': 13063017, 'reputation': 320, 'user_id': 9439508, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Moutinho', 'link': 'https://stackoverflow.com/users/9439508/moutinho'}",False,156,1,1,1669036064,1579214929,1669036064.0,59778948,CC BY-SA 4.0,https://stackoverflow.com/questions/59778948/bootstrap-collapse-column-fix-jump-to-bottom,Bootstrap Collapse Column fix Jump to Bottom,,,,
4,"['javascript', 'html', 'css', 'typescript']","{'account_id': 15794942, 'reputation': 3224, 'user_id': 11397070, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ZvsX6QPbv40/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfTpb79ZM_-uLtDAEQM-Fq8R-Xokw/mo/photo.jpg?sz=256', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/11397070/tom'}",False,464,1,1,1668823902,1578845177,,59705634,CC BY-SA 4.0,https://stackoverflow.com/questions/59705634/match-media-to-detect-preferred-color-scheme-isnt-working-for-safari,Match media to detect preferred color scheme isn&#39;t working for Safari,,,,
5,"['css', 'django', 'tailwind-css']","{'account_id': 17451419, 'reputation': 1665, 'user_id': 12651319, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c08a8367de98e1347ffb3654f56c99c7?s=256&d=identicon&r=PG&f=1', 'display_name': 'dhooonk', 'link': 'https://stackoverflow.com/users/12651319/dhooonk'}",True,84956,12,75,1668435506,1579450959,1639301898.0,59812003,CC BY-SA 4.0,https://stackoverflow.com/questions/59812003/tailwindcss-fixed-sticky-footer-on-the-bottom,Tailwindcss: fixed/sticky footer on the bottom,59865099.0,,,
6,"['css', 'reactjs', 'outline']","{'account_id': 146166, 'reputation': 1435, 'user_id': 356456, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/e1af5322fd08ff0b7cfa84ae5f19e20c?s=256&d=identicon&r=PG', 'display_name': 'tinti', 'link': 'https://stackoverflow.com/users/356456/tinti'}",True,390,4,1,1668434212,1579715780,,59865672,CC BY-SA 4.0,https://stackoverflow.com/questions/59865672/annoying-border-on-react-carbon-focus-chrome,Annoying border on react carbon focus Chrome,59865759.0,,,
7,"['html', 'css', 'overflow']","{'account_id': 17234224, 'reputation': 35, 'user_id': 12478037, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10220532741366408/picture?type=large', 'display_name': 'Rachel Basulto', 'link': 'https://stackoverflow.com/users/12478037/rachel-basulto'}",True,229,3,1,1668177011,1578209393,1578222307.0,59597851,CC BY-SA 4.0,https://stackoverflow.com/questions/59597851/how-can-i-remove-a-blank-space-on-my-website,How can I remove a blank space on my website?,59597979.0,,,
8,"['c#', 'css', 'icons', 'blazor']","{'account_id': 16681477, 'reputation': 149, 'user_id': 12056429, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/613340dc1abca36cee7a78cc7c50c06b?s=256&d=identicon&r=PG&f=1', 'display_name': 'BlazinBlazor', 'link': 'https://stackoverflow.com/users/12056429/blazinblazor'}",True,10722,3,6,1667575245,1578554443,1578558100.0,59658994,CC BY-SA 4.0,https://stackoverflow.com/questions/59658994/how-to-change-the-default-icon-provider-in-blazor-app,How to change the default icon provider in Blazor app?,59659938.0,,,
9,"['javascript', 'css', 'parsing', 'abstract-syntax-tree']","{'account_id': 11438385, 'reputation': 6609, 'user_id': 8384910, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-tdOxhK4hKB4/AAAAAAAAAAI/AAAAAAAABlk/dWnl8ZxHsdI/photo.jpg?sz=256', 'display_name': 'Richie Bendall', 'link': 'https://stackoverflow.com/users/8384910/richie-bendall'}",True,985,3,1,1667276083,1578840855,1578847550.0,59705025,CC BY-SA 4.0,https://stackoverflow.com/questions/59705025/parsing-css-structure-into-an-object,Parsing CSS structure into an object,,,,
10,"['html', 'css']","{'account_id': 8511040, 'reputation': 5856, 'user_id': 6381081, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/37363b7a90e8b31e9d32f20008a83a74?s=256&d=identicon&r=PG&f=1', 'display_name': 'Martin AJ', 'link': 'https://stackoverflow.com/users/6381081/martin-aj'}",True,3035,1,4,1667251912,1577872236,1667251900.0,59551452,CC BY-SA 4.0,https://stackoverflow.com/questions/59551452/how-to-set-rel-preload-in-css,How to set rel=preload in CSS?,,,,
