,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,locked_date,community_owned_date
0,"['html', 'css', 'google-chrome-extension']","{'account_id': 1046477, 'reputation': 147, 'user_id': 1051356, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/d0287ef2059fdc89fe76359f57caa9f2?s=256&d=identicon&r=PG', 'display_name': 'EliK', 'link': 'https://stackoverflow.com/users/1051356/elik'}",True,17232,5,8,1668828255,1340722507,11210116,CC BY-SA 3.0,https://stackoverflow.com/questions/11210116/how-to-make-chrome-extension-to-be-in-full-screen,How to make chrome extension to be in full screen?,,,,,,,,
1,"['html', 'css', 'position']","{'account_id': 1612479, 'reputation': 431, 'user_id': 1491046, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b438b32f9ffbd209bbc225fe53405150?s=256&d=identicon&r=PG', 'display_name': 'Siggi Gross', 'link': 'https://stackoverflow.com/users/1491046/siggi-gross'}",True,80722,9,43,1668469861,1340970668,11261270,CC BY-SA 3.0,https://stackoverflow.com/questions/11261270/css-position-element-fixed-inside-scrolling-container,CSS position element &quot;fixed&quot; inside scrolling container,1364996037.0,,,,,,,
2,"['css', 'button', 'html', 'clickable']","{'account_id': 1495621, 'reputation': 8156, 'user_id': 1401634, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/772d1323b509faf3e0e9283e697754a9?s=256&d=identicon&r=PG', 'display_name': 'Ivan Wang', 'link': 'https://stackoverflow.com/users/1401634/ivan-wang'}",True,170091,12,99,1668090550,1340004429,11078509,CC BY-SA 4.0,https://stackoverflow.com/questions/11078509/how-to-increase-the-clickable-area-of-an-anchor-or-button-element,How to increase the clickable area of an anchor or button element?,1668090213.0,11078553.0,,,,,,
3,"['javascript', 'css', 'html', 'spotify']","{'account_id': 256459, 'reputation': 137, 'user_id': 537186, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/434e1c10883e5ea54c5bfa918a1fa630?s=256&d=identicon&r=PG', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/537186/paul'}",True,1771,3,1,1667577065,1340584452,11182307,CC BY-SA 3.0,https://stackoverflow.com/questions/11182307/im-making-my-portfolio-and-id-like-to-use-the-spotify-api-to-show-what-im-cu,"I&#39;m making my portfolio, and I&#39;d like to use the Spotify API to show what I&#39;m currently listening to, but don&#39;t want to use the Play button",,12802700.0,,,,,,
4,"['css', 'hover']","{'account_id': 1033894, 'reputation': 4907, 'user_id': 1041673, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/ece0340af48315f6d696049c3fae7705?s=256&d=identicon&r=PG', 'display_name': 'Cthulhu', 'link': 'https://stackoverflow.com/users/1041673/cthulhu'}",True,308675,13,158,1667335541,1339498261,10995165,CC BY-SA 3.0,https://stackoverflow.com/questions/10995165/what-is-the-opposite-of-hover-on-mouse-leave,What is the opposite of :hover (on mouse leave)?,1511195438.0,10995287.0,1596207208.0,,,,,
5,"['html', 'css', 'responsive-design']","{'account_id': 355450, 'reputation': 2705, 'user_id': 694408, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/II6kA.jpg?s=256&g=1', 'display_name': 'Steen', 'link': 'https://stackoverflow.com/users/694408/steen'}",True,206849,12,86,1667219621,1340880889,11243075,CC BY-SA 3.0,https://stackoverflow.com/questions/11243075/css-scale-height-to-match-width-possibly-with-a-formfactor,CSS scale height to match width - possibly with a formfactor,1515167656.0,11243226.0,,,,,,
6,['css'],"{'account_id': 135502, 'reputation': 4064, 'user_id': 338403, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/CLTsS.jpg?s=256&g=1', 'display_name': 'MB34', 'link': 'https://stackoverflow.com/users/338403/mb34'}",True,40199,7,16,1666445571,1340899802,11248673,CC BY-SA 3.0,https://stackoverflow.com/questions/11248673/hiding-google-translate-bar,Hiding Google Translate bar,1340922056.0,11263736.0,,,,,,
7,"['html', 'css', 'charts', 'highcharts', 'google-visualization']","{'account_id': 51938, 'reputation': 53087, 'user_id': 155196, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/T71og.jpg?s=256&g=1', 'display_name': 'Harsha M V', 'link': 'https://stackoverflow.com/users/155196/harsha-m-v'}",True,18021,5,11,1666252904,1338644759,10862767,CC BY-SA 3.0,https://stackoverflow.com/questions/10862767/email-charts-bar-area-and-pie-charts,"Email Charts - Bar, Area and Pie Charts",1338688037.0,10869499.0,,,,,,
8,"['css', 'asp.net-mvc-3']","{'account_id': 285383, 'reputation': 9015, 'user_id': 584018, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0770bdb62b52b2629ecd50eca624669b?s=256&d=identicon&r=PG', 'display_name': 'user584018', 'link': 'https://stackoverflow.com/users/584018/user584018'}",True,1752,2,0,1666250250,1340695937,11202633,CC BY-SA 3.0,https://stackoverflow.com/questions/11202633/cursor-position-does-not-appear-in-text-input,cursor position does not appear in text input?,1340701743.0,11203208.0,,,,,,
9,"['css', 'image']","{'account_id': 1593869, 'reputation': 1, 'user_id': 1476571, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/febfe786758906fec3096018b5996257?s=256&d=identicon&r=PG', 'display_name': 'user1476571', 'link': 'https://stackoverflow.com/users/1476571/user1476571'}",True,4019,3,0,1665026444,1340441014,11168091,CC BY-SA 4.0,https://stackoverflow.com/questions/11168091/how-do-i-find-the-image-url-to-in-order-to-place-a-background-image,"How do I find the image URL to, in order to place a background image?",1665026444.0,,,,,,,
