,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason
0,"['html', 'css', 'background', 'background-image', 'css-transforms']","{'user_type': 'does_not_exist', 'display_name': 'user18920683'}",False,332,1,4,1669072175,1650854151,71993951,CC BY-SA 4.0,https://stackoverflow.com/questions/71993951/css-transform-is-affecting-background-attachment,CSS `transform` is affecting `background-attachment`,,,,
1,"['css', 'background-image', 'imageset']","{'account_id': 4690189, 'reputation': 69, 'user_id': 3796506, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WXmY5.png?s=256&g=1', 'display_name': 'Ravi Chanduri', 'link': 'https://stackoverflow.com/users/3796506/ravi-chanduri'}",False,38,1,0,1668968897,1651145756,72042976,CC BY-SA 4.0,https://stackoverflow.com/questions/72042976/how-to-provide-sizes-in-image-set-similar-to-sizes-in-srcset,how to provide sizes in image-set similar to sizes in srcset?,,,,
2,"['javascript', 'css', 'reactjs', 'next.js']","{'account_id': 22759600, 'reputation': 141, 'user_id': 16918634, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw4Y8PFieDSkb0Y3Nq09aD4c1egEU5Aa472mK5C=k-s256', 'display_name': 'MOHAMMAD SIDDIQUE', 'link': 'https://stackoverflow.com/users/16918634/mohammad-siddique'}",True,2433,2,2,1668866642,1648880728,71715358,CC BY-SA 4.0,https://stackoverflow.com/questions/71715358/change-link-color-on-hover-in-nextjs,change link color on hover in NextJs,71718374.0,,,
3,"['css', 'reactjs', 'react-native', 'material-ui', 'react-material']","{'account_id': 18192712, 'reputation': 63, 'user_id': 13238303, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4d70c7ca82d33899c594a3998382e436?s=256&d=identicon&r=PG&f=1', 'display_name': 'michal.kyjovsky', 'link': 'https://stackoverflow.com/users/13238303/michal-kyjovsky'}",False,1053,2,1,1668799145,1650924347,72006189,CC BY-SA 4.0,https://stackoverflow.com/questions/72006189/how-to-remove-react-mui-select-component-frame,How to remove React MUI Select component frame,,,,
4,"['javascript', 'css', 'reactjs', 'react-hooks', 'drag']","{'account_id': 20269066, 'reputation': 135, 'user_id': 14865645, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6c9e3c7f5d7d5a8eb9df7baf23af938?s=256&d=identicon&r=PG&f=1', 'display_name': 'giosan', 'link': 'https://stackoverflow.com/users/14865645/giosan'}",False,125,0,0,1668439439,1649680036,71827843,CC BY-SA 4.0,https://stackoverflow.com/questions/71827843/how-to-get-table-body-to-be-draggable-towards-table-body-overflow,How to get table body to be draggable towards table body overflow?,,1668439439.0,,
5,"['html', 'css', 'forms']","{'account_id': 18212848, 'reputation': 167, 'user_id': 16159917, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Q5gTf.jpg?s=256&g=1', 'display_name': 'oyerohabib', 'link': 'https://stackoverflow.com/users/16159917/oyerohabib'}",True,145,1,0,1668419014,1649369994,71789561,CC BY-SA 4.0,https://stackoverflow.com/questions/71789561/how-can-i-change-the-default-position-of-the-option-elements-in-html-select-form,how can i change the default position of the option elements in html select form,,,,
6,"['javascript', 'css', 'reactjs', 'material-ui', 'autocomplete']","{'account_id': 23059591, 'reputation': 127, 'user_id': 17175141, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyDcms7nLN-Yq0rougKMuoSPTO2yjqU7N3j0QA6=k-s256', 'display_name': 'P H', 'link': 'https://stackoverflow.com/users/17175141/p-h'}",True,1614,1,1,1667808717,1650813729,71989798,CC BY-SA 4.0,https://stackoverflow.com/questions/71989798/how-to-style-list-option-in-autocomplete-material-ui-with-use-of-renderoption,How to style list option in Autocomplete material ui with use of renderOption?,71989854.0,,,
7,"['javascript', 'css', 'tabs', 'frontity']","{'account_id': 3927317, 'reputation': 11, 'user_id': 3247204, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3247204', 'link': 'https://stackoverflow.com/users/3247204/user3247204'}",False,119,1,0,1667567448,1649549082,71812810,CC BY-SA 4.0,https://stackoverflow.com/questions/71812810/on-click-set-active-tab-into-the-middle-of-tabs-using-javascript-or-css,On click set active tab into the middle of tabs using javascript or css,,1667567448.0,,
8,"['html', 'css', 'google-chrome-headless', 'printtopdf']","{'account_id': 1407255, 'reputation': 1607, 'user_id': 1334619, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ac889912cd69b3f42ffdd4e293527328?s=256&d=identicon&r=PG', 'display_name': 'Graham Hannington', 'link': 'https://stackoverflow.com/users/1334619/graham-hannington'}",False,637,1,0,1667442495,1649598604,71817211,CC BY-SA 4.0,https://stackoverflow.com/questions/71817211/full-page-body-in-chrome-print-to-pdf-omit-area-reserved-for-header-and-footer,Full-page body in Chrome print-to-pdf: omit area reserved for header and footer?,,1651127341.0,,
9,"['javascript', 'html', 'css', 'ajax']","{'account_id': 19743651, 'reputation': 45, 'user_id': 14456585, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2246570b6ecdcd54c6f3c8907b1cfee6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yeb03', 'link': 'https://stackoverflow.com/users/14456585/yeb03'}",False,261,0,0,1667311804,1649695214,71831402,CC BY-SA 4.0,https://stackoverflow.com/questions/71831402/iframe-prevents-parent-page-from-scrolling-when-hovering-on-it,iframe prevents parent page from scrolling when hovering on it,,1667311804.0,,
