,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['javascript', 'jquery', 'html', 'css', 'sass']","{'account_id': 915474, 'reputation': 2952, 'user_id': 948357, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/CKXfo.jpg?s=256&g=1', 'display_name': 'James Cazzetta', 'link': 'https://stackoverflow.com/users/948357/james-cazzetta'}",True,114312,1498005534.0,11868159.0,9,157,1669132519,1344438485,1630932339.0,11867545,CC BY-SA 4.0,https://stackoverflow.com/questions/11867545/change-text-color-based-on-brightness-of-the-covered-background-area,Change text color based on brightness of the covered background area?,,,
1,"['javascript', 'jquery', 'css', 'jquery-events']","{'account_id': 7412, 'reputation': 231911, 'user_id': 12870, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/f0af40756420859b5b63cbceb6d30505?s=256&d=identicon&r=PG', 'display_name': 'Oli', 'link': 'https://stackoverflow.com/users/12870/oli'}",True,165,,,3,4,1669131810,1344514780,1669131810.0,11883306,CC BY-SA 4.0,https://stackoverflow.com/questions/11883306/earliest-event-to-get-an-images-width,Earliest event to get an image&#39;s width,,,
2,"['jquery', 'css', 'twitter-bootstrap', 'overflow']","{'account_id': 754004, 'reputation': 907, 'user_id': 748139, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8a84e86026bd801c872b9203d0c670fd?s=256&d=identicon&r=PG', 'display_name': 'chris6953', 'link': 'https://stackoverflow.com/users/748139/chris6953'}",True,14051,,11963047.0,4,15,1668836187,1344806967,1668836187.0,11926028,CC BY-SA 4.0,https://stackoverflow.com/questions/11926028/bootstrap-dropdown-in-collapse,"bootstrap dropdown in collapse,",,,
3,"['html', 'css', 'internet-explorer-7']","{'account_id': 474686, 'reputation': 25112, 'user_id': 884521, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/b096fdd882f826178a7eb8c56e1a1aa5?s=256&d=identicon&r=PG', 'display_name': 'Mo.', 'link': 'https://stackoverflow.com/users/884521/mo'}",True,31604,,12007546.0,13,22,1668356968,1345212928,1668356883.0,12007507,CC BY-SA 4.0,https://stackoverflow.com/questions/12007507/how-to-remove-dotted-border-around-the-link-in-ie7,How to remove dotted border around the link in IE7,,,
4,"['html', 'css']","{'account_id': 1515162, 'reputation': 3249, 'user_id': 1416330, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/bd0d9c629a5c61793bcdc89148757129?s=256&d=identicon&r=PG', 'display_name': 'Aaron', 'link': 'https://stackoverflow.com/users/1416330/aaron'}",True,99842,,11856246.0,5,70,1668221073,1344386750,1592679687.0,11856150,CC BY-SA 4.0,https://stackoverflow.com/questions/11856150/center-an-image-horizontally-using-css,Center an image horizontally using CSS,,,
5,"['html', 'css']","{'account_id': 294218, 'reputation': 4778, 'user_id': 597983, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/59de353377c14b05a528e15616844cdf?s=256&d=identicon&r=PG', 'display_name': 'Mady', 'link': 'https://stackoverflow.com/users/597983/mady'}",True,375031,,11989697.0,13,131,1667534413,1345127767,1635451705.0,11989546,CC BY-SA 4.0,https://stackoverflow.com/questions/11989546/wrap-a-text-within-only-two-lines-inside-div,Wrap a text within only two lines inside div,,,
6,"['css', 'background', 'tint']","{'account_id': 1780082, 'reputation': 583, 'user_id': 1623053, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1ee383d45c043c28ec0118ae801cec6?s=256&d=identicon&r=PG', 'display_name': 'user1623053', 'link': 'https://stackoverflow.com/users/1623053/user1623053'}",True,111808,,12113323.0,5,58,1667466072,1345823608,1345825708.0,12112746,CC BY-SA 3.0,https://stackoverflow.com/questions/12112746/how-can-i-tint-a-background-image-with-css,How can I tint a background image with CSS?,,,
7,"['css', 'twitter-bootstrap', 'html', 'responsive-design']","{'account_id': 1544031, 'reputation': 6453, 'user_id': 1438003, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/94e04412d7a0b62a19148a83809260e9?s=256&d=identicon&r=PG', 'display_name': 'user1438003', 'link': 'https://stackoverflow.com/users/1438003/user1438003'}",True,396084,,,17,327,1666905436,1345574860,,12061139,CC BY-SA 3.0,https://stackoverflow.com/questions/12061139/making-button-go-full-width,Making button go full-width?,,,
8,"['css', 'javafx-8', 'fxml']","{'account_id': 240062, 'reputation': 2081, 'user_id': 510083, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/a2c252ad6939c3c9baaf7f85198def8f?s=256&d=identicon&r=PG', 'display_name': 'Gundon', 'link': 'https://stackoverflow.com/users/510083/gundon'}",True,31080,,11922899.0,6,21,1666889564,1344781125,1536179353.0,11922869,CC BY-SA 4.0,https://stackoverflow.com/questions/11922869/default-javafx-css,Default JavaFX-CSS,,,
9,"['html', 'css', 'css-float']","{'account_id': 1718751, 'reputation': 97, 'user_id': 1575249, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5db8757d5c0324e0274fc96e34815ec3?s=256&d=identicon&r=PG', 'display_name': 'Electron', 'link': 'https://stackoverflow.com/users/1575249/electron'}",True,675,,11921711.0,1,3,1666711519,1344768070,1666711519.0,11921577,CC BY-SA 4.0,https://stackoverflow.com/questions/11921577/how-to-make-sure-that-all-divs-with-floatright-actually-float-right,How to make sure that all &lt;div&gt;s with float:right; actually float right?,,,
