,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
0,"['html', 'css']","{'account_id': 244564, 'reputation': 10173, 'user_id': 517477, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/c97149e5dbd6126c6239d1edc88c8d47?s=256&d=identicon&r=PG', 'display_name': 'denislexic', 'link': 'https://stackoverflow.com/users/517477/denislexic'}",True,66118,9883044.0,9,92,1669496458,1332818199,9882916,CC BY-SA 3.0,https://stackoverflow.com/questions/9882916/are-you-allowed-to-nest-a-link-inside-of-a-link,Are you allowed to nest a link inside of a link?,,,,,,,
1,"['javascript', 'css', 'autofill']","{'account_id': 363391, 'reputation': 212877, 'user_id': 707111, 'user_type': 'moderator', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/oXZkh.jpg?s=256&g=1', 'display_name': 'Ry-', 'link': 'https://stackoverflow.com/users/707111/ry'}",True,12758,9752907.0,4,10,1669147758,1332006347,9752285,CC BY-SA 4.0,https://stackoverflow.com/questions/9752285/overriding-yellow-autofill-background,Overriding yellow autofill background,1669147758.0,,,,,,
2,"['javascript', 'html', 'css', 'tumblr']","{'account_id': 1359932, 'reputation': 21, 'user_id': 1297489, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf4f3555ee7986fa4daa1f001c457e0f?s=256&d=identicon&r=PG', 'display_name': 'HarveyMoon', 'link': 'https://stackoverflow.com/users/1297489/harveymoon'}",True,5948,,3,1,1668937953,1332922717,9903590,CC BY-SA 3.0,https://stackoverflow.com/questions/9903590/tumblr-javascript-embed-with-css-skin,tumblr javascript embed with css skin,1332925713.0,1371007280.0,,,,,
3,"['css', 'overflow']","{'account_id': 408114, 'reputation': 25739, 'user_id': 778581, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/e7c2d2c20eee156eb26cc21ba5405b3a?s=256&d=identicon&r=PG', 'display_name': 'daGUY', 'link': 'https://stackoverflow.com/users/778581/daguy'}",True,585314,11877033.0,14,609,1668878552,1332257232,9789723,CC BY-SA 3.0,https://stackoverflow.com/questions/9789723/css-text-overflow-in-a-table-cell,CSS text-overflow in a table cell?,1486430656.0,,,,,,
4,"['html', 'css', 'input', 'textarea']","{'account_id': 404912, 'reputation': 7768, 'user_id': 773502, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://graph.facebook.com/599306509/picture?type=large', 'display_name': 'bArmageddon', 'link': 'https://stackoverflow.com/users/773502/barmageddon'}",True,49738,9911149.0,10,24,1668789490,1332949526,9911122,CC BY-SA 3.0,https://stackoverflow.com/questions/9911122/disabling-textarea-from-css,Disabling Textarea from CSS,1336011881.0,,,,,,
5,"['javascript', 'jquery', 'css']","{'account_id': 1271962, 'reputation': 885, 'user_id': 1228025, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f28ca790ddc61f3ecd1525ab62f0163f?s=256&d=identicon&r=PG', 'display_name': 'Mouse Hello', 'link': 'https://stackoverflow.com/users/1228025/mouse-hello'}",True,103878,9699123.0,10,63,1668631549,1331717146,9699064,CC BY-SA 3.0,https://stackoverflow.com/questions/9699064/what-do-curly-braces-in-javascript-mean,What do curly braces in JavaScript mean?,1389029193.0,,,,,,
6,"['jquery', 'html', 'css']","{'account_id': 1344389, 'reputation': 386, 'user_id': 1285399, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d33e5d42facf324fc073c50334f1ae49?s=256&d=identicon&r=PG', 'display_name': 'HGK', 'link': 'https://stackoverflow.com/users/1285399/hgk'}",True,7622,9940626.0,7,1,1668318314,1332771787,9873937,CC BY-SA 3.0,https://stackoverflow.com/questions/9873937/how-to-change-a-single-character-color-in-textarea,How to change a single character color in textarea,,,,,,,
7,"['jquery', 'css', 'html', 'google-chrome', 'placeholder']","{'account_id': 196312, 'reputation': 10376, 'user_id': 439688, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/zNcDQ.jpg?s=256&g=1', 'display_name': 'LondonGuy', 'link': 'https://stackoverflow.com/users/439688/londonguy'}",True,372509,9707068.0,28,260,1668188719,1331746284,9707021,CC BY-SA 4.0,https://stackoverflow.com/questions/9707021/how-do-i-auto-hide-placeholder-text-upon-focus-using-css-or-jquery,How do I auto-hide placeholder text upon focus using css or jquery?,1668188719.0,,,,,,
8,"['html', 'css', 'media-queries']","{'account_id': 163424, 'reputation': 16393, 'user_id': 385563, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://graph.facebook.com/690655665/picture?type=large', 'display_name': 'Dancer', 'link': 'https://stackoverflow.com/users/385563/dancer'}",True,595787,9808297.0,14,387,1668164017,1332345343,9808233,CC BY-SA 3.0,https://stackoverflow.com/questions/9808233/is-it-possible-to-put-css-media-rules-inline,Is it possible to put CSS @media rules inline?,1434063436.0,,,,,,
9,['css'],"{'account_id': 1162888, 'reputation': 1975, 'user_id': 1142042, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/aa6b82980b29622dbc7c9570a3320ffd?s=256&d=identicon&r=PG', 'display_name': 'Jeffrey', 'link': 'https://stackoverflow.com/users/1142042/jeffrey'}",True,104063,9822492.0,2,78,1667814869,1332419792,9822440,CC BY-SA 3.0,https://stackoverflow.com/questions/9822440/css-before-and-first-child-combined,CSS :before and :first-child combined,1436797631.0,,,,,,
