,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['html', 'ios', 'css']","{'account_id': 5659483, 'reputation': 1096, 'user_id': 4572561, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Vqxw2bTUtHw/AAAAAAAAAAI/AAAAAAAAABE/7-oJKrgXV4g/photo.jpg?sz=256', 'display_name': 'Dzmitry Vasilevsky', 'link': 'https://stackoverflow.com/users/4572561/dzmitry-vasilevsky'}",True,21198,57774220.0,6,25,1669059036,1559085831,56351216,CC BY-SA 4.0,https://stackoverflow.com/questions/56351216/ios-safari-unwanted-scroll-when-keyboard-is-opened-and-body-scroll-is-disabled,IOS Safari: unwanted scroll when keyboard is opened and body scroll is disabled,,,,,
1,"['css', 'safari']","{'account_id': 8325594, 'reputation': 621, 'user_id': 7091352, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/82948456f4daf102b32c41f60a617260?s=256&d=identicon&r=PG', 'display_name': 'Florian Schut', 'link': 'https://stackoverflow.com/users/7091352/florian-schut'}",True,96078,71411937.0,8,50,1668099314,1557170704,56011205,CC BY-SA 4.0,https://stackoverflow.com/questions/56011205/is-there-a-safari-equivalent-for-scroll-behavior-smooth,Is there a Safari equivalent for scroll-behavior: smooth;?,1578495630.0,,,,
2,"['javascript', 'jquery', 'css']","{'account_id': 10407285, 'reputation': 159, 'user_id': 7673838, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Cm0jb.jpg?s=256&g=1', 'display_name': 'Prasanth S', 'link': 'https://stackoverflow.com/users/7673838/prasanth-s'}",True,17359,,8,10,1667636313,1557231491,56022493,CC BY-SA 4.0,https://stackoverflow.com/questions/56022493/animate-css-is-not-working-in-chrome-latest-version-version-above-73,animate.css is not working in Chrome latest version (Version above 73),1566986085.0,1667651535.0,,,
3,"['css', 'fonts']","{'account_id': 979422, 'reputation': 413, 'user_id': 999556, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/64c7c432ee0228ac0f140d5bf066202a?s=256&d=identicon&r=PG', 'display_name': 'Sandwich', 'link': 'https://stackoverflow.com/users/999556/sandwich'}",True,2116,55999837.0,1,7,1667431641,1557123754,55999766,CC BY-SA 4.0,https://stackoverflow.com/questions/55999766/whats-with-the-odd-font-used-by-spammers-how-do-they-do-it,What&#39;s with the odd font used by spammers? How do they do it?,,,,,
4,"['html', 'css', 'reactjs', 'pdf']","{'account_id': 1798622, 'reputation': 500, 'user_id': 1637466, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/a8eaa716051b47e8dd0b81325cd376ec?s=256&d=identicon&r=PG', 'display_name': 'JayBee', 'link': 'https://stackoverflow.com/users/1637466/jaybee'}",True,1171,,4,7,1664552955,1558630196,56279786,CC BY-SA 4.0,https://stackoverflow.com/questions/56279786/making-a-scrollable-div-that-encompasses-the-entire-height-of-the-pdf,Making a scrollable div that encompasses the entire height of the PDF,1559064059.0,,,,
5,"['html', 'css', 'angular', 'ionic-framework', 'ionic4']","{'account_id': 15880981, 'reputation': 83, 'user_id': 11458747, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nIFXy.jpg?s=256&g=1', 'display_name': 'Ade', 'link': 'https://stackoverflow.com/users/11458747/ade'}",True,13296,,2,5,1664453321,1557512828,56083050,CC BY-SA 4.0,https://stackoverflow.com/questions/56083050/how-to-style-ion-input-in-angular-ionic-framework,How to style ion-input in Angular/Ionic framework?,1664453321.0,,,,
6,"['css', 'select', 'overriding', 'material-ui']","{'account_id': 11414551, 'reputation': 41, 'user_id': 8367701, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6d9db3d3a42175992ca17ea90e94b986?s=256&d=identicon&r=PG&f=1', 'display_name': 'ingielek', 'link': 'https://stackoverflow.com/users/8367701/ingielek'}",True,4793,,4,2,1664325931,1559298164,56393262,CC BY-SA 4.0,https://stackoverflow.com/questions/56393262/how-to-change-color-of-arrow-in-textfield-select-from-material-ui,How to change color of arrow in TextField Select from material-ui,1559314440.0,,,,
7,"['javascript', 'html', 'css', 'media-queries']","{'account_id': 1221286, 'reputation': 3890, 'user_id': 1187891, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/vHHkU.jpg?s=256&g=1', 'display_name': 'JimmyBanks', 'link': 'https://stackoverflow.com/users/1187891/jimmybanks'}",True,56465,56550819.0,11,66,1664299498,1558736894,56300132,CC BY-SA 4.0,https://stackoverflow.com/questions/56300132/how-to-override-css-prefers-color-scheme-setting,How to override css prefers-color-scheme setting,1613507007.0,,,,
8,"['javascript', 'html', 'css', 'rainbow-js']","{'account_id': 9644067, 'reputation': 607, 'user_id': 7157435, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/osnmN.jpg?s=256&g=1', 'display_name': 'ShivCK', 'link': 'https://stackoverflow.com/users/7157435/shivck'}",True,1368,56100568.0,3,-1,1664290895,1557668757,56099856,CC BY-SA 4.0,https://stackoverflow.com/questions/56099856/text-is-overflowing-in-code-tag-instead-of-scroll,Text is overflowing in code tag instead of scroll,1557674645.0,,,,
9,"['html', 'css', 'css-shapes']","{'account_id': 15964560, 'reputation': 433, 'user_id': 11520625, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Sw958KkO4ao/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcT2LsHUjEHKHlU223IGuT1qoWl6g/mo/photo.jpg?sz=256', 'display_name': 'JoyFulCode', 'link': 'https://stackoverflow.com/users/11520625/joyfulcode'}",True,4211,56199850.0,1,8,1664200915,1558188474,56199721,CC BY-SA 4.0,https://stackoverflow.com/questions/56199721/how-can-i-create-a-wavy-shape-css,How can I create a wavy shape CSS?,1558390579.0,,,,
