,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_from,closed_date,closed_reason,locked_date,community_owned_date
0,"['css', 'border']","{'account_id': 307142, 'reputation': 1801, 'user_id': 618288, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/0e1e9beca12ebdd11174e85eb0c94693?s=256&d=identicon&r=PG', 'display_name': 'davidmatas', 'link': 'https://stackoverflow.com/users/618288/davidmatas'}",True,71977,1658913578.0,8837382.0,6,123,1669115936,1326371546,1589930243.0,8835142,CC BY-SA 4.0,https://stackoverflow.com/questions/8835142/any-way-to-declare-a-size-partial-border-to-a-box,Any way to declare a size/partial border to a box?,,,,,
1,"['html', 'css']","{'account_id': 216654, 'reputation': 21469, 'user_id': 472034, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/717bcde740783a83a168468df0dbbb75?s=256&d=identicon&r=PG', 'display_name': 'Wern Ancheta', 'link': 'https://stackoverflow.com/users/472034/wern-ancheta'}",True,653019,1397180939.0,8709295.0,8,143,1668984562,1325574075,1644606973.0,8708945,CC BY-SA 4.0,https://stackoverflow.com/questions/8708945/how-to-position-text-over-an-image-with-css,How to position text over an image with CSS,,,,,
2,"['javascript', 'jquery', 'html', 'css']","{'account_id': 49857, 'reputation': 18023, 'user_id': 148601, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/QUAPV.jpg?s=256&g=1', 'display_name': 'Dejan.S', 'link': 'https://stackoverflow.com/users/148601/dejan-s'}",True,247669,,8701977.0,24,251,1668890828,1325512906,1627896588.0,8701754,CC BY-SA 4.0,https://stackoverflow.com/questions/8701754/how-to-disable-scroll-without-hiding-it,How to disable scroll without hiding it?,,,,,
3,"['html', 'css', 'printing', 'css-tables', 'page-break']","{'account_id': 414715, 'reputation': 12574, 'user_id': 789090, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/Mgbrw.jpg?s=256&g=1', 'display_name': 'Mohammad Saberi', 'link': 'https://stackoverflow.com/users/789090/mohammad-saberi'}",True,262467,,8712756.0,11,95,1668073911,1325595573,1501275060.0,8712677,CC BY-SA 3.0,https://stackoverflow.com/questions/8712677/how-to-apply-css-page-break-to-print-a-table-with-lots-of-rows,How to apply CSS page-break to print a table with lots of rows?,,,,,
4,"['php', 'css', 'wordpress', 'comments', 'disqus']","{'account_id': 341538, 'reputation': 185, 'user_id': 672208, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/4918509121f458a1077141a61ee42acf?s=256&d=identicon&r=PG', 'display_name': 'shipwreck', 'link': 'https://stackoverflow.com/users/672208/shipwreck'}",False,1483,,,0,0,1667979998,1326168652,,8798452,CC BY-SA 3.0,https://stackoverflow.com/questions/8798452/customizing-disqus-comment-template-and-css,Customizing Disqus comment template and CSS,,,,,
5,"['css', 'positioning', 'css-position', 'footer']","{'account_id': 1007397, 'reputation': 22008, 'user_id': 1020773, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/22784328a011350c18cbfcc27d28fb76?s=256&d=identicon&r=PG', 'display_name': 'H Bellamy', 'link': 'https://stackoverflow.com/users/1020773/h-bellamy'}",True,851836,,8824859.0,12,314,1667209896,1326307402,1667209896.0,8824831,CC BY-SA 4.0,https://stackoverflow.com/questions/8824831/make-div-stay-at-bottom-of-pages-content-all-the-time-even-when-there-are-scrol,Make div stay at bottom of page&#39;s content all the time even when there are scrollbars,,,,,
6,"['css', 'css-shapes']","{'account_id': 30799, 'reputation': 144835, 'user_id': 84201, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5cce99e9bf6154703d8ecdf474a750bd?s=256&d=identicon&r=PG', 'display_name': 'Jitendra Vyas', 'link': 'https://stackoverflow.com/users/84201/jitendra-vyas'}",True,15544,,,6,21,1667013859,1326806356,1424266561.0,8895273,CC BY-SA 3.0,https://stackoverflow.com/questions/8895273/how-to-make-angled-tab-like-this-using-css,How to make angled tab like this using css?,,,,,
7,"['css', 'css-selectors']","{'account_id': 960721, 'reputation': 8119, 'user_id': 985138, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/pP5DV.jpg?s=256&g=1', 'display_name': 'Brodie', 'link': 'https://stackoverflow.com/users/985138/brodie'}",True,275890,,12198561.0,10,394,1665431420,1325640025,1591212255.0,8720931,CC BY-SA 4.0,https://stackoverflow.com/questions/8720931/can-css-detect-the-number-of-children-an-element-has,Can CSS detect the number of children an element has?,,,,,
8,['css'],"{'account_id': 30799, 'reputation': 144835, 'user_id': 84201, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5cce99e9bf6154703d8ecdf474a750bd?s=256&d=identicon&r=PG', 'display_name': 'Jitendra Vyas', 'link': 'https://stackoverflow.com/users/84201/jitendra-vyas'}",True,246557,,,8,70,1665396419,1325576887,1325578429.0,8709291,CC BY-SA 3.0,https://stackoverflow.com/questions/8709291/how-to-make-circular-background-using-css,How to make circular background using css?,,,,,
9,"['css', 'accessibility', 'opacity', 'wai-aria']","{'account_id': 79717, 'reputation': 1795, 'user_id': 225835, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/65ad4c2bbbe1a282def2c76275938f51?s=256&d=identicon&r=PG', 'display_name': 'Greg Perham', 'link': 'https://stackoverflow.com/users/225835/greg-perham'}",True,7958,,,3,25,1663509041,1327871568,1495541851.0,9056855,CC BY-SA 3.0,https://stackoverflow.com/questions/9056855/how-does-css-opacity-affect-accessibility,How does CSS opacity affect accessibility?,,,,,
10,"['css', 'css-selectors']","{'account_id': 154284, 'reputation': 99811, 'user_id': 370103, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/15a556c8b58e8aefa727088885925a12?s=256&d=identicon&r=PG', 'display_name': 'Curtis', 'link': 'https://stackoverflow.com/users/370103/curtis'}",True,20433,,8879454.0,2,27,1663346795,1326713622,1332816965.0,8879423,CC BY-SA 3.0,https://stackoverflow.com/questions/8879423/using-nth-child-to-style-item-4-and-onwards,Using nth-child to style item 4 and onwards,,,,,
11,"['css', 'twitter-bootstrap']","{'account_id': 329376, 'reputation': 899, 'user_id': 652849, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/768e603065aa0dfcad8a7aab46415713?s=256&d=identicon&r=PG', 'display_name': 'w00t', 'link': 'https://stackoverflow.com/users/652849/w00t'}",True,109702,,8875427.0,7,73,1663183084,1326682975,1487431099.0,8875367,CC BY-SA 3.0,https://stackoverflow.com/questions/8875367/remove-row-lines-in-twitter-bootstrap,Remove row lines in twitter bootstrap,,,,,
12,"['html', 'css', 'seo']","{'account_id': 462274, 'reputation': 1860, 'user_id': 864507, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/c4e78236ce7ad05f86a56fb6b3153b33?s=256&d=identicon&r=PG', 'display_name': 'fxfuture', 'link': 'https://stackoverflow.com/users/864507/fxfuture'}",True,7175,,8793024.0,9,4,1662826682,1326126766,1326128216.0,8792088,,https://stackoverflow.com/questions/8792088/h1-tag-on-home-page,&lt;h1&gt; tag on home page?,"{'other_site': {'styling': {'tag_background_color': '#F5F5F5', 'tag_foreground_color': '#666', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'wordpress.meta', 'site_url': 'https://wordpress.meta.stackexchange.com', 'name': 'WordPress Development Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=wordpress.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1297718441, 'open_beta_date': 1282158000, 'closed_beta_date': 1281553200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWordPress', 'favicon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon.png', 'audience': 'WordPress developers and administrators', 'site_url': 'https://wordpress.stackexchange.com', 'api_site_parameter': 'wordpress', 'logo_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/logo.png', 'name': 'WordPress Development', 'site_type': 'main_site'}, 'on_date': 1326128007, 'question_id': 38362}",,,,
