,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['html', 'css', 'height']","{'account_id': 522870, 'reputation': 361, 'user_id': 1641209, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/87bc36422ad464f8b41dc245ac072112?s=256&d=identicon&r=PG', 'display_name': 'cevizmx', 'link': 'https://stackoverflow.com/users/1641209/cevizmx'}",True,53,12232617.0,1,2,1669041077,1346547376,1669041077.0,12232610,CC BY-SA 4.0,https://stackoverflow.com/questions/12232610/creating-dynamic-height,creating dynamic height,,,,,
1,"['javascript', 'jquery', 'html', 'css']","{'account_id': 948983, 'reputation': 29832, 'user_id': 975566, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/75f945ecacb75c315681710b709fb207?s=256&d=identicon&r=PG', 'display_name': 'Samantha J T Star', 'link': 'https://stackoverflow.com/users/975566/samantha-j-t-star'}",True,124,12366865.0,3,3,1669020637,1347356374,,12366845,CC BY-SA 3.0,https://stackoverflow.com/questions/12366845/is-there-any-possible-reason-why-i-should-specify-type-button-for-my-button-el,Is there any possible reason why I should specify type=&quot;button&quot; for my button element?,,,,,
2,"['html', 'css', 'text']","{'account_id': 1419500, 'reputation': 539, 'user_id': 1344434, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://i.stack.imgur.com/oUix3.jpg?s=256&g=1', 'display_name': 'Jo&#227;o Fernandes', 'link': 'https://stackoverflow.com/users/1344434/jo%c3%a3o-fernandes'}",True,24269,12461456.0,2,6,1668908803,1347891298,1668908803.0,12461183,CC BY-SA 4.0,https://stackoverflow.com/questions/12461183/click-header-and-expand-text-without-using-javascript-jquery,Click header and expand text without using JavaScript / jQuery,,,,,
3,"['html', 'css', 'button', 'submit-button']","{'account_id': 1853275, 'reputation': 4247, 'user_id': 1679342, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/9d6f802c594c17db485b692d2942e261?s=256&d=identicon&r=PG', 'display_name': 'Venkata Krishna', 'link': 'https://stackoverflow.com/users/1679342/venkata-krishna'}",True,431169,12471255.0,7,45,1668905866,1347947665,1531570549.0,12471132,CC BY-SA 4.0,https://stackoverflow.com/questions/12471132/how-to-set-text-color-in-submit-button,How to set text color in submit button?,,,,,
4,"['css', 'svg', 'webkit', 'image-manipulation']","{'account_id': 48276, 'reputation': 117356, 'user_id': 143378, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/7mgUt.jpg?s=256&g=1', 'display_name': 'hpique', 'link': 'https://stackoverflow.com/users/143378/hpique'}",True,78633,12546549.0,5,36,1668559857,1348338056,1348353404.0,12546499,CC BY-SA 3.0,https://stackoverflow.com/questions/12546499/tint-image-using-css-without-overlay,Tint image using CSS without overlay,,,,,
5,"['css', 'google-chrome-extension', 'firefox-addon', 'firebug']","{'account_id': 296932, 'reputation': 347, 'user_id': 602175, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/63ef4400ff9dd7fb6e5b91f2c11a3ec6?s=256&d=identicon&r=PG', 'display_name': 'manuelflara', 'link': 'https://stackoverflow.com/users/602175/manuelflara'}",True,8551,12459184.0,8,11,1668136641,1347877914,,12457459,CC BY-SA 3.0,https://stackoverflow.com/questions/12457459/is-there-a-browser-extension-to-get-all-the-css-that-is-applied-to-a-dom-element,Is there a browser extension to get all the CSS that is applied to a DOM element?,,,,,
6,"['html', 'css']","{'account_id': 1168318, 'reputation': 5501, 'user_id': 1146094, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/4b24c43824d179acb4c0dff101823534?s=256&d=identicon&r=PG', 'display_name': 'SwiftD', 'link': 'https://stackoverflow.com/users/1146094/swiftd'}",True,130389,12408519.0,10,45,1667236657,1347300846,1545230339.0,12357242,CC BY-SA 4.0,https://stackoverflow.com/questions/12357242/stop-absolutely-positioned-div-from-overlapping-text,Stop absolutely positioned div from overlapping text,,,,,
7,"['html', 'css']","{'account_id': 1804804, 'reputation': 1, 'user_id': 1642172, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ea7438b52416df224b7ccb9d3acdc84c?s=256&d=identicon&r=PG', 'display_name': 'user1642172', 'link': 'https://stackoverflow.com/users/1642172/user1642172'}",False,152,,1,-1,1666711393,1346653999,1666711375.0,12243003,CC BY-SA 4.0,https://stackoverflow.com/questions/12243003/my-webpage-is-2-column-but-overlaps-into-1-column-when-zoomed-in,My webpage is 2 column but overlaps into 1 column when zoomed in?,,,,,
8,"['css', 'background', 'position', 'background-image']","{'account_id': 102645, 'reputation': 6101, 'user_id': 275414, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/81f61aa71395ac089a0b29ecf88283d5?s=256&d=identicon&r=PG', 'display_name': 'RussellHarrower', 'link': 'https://stackoverflow.com/users/275414/russellharrower'}",True,72,12616303.0,1,0,1666556252,1348730531,1666556252.0,12616125,CC BY-SA 4.0,https://stackoverflow.com/questions/12616125/make-a-square-width-longer-while-keeping-corners-round,Make a square width longer while keeping corners round,,,,,
9,"['css', 'overflow', 'parent', 'fixed', 'children']","{'account_id': 1838407, 'reputation': 1649, 'user_id': 1668321, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/183bdefc40f4d7f6f774d6acf400845e?s=256&d=identicon&r=PG&f=1', 'display_name': 'kirkas', 'link': 'https://stackoverflow.com/users/1668321/kirkas'}",True,121720,12463736.0,9,71,1666029063,1347900050,1435304778.0,12463658,CC BY-SA 3.0,https://stackoverflow.com/questions/12463658/parent-child-with-position-fixed-parent-overflowhidden-bug,"parent &amp; child with position fixed, parent overflow:hidden bug",,,,,
10,"['css', 'google-chrome', 'safari']","{'account_id': 147557, 'reputation': 1398, 'user_id': 358748, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/593c9b74de65f4094c3609382ec1a8d4?s=256&d=identicon&r=PG', 'display_name': 'Chris', 'link': 'https://stackoverflow.com/users/358748/chris'}",True,534,16198866.0,2,0,1665655891,1348773230,1348774990.0,12628523,CC BY-SA 3.0,https://stackoverflow.com/questions/12628523/css-fixed-position-causes-font-to-bold-on-mac-safari-chrome,"CSS - Fixed position causes font to bold on Mac (Safari, Chrome)",,,,,
11,"['jquery', 'css', 'jquery-ui']","{'account_id': 1462850, 'reputation': 331, 'user_id': 1376644, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/a7970fd9ae42d6c4908e8e2cb0137d65?s=256&d=identicon&r=PG', 'display_name': 'JANNURM', 'link': 'https://stackoverflow.com/users/1376644/jannurm'}",True,132,12549577.0,1,-1,1665614781,1348364718,1665614781.0,12549115,,https://stackoverflow.com/questions/12549115/jquery-menu-animated,jQuery Menu Animated,1348423462.0,not a real question,,,
12,"['css', 'syntax', 'comments']","{'account_id': 1816778, 'reputation': 961, 'user_id': 1651719, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2b80018139fbc950d3e355f1b380edac?s=256&d=identicon&r=PG', 'display_name': 'Adam Milward', 'link': 'https://stackoverflow.com/users/1651719/adam-milward'}",True,53121,20192639.0,11,68,1664977971,1346930291,1664977971.0,12298890,CC BY-SA 4.0,https://stackoverflow.com/questions/12298890/is-it-bad-practice-to-prefix-single-lines-of-css-with-as-a-personal-comment-s,Is it bad practice to prefix single lines of CSS with // as a personal comment style?,,,,,
13,"['html', 'css', 'width']","{'account_id': 1446916, 'reputation': 6467, 'user_id': 1365053, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/329381200b3974c701e3a84cdbf3a440?s=256&d=identicon&r=PG', 'display_name': 'Bilal Fazlani', 'link': 'https://stackoverflow.com/users/1365053/bilal-fazlani'}",False,8927,,5,3,1664496391,1348570824,1447259280.0,12581588,CC BY-SA 3.0,https://stackoverflow.com/questions/12581588/how-to-give-infinite-width-to-a-div,How to give infinite width to a div?,,,,,
14,"['css', 'opera']","{'account_id': 198568, 'reputation': 5640, 'user_id': 443310, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/cAHox.jpg?s=256&g=1', 'display_name': 'I.G. Pascual', 'link': 'https://stackoverflow.com/users/443310/i-g-pascual'}",True,10253,12498642.0,1,4,1664303109,1347457903,1664303109.0,12389782,,https://stackoverflow.com/questions/12389782/css-specific-rule-for-opera-12,CSS specific rule for Opera 12?,1348241648.0,exact duplicate,,,
15,"['css', 'internet-explorer-9']","{'account_id': 433871, 'reputation': 1660, 'user_id': 819450, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/jAhix.jpg?s=256&g=1', 'display_name': 'supersaiyan', 'link': 'https://stackoverflow.com/users/819450/supersaiyan'}",True,49507,12296669.0,4,10,1664217745,1346922462,1664217745.0,12296628,,https://stackoverflow.com/questions/12296628/need-hack-for-ie9-only,Need hack for ie9 only,1664217749.0,Duplicate,,,
16,"['html', 'css']","{'account_id': 1591508, 'reputation': 8454, 'user_id': 1474739, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/LUkEQ.jpg?s=256&g=1', 'display_name': 'Willem de Wit', 'link': 'https://stackoverflow.com/users/1474739/willem-de-wit'}",True,87265,49270067.0,6,55,1663695047,1346770945,,12266262,CC BY-SA 3.0,https://stackoverflow.com/questions/12266262/position-sticky-on-thead,Position sticky on thead,,,,,
17,"['javascript', 'jquery', 'css', 'html-select']","{'account_id': 927088, 'reputation': 839, 'user_id': 957651, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/03daf7b1ed91edc08c0601ab3b2fb9d1?s=256&d=identicon&r=PG', 'display_name': 'Douglas Mauch', 'link': 'https://stackoverflow.com/users/957651/douglas-mauch'}",True,2340,12221949.0,5,1,1663349854,1346435295,1663349854.0,12220253,CC BY-SA 4.0,https://stackoverflow.com/questions/12220253/how-style-selected-option-with-css-without-styling-all-the-other-options,How style selected option with CSS without styling all the other options?,,,,,
18,"['html', 'css', 'border']","{'account_id': 1832995, 'reputation': 327, 'user_id': 1663965, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/62554d933f4270c97c757bdb3c07b9b3?s=256&d=identicon&r=PG', 'display_name': 'RMi Flores', 'link': 'https://stackoverflow.com/users/1663965/rmi-flores'}",True,18834,,2,14,1663162023,1347531235,1663093759.0,12403998,CC BY-SA 4.0,https://stackoverflow.com/questions/12403998/border-is-cutting-off-when-using-border-radius,Border is cutting off when using border-radius?,,,,,
19,"['jquery', 'html', 'css', 'slider', 'nivo-slider']","{'account_id': 1885343, 'reputation': 71, 'user_id': 1704678, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9b4886848375473b624e9bbd8a8f6b1?s=256&d=identicon&r=PG', 'display_name': 'user1704678', 'link': 'https://stackoverflow.com/users/1704678/user1704678'}",False,8033,,1,6,1662563015,1348783574,1348852885.0,12630713,CC BY-SA 3.0,https://stackoverflow.com/questions/12630713/nivo-slider-jquery-plugin-images-resizing-automatically,Nivo Slider Jquery Plugin - images resizing automatically,,,,,
20,"['css', 'html']","{'account_id': 1701551, 'reputation': 905, 'user_id': 1561469, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/YFWJt.png?s=256&g=1', 'display_name': 'crazyloonybin', 'link': 'https://stackoverflow.com/users/1561469/crazyloonybin'}",True,24428,12600865.0,3,11,1662552070,1348659090,,12600743,CC BY-SA 3.0,https://stackoverflow.com/questions/12600743/make-a-div-auto-expand-width-to-the-left-instead-of-the-right,Make a div auto expand width to the left instead of the right,,,,,
21,"['css', 'media-queries', 'container-queries']","{'account_id': 64680, 'reputation': 56160, 'user_id': 190822, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/KB0Hd.jpg?s=256&g=1', 'display_name': 'yazz.com', 'link': 'https://stackoverflow.com/users/190822/yazz-com'}",True,250470,12319280.0,11,447,1662386651,1346691779,1662385323.0,12251750,CC BY-SA 4.0,https://stackoverflow.com/questions/12251750/can-media-queries-resize-based-on-a-div-element-instead-of-the-screen,Can media queries resize based on a div element instead of the screen?,,,,,
22,"['css', 'google-chrome', 'google-chrome-extension', 'styles', 'google-chrome-devtools']","{'account_id': 240927, 'reputation': 23611, 'user_id': 511438, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/Z2ov4.jpg?s=256&g=1', 'display_name': 'Valamas', 'link': 'https://stackoverflow.com/users/511438/valamas'}",True,12661,12596540.0,1,84,1662377293,1348615146,,12592473,CC BY-SA 3.0,https://stackoverflow.com/questions/12592473/difference-between-two-element-styles-with-google-chrome,Difference between two element styles with Google Chrome,,,,,
23,"['html', 'css', 'border', 'zooming']","{'account_id': 346890, 'reputation': 841, 'user_id': 680675, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3fe2e42ed7cfec870b93eaf75c2ee7fd?s=256&d=identicon&r=PG', 'display_name': 'Lu&#237;s Pureza', 'link': 'https://stackoverflow.com/users/680675/lu%c3%ads-pureza'}",True,36058,50912523.0,8,48,1662080056,1348346767,1495541806.0,12547580,CC BY-SA 3.0,https://stackoverflow.com/questions/12547580/borders-disappear-in-chrome-when-i-zoom-in,Borders disappear in Chrome when I zoom in,,,,,
24,"['css', 'flexbox']","{'account_id': 141105, 'reputation': 6592, 'user_id': 347884, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/bS0KM.jpg?s=256&g=1', 'display_name': 'Brandon Durham', 'link': 'https://stackoverflow.com/users/347884/brandon-durham'}",True,813,12643209.0,2,2,1661511900,1348770956,,12627957,CC BY-SA 3.0,https://stackoverflow.com/questions/12627957/is-there-a-way-to-break-a-single-child-element-out-of-a-flexible-box,Is there a way to break a single child element out of a flexible box?,,,,,
25,"['css', 'attributes', 'css-selectors']","{'account_id': 13545, 'reputation': 31533, 'user_id': 27305, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/174ac998689321daaa7cfecf910522e4?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/27305/john'}",True,231747,12340746.0,4,413,1660217883,1347207630,1503422924.0,12340737,CC BY-SA 3.0,https://stackoverflow.com/questions/12340737/specify-multiple-attribute-selectors-in-css,Specify multiple attribute selectors in CSS,,,1652394848.0,,
26,"['html', 'css', 'font-size']","{'account_id': 40752, 'reputation': 1628, 'user_id': 118153, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/a0296a09b791029185a67ff818445e7b?s=256&d=identicon&r=PG', 'display_name': 'Iiridayn', 'link': 'https://stackoverflow.com/users/118153/iiridayn'}",True,1797,12485599.0,3,0,1660146035,1348004621,1660146035.0,12485548,CC BY-SA 4.0,https://stackoverflow.com/questions/12485548/move-an-html-element-up-exactly-1-line-height,Move an HTML element up exactly 1 line-height,,,,,
27,"['css', 'height', 'parent-child']","{'account_id': 407901, 'reputation': 3713, 'user_id': 778245, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/5a23440efccf7e860c3a732700052600?s=256&d=identicon&r=PG', 'display_name': 'Prashant Singh', 'link': 'https://stackoverflow.com/users/778245/prashant-singh'}",True,58235,12540590.0,3,67,1660070766,1348284550,,12540436,CC BY-SA 3.0,https://stackoverflow.com/questions/12540436/height-of-parent-div-is-zero-even-if-it-has-child-with-finite-heights,Height of parent div is zero even if it has child with finite heights,,,,,
28,"['html', 'css']","{'account_id': 1708998, 'reputation': 6607, 'user_id': 1567428, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/b97087844500eaf12d6ad45688d96d3c?s=256&d=identicon&r=PG', 'display_name': 'nasty', 'link': 'https://stackoverflow.com/users/1567428/nasty'}",True,114180,12574716.0,10,71,1659989220,1348532212,1622731953.0,12574668,CC BY-SA 4.0,https://stackoverflow.com/questions/12574668/change-color-of-sibling-elements-on-hover-using-css,Change color of sibling elements on hover using CSS,,,,,
29,['css'],"{'account_id': 47209, 'reputation': 9903, 'user_id': 139694, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/cc1e736e9f6f69510712e1e8c40d7ace?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/139694/sam'}",True,21797,12377883.0,3,33,1659969671,1347397160,,12377826,CC BY-SA 3.0,https://stackoverflow.com/questions/12377826/css-width-max-width-on-line-wrap,CSS Width / Max-Width on Line Wrap?,,,,,
30,"['css', 'icons', 'font-awesome', 'font-awesome-4']","{'account_id': 1374863, 'reputation': 11715, 'user_id': 1309066, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3602b309741b36fb6df22ae3f3d5b351?s=256&d=identicon&r=PG', 'display_name': 'Elias7', 'link': 'https://stackoverflow.com/users/1309066/elias7'}",True,1131110,12272417.0,24,414,1659559332,1346798672,1659559043.0,12272372,CC BY-SA 4.0,https://stackoverflow.com/questions/12272372/how-to-style-icon-color-size-and-shadow-of-fontawesome-icons,"How to style icon color, size, and shadow of FontAwesome Icons",,,,,
