,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,locked_date
0,"['css', 'icons', 'panel', 'extjs4.1']","{'account_id': 1317643, 'reputation': 205, 'user_id': 1264172, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/c02c8b0dcb4625995db548de8a69d98b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Armaan', 'link': 'https://stackoverflow.com/users/1264172/armaan'}",True,2761,10146678.0,2,0,1669136296,1334340368,1669136296.0,10146006,CC BY-SA 4.0,https://stackoverflow.com/questions/10146006/how-to-rotate-triangle-collapse-icon-in-ext-js-panel,How to rotate triangle collapse icon in Ext Js panel?,,,,,
1,"['html', 'css', 'range']","{'account_id': 300951, 'reputation': 7487, 'user_id': 608388, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/8090Q.png?s=256&g=1', 'display_name': 'Niraj Chauhan', 'link': 'https://stackoverflow.com/users/608388/niraj-chauhan'}",True,472183,10004863.0,14,178,1668927677,1333511823,1568272419.0,10004723,CC BY-SA 4.0,https://stackoverflow.com/questions/10004723/html5-input-type-range-show-range-value,HTML5 input type range show range value,1487156854.0,,,,
2,"['css', 'sticky-footer']","{'account_id': 1069437, 'reputation': 65, 'user_id': 1069072, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/2b95f949859e68601da8e14221987a49?s=256&d=identicon&r=PG', 'display_name': 'Mihai Ilaș', 'link': 'https://stackoverflow.com/users/1069072/mihai-ila%c8%99'}",False,7460,,3,3,1668567765,1333527454,,10007328,CC BY-SA 3.0,https://stackoverflow.com/questions/10007328/100-height-dynamic-height-footer-at-the-bottom,100% height -dynamic height footer at the bottom,,,,,
3,"['css', 'math', 'sass', 'numbers', 'rounding']","{'account_id': 357295, 'reputation': 827, 'user_id': 697375, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/24a7aed8cee4dc554a9f0b8bb2c479d0?s=256&d=identicon&r=PG', 'display_name': 'Lawrence', 'link': 'https://stackoverflow.com/users/697375/lawrence'}",True,20638,10369785.0,6,15,1668156005,1335673141,1649774719.0,10369643,CC BY-SA 4.0,https://stackoverflow.com/questions/10369643/rounding-numbers-in-sass-and-adjusting-the-amount-of-decimals,Rounding numbers in Sass and adjusting the amount of decimals,,,,,
4,"['css', 'cross-browser']","{'account_id': 237396, 'reputation': 148, 'user_id': 505531, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/4bRqW.jpg?s=256&g=1', 'display_name': 'vikram.fartyal', 'link': 'https://stackoverflow.com/users/505531/vikram-fartyal'}",True,3359,10348321.0,2,0,1667867494,1335519195,1366325696.0,10348228,CC BY-SA 3.0,https://stackoverflow.com/questions/10348228/different-behaviour-of-margin-left-in-chrome-and-firefox,Different behaviour of margin-left in Chrome and Firefox?,,,,,
5,"['javascript', 'jquery', 'css']","{'account_id': 137693, 'reputation': 14450, 'user_id': 342059, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/02de244eb70d48b5694e7d6a53cb8adf?s=256&d=identicon&r=PG', 'display_name': 'Ariyan', 'link': 'https://stackoverflow.com/users/342059/ariyan'}",True,180775,10061479.0,7,82,1666785395,1333872944,1428454115.0,10061414,,https://stackoverflow.com/questions/10061414/changing-width-property-of-a-before-css-selector-using-jquery,Changing width property of a :before css selector using JQuery,,1540379804.0,Duplicate,,
6,"['html', 'css', 'image', 'resize', 'autoresize']","{'account_id': 1096224, 'reputation': 5669, 'user_id': 1089771, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/95daeaa6bf18eacdc49a6441b40c399e?s=256&d=identicon&r=PG', 'display_name': 'Thomas Guillory', 'link': 'https://stackoverflow.com/users/1089771/thomas-guillory'}",True,373541,9994936.0,15,130,1665862673,1333460352,1405989453.0,9994493,CC BY-SA 3.0,https://stackoverflow.com/questions/9994493/scale-image-to-fit-a-bounding-box,Scale image to fit a bounding box,,,,,
7,"['html', 'css']","{'account_id': 1094840, 'reputation': 231, 'user_id': 1088660, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/d07c7cef51499675be0b58e27fe48739?s=256&d=identicon&r=PG', 'display_name': 'Justin Heather Barrios', 'link': 'https://stackoverflow.com/users/1088660/justin-heather-barrios'}",True,20017,10217684.0,6,15,1665818681,1334781739,,10217639,CC BY-SA 3.0,https://stackoverflow.com/questions/10217639/how-to-double-an-image-size-in-html-using-only-css,How to double an image size in HTML using only CSS?,,,,,
8,"['html', 'css', 'w3c-validation']","{'account_id': 591305, 'reputation': 353, 'user_id': 861727, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/30135e82a4b73cff84580cd033d4584c?s=256&d=identicon&r=PG', 'display_name': 'John K', 'link': 'https://stackoverflow.com/users/861727/john-k'}",False,2448,,1,0,1665773567,1334040762,1665773505.0,10084348,CC BY-SA 4.0,https://stackoverflow.com/questions/10084348/how-to-fix-property-overflow-y-doesnt-exist-in-css-level-2-1,How to fix Property overflow-y doesn&#39;t exist in CSS level 2.1?,,,,,
9,"['html', 'css', 'internet-explorer-8']","{'account_id': 225326, 'reputation': 47946, 'user_id': 485743, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/2a92e2d3aa2f16ee42e0efed5953a51b?s=256&d=identicon&r=PG&f=1', 'display_name': 'copenndthagen', 'link': 'https://stackoverflow.com/users/485743/copenndthagen'}",True,102,10278156.0,1,1,1665703979,1335165584,1665703923.0,10276351,CC BY-SA 4.0,https://stackoverflow.com/questions/10276351/cannot-get-two-css3-behavior-to-work-simultaneously-on-ie8,Cannot get two CSS3 behavior to work simultaneously on IE8,,,,,
