,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,"['html', 'css', 'bootstrap-4', 'laravel-5.8']","{'account_id': 11233607, 'reputation': 127, 'user_id': 8240648, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/y0WMh.jpg?s=256&g=1', 'display_name': 'Kazi Rabbi Hassan', 'link': 'https://stackoverflow.com/users/8240648/kazi-rabbi-hassan'}",False,114,1,0,1669055361,1576566674,1669055361.0,59369207,CC BY-SA 4.0,https://stackoverflow.com/questions/59369207/laravel5-8-collapse-is-not-working-when-i-want-to-show-the-html-code-from-the-d,Laravel5.8: Collapse is not working when I want to show the HTML code from the database,,,,,
1,"['html', 'css', 'containers', 'word-wrap', 'centering']","{'account_id': 17218590, 'reputation': 27, 'user_id': 12465904, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6nCaR.jpg?s=256&g=1', 'display_name': 'Timo', 'link': 'https://stackoverflow.com/users/12465904/timo'}",False,735,2,-1,1668824918,1575252111,1668824918.0,59131756,CC BY-SA 4.0,https://stackoverflow.com/questions/59131756/how-would-you-add-constant-space-between-centered-items-in-css-edited,How would you add constant space between centered items in CSS? (EDITED),,,,,
2,"['css', 'reactjs', 'material-design']","{'account_id': 6881483, 'reputation': 2709, 'user_id': 5288074, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/25380be006e12602a7627270d2bb5956?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lara', 'link': 'https://stackoverflow.com/users/5288074/lara'}",True,3695,2,3,1667751576,1575953367,,59260429,CC BY-SA 4.0,https://stackoverflow.com/questions/59260429/how-to-increase-the-width-of-material-ui-dropdown,How to increase the width of Material UI dropdown,59260500.0,,,,
3,"['css', 'material-ui']","{'account_id': 4304429, 'reputation': 271, 'user_id': 3517228, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3517228', 'link': 'https://stackoverflow.com/users/3517228/user3517228'}",True,18366,4,23,1667741525,1577180540,,59466781,CC BY-SA 4.0,https://stackoverflow.com/questions/59466781/material-ui-without-react-just-with-vanilla-html-css-js-possible,"Material-UI without React / just with vanilla HTML, CSS &amp; JS? Possible?",,,,,
4,"['javascript', 'css']","{'account_id': 15497862, 'reputation': 333, 'user_id': 11804890, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a02afc22721cc34e64b5bf9bbf6b4a38?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nikita Kurilovic', 'link': 'https://stackoverflow.com/users/11804890/nikita-kurilovic'}",True,9008,4,4,1667335154,1576855840,1576855973.0,59427737,CC BY-SA 4.0,https://stackoverflow.com/questions/59427737/how-to-make-alignment-on-the-left-side-in-the-slick-slider,How to make alignment on the left side in the slick slider?,,,,,
5,"['html', 'css', 'r']","{'account_id': 12120250, 'reputation': 119, 'user_id': 8852067, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9694166928a73d7f8309e6c61a6ed351?s=256&d=identicon&r=PG&f=1', 'display_name': 'David Perea', 'link': 'https://stackoverflow.com/users/8852067/david-perea'}",True,102,1,0,1667312957,1576605188,1667312957.0,59379632,CC BY-SA 4.0,https://stackoverflow.com/questions/59379632/web-scraping-press-show-more-button-what-is-the-tag-behind-the-show-more-b,Web scraping. Press &quot;Show more&quot; button. What is the tag behind the &quot;Show more&quot; button?,,,,,
6,"['html', 'css', 'accessibility', 'wai-aria']","{'account_id': 1137773, 'reputation': 1610, 'user_id': 1122463, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/JrUl2.jpg?s=256&g=1', 'display_name': 'whyAto8', 'link': 'https://stackoverflow.com/users/1122463/whyato8'}",True,2893,3,2,1667250728,1575608717,1667250714.0,59207174,CC BY-SA 4.0,https://stackoverflow.com/questions/59207174/is-aria-expanded-only-for-click-interaction-or-can-it-be-used-for-focus-as,"Is aria-expanded only for &quot;click&quot; interaction, or can it be used for &quot;focus&quot; as well?",59212220.0,,,,
7,"['javascript', 'css', 'reactjs', 'material-ui', 'font-face']","{'account_id': 4199884, 'reputation': 3855, 'user_id': 3440266, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/9d37ddb4e007bfd22023d6d5b95f0a45?s=256&d=identicon&r=PG&f=1', 'display_name': 'macabeus', 'link': 'https://stackoverflow.com/users/3440266/macabeus'}",False,1232,2,0,1666960280,1576560089,1576560539.0,59368039,CC BY-SA 4.0,https://stackoverflow.com/questions/59368039/custom-font-isnt-loading-on-custom-theme-for-material-ui,Custom font isn&#39;t loading on custom theme for Material UI,,,,,
8,"['javascript', 'html', 'css', 'google-chrome', 'firefox']","{'account_id': 15974270, 'reputation': 58, 'user_id': 11527575, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-qEtNuwe82K0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcnYysg6ol0fspAbzkdnNnxpWxPHA/mo/photo.jpg?sz=256', 'display_name': 'Francesco Rogo', 'link': 'https://stackoverflow.com/users/11527575/francesco-rogo'}",True,3026,4,1,1666820903,1575394565,,59162535,CC BY-SA 4.0,https://stackoverflow.com/questions/59162535/is-there-a-way-to-list-all-available-css-classes-for-a-web-page,Is there a way to list all available css classes for a web page?,69929175.0,,,,
9,"['css', 'outlook-2016']","{'account_id': 14852676, 'reputation': 256, 'user_id': 10726103, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4aa94ab48058ea377ffca166ebddf49e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeeva D', 'link': 'https://stackoverflow.com/users/10726103/jeeva-d'}",True,12596,5,3,1666806678,1577172105,,59465258,CC BY-SA 4.0,https://stackoverflow.com/questions/59465258/border-radius-property-not-working-in-outlook,Border-radius property not working in outlook,59499201.0,,,,
10,"['javascript', 'html', 'css', 'brackets']","{'account_id': 14837716, 'reputation': 1, 'user_id': 10715287, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-PfVhTQjbXCE/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-g6SCkyjeB760L53gLTyasF4OM6Kg/mo/photo.jpg?sz=256', 'display_name': 'Bibek Tamu', 'link': 'https://stackoverflow.com/users/10715287/bibek-tamu'}",False,1696,2,-5,1666748377,1576737366,1576738948.0,59404392,CC BY-SA 4.0,https://stackoverflow.com/questions/59404392/how-solve-the-problem-unknown-encoding-format-in-brackets,How solve the problem &quot;Unknown encoding format&quot; in brackets,,,,,
11,"['css', 'reactjs', 'material-ui']","{'account_id': 4494392, 'reputation': 6149, 'user_id': 3654605, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'lowcrawler', 'link': 'https://stackoverflow.com/users/3654605/lowcrawler'}",False,15096,2,10,1666637825,1576281231,,59331161,CC BY-SA 4.0,https://stackoverflow.com/questions/59331161/how-to-set-the-minimum-width-on-a-react-material-ui-grid-item,How to set the minimum width on a react material ui grid item?,,,,,
12,"['css', 'tailwind-css']","{'account_id': 15314118, 'reputation': 61, 'user_id': 11048496, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/595304154c2d6010c7cc865ee720da50?s=256&d=identicon&r=PG&f=1', 'display_name': 'ejpsnackoverflow', 'link': 'https://stackoverflow.com/users/11048496/ejpsnackoverflow'}",True,7138,3,6,1666089353,1576938574,1578476350.0,59437001,CC BY-SA 4.0,https://stackoverflow.com/questions/59437001/how-to-create-a-class-that-uses-odd-child-pseudo-selector-with-tailwindcss,How to create a class that uses odd-child pseudo selector with tailwindcss,,,,,
