,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['html', 'css', 'angular', 'layout', 'flexbox']","{'account_id': 9875790, 'reputation': 147, 'user_id': 7313616, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://lh3.googleusercontent.com/-Vu6-Q1ZpoD8/AAAAAAAAAAI/AAAAAAAAAIc/jNUtYLR0UhM/photo.jpg?sz=256', 'display_name': 'md venkatesh', 'link': 'https://stackoverflow.com/users/7313616/md-venkatesh'}",True,374,2,0,1668966820,1643488913,1668966820.0,70909545,CC BY-SA 4.0,https://stackoverflow.com/questions/70909545/i-want-my-div-to-divide-into-two-halfs-with-width-50and-align-side-by-side-usi,I want my div to divide into two half&#39;s with width 50%and align side by side using fxLayout,,,,,
1,"['html', 'css', 'tailwind-css']","{'account_id': 19950761, 'reputation': 191, 'user_id': 15688384, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-9j1S9Krd2K4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnS6DvYMV26cMURO8kJO8JBbaD_3g/s96-c/photo.jpg?sz=256', 'display_name': 'Drok Brag', 'link': 'https://stackoverflow.com/users/15688384/drok-brag'}",True,39193,12,18,1668875677,1641292027,1641641927.0,70577297,CC BY-SA 4.0,https://stackoverflow.com/questions/70577297/tailwind-class-is-not-working-after-installed,Tailwind class is not working after installed,1662818662.0,,,,
2,"['javascript', 'html', 'css', 'ejs']","{'account_id': 23805368, 'reputation': 11, 'user_id': 17814983, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2b37622d21932453051de719a114ee25?s=256&d=identicon&r=PG', 'display_name': 'Harinder Singh', 'link': 'https://stackoverflow.com/users/17814983/harinder-singh'}",False,208,1,1,1668838119,1641129322,1641136504.0,70556274,CC BY-SA 4.0,https://stackoverflow.com/questions/70556274/the-form-is-not-sending-data-in-the-post-request,The form is not sending data in the post request?,,,,,
3,"['javascript', 'css', 'reactjs', 'typescript', 'tailwind-css']","{'account_id': 23940844, 'reputation': 336, 'user_id': 17933988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ecc7430a74f11c60914578653b7988f?s=256&d=identicon&r=PG', 'display_name': 'Tenshi Munasinghe', 'link': 'https://stackoverflow.com/users/17933988/tenshi-munasinghe'}",True,16112,6,11,1668796014,1642784850,,70805041,CC BY-SA 4.0,https://stackoverflow.com/questions/70805041/background-image-in-tailwindcss-using-dynamic-url-react-js,Background image in tailwindcss using dynamic url (React.js),,70810692.0,,,
4,"['javascript', 'html', 'css']","{'account_id': 22870501, 'reputation': 23, 'user_id': 17013592, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg_pEAQ8yLnCrytxp0R0zDJqyBPUNdYOLHMgnjY=k-s256', 'display_name': 'Berserk Wolf', 'link': 'https://stackoverflow.com/users/17013592/berserk-wolf'}",True,346,2,1,1668551591,1642998153,,70828983,CC BY-SA 4.0,https://stackoverflow.com/questions/70828983/sidebar-navigation-text-not-smooth-while-transition,sidebar navigation text not smooth while transition,,70829098.0,,,
5,"['css', 'tailwind-css', 'pseudo-class']","{'account_id': 23175914, 'reputation': 61, 'user_id': 17274434, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjFhVgHKIFKnOHCvarUQ_rXNLs7r6-i6_uFnR9UCg=k-s256', 'display_name': 'Nicky J', 'link': 'https://stackoverflow.com/users/17274434/nicky-j'}",True,1462,3,3,1668519617,1643146009,,70855897,CC BY-SA 4.0,https://stackoverflow.com/questions/70855897/is-it-possible-to-chain-pseudo-classes-using-tailwind-css,Is it possible to chain pseudo classes using Tailwind CSS?,,,,,
6,"['javascript', 'html', 'css', 'parallax']","{'account_id': 13714542, 'reputation': 125, 'user_id': 9895931, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d52727e5c73816256b7a57309aa36f5a?s=256&d=identicon&r=PG', 'display_name': 'DanG', 'link': 'https://stackoverflow.com/users/9895931/dang'}",False,206,0,2,1668496805,1641313579,1641314266.0,70581945,CC BY-SA 4.0,https://stackoverflow.com/questions/70581945/parallax-effects-on-multiple-banner-images-without-using-background-image,Parallax effects on multiple banner images (Without Using Background Image),,,,,
7,"['javascript', 'html', 'css', 'api']","{'account_id': 18992446, 'reputation': 15, 'user_id': 13861415, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh_xcaJ5AElVMfohrBlSlwVpKNogVKtuU4Tc05hnQ=k-s256', 'display_name': 'Knouki', 'link': 'https://stackoverflow.com/users/13861415/knouki'}",True,489,1,1,1668454616,1643120873,,70850393,CC BY-SA 4.0,https://stackoverflow.com/questions/70850393/how-to-set-background-image-of-div-using-an-unsplash-api-image,How to set background image of div using an unsplash api image?,,70850476.0,,,
8,"['php', 'html', 'css', 'pdf-generation', 'dompdf']","{'account_id': 21726649, 'reputation': 1, 'user_id': 16035984, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0809daf325d007acd2f80f21dad9ae76?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sheharyar Ahmad', 'link': 'https://stackoverflow.com/users/16035984/sheharyar-ahmad'}",False,979,2,0,1667655358,1642156252,,70709193,CC BY-SA 4.0,https://stackoverflow.com/questions/70709193/unable-to-add-header-footer-on-every-page-of-pdf-using-dompdf,Unable to add Header Footer on every page of pdf using DOMPDF,,,,,
9,"['javascript', 'css', 'animation']","{'account_id': 23921758, 'reputation': 53, 'user_id': 17917491, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxZlMxtBBxWYEKrNPibEdgT5ZwrGo3wQUoauXF4cA=k-s256', 'display_name': 'Josh Haywood', 'link': 'https://stackoverflow.com/users/17917491/josh-haywood'}",True,1173,1,0,1667619411,1642113241,1642197484.0,70703929,CC BY-SA 4.0,https://stackoverflow.com/questions/70703929/hamburger-icon-css-animation-into-an-x,Hamburger icon css animation into an x,,70704320.0,,,
10,['css'],"{'account_id': 24037072, 'reputation': 11, 'user_id': 18017220, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b87475df5ed5d70d4d59971d3b668870?s=256&d=identicon&r=PG', 'display_name': 'Pocket', 'link': 'https://stackoverflow.com/users/18017220/pocket'}",False,635,2,1,1667589513,1643026224,,70833662,CC BY-SA 4.0,https://stackoverflow.com/questions/70833662/google-chrome-the-vertical-scroll-bar-sometimes-disappears-on-some-web-pages,Google Chrome: The vertical scroll bar sometimes disappears on some web pages,,,,,
11,"['css', 'material-ui']","{'account_id': 13488963, 'reputation': 315, 'user_id': 9731851, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f771193639a997f18de34824d9860a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Luke', 'link': 'https://stackoverflow.com/users/9731851/luke'}",True,129,2,1,1667573270,1643459874,,70905448,CC BY-SA 4.0,https://stackoverflow.com/questions/70905448/how-to-access-a-second-styled-component-from-a-first-using-material-ui-styled-c,"How to access a second styled component from a first, using material ui styled components",,,,,
12,"['css', 'routes', 'svelte', 'sveltekit']","{'account_id': 5737322, 'reputation': 133, 'user_id': 4531005, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh6.googleusercontent.com/-cuWsjiorEtE/AAAAAAAAAAI/AAAAAAAAAGs/2gie53eUx6g/photo.jpg?sz=256', 'display_name': 'fastasleep', 'link': 'https://stackoverflow.com/users/4531005/fastasleep'}",True,2812,2,3,1667559991,1641500387,,70613169,CC BY-SA 4.0,https://stackoverflow.com/questions/70613169/sveltekit-styling-active-links-with-page-path,Sveltekit: Styling active links with $page.path,,70615981.0,,,
13,"['html', 'css']","{'account_id': 23911912, 'reputation': 27, 'user_id': 17908757, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/16d3bec3cc9d3ec9b601d98d31e695d2?s=256&d=identicon&r=PG', 'display_name': 'WillB', 'link': 'https://stackoverflow.com/users/17908757/willb'}",True,51,2,0,1667485311,1642681909,1667485311.0,70786292,CC BY-SA 4.0,https://stackoverflow.com/questions/70786292/how-does-the-stacking-layer-order-of-this-code-that-uses-the-z-index,How does the stacking layer order of this code that uses the z-index,,70788310.0,,,
14,"['javascript', 'html', 'css', 'node.js', 'reactjs']","{'account_id': 22287311, 'reputation': 45, 'user_id': 16514740, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8HzjU.png?s=256&g=1', 'display_name': 'Kendra Staver', 'link': 'https://stackoverflow.com/users/16514740/kendra-staver'}",True,1182,2,0,1667407985,1641156661,,70559671,CC BY-SA 4.0,https://stackoverflow.com/questions/70559671/i-continue-to-get-error-invalid-dom-property-class-despite-using-classname,I continue to get &quot;Error: Invalid DOM property `class`.&quot; despite using className,,,,,
15,"['css', 'tailwind-css']","{'account_id': 17799872, 'reputation': 127, 'user_id': 12926917, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-fDMYZQqk2g8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reSQXLlf5AZIO2G2FMuFVRIIwQv9g/photo.jpg?sz=256', 'display_name': 'hao', 'link': 'https://stackoverflow.com/users/12926917/hao'}",True,5364,3,6,1667401508,1643470323,,70906977,CC BY-SA 4.0,https://stackoverflow.com/questions/70906977/tailwind-underline-hover-animation,Tailwind underline hover animation,,70907085.0,,,
16,"['html', 'css', 'twitter-bootstrap']","{'account_id': 23716392, 'reputation': 280, 'user_id': 17737469, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zlCMw.jpg?s=256&g=1', 'display_name': 'Montek', 'link': 'https://stackoverflow.com/users/17737469/montek'}",True,364,2,0,1667316459,1641739630,,70642382,CC BY-SA 4.0,https://stackoverflow.com/questions/70642382/problem-in-sizing-image-when-using-z-index,Problem in sizing image when using z-index,,70693502.0,,,
17,"['html', 'css']","{'account_id': 24106011, 'reputation': 25, 'user_id': 18077196, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiJWuZGTTdkiNbEZJV-KYfN23EbjAdZS9aEQIDR=k-s256', 'display_name': 'Michael Armesto', 'link': 'https://stackoverflow.com/users/18077196/michael-armesto'}",True,74,2,2,1667211675,1643597969,1643621831.0,70920842,CC BY-SA 4.0,https://stackoverflow.com/questions/70920842/affect-another-div-when-hovering-css,Affect another div when hovering CSS,,70920883.0,,,
18,"['html', 'css', 'toggle']","{'account_id': 17197266, 'reputation': 177, 'user_id': 12449719, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-C8oWbBivWkY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcbcfhV3FzzsFUakIoJ_VwtOrTE8Q/photo.jpg?sz=256', 'display_name': 'Benk I', 'link': 'https://stackoverflow.com/users/12449719/benk-i'}",True,1034,3,2,1666875341,1641373081,,70590125,CC BY-SA 4.0,https://stackoverflow.com/questions/70590125/how-to-change-the-size-of-a-css-toggle-switch,How to change the size of a css toggle switch,,,,,
