,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,migrated_from,community_owned_date
0,"['asp.net', 'css']","{'account_id': 1205018, 'reputation': 481, 'user_id': 1174875, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/3bfa4250994cf8f16aeb0a2e63127b7b?s=256&d=identicon&r=PG', 'display_name': 'Ali Ahmed', 'link': 'https://stackoverflow.com/users/1174875/ali-ahmed'}",False,7477,3,0,1669269880,1329039536,1561877715.0,9247818,CC BY-SA 4.0,https://stackoverflow.com/questions/9247818/gridview-with-frozen-header-and-first-four-columns,GridView with frozen Header and First Four columns?,,,,,,
1,"['css', 'background-image', 'background-color']","{'account_id': 1188741, 'reputation': 8847, 'user_id': 1162116, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/f50e0b83b50c61777f45716eb77d5574?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marc', 'link': 'https://stackoverflow.com/users/1162116/marc'}",True,617211,20,281,1669255740,1328644750,1537334797.0,9182978,CC BY-SA 4.0,https://stackoverflow.com/questions/9182978/semi-transparent-color-layer-over-background-image,Semi-transparent color layer over background-image?,1523184996.0,9183068.0,,,,
2,"['animation', 'css']","{'account_id': 114833, 'reputation': 4564, 'user_id': 301804, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/KzP02.jpg?s=256&g=1', 'display_name': 'Mauro74', 'link': 'https://stackoverflow.com/users/301804/mauro74'}",True,29514,2,11,1669150407,1328716202,1669150407.0,9196694,,https://stackoverflow.com/questions/9196694/css3-animation-scale,CSS3 animation scale,,9197712.0,1669150400.0,Duplicate,,
3,"['html', 'jquery', 'css']","{'account_id': 1152405, 'reputation': 345, 'user_id': 1133831, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/91c7686c94528d2fae6dd2c06d38814a?s=256&d=identicon&r=PG', 'display_name': 'Nate Gines', 'link': 'https://stackoverflow.com/users/1133831/nate-gines'}",True,8447,6,0,1669136232,1329292021,1669136232.0,9289611,CC BY-SA 4.0,https://stackoverflow.com/questions/9289611/expand-collapse-div,Expand/Collapse Div,,,,,,
4,"['css', 'twitter-bootstrap', 'overflow', 'hidden']","{'account_id': 1098507, 'reputation': 4739, 'user_id': 1091558, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/69188df1273c3c8c1fdeed66202c982b?s=256&d=identicon&r=PG', 'display_name': 'Giri', 'link': 'https://stackoverflow.com/users/1091558/giri'}",True,500,1,1,1669136219,1328838182,1669136219.0,9221614,CC BY-SA 4.0,https://stackoverflow.com/questions/9221614/css-overflow-help-needed-for-jquery-collpase,CSS overflow help needed - For jquery collpase,,9221723.0,,,,
5,"['jquery', 'css', 'wordpress']","{'account_id': 262411, 'reputation': 591, 'user_id': 547248, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/b1ca3758a87b6bfd045a01a20f9d53b3?s=256&d=identicon&r=PG', 'display_name': 'Abriel', 'link': 'https://stackoverflow.com/users/547248/abriel'}",True,3803,4,20,1668905449,1328641988,1495541987.0,9182360,CC BY-SA 3.0,https://stackoverflow.com/questions/9182360/applying-different-css-class-on-click-using-jquery,Applying different CSS class on click using jQuery,,13819783.0,,,,
6,"['html', 'css', 'firefox', 'printing', 'page-break']","{'account_id': 923667, 'reputation': 2549, 'user_id': 954867, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/rtTvN.jpg?s=256&g=1', 'display_name': 'Fredy31', 'link': 'https://stackoverflow.com/users/954867/fredy31'}",True,6867,3,5,1668485079,1328889687,1328891565.0,9230727,CC BY-SA 3.0,https://stackoverflow.com/questions/9230727/prevent-page-break-between-2-div-elements,Prevent Page Break between 2 div elements,,9231039.0,,,,
7,"['html', 'css', 'file', 'input', 'resize']","{'account_id': 1207914, 'reputation': 939, 'user_id': 1177064, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/f34a4164c496764c85cc51cb3b3e5dc8?s=256&d=identicon&r=PG', 'display_name': 'Kalreg', 'link': 'https://stackoverflow.com/users/1177064/kalreg'}",True,22514,4,13,1668278937,1328478463,,9153354,CC BY-SA 3.0,https://stackoverflow.com/questions/9153354/how-to-change-input-file-button-size,How to change input file button size?,,,,,,
8,"['javascript', 'jquery', 'html', 'css']","{'account_id': 1253830, 'reputation': 1771, 'user_id': 1213707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9cced725e50f26d7a1acfa7887ee7eab?s=256&d=identicon&r=PG', 'display_name': 'user1213707', 'link': 'https://stackoverflow.com/users/1213707/user1213707'}",True,112172,7,65,1668274843,1329501227,1438767973.0,9333044,CC BY-SA 3.0,https://stackoverflow.com/questions/9333044/how-to-hide-blinking-cursor-in-input-text,how to hide blinking cursor in input text?,,,,,,
9,"['html', 'css', 'wkhtmltopdf']","{'account_id': 372834, 'reputation': 1290, 'user_id': 722122, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/397c566383228c30bb2b39e930441e15?s=256&d=identicon&r=PG', 'display_name': 'Ankit Mittal', 'link': 'https://stackoverflow.com/users/722122/ankit-mittal'}",True,194369,12,120,1668076236,1329286938,,9288802,CC BY-SA 3.0,https://stackoverflow.com/questions/9288802/avoid-page-break-inside-row-of-table,avoid page break inside row of table,1343736927.0,11874452.0,,,,
10,"['css', 'webkit']","{'account_id': 224738, 'reputation': 13521, 'user_id': 484772, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/1d690be98e84a5fc103b5feecf9d726c?s=256&d=identicon&r=PG', 'display_name': 'Andrew Jackman', 'link': 'https://stackoverflow.com/users/484772/andrew-jackman'}",True,3284,5,2,1667891668,1328285828,1462524795.0,9131807,CC BY-SA 3.0,https://stackoverflow.com/questions/9131807/how-to-include-text-decoration-in-background-clip-text-effect,How to include text decoration in background-clip: text; effect?,,,,,,
