,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['css', 'google-chrome', 'safari', 'css-filters']","{'account_id': 15868942, 'reputation': 39, 'user_id': 11450253, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/126be97292b8e62d293f86fe7eda649e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Aaron Lockhart', 'link': 'https://stackoverflow.com/users/11450253/aaron-lockhart'}",False,365,1,1,1669183138,1585847311,60997163,CC BY-SA 4.0,https://stackoverflow.com/questions/60997163/css-backdrop-filter-much-slower-on-chrome-than-webkit-backdrop-filter-is-on-saf,CSS backdrop-filter much slower on chrome than -webkit-backdrop-filter is on safari,,,,,
1,"['css', 'kendo-ui', 'kendo-ui-angular2']","{'account_id': 16769068, 'reputation': 726, 'user_id': 12121988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/693c34b7bdb9041ffca1fdc00bce59be?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hello', 'link': 'https://stackoverflow.com/users/12121988/hello'}",False,391,1,0,1669069542,1587759112,61416678,CC BY-SA 4.0,https://stackoverflow.com/questions/61416678/type-100-is-not-assignable-to-type-number-in-kendo-grid-column,Type &quot;100%&quot; is not assignable to type number in kendo-grid-column,,,,,
2,"['html', 'jquery', 'css', 'twitter-bootstrap']","{'account_id': 9488230, 'reputation': 67, 'user_id': 7065693, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1240343079349083/picture?type=large', 'display_name': 'Nikita Kornienko', 'link': 'https://stackoverflow.com/users/7065693/nikita-kornienko'}",False,410,1,0,1669047494,1585723042,60964932,CC BY-SA 4.0,https://stackoverflow.com/questions/60964932/how-to-turn-a-list-into-collapsible-list-using-bootstrap,"How to turn a list into collapsible list, using bootstrap",1669047494.0,,,,
3,"['javascript', 'html', 'css']","{'account_id': 8245480, 'reputation': 19, 'user_id': 6201709, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7oaiX.jpg?s=256&g=1', 'display_name': 'Phil', 'link': 'https://stackoverflow.com/users/6201709/phil'}",True,2196,2,1,1669040162,1586897315,61216973,CC BY-SA 4.0,https://stackoverflow.com/questions/61216973/how-to-close-collapsible-div-when-opening-new-one,How to close collapsible div when opening new one,1669038959.0,61218186.0,,,
4,"['javascript', 'css', 'reactjs', 'css-in-js']","{'account_id': 18165797, 'reputation': 55, 'user_id': 13216427, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/64a67745a4805a4c7c609f7e726a09fe?s=256&d=identicon&r=PG&f=1', 'display_name': 'AdyBaby', 'link': 'https://stackoverflow.com/users/13216427/adybaby'}",False,63,1,-2,1668832932,1587135356,61274586,,https://stackoverflow.com/questions/61274586/is-there-a-complete-style-syntax-reference-for-css-in-js,Is there a complete style syntax reference for css-in-js?,,,1668845671.0,Not suitable for this site,
5,"['html', 'css', 'outlook']","{'account_id': 15291625, 'reputation': 3, 'user_id': 11032961, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/513c246f605dcbfdaec40912d3c66287?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marcel', 'link': 'https://stackoverflow.com/users/11032961/marcel'}",True,304,2,0,1668682138,1587723405,61406064,CC BY-SA 4.0,https://stackoverflow.com/questions/61406064/outlook-live-image-wrapped-in-p-with-spacing,Outlook live image wrapped in p with spacing,,,,,
6,"['html', 'css', 'twitter-bootstrap', 'bootstrap-4']","{'account_id': 16324487, 'reputation': 74, 'user_id': 11789390, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-UtCE3_SblRw/AAAAAAAAAAI/AAAAAAAAACs/V5O1Vzg5GIg/photo.jpg?sz=256', 'display_name': 'Cam Gottschall', 'link': 'https://stackoverflow.com/users/11789390/cam-gottschall'}",True,4838,6,1,1668663031,1586710442,61174994,CC BY-SA 4.0,https://stackoverflow.com/questions/61174994/bootstrap-justify-content-end-not-working-as-expected,Bootstrap justify-content-end not working as expected,1586728313.0,61175130.0,,,
7,"['html', 'css', 'css-grid', 'centering']","{'account_id': 18285559, 'reputation': 41, 'user_id': 13429469, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-auFsov8FZgs/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMyMgRq5GtC4GAAfVU8SZRmRNQ4bQ/photo.jpg?sz=256', 'display_name': 'Adolin', 'link': 'https://stackoverflow.com/users/13429469/adolin'}",True,3236,3,4,1668626590,1588122883,61492613,CC BY-SA 4.0,https://stackoverflow.com/questions/61492613/centering-in-css-grid-with-a-fixed-width-column,Centering in CSS grid with a fixed width column,1588127030.0,,,,
8,"['css', 'css-selectors', 'tailwind-css']","{'account_id': 4901874, 'reputation': 483, 'user_id': 3949828, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/L71OK.jpg?s=256&g=1', 'display_name': 'Reza Majidi', 'link': 'https://stackoverflow.com/users/3949828/reza-majidi'}",True,30817,3,33,1668516645,1587979053,61455473,CC BY-SA 4.0,https://stackoverflow.com/questions/61455473/how-to-use-not-in-tailwind-css,How to use :not() in tailwind.css?,1587979792.0,61491084.0,,,
9,"['html', 'css']","{'account_id': 17437316, 'reputation': 746, 'user_id': 12640056, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2756755597697014/picture?type=large', 'display_name': 'Jon Nicholson', 'link': 'https://stackoverflow.com/users/12640056/jon-nicholson'}",True,3294,1,3,1668433508,1587503438,61353311,CC BY-SA 4.0,https://stackoverflow.com/questions/61353311/adding-background-blur-via-css-behind-pop-up-modal,Adding background blur via CSS behind pop-up modal,1668433508.0,61353584.0,,,
