,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,protected_date
0,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 7468171, 'reputation': 2554, 'user_id': 5676949, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/lTaoh.jpg?s=256&g=1', 'display_name': 'Dog', 'link': 'https://stackoverflow.com/users/5676949/dog'}",True,14608,58705306.0,2,9,1668475612,1572931613,1572935335.0,58704990,CC BY-SA 4.0,https://stackoverflow.com/questions/58704990/calculate-pixel-width-of-text-without-knowing-font-in-react-javascript,Calculate pixel width of text without knowing font in React/JavaScript,,,,
1,['css'],"{'account_id': 17036443, 'reputation': 181, 'user_id': 12325379, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4921b8b67aade74a52ffac360f2555d3?s=256&d=identicon&r=PG&f=1', 'display_name': 'gnielio', 'link': 'https://stackoverflow.com/users/12325379/gnielio'}",True,49105,64011970.0,7,15,1668171761,1573998331,,58901066,CC BY-SA 4.0,https://stackoverflow.com/questions/58901066/how-to-quickly-create-div-classes-in-vscode,How to quickly create &lt;div&gt; classes in VSCode,,,,
2,"['css', 'sass', 'angular-material', 'angular-material-6', 'angular-material-7']","{'account_id': 335755, 'reputation': 15963, 'user_id': 663011, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/5b5a2278b36469103a9b903be7160805?s=256&d=identicon&r=PG', 'display_name': 'Saurabh Kumar', 'link': 'https://stackoverflow.com/users/663011/saurabh-kumar'}",True,6060,,3,2,1668162294,1573458806,,58797438,CC BY-SA 4.0,https://stackoverflow.com/questions/58797438/put-traingle-on-top-of-mat-menu,Put traingle on top of mat menu,,,,
3,"['html', 'css', 'grid']","{'user_type': 'does_not_exist', 'display_name': 'user12098841'}",True,136,58707461.0,2,0,1667766478,1572931162,1572942664.0,58704920,CC BY-SA 4.0,https://stackoverflow.com/questions/58704920/how-do-i-make-a-grid-child-to-be-of-full-screen-width-irrespective-of-grid,How do I make a grid child to be of full screen width irrespective of grid?,,,,
4,"['css', 'twitter-bootstrap', 'fonts']","{'account_id': 10435346, 'reputation': 5541, 'user_id': 7693832, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/i0kVl.png?s=256&g=1', 'display_name': 'user7693832', 'link': 'https://stackoverflow.com/users/7693832/user7693832'}",False,242,,2,2,1667163443,1573458298,,58797331,CC BY-SA 4.0,https://stackoverflow.com/questions/58797331/where-is-the-cloudicon-font-library,Where is the `cloudicon` font library?,,,,
5,['css'],"{'account_id': 14667676, 'reputation': 561, 'user_id': 10593052, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/04677d6c1fcbfa8cfcea6bedf338e235?s=256&d=identicon&r=PG&f=1', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/10593052/brian'}",False,39,,2,0,1667131273,1574929949,1667131273.0,59084590,CC BY-SA 4.0,https://stackoverflow.com/questions/59084590/using-after-pseudo-class-to-target-child-several-divs-below-some-other-div,Using :after pseudo class to target child several divs below some other div,,,,
6,"['css', 'twitter-bootstrap', 'tempus-dominus-datetimepicker']","{'account_id': 13335864, 'reputation': 451, 'user_id': 9625755, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-GhcdZajKiaY/AAAAAAAAAAI/AAAAAAAAAGk/WpQHQMSl0d0/photo.jpg?sz=256', 'display_name': 'Y JRB', 'link': 'https://stackoverflow.com/users/9625755/y-jrb'}",True,1501,58853825.0,1,2,1666471613,1573723699,,58853384,CC BY-SA 4.0,https://stackoverflow.com/questions/58853384/bootstrap-tempus-dominus-styling-colors,Bootstrap-tempus-dominus styling colors,,,,
7,"['javascript', 'css']","{'account_id': 13168359, 'reputation': 1032, 'user_id': 9511689, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4c7df36e4d66da1ba914327b4bd3df4?s=256&d=identicon&r=PG&f=1', 'display_name': 'FlyingBurger', 'link': 'https://stackoverflow.com/users/9511689/flyingburger'}",True,7470,58980415.0,3,14,1666376824,1574356201,,58980235,CC BY-SA 4.0,https://stackoverflow.com/questions/58980235/stop-pasting-html-style-in-a-contenteditable-div-only-paste-the-plain-text,Stop pasting html style in a contenteditable div only paste the plain text,,,,
8,"['css', 'multiline', 'line-height']","{'account_id': 1114644, 'reputation': 2150, 'user_id': 1104292, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/d4c62c50b5b95f47b3e9a2f869041bef?s=256&d=identicon&r=PG', 'display_name': 'PHP User', 'link': 'https://stackoverflow.com/users/1104292/php-user'}",False,902,,3,0,1666357341,1575120147,,59116567,CC BY-SA 4.0,https://stackoverflow.com/questions/59116567/css-line-height-with-single-and-multi-line-item,CSS line-height with single and multi line item,,,,
9,"['javascript', 'css', 'angular', 'animation', 'angular-animations']","{'account_id': 2356630, 'reputation': 4763, 'user_id': 2064292, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/vyPBn.png?s=256&g=1', 'display_name': 'SamuraiJack', 'link': 'https://stackoverflow.com/users/2064292/samuraijack'}",True,1861,,3,1,1666004761,1572759751,,58677709,CC BY-SA 4.0,https://stackoverflow.com/questions/58677709/angular-animation-not-triggering,Angular animation not triggering,,,,
