,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'html', 'css']","{'account_id': 8598678, 'reputation': 3413, 'user_id': 6440990, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://lh4.googleusercontent.com/-Y6Q1Ff9DI8Y/AAAAAAAAAAI/AAAAAAAAAAs/U1lJQyqqW7s/photo.jpg?sz=256', 'display_name': 'Dan Zuzevich', 'link': 'https://stackoverflow.com/users/6440990/dan-zuzevich'}",True,1214,6,2,1669129906,1635533068,69773505,CC BY-SA 4.0,https://stackoverflow.com/questions/69773505/prevent-overlay-click-for-elements-with-a-higher-z-index,Prevent overlay click for elements with a higher z index,,,,,
1,"['javascript', 'html', 'css', 'ruby-on-rails', 'web']","{'account_id': 18074563, 'reputation': 39, 'user_id': 14839499, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-fTjq7LzE24A/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nC4KnK2l7IIk-UWdB6tQ7lXCFwsMw/photo.jpg?sz=256', 'display_name': 'Ale Yanczuk', 'link': 'https://stackoverflow.com/users/14839499/ale-yanczuk'}",False,44,1,0,1669100556,1635276546,69728917,CC BY-SA 4.0,https://stackoverflow.com/questions/69728917/changing-pages-disables-navbar-menu-on-ruby-on-rails,Changing pages disables navbar menu on Ruby on Rails,,,,,
2,"['javascript', 'html', 'css', 'twitter-bootstrap']","{'account_id': 7938622, 'reputation': 3, 'user_id': 5993590, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/22c5de525818b8dd49186c1c4f0d89dc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kazushia', 'link': 'https://stackoverflow.com/users/5993590/kazushia'}",True,217,1,-1,1669043732,1633702405,69497272,CC BY-SA 4.0,https://stackoverflow.com/questions/69497272/how-to-upgrade-from-bootstrap-v3-2-0-to-v5-1-2-button-collapse-does-not-work,How to upgrade from bootstrap V3.2.0 to V5.1.2 - (button collapse does not work),69536264.0,1669043732.0,,,
3,"['css', 'navbar', 'bootstrap-5']","{'account_id': 22989791, 'reputation': 1, 'user_id': 17115460, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhPmucUhxflldayUy8UVAVfUZ0fv89FlZOg70RQ=k-s256', 'display_name': 'Morzin', 'link': 'https://stackoverflow.com/users/17115460/morzin'}",False,514,1,0,1669043713,1633802106,69509261,CC BY-SA 4.0,https://stackoverflow.com/questions/69509261/bootstrap-5-1-aria-expanded-after-reaching-the-value-true-it-doesnt-change-to,Bootstrap 5.1 aria-expanded after reaching the value &#39;true&#39; it doesn&#39;t change to &#39;false&#39;,,1669043713.0,,,
4,"['html', 'css', 'reactjs', 'antd']","{'account_id': 23169301, 'reputation': 11, 'user_id': 17268765, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/95ae41cd8178e7dd3c8586e1791c0b0d?s=256&d=identicon&r=PG', 'display_name': 'Kate', 'link': 'https://stackoverflow.com/users/17268765/kate'}",True,330,1,1,1669043706,1635410096,69750781,CC BY-SA 4.0,https://stackoverflow.com/questions/69750781/change-collapse-panel-content-background-color,Change collapse panel content background color,,1669043706.0,,,
5,"['javascript', 'html', 'css']","{'account_id': 22797682, 'reputation': 1, 'user_id': 16950986, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgbySqrnftSdvH7_Bm4D6DNQvyoJhCQdg5wkJycmw=k-s256', 'display_name': 'GoobyDev', 'link': 'https://stackoverflow.com/users/16950986/goobydev'}",False,140,0,0,1668593403,1635337831,69738717,CC BY-SA 4.0,https://stackoverflow.com/questions/69738717/multiple-slideshows-in-html-css-js,Multiple slideshows in html/css/js,,,,,
6,"['css', 'reactjs', 'next.js', 'tailwind-css']","{'account_id': 19795714, 'reputation': 377, 'user_id': 14497708, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjIHpbP5bsZOe0K_Wzk79Th8rzA2No7ygdYD53c=k-s256', 'display_name': 'Oscar Ekstrand', 'link': 'https://stackoverflow.com/users/14497708/oscar-ekstrand'}",True,18826,7,16,1668317962,1633063845,69400560,CC BY-SA 4.0,https://stackoverflow.com/questions/69400560/how-to-change-scrollbar-when-using-tailwind-next-js-react,How to change scrollbar when using Tailwind (next.js/react),69410151.0,1633064517.0,,,
7,"['css', 'angular', 'primeng', 'styling']","{'account_id': 6346113, 'reputation': 463, 'user_id': 4926622, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/824797927576019/picture?type=large', 'display_name': 'Daniel Methner', 'link': 'https://stackoverflow.com/users/4926622/daniel-methner'}",True,1651,3,0,1668164220,1634111390,69551598,CC BY-SA 4.0,https://stackoverflow.com/questions/69551598/primeng-p-inputnumber-cannot-be-styled,PrimeNg p-inputnumber cannot be styled,69554501.0,1634124229.0,,,
8,"['css', 'reactjs', 'material-ui']","{'account_id': 7561518, 'reputation': 757, 'user_id': 9087739, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8191b4937e9296dbd76bc3e7ba65dd3f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/9087739/paul'}",True,3670,3,3,1667591695,1634139068,69558293,CC BY-SA 4.0,https://stackoverflow.com/questions/69558293/how-to-align-a-button-to-the-far-right-in-mui-appbar,How to align a Button to the far right in MUI AppBar?,69558425.0,1634139921.0,,,
9,"['javascript', 'html', 'css', 'responsive-design']","{'account_id': 23088442, 'reputation': 112, 'user_id': 17199617, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwNcjPLltly1pss0dwqCm6Qh9BrPtJgOX9Ct4Yv=k-s256', 'display_name': 'lebron james', 'link': 'https://stackoverflow.com/users/17199617/lebron-james'}",True,85,2,1,1667014165,1634719069,69642814,CC BY-SA 4.0,https://stackoverflow.com/questions/69642814/need-help-making-this-responsive-css-html-js,Need Help making this responsive - CSS/HTML/JS,74242613.0,1634719103.0,,,
10,"['javascript', 'css', 'vue.js', 'vue-dynamic-components']","{'account_id': 8057868, 'reputation': 645, 'user_id': 6074359, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/1jXji.jpg?s=256&g=1', 'display_name': 'Udit Gogoi', 'link': 'https://stackoverflow.com/users/6074359/udit-gogoi'}",False,132,1,2,1666835086,1634104262,69550347,CC BY-SA 4.0,https://stackoverflow.com/questions/69550347/how-to-put-alternate-background-for-nested-recursive-tree-structure-in-vue,How to put alternate background for nested recursive tree structure in Vue,,,,,
