,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,"['javascript', 'html', 'css']","{'account_id': 12555162, 'reputation': 45, 'user_id': 9135173, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5ab9d43d35fe1bcb0bd84950203828d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jamie Ricketts', 'link': 'https://stackoverflow.com/users/9135173/jamie-ricketts'}",False,66,3,0,1669056685,1554580084,1669056685.0,55552869,CC BY-SA 4.0,https://stackoverflow.com/questions/55552869/javascript-in-need-of-simplification-collapsible-tabs,Javascript in need of simplification - collapsible tabs,,,,,
1,"['html', 'css', 'css-transforms']","{'account_id': 1607309, 'reputation': 9245, 'user_id': 1487135, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/a1de21d9d79f1aafed7aea08dc9f9817?s=256&d=identicon&r=PG&f=1', 'display_name': 'noblerare', 'link': 'https://stackoverflow.com/users/1487135/noblerare'}",False,285,1,0,1668768084,1555012858,1668768084.0,55640296,CC BY-SA 4.0,https://stackoverflow.com/questions/55640296/how-do-i-keep-a-rotated-image-within-its-parent-div,How do I keep a rotated image within its parent div?,,,,,
2,"['javascript', 'css', 'angular', 'tooltip']","{'account_id': 8057868, 'reputation': 645, 'user_id': 6074359, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/1jXji.jpg?s=256&g=1', 'display_name': 'Udit Gogoi', 'link': 'https://stackoverflow.com/users/6074359/udit-gogoi'}",True,6031,2,3,1668718638,1554373956,1554377021.0,55513730,CC BY-SA 4.0,https://stackoverflow.com/questions/55513730/displaying-image-in-tooltip-is-giving-me-a-flickering-effect-when-hovered-over-t,Displaying image in tooltip is giving me a flickering effect when hovered over the content,55514137.0,,,,
3,['css'],"{'account_id': 11250453, 'reputation': 1078, 'user_id': 8251686, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d7037537fd7e3ededd79dea576386922?s=256&d=identicon&r=PG&f=1', 'display_name': 'Saral', 'link': 'https://stackoverflow.com/users/8251686/saral'}",True,173,2,-2,1667816590,1554275461,1667816590.0,55489088,CC BY-SA 4.0,https://stackoverflow.com/questions/55489088/fixed-sidebar-and-footer,Fixed Sidebar and Footer,55489318.0,,,,
4,"['html', 'css', 'accessibility', 'wcag']","{'account_id': 4076143, 'reputation': 13, 'user_id': 3347782, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/36504619/picture?type=large', 'display_name': 'user3347782', 'link': 'https://stackoverflow.com/users/3347782/user3347782'}",True,375,1,-1,1667592053,1555102806,1667592053.0,55659350,CC BY-SA 4.0,https://stackoverflow.com/questions/55659350/how-to-make-hover-state-revealed-text-accessible-through-tab-structure,How to make hover-state revealed text accessible through tab structure?,55659553.0,,,,
5,"['javascript', 'css', 'bootstrap-4', 'bootstrap-5']","{'user_type': 'does_not_exist', 'display_name': 'user7884989'}",True,39246,12,26,1667151194,1554813908,1603707027.0,55593229,CC BY-SA 4.0,https://stackoverflow.com/questions/55593229/increasing-the-size-of-a-bootstrap-checkbox,Increasing the size of a bootstrap checkbox,55593375.0,,,,
6,"['css', 'media-queries', 'responsive', 'tailwind-css', 'scss-mixins']","{'account_id': 3577520, 'reputation': 1899, 'user_id': 2986401, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/9b48bdba0baeee5d9e68fec1abbb9e83?s=256&d=identicon&r=PG', 'display_name': 'aitor', 'link': 'https://stackoverflow.com/users/2986401/aitor'}",True,41597,4,28,1667096304,1554569997,1643551108.0,55551405,CC BY-SA 4.0,https://stackoverflow.com/questions/55551405/tailwind-css-responsive-breakpoints-as-components,Tailwind CSS - Responsive breakpoints as components,55551805.0,,,,
7,"['javascript', 'jquery', 'html', 'css', 'css-transitions']","{'account_id': 4787317, 'reputation': 12439, 'user_id': 3867406, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/2953c91f637b80205241c00c3e215b9a?s=256&d=identicon&r=PG&f=1', 'display_name': 'ted', 'link': 'https://stackoverflow.com/users/3867406/ted'}",True,999,2,1,1666964239,1555510027,1555510402.0,55729477,CC BY-SA 4.0,https://stackoverflow.com/questions/55729477/smooth-growing-of-div-when-appending-children-using-transitions,smooth growing of div when appending children using transitions,,,,,
8,"['html', 'css', 'twitter-bootstrap']","{'account_id': 14913531, 'reputation': 13, 'user_id': 10768158, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-BFPAqQzyGno/AAAAAAAAAAI/AAAAAAAAKN4/XIEzHQv1zhg/photo.jpg?sz=256', 'display_name': 'alex ssensei', 'link': 'https://stackoverflow.com/users/10768158/alex-ssensei'}",True,41,2,0,1666571741,1555002202,1666571741.0,55637770,CC BY-SA 4.0,https://stackoverflow.com/questions/55637770/why-isnt-this-bootstrap-carousel-working,Why isn&#39;t this bootstrap carousel working?,,,,,
9,"['css', 'npm', 'sass', 'visual-studio-code']","{'account_id': 15658493, 'reputation': 31, 'user_id': 11297966, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/54b5b2b7a2a665945fb18a9d150f5cf9?s=256&d=identicon&r=PG&f=1', 'display_name': 'dominic', 'link': 'https://stackoverflow.com/users/11297966/dominic'}",True,4282,3,3,1666448093,1554193812,1554194652.0,55470202,CC BY-SA 4.0,https://stackoverflow.com/questions/55470202/setting-up-scss-color-variables-wont-work,Setting up SCSS color variables won&#39;t work,,,,,
