,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['javascript', 'css', 'angular', 'calendar']","{'account_id': 17751643, 'reputation': 3, 'user_id': 16496960, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/25d255f8cbcdd3e4452797813d3896a4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kayte', 'link': 'https://stackoverflow.com/users/16496960/kayte'}",False,104,1,0,1669126656,1652223203,72193722,CC BY-SA 4.0,https://stackoverflow.com/questions/72193722/how-to-hide-dates-on-angular-calendar,How to hide dates on Angular Calendar?,,,,,,,
1,"['css', 'reactjs']","{'account_id': 24249754, 'reputation': 1, 'user_id': 18200911, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/VbmOr.jpg?s=256&g=1', 'display_name': 'RIPON HOSSIAN SHUVO', 'link': 'https://stackoverflow.com/users/18200911/ripon-hossian-shuvo'}",False,38,2,0,1669054423,1651987868,72158353,CC BY-SA 4.0,https://stackoverflow.com/questions/72158353/react-component-css-file,React component CSS file,,,,,,,
2,"['javascript', 'html', 'css']","{'account_id': 25312194, 'reputation': 11, 'user_id': 19134791, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d50516e78261d0c20b7347b42224690?s=256&d=identicon&r=PG', 'display_name': 'Monem', 'link': 'https://stackoverflow.com/users/19134791/monem'}",False,449,1,1,1669050591,1652781111,72271801,CC BY-SA 4.0,https://stackoverflow.com/questions/72271801/writing-mode-vertical-rl-not-working-on-print,writing-mode: vertical-rl; Not Working on print,,,,,,,
3,"['css', 'shiny', 'shinydashboard']","{'account_id': 12659484, 'reputation': 221, 'user_id': 9200922, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5fc49582bee1ea7de543463da5c5be34?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chris', 'link': 'https://stackoverflow.com/users/9200922/chris'}",False,225,2,0,1669000776,1653564939,72391178,CC BY-SA 4.0,https://stackoverflow.com/questions/72391178/external-css-in-shiny-dashboard,External CSS in Shiny Dashboard,,,,,,,
4,"['javascript', 'css', 'reactjs', 'footer']","{'account_id': 19229049, 'reputation': 11, 'user_id': 14051294, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ARrLG7zk4jM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclCZ6QLrI5OZXm76x1e05vXdoqo6g/photo.jpg?sz=256', 'display_name': 'Dilshad Ara', 'link': 'https://stackoverflow.com/users/14051294/dilshad-ara'}",True,766,1,1,1668882401,1652016818,72161519,CC BY-SA 4.0,https://stackoverflow.com/questions/72161519/place-footer-at-the-bottom-of-a-web-page-in-react-app,Place footer at the bottom of a web page in React app,,,,,,,
5,"['html', 'css', 'vue.js', 'vuejs3', 'vuestic']","{'account_id': 11817668, 'reputation': 1944, 'user_id': 8647537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a9ae55b74fcdc9f500fd57115d60ccd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Taha Malik', 'link': 'https://stackoverflow.com/users/8647537/taha-malik'}",True,46,1,0,1668877468,1653278662,72343158,CC BY-SA 4.0,https://stackoverflow.com/questions/72343158/vuestic-vuejs-hide-element-on-small-devices,Vuestic VueJs hide element on small devices,74501964.0,,,,,,
6,"['javascript', 'css']","{'account_id': 25243920, 'reputation': 21, 'user_id': 19077414, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3efd8388f6c58c4484b1273da5e6323a?s=256&d=identicon&r=PG', 'display_name': 'Jorktoad', 'link': 'https://stackoverflow.com/users/19077414/jorktoad'}",False,67,1,2,1668738729,1652678000,72254408,CC BY-SA 4.0,https://stackoverflow.com/questions/72254408/problem-with-element-positioning-in-js-html,Problem with element positioning in JS / HTML,,,,,,,
7,"['javascript', 'python', 'html', 'css', 'django']","{'account_id': 18299067, 'reputation': 385, 'user_id': 13324349, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7E3f5.png?s=256&g=1', 'display_name': 'Brian Barry', 'link': 'https://stackoverflow.com/users/13324349/brian-barry'}",True,119,1,0,1668693195,1652925959,72297872,CC BY-SA 4.0,https://stackoverflow.com/questions/72297872/highlight-js-not-working-on-djangodash-website,highlight.js not working on django+dash website,,1652982498.0,,,,,
8,"['html', 'css', 'image', 'flexbox']","{'account_id': 19959670, 'reputation': 56, 'user_id': 14627571, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Jl9Cz.png?s=256&g=1', 'display_name': 'TheProgrammerEthan', 'link': 'https://stackoverflow.com/users/14627571/theprogrammerethan'}",False,41,2,0,1668438866,1652476985,72235554,CC BY-SA 4.0,https://stackoverflow.com/questions/72235554/how-can-i-make-text-and-image-be-on-the-same-height-alignment,How can I make text and image be on the same height alignment?,,1668438866.0,,,,,
9,"['jquery', 'css']","{'account_id': 2040847, 'reputation': 809, 'user_id': 1822092, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e50bd4338751e98632238b8c0ea290d9?s=256&d=identicon&r=PG', 'display_name': 'karlosuccess', 'link': 'https://stackoverflow.com/users/1822092/karlosuccess'}",True,1013,3,1,1668335144,1652344203,72212354,CC BY-SA 4.0,https://stackoverflow.com/questions/72212354/smooth-scrolling-to-an-anchor-in-another-page,Smooth Scrolling To An Anchor in Another Page,,1652361232.0,,,,,
10,"['javascript', 'html', 'css', 'frontend']","{'account_id': 19422177, 'reputation': 149, 'user_id': 14204488, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3e336102bff9868da3d16e6afc5ab570?s=256&d=identicon&r=PG&f=1', 'display_name': 'kokiwebaaa', 'link': 'https://stackoverflow.com/users/14204488/kokiwebaaa'}",False,121,3,-1,1668280272,1651668851,72113350,CC BY-SA 4.0,https://stackoverflow.com/questions/72113350/blur-whole-body-except-one-div-with-js,Blur whole body except one div with js,,1651669855.0,,,,,
11,"['html', 'css', 'laravel', 'tailwind-css', 'pseudo-class']","{'account_id': 25348165, 'reputation': 1, 'user_id': 19165450, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh-6BWJPKjpf2eXEs7N2oeR36Ys53AFgKoorI9G8Q=k-s256', 'display_name': 'Riki Eprilion Saputra', 'link': 'https://stackoverflow.com/users/19165450/riki-eprilion-saputra'}",False,861,2,0,1667838027,1653105024,72326526,CC BY-SA 4.0,https://stackoverflow.com/questions/72326526/group-focus-not-working-on-my-code-using-tailwindcss,Group-focus not working on my code using tailwindcss,,,,,,,
12,"['javascript', 'css', 'google-maps', 'google-maps-api-3']","{'account_id': 1006088, 'reputation': 5556, 'user_id': 1019850, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a36366207331039bf9baacbeafefa7e?s=256&d=identicon&r=PG', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/1019850/david'}",True,251,3,8,1667671895,1652696673,72257710,CC BY-SA 4.0,https://stackoverflow.com/questions/72257710/how-to-make-overlaid-pois-in-google-maps-accessible,How to make overlaid POIs in google maps accessible,72376153.0,1653209613.0,,,,,
