,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date,community_owned_date,locked_date
0,"['html', 'google-chrome', 'css', 'webkit']","{'account_id': 1254878, 'reputation': 6675, 'user_id': 1214563, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/b3c421c3b583291e1bec53780bea8748?s=256&d=identicon&r=PG', 'display_name': 'skyisred', 'link': 'https://stackoverflow.com/users/1214563/skyisred'}",True,1587,3,2,1669189001,1354478698,13673297,CC BY-SA 3.0,https://stackoverflow.com/questions/13673297/extra-margin-on-side-of-an-image-in-chrome,Extra margin on side of an image in Chrome,,,,,,,,
1,"['html', 'css']","{'account_id': 1520502, 'reputation': 1996, 'user_id': 1420296, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/de7cc7dfdcd84719295d0278f4d52bce?s=256&d=identicon&r=PG', 'display_name': 'soft genic', 'link': 'https://stackoverflow.com/users/1420296/soft-genic'}",True,56859,9,45,1668701932,1355498785,13881548,CC BY-SA 4.0,https://stackoverflow.com/questions/13881548/sticky-footer-hiding-content,Sticky footer hiding content,13883285.0,1572699779.0,,,,,,
2,"['php', 'css', 'facebook', 'html']","{'account_id': 1785409, 'reputation': 169, 'user_id': 1626972, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/108a1e719dade67252ba2a3e21ea4e2d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Div', 'link': 'https://stackoverflow.com/users/1626972/div'}",False,8580,3,0,1668445270,1356329440,14017703,CC BY-SA 3.0,https://stackoverflow.com/questions/14017703/how-to-give-scrollbar-to-the-div-in-mobile,How to give scrollbar to the div in mobile,,1356330613.0,,,,,,
3,['css'],"{'account_id': 2041878, 'reputation': 2418, 'user_id': 1822824, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/b33a24163b7c7720aacb93239ca17c3a?s=256&d=identicon&r=PG', 'display_name': 'user1822824', 'link': 'https://stackoverflow.com/users/1822824/user1822824'}",True,86558,12,53,1668343689,1354579964,13694062,CC BY-SA 3.0,https://stackoverflow.com/questions/13694062/css-left-center-right-align-text-on-same-line,"CSS: Left, Center, &amp; Right Align Text on Same Line",13694127.0,1444872676.0,,,,,,
4,"['html', 'css', 'browser']","{'account_id': 1917483, 'reputation': 33826, 'user_id': 1729773, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/F768X.gif?s=256&g=1', 'display_name': 'ATOzTOA', 'link': 'https://stackoverflow.com/users/1729773/atoztoa'}",True,286251,19,144,1668081789,1356558951,14046738,CC BY-SA 3.0,https://stackoverflow.com/questions/14046738/how-to-disable-css-in-browser-for-testing-purposes,How to disable CSS in Browser for testing purposes,14046754.0,1356559215.0,,,,,,
5,"['html', 'css']","{'account_id': 2181174, 'reputation': 41, 'user_id': 1930638, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f4fc5f2d8782b85d9845f8c5fc84f3c1?s=256&d=identicon&r=PG', 'display_name': 'user1930638', 'link': 'https://stackoverflow.com/users/1930638/user1930638'}",True,15425,6,4,1666750843,1356554842,14046087,CC BY-SA 3.0,https://stackoverflow.com/questions/14046087/image-after-text,Image after text,,1356633758.0,,,,,,
6,"['html', 'css', 'html-lists', 'css-multicolumn-layout']","{'account_id': 324455, 'reputation': 7334, 'user_id': 645029, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/9f68b511788bc7750d7740fe907755bd?s=256&d=identicon&r=PG', 'display_name': 'Devin Crossman', 'link': 'https://stackoverflow.com/users/645029/devin-crossman'}",True,14786,1,10,1666366795,1355099357,13793438,,https://stackoverflow.com/questions/13793438/ordered-list-two-column-flow,ordered list two column flow,13793523.0,1666366773.0,1666366868.0,Duplicate,,,,
7,"['html', 'css']","{'account_id': 1182620, 'reputation': 3127, 'user_id': 1157224, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/446dae8f7493cfac47881a73d477702d?s=256&d=identicon&r=PG', 'display_name': 'Castilho', 'link': 'https://stackoverflow.com/users/1157224/castilho'}",True,881,2,1,1666366722,1356443580,14031243,CC BY-SA 4.0,https://stackoverflow.com/questions/14031243/margin-of-one-element-affecting-the-element-at-its-side,Margin of one element affecting the element at its side,14031484.0,1666366722.0,,,,,,
8,"['html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user818700'}",True,251917,11,136,1666362274,1355317291,13840403,CC BY-SA 4.0,https://stackoverflow.com/questions/13840403/edit-line-thickness-of-css-underline-attribute,Edit line thickness of CSS &#39;underline&#39; attribute,13840572.0,1629457627.0,,,,,,
9,['css'],"{'account_id': 1233720, 'reputation': 21037, 'user_id': 1197775, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/e53f945a0f4c5ada2f489f65d182c147?s=256&d=identicon&r=PG&f=1', 'display_name': 'sites', 'link': 'https://stackoverflow.com/users/1197775/sites'}",True,7171,5,3,1666105668,1356710136,14072142,CC BY-SA 3.0,https://stackoverflow.com/questions/14072142/striped-text-in-css,Striped text in CSS,14072298.0,,,,,,,
10,"['css', 'safari']","{'user_type': 'does_not_exist', 'display_name': 'user1743227'}",True,11553,4,2,1665778912,1356366536,14023677,CC BY-SA 3.0,https://stackoverflow.com/questions/14023677/absolute-positioning-messed-up-in-safari,Absolute positioning messed up in Safari,14023720.0,,,,,,,
11,"['javascript', 'html', 'css', 'tooltip', 'delay']","{'account_id': 1843996, 'reputation': 7351, 'user_id': 1672778, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/uxHbs.gif?s=256&g=1', 'display_name': 'ModernDesigner', 'link': 'https://stackoverflow.com/users/1672778/moderndesigner'}",True,8267,3,6,1665451655,1355184642,13811538,CC BY-SA 3.0,https://stackoverflow.com/questions/13811538/how-to-delay-basic-html-tooltip,How to delay basic HTML tooltip?,13811558.0,,,,,,,
12,"['html', 'css', 'forms', 'file-upload']","{'account_id': 1394216, 'reputation': 787, 'user_id': 1324335, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/ca80732e2d6a0ce3c264165bd708ee69?s=256&d=identicon&r=PG', 'display_name': 'AttikAttak', 'link': 'https://stackoverflow.com/users/1324335/attikattak'}",True,14504,2,5,1665138113,1356726779,14075420,CC BY-SA 4.0,https://stackoverflow.com/questions/14075420/styling-the-input-type-file-how-do-i-display-the-file-path,Styling the input type=&quot;file&quot;. How do I display the file path?,14075577.0,1665138113.0,,,,,,
13,"['html', 'css', 'layout', 'positioning']","{'account_id': 378878, 'reputation': 1382, 'user_id': 731881, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/082182a2e2a07d0e8f9a94aa4310bbda?s=256&d=identicon&r=PG', 'display_name': 'technillogue', 'link': 'https://stackoverflow.com/users/731881/technillogue'}",False,68,1,-1,1665074177,1354389274,13662792,CC BY-SA 4.0,https://stackoverflow.com/questions/13662792/is-it-possible-to-position-elements-by-their-center,Is it possible to position elements by their center?,,1665074177.0,,,,,,
14,"['html', 'css', 'list', 'drop-down-menu', 'html-select']","{'account_id': 2069909, 'reputation': 1808, 'user_id': 1844626, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/663769a0664dc58fb688ad1f22667a9e?s=256&d=identicon&r=PG', 'display_name': 'user1844626', 'link': 'https://stackoverflow.com/users/1844626/user1844626'}",True,553133,7,78,1664964426,1355828682,13931571,CC BY-SA 3.0,https://stackoverflow.com/questions/13931571/how-can-change-width-of-dropdown-list,How can change width of dropdown list?,13931670.0,1455736842.0,,,,,,
