,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
0,"['mysql', 'sql']","{'account_id': 118083, 'reputation': 11074, 'user_id': 308851, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/lWWID.jpg?s=256&g=1', 'display_name': 'chx', 'link': 'https://stackoverflow.com/users/308851/chx'}",True,14110,11511356.0,6,6,1669387974,1342465907,1342507600.0,11510950,CC BY-SA 3.0,https://stackoverflow.com/questions/11510950/which-values-are-missing-in-sql-from-a-list,Which values are missing in SQL from a list?,,,,,,
1,"['c#', 'sql', 'sql-server-2005', 'stored-procedures']","{'account_id': 337344, 'reputation': 23597, 'user_id': 665557, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/10b31574b457051a4f033e149a10da81?s=256&d=identicon&r=PG', 'display_name': 'cdub', 'link': 'https://stackoverflow.com/users/665557/cdub'}",True,6207,,2,0,1669286368,1341533810,1341535074.0,11354287,CC BY-SA 3.0,https://stackoverflow.com/questions/11354287/sql-in-clause-in-stored-procedure,SQL IN Clause In Stored Procedure,,,,,,
2,"['sql', 'database', 'sql-server-2008']","{'account_id': 1487319, 'reputation': 5840, 'user_id': 1395266, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/FYakp.jpg?s=256&g=1', 'display_name': 'sudhAnsu63', 'link': 'https://stackoverflow.com/users/1395266/sudhansu63'}",True,161515,11560782.0,15,61,1669020013,1342700203,1342700333.0,11560713,CC BY-SA 3.0,https://stackoverflow.com/questions/11560713/generate-insert-script-for-selected-records,Generate insert script for selected records?,,,,,,
3,"['sql', 'sql-server', 'performance', 'sql-server-2008', 'tsql']","{'account_id': 1608072, 'reputation': 457, 'user_id': 1487708, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/26689800fbd068ee71cfd2f23645cc0b?s=256&d=identicon&r=PG', 'display_name': 'David W', 'link': 'https://stackoverflow.com/users/1487708/david-w'}",True,10950,11276989.0,4,24,1668757098,1341084000,,11276964,CC BY-SA 3.0,https://stackoverflow.com/questions/11276964/how-to-slow-down-a-sql-query,How To Slow Down A SQL Query?,,,,,,
4,"['sql', 'sql-server', 'common-table-expression']","{'account_id': 1138122, 'reputation': 19026, 'user_id': 1122748, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/ae686b9d7d0c93261e9ce8430ed7b2d5?s=256&d=identicon&r=PG', 'display_name': 'Learning', 'link': 'https://stackoverflow.com/users/1122748/learning'}",True,1751047,11491353.0,8,234,1668275092,1342349141,1378996706.0,11491240,CC BY-SA 3.0,https://stackoverflow.com/questions/11491240/how-to-create-temp-table-with-select-into-temptable-from-cte-query,How to create Temp table with SELECT * INTO tempTable FROM CTE Query,1525945814.0,,,,,
5,"['sql', 'oracle']","{'account_id': 1379391, 'reputation': 243, 'user_id': 1312739, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/04f60271655080ee945ab1896a7d5700?s=256&d=identicon&r=PG', 'display_name': 'Sekhar', 'link': 'https://stackoverflow.com/users/1312739/sekhar'}",False,7706,,2,0,1668164640,1343708383,1343715544.0,11733031,CC BY-SA 3.0,https://stackoverflow.com/questions/11733031/oracle-error-ora-01483-invalid-length-for-date-or-number-bind-variable,Oracle error ORA-01483: invalid length for DATE or NUMBER bind variable,,,,,,
6,"['sql', 'date']","{'account_id': 1646698, 'reputation': 21, 'user_id': 1518118, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7064f8f9c85863886e1effd968d9b585?s=256&d=identicon&r=PG', 'display_name': 'Paulinus P. Dwi Yulianto', 'link': 'https://stackoverflow.com/users/1518118/paulinus-p-dwi-yulianto'}",True,11556,,6,2,1667987932,1342018499,1521195023.0,11435423,CC BY-SA 3.0,https://stackoverflow.com/questions/11435423/how-do-i-add-to-some-date-excluding-weekends-using-sql-server,How do I add to some date excluding weekends using SQL Server?,,,,,,
7,"['sql', 'regex', 'postgresql', 'pattern-matching', 'ip-address']","{'account_id': 511162, 'reputation': 703, 'user_id': 1516064, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/3af51f2dfff6c5215ab08bf4a88ee610?s=256&d=identicon&r=PG', 'display_name': 'user7980', 'link': 'https://stackoverflow.com/users/1516064/user7980'}",True,3910,11569507.0,3,1,1667835466,1342730813,1342893274.0,11569039,CC BY-SA 3.0,https://stackoverflow.com/questions/11569039/regular-expression-for-extracting-an-ip-address-from-a-string-in-postgresql,Regular expression for extracting an IP address from a string in PostgreSQL,,,,,,
8,"['sql', 'sql-server', 'join', 'inner-join']","{'account_id': 72320, 'reputation': 843, 'user_id': 208869, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/cc2bb94383a544d2cc667fbf81daad51?s=256&d=identicon&r=PG', 'display_name': 'Karun', 'link': 'https://stackoverflow.com/users/208869/karun'}",True,284640,11574501.0,5,68,1667185006,1342767832,,11574442,CC BY-SA 3.0,https://stackoverflow.com/questions/11574442/inner-join-vs-inner-join-select-from,INNER JOIN vs INNER JOIN (SELECT . FROM),,,,,,
9,"['mysql', 'sql']","{'account_id': 472846, 'reputation': 1867, 'user_id': 2206362, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9de1f25da4bc118025bc4a774078ede6?s=256&d=identicon&r=PG', 'display_name': 'Rupesh Pawar', 'link': 'https://stackoverflow.com/users/2206362/rupesh-pawar'}",True,8264,11396446.0,6,4,1666549617,1341841723,,11396355,CC BY-SA 3.0,https://stackoverflow.com/questions/11396355/mysql-order-by-related-with-todays-date,MySql order by related with today&#39;s date,,,,,,
