,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_to,locked_date
0,"['mysql', 'sql', 'linux', 'bluehost']","{'account_id': 1155544, 'reputation': 6581, 'user_id': 1136267, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/YP5Fl.jpg?s=256&g=1', 'display_name': 'HerrimanCoder', 'link': 'https://stackoverflow.com/users/1136267/herrimancoder'}",True,47,74049634.0,1,0,1669329491,1665614005,1669329491.0,74048627,CC BY-SA 4.0,https://stackoverflow.com/questions/74048627/set-global-sql-mode-no-longer-works-and-setting-doesnt-exist-in-my-cnf,"SET GLOBAL sql_mode no longer works, and setting doesn&#39;t exist in my.cnf",,,,
1,"['mysql', 'sql', 'node.js', 'sequelize.js', 'sequelize-cli']","{'account_id': 17031723, 'reputation': 5, 'user_id': 12321753, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67e764915810445c03c695333f23ba65?s=256&d=identicon&r=PG&f=1', 'display_name': 'Luiz Cruz', 'link': 'https://stackoverflow.com/users/12321753/luiz-cruz'}",True,638,73999665.0,3,0,1669273635,1665112159,,73981981,CC BY-SA 4.0,https://stackoverflow.com/questions/73981981/sequelize-cli-migration-error-cannot-read-properties-of-undefined-reading-deta,Sequelize CLI migration error Cannot read properties of undefined (reading &#39;detail&#39;),,,,
2,"['sql', 'inner-join']","{'account_id': 26117833, 'reputation': 9, 'user_id': 19810650, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9a1d8fcec3114e21197464739d54168?s=256&d=identicon&r=PG', 'display_name': 'Davotango', 'link': 'https://stackoverflow.com/users/19810650/davotango'}",True,52,,2,-1,1669050632,1667158703,1667200091.0,74256187,CC BY-SA 4.0,https://stackoverflow.com/questions/74256187/why-sql-doesnt-see-the-table-i-created-within-a-data-set,Why SQL doesn&#39;t see the table I created within a data set?,,,,
3,"['sql', 'powershell']","{'account_id': 22170565, 'reputation': 69, 'user_id': 18644650, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwJqZyd6ay2Wx888HPIPykeJQcCRuJheszhwgzc=k-s256', 'display_name': 'Sergio Ramos', 'link': 'https://stackoverflow.com/users/18644650/sergio-ramos'}",False,25,,1,0,1668995141,1665657203,1665657619.0,74054323,CC BY-SA 4.0,https://stackoverflow.com/questions/74054323/connect-to-sql-server-and-retrieve-db-name-and-size-with-powershell-code,Connect to SQL Server and retrieve Db name and size with PowerShell code,,,,
4,"['sql', 'sql-server']","{'account_id': 19881300, 'reputation': 35, 'user_id': 14565266, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c77b3feefd45b810a47824987e3837bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kev W', 'link': 'https://stackoverflow.com/users/14565266/kev-w'}",True,113,74167492.0,2,2,1668872279,1666471920,1666788618.0,74167020,CC BY-SA 4.0,https://stackoverflow.com/questions/74167020/select-top-1000-across-multiple-tables,Select TOP 1000 across multiple tables,,,,
5,"['sql', 'google-bigquery']","{'account_id': 9143816, 'reputation': 29, 'user_id': 6800817, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b87e615a64ab97b068609b2105d3d6c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deddy', 'link': 'https://stackoverflow.com/users/6800817/deddy'}",True,63,74488273.0,1,-1,1668767437,1666776746,,74205539,CC BY-SA 4.0,https://stackoverflow.com/questions/74205539/what-is-the-time-complexity-of-executing-a-simple-query-in-terms-of-the-number-o,What is the time complexity of executing a simple query in terms of the number of rows in a table?,,,,
6,"['mysql', 'sql', 'sum', 'case']","{'account_id': 11833370, 'reputation': 113, 'user_id': 8659432, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36fbcea11fdb5156a18a596eaa6faecc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Obito Uchiha', 'link': 'https://stackoverflow.com/users/8659432/obito-uchiha'}",False,59,,2,0,1668761098,1666348425,,74152339,CC BY-SA 4.0,https://stackoverflow.com/questions/74152339/how-to-use-group-by-on-columns-with-sum-and-case-when,How to use GROUP BY on columns with SUM and CASE WHEN,,,,
7,"['javascript', 'sql', 'node.js', 'postgresql', 'prisma']","{'account_id': 14476967, 'reputation': 203, 'user_id': 10457357, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-y1lUiwo4KIU/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DVlzsSHrKEKsTZZVIGd_8PsSLu8YQ/mo/photo.jpg?sz=256', 'display_name': 'DRE', 'link': 'https://stackoverflow.com/users/10457357/dre'}",True,47,,1,1,1668760612,1666429326,,74162255,CC BY-SA 4.0,https://stackoverflow.com/questions/74162255/prisma-query-from-given-table-as-parameter,Prisma query from given table as parameter,,,,
8,"['sql', 'ftp']","{'account_id': 3322923, 'reputation': 159, 'user_id': 2793602, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8uZIN.jpg?s=256&g=1', 'display_name': 'opperman.eric', 'link': 'https://stackoverflow.com/users/2793602/opperman-eric'}",False,48,,1,0,1668758483,1666126830,,74117415,CC BY-SA 4.0,https://stackoverflow.com/questions/74117415/bcp-queryout-file-to-ftp-server,BCP queryout file to FTP server,,,,
9,"['sql', 'json', 'graphql', 'amazon-rds']","{'account_id': 5848633, 'reputation': 1, 'user_id': 20295351, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10204006916363115/picture?type=large', 'display_name': 'Bruno Esteves', 'link': 'https://stackoverflow.com/users/20295351/bruno-esteves'}",False,16,,1,0,1668634693,1666297402,,74145926,CC BY-SA 4.0,https://stackoverflow.com/questions/74145926/appsync-rds-sql-not-returning-json-format,Appsync RDS SQL not returning JSON format,,,,
