,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['sql', 'oracle', 'date']","{'account_id': 20717587, 'reputation': 181, 'user_id': 15212664, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-Pqk7CjXEdY4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmz4a3rM9KyQiiqgqy4Qwar94sPcg/s96-c/photo.jpg?sz=256', 'display_name': 'Lefteris Kyprianou', 'link': 'https://stackoverflow.com/users/15212664/lefteris-kyprianou'}",True,235,2,0,1669368301,1627376235,68541868,CC BY-SA 4.0,https://stackoverflow.com/questions/68541868/convert-month-name-to-month-number-sql,Convert Month name to month number SQL,,,,
1,"['sql', 'sql-server', 'database', 'stored-procedures']","{'account_id': 12945770, 'reputation': 1, 'user_id': 9360187, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Y-algwblGTs/AAAAAAAAAAI/AAAAAAAAAoQ/sM0rzTLcADc/photo.jpg?sz=256', 'display_name': 'Matteo Russo', 'link': 'https://stackoverflow.com/users/9360187/matteo-russo'}",False,1760,3,0,1669303832,1626986331,68491239,CC BY-SA 4.0,https://stackoverflow.com/questions/68491239/testdome-sql-test-on-procedure,TestDome SQL test on Procedure,1626986682.0,,,
2,"['sql', 'sql-server', 'restore', 'database-backups']","{'account_id': 2500178, 'reputation': 51, 'user_id': 2175526, 'user_type': 'registered', 'accept_rate': 12, 'profile_image': 'https://www.gravatar.com/avatar/93cd8da51c2ab41fbe76b6dc7e1f9c57?s=256&d=identicon&r=PG', 'display_name': 'pmcs', 'link': 'https://stackoverflow.com/users/2175526/pmcs'}",False,131,2,0,1669231602,1626442905,68410061,CC BY-SA 4.0,https://stackoverflow.com/questions/68410061/initiate-and-get-backup-file-from-one-sql-server-to-another-via-database-link,Initiate and Get backup file from one SQL server to another via database link,1637302735.0,,,
3,"['sql', 'postgresql', 'constraints', 'postgresql-9.6', 'exclusion-constraint']","{'account_id': 3013537, 'reputation': 7228, 'user_id': 3322533, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/cbbd1b40887d19bc0c8fdd5ef42a05ed?s=256&d=identicon&r=PG', 'display_name': 'User1291', 'link': 'https://stackoverflow.com/users/3322533/user1291'}",True,161,3,0,1668008171,1626097569,68348465,CC BY-SA 4.0,https://stackoverflow.com/questions/68348465/constraint-on-a-group-of-rows,Constraint on a group of rows,1626097896.0,,,
4,"['sql', 'postgresql', 'python-asyncio']","{'account_id': 17005430, 'reputation': 950, 'user_id': 12301726, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/UyFnu.jpg?s=256&g=1', 'display_name': 'poloniki', 'link': 'https://stackoverflow.com/users/12301726/poloniki'}",False,301,0,0,1666690144,1627160064,68513737,CC BY-SA 4.0,https://stackoverflow.com/questions/68513737/sql-query-returns-only-one-value-instead-of-table,SQL query returns only one value instead of table,1666690144.0,,,
5,"['sql', 'dataframe', 'pyspark', 'group-by']","{'account_id': 3032965, 'reputation': 541, 'user_id': 2571607, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/de7e509064c3bb4dc31163a8885a4c27?s=256&d=identicon&r=PG', 'display_name': 'Yue Y', 'link': 'https://stackoverflow.com/users/2571607/yue-y'}",True,855,2,2,1665586557,1625692198,68293011,CC BY-SA 4.0,https://stackoverflow.com/questions/68293011/pyspark-aggregation-using-dictionary-with-countdistinct-functions,Pyspark aggregation using dictionary with countDistinct functions,1625696906.0,68293337.0,,
6,"['sql', 'postgresql', 'common-table-expression']","{'account_id': 10192081, 'reputation': 27, 'user_id': 7780680, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-h6aynWMf_Zc/AAAAAAAAAAI/AAAAAAAAADQ/fYmq_EbIWlY/photo.jpg?sz=256', 'display_name': 'sai', 'link': 'https://stackoverflow.com/users/7780680/sai'}",True,81,1,0,1664686427,1627295317,68528300,CC BY-SA 4.0,https://stackoverflow.com/questions/68528300/does-with-query-store-the-results-of-referred-tables,Does WITH query store the results of referred tables?,1664686427.0,68529220.0,,
7,"['sql', 'powerbi', 'etl', 'snowflake-cloud-data-platform']","{'account_id': 22336063, 'reputation': 3, 'user_id': 16556625, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/95f374e5292b0c6494bdf36d24711786?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kneeonthewheel', 'link': 'https://stackoverflow.com/users/16556625/kneeonthewheel'}",True,62,1,0,1664054843,1627586218,68581763,,https://stackoverflow.com/questions/68581763/snowflake-vs-snowflake-preview-app-and-other-general-clarifications-in-using-sno,Snowflake vs Snowflake Preview App and other general clarifications in using Snowflake with Power BI,1664054843.0,68582683.0,1627646068.0,Needs more focus
8,"['sql', 'odbc', 'driver', 'pos']","{'account_id': 18363290, 'reputation': 1, 'user_id': 13374914, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bae0e91fa448ffe403571bef6f3ff620?s=256&d=identicon&r=PG&f=1', 'display_name': 'harrisjt2000', 'link': 'https://stackoverflow.com/users/13374914/harrisjt2000'}",False,70,1,0,1663889390,1626262325,68377260,CC BY-SA 4.0,https://stackoverflow.com/questions/68377260/mgv-dataminer-for-ibm-toshiba-4690-odbc-driver,MGV Dataminer for IBM/Toshiba 4690 ODBC Driver,,,,
9,"['mysql', 'sql']","{'account_id': 22040344, 'reputation': 27, 'user_id': 16306200, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwKthEJ-IEZZy6wJ8qOPmyOnk5ecm_nWZk0oDqO=k-s256', 'display_name': 'Aman Thakur', 'link': 'https://stackoverflow.com/users/16306200/aman-thakur'}",True,79,2,1,1663740381,1625085390,68201334,CC BY-SA 4.0,https://stackoverflow.com/questions/68201334/sql-query-on-considering-a-like-statement,SQL Query on considering a like statement,1625085440.0,,,
10,"['mysql', 'sql', 'json', 'nested', 'mysql-json']","{'account_id': 11167023, 'reputation': 1, 'user_id': 8195383, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aababf0ee828ce648c391ff670ef2328?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rudra Saha', 'link': 'https://stackoverflow.com/users/8195383/rudra-saha'}",False,238,1,0,1663270411,1626158411,68357627,CC BY-SA 4.0,https://stackoverflow.com/questions/68357627/sorting-a-json-object-in-sql,Sorting a JSON object in SQL,1626163610.0,,,
11,"['sql', 'google-cloud-platform', 'google-bigquery', 'materialized-views']","{'account_id': 1282560, 'reputation': 2079, 'user_id': 1236326, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/19364e9fcedf07efd137d751295402d2?s=256&d=identicon&r=PG', 'display_name': 'ProGirlXOXO', 'link': 'https://stackoverflow.com/users/1236326/progirlxoxo'}",False,1725,0,1,1662525341,1625692129,68293001,CC BY-SA 4.0,https://stackoverflow.com/questions/68293001/materialized-view-with-inner-join-says-unsupported-operator-in-materialized-vie,Materialized View with Inner Join says &quot;Unsupported operator in materialized view: Join&quot;,1662525341.0,,,
12,"['sql', 'reporting-services', 'microsoft-reporting']","{'account_id': 15834570, 'reputation': 21, 'user_id': 11424802, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-gUv25pQix3o/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3re3GuQSJmqbeTyoB18xHvYDTSVD9A/mo/photo.jpg?sz=256', 'display_name': 'Andre', 'link': 'https://stackoverflow.com/users/11424802/andre'}",True,528,2,-1,1661904700,1625168660,68216118,CC BY-SA 4.0,https://stackoverflow.com/questions/68216118/recieving-the-error-column-name-or-number-of-supplied-values-does-not-match-tab,Recieving the error &quot;Column name or number of supplied values does not match table definition&quot;?,1661904700.0,,,
13,"['sql', 'google-bigquery']","{'account_id': 14412176, 'reputation': 47, 'user_id': 10410623, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-E2_eeuX0tk0/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DUZPf9hfy6LXyzRiNfAJHtw8Beu7g/mo/photo.jpg?sz=256', 'display_name': 'car', 'link': 'https://stackoverflow.com/users/10410623/car'}",False,235,2,0,1661453597,1627601333,68583812,CC BY-SA 4.0,https://stackoverflow.com/questions/68583812/efficient-forward-fill-bigquery,efficient forward fill bigquery,,,,
14,"['sql', 'sql-server', 'tsql']","{'account_id': 22016382, 'reputation': 41, 'user_id': 16285804, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/10e971fbf543c3126d94ef4c65920354?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lars', 'link': 'https://stackoverflow.com/users/16285804/lars'}",False,815,4,-2,1661379562,1627275004,68524637,CC BY-SA 4.0,https://stackoverflow.com/questions/68524637/how-to-display-query-only-the-value-after-the-first-comma,How to display/query only the value after the first comma,1627277283.0,,,
15,"['sql', 'sql-server', 'select']","{'user_type': 'does_not_exist', 'display_name': 'user13904092'}",True,71,1,-1,1661376906,1625688473,68292455,CC BY-SA 4.0,https://stackoverflow.com/questions/68292455/creating-a-unique-identifier-if-a-specific-condition-is-met-in-select-query,Creating a unique identifier if a specific condition is met in Select-Query,1625688576.0,68292479.0,,
