,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['sql', 'elixir', 'ecto']","{'account_id': 15870791, 'reputation': 91, 'user_id': 11451505, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d19d52381d272c448c77e0847c694497?s=256&d=identicon&r=PG', 'display_name': 'Kourosh Alinaghi', 'link': 'https://stackoverflow.com/users/11451505/kourosh-alinaghi'}",True,249,67305733.0,1,2,1669173149,1619628711,1669173149.0,67304563,CC BY-SA 4.0,https://stackoverflow.com/questions/67304563/recursive-sql-query-with-ecto-query,Recursive SQL query with Ecto.Query,,,
1,"['sql', 'postgresql', 'materialized-views']","{'account_id': 3280397, 'reputation': 700, 'user_id': 2761145, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/da67e643e0bd09c68c9e31d2c3e56e5a?s=256&d=identicon&r=PG&f=1', 'display_name': 'general46', 'link': 'https://stackoverflow.com/users/2761145/general46'}",False,585,,1,1,1669040784,1617984214,,67024503,CC BY-SA 4.0,https://stackoverflow.com/questions/67024503/listing-tables-used-by-materialized-view-in-postgresql,Listing tables USED BY materialized view in PostgreSQL?,,,
2,"['mysql', 'sql', 'constraints', 'assertion']","{'account_id': 20768916, 'reputation': 1, 'user_id': 15252110, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-01Zv2EsxR38/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnoBdCqC-kO_F7Si_YFg5X0S6VH0g/s96-c/photo.jpg?sz=256', 'display_name': 'Kiarash Moshar', 'link': 'https://stackoverflow.com/users/15252110/kiarash-moshar'}",False,435,,1,0,1669014103,1617774168,,66980166,CC BY-SA 4.0,https://stackoverflow.com/questions/66980166/does-mysql-support-create-assertion-statement-like-below,Does MySQL support &#39;Create Assertion&#39; statement like below?,,,
3,"['sql', 'oracle', 'oracle11g']","{'account_id': 21298632, 'reputation': 1, 'user_id': 15674757, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-TEBo9bp_fQ8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBYt8LK5ZUZe07k2WuhAr2vzF9cA/s96-c/photo.jpg?sz=256', 'display_name': 'SYCSE11 Navjyot Sakhalkar', 'link': 'https://stackoverflow.com/users/15674757/sycse11-navjyot-sakhalkar'}",True,586,,5,0,1668582909,1618683642,1618687837.0,67141556,CC BY-SA 4.0,https://stackoverflow.com/questions/67141556/ora-00947-not-enough-values-can-anyone-give-me-solution-plz,ORA-00947: Not enough values. Can anyone give me solution plz,,,
4,"['sql', 'casting', 'db2']","{'account_id': 16081184, 'reputation': 131, 'user_id': 11607046, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-EMAAvD-g7jk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3revaUHTfvL2IgwIhB3B_VtIJ7bycw/mo/photo.jpg?sz=256', 'display_name': 'user11607046', 'link': 'https://stackoverflow.com/users/11607046/user11607046'}",False,7696,,3,0,1668236690,1619158543,1665627110.0,67224834,CC BY-SA 4.0,https://stackoverflow.com/questions/67224834/how-to-cast-string-to-date,How to cast string to date?,,,
5,"['sql', 'amazon-athena']","{'account_id': 20906134, 'reputation': 443, 'user_id': 15358022, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-3Jp84UP3kmI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhPB-rrF6KdE3zRDFwlAjbywJU3g/s96-c/photo.jpg?sz=256', 'display_name': 'Dawson Smith', 'link': 'https://stackoverflow.com/users/15358022/dawson-smith'}",True,2521,66992966.0,2,3,1668110398,1617822792,1617824741.0,66992719,CC BY-SA 4.0,https://stackoverflow.com/questions/66992719/how-to-rename-a-table-in-athena,How to rename a table in Athena?,,,
6,"['sql', 'postgresql']","{'account_id': 6547523, 'reputation': 5691, 'user_id': 5063031, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/a10284924bd77f292510557382276fb1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeb50', 'link': 'https://stackoverflow.com/users/5063031/jeb50'}",True,462,67131746.0,1,0,1666272899,1618595017,1666272899.0,67129903,CC BY-SA 4.0,https://stackoverflow.com/questions/67129903/column-reference-is-not-ambiguous,Column reference is NOT ambiguous,,,
7,"['sql', 'postgresql', 'join', 'sql-update']","{'account_id': 19438150, 'reputation': 107, 'user_id': 14217142, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae2ede54dafedba7f7c1f5386e29bd53?s=256&d=identicon&r=PG', 'display_name': 'SMA', 'link': 'https://stackoverflow.com/users/14217142/sma'}",True,502,,2,0,1663786515,1618598653,1618599552.0,67130613,CC BY-SA 4.0,https://stackoverflow.com/questions/67130613/update-a-table-use-result-of-another-query-in-postgres,Update a table use result of another query in Postgres,,,
8,"['sql', 'powerbi', 'powerquery', 'powerbi-desktop', 'powerbi-datasource']","{'account_id': 21124439, 'reputation': 1, 'user_id': 15529938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0081e82bfd934415fb73fba8b87719e?s=256&d=identicon&r=PG&f=1', 'display_name': 'brifen', 'link': 'https://stackoverflow.com/users/15529938/brifen'}",False,319,,1,0,1663525107,1617275683,1617277836.0,66903515,CC BY-SA 4.0,https://stackoverflow.com/questions/66903515/convert-dax-function-incl-allexcept-average-to-powerquerys-m,"Convert DAX function (incl. ALLEXCEPT, AVERAGE) to PowerQuery&#39;s M",,,
9,"['sql', 'scala', 'pyspark', 'databricks', 'azure-databricks']","{'account_id': 20726501, 'reputation': 115, 'user_id': 15219674, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe8002bb346eb9dbfcf8b1f037fc75cc?s=256&d=identicon&r=PG&f=1', 'display_name': 'batman_special', 'link': 'https://stackoverflow.com/users/15219674/batman-special'}",True,13282,67095266.0,1,4,1663063876,1618414932,1618557368.0,67094881,CC BY-SA 4.0,https://stackoverflow.com/questions/67094881/how-to-use-widgets-to-pass-dynamic-column-names-in-dataframe-select-statement,How to use widgets to pass dynamic column names in Dataframe select statement,,,
10,"['sql', 'database', 'flutter', 'dart', 'sqflite']","{'account_id': 18387171, 'reputation': 113, 'user_id': 13393938, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjpTIcKqd1SNsegcZw-5RRoO2REb2xeOPH33mAgOw=k-s256', 'display_name': 'sanjay .k.santhosh', 'link': 'https://stackoverflow.com/users/13393938/sanjay-k-santhosh'}",True,16556,67053311.0,4,11,1662321217,1618167944,1618206213.0,67049107,CC BY-SA 4.0,https://stackoverflow.com/questions/67049107/the-non-nullable-variable-database-must-be-initialized,The non-nullable variable &#39;_database&#39; must be initialized,,,
11,"['sql', 'if-statement', 'stored-procedures', 'db2']","{'account_id': 21258171, 'reputation': 23, 'user_id': 15639324, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c3d469f445f6e3d9a20f323eb7a62bf8?s=256&d=identicon&r=PG&f=1', 'display_name': 'GEDS27', 'link': 'https://stackoverflow.com/users/15639324/geds27'}",False,1878,,3,0,1661442480,1618485737,1618486699.0,67107526,CC BY-SA 4.0,https://stackoverflow.com/questions/67107526/why-me-store-procedure-just-return-the-result-of-the-first-if,Why me store procedure just return the result of the first IF?,,,
12,"['sql', 'database', 'sqlite', 'yelp']","{'account_id': 20747694, 'reputation': 57, 'user_id': 15235946, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/iiwDA.jpg?s=256&g=1', 'display_name': 'Towlie', 'link': 'https://stackoverflow.com/users/15235946/towlie'}",True,3178,67213253.0,1,-2,1661113039,1619080916,1619090038.0,67209757,CC BY-SA 4.0,https://stackoverflow.com/questions/67209757/how-to-create-integrate-the-yelp-dataset-in-sqlite-coursera-sql-for-data-scie,How to create / integrate the Yelp Dataset in SQLite (Coursera SQL for Data Science),,,
13,"['sql', 'sql-server', 'tsql', 'datetimeoffset']","{'account_id': 9030943, 'reputation': 113, 'user_id': 6728563, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/U1844.png?s=256&g=1', 'display_name': 'Krishna Nekkala', 'link': 'https://stackoverflow.com/users/6728563/krishna-nekkala'}",True,209,67084460.0,1,0,1660364963,1618363479,1660364963.0,67084327,CC BY-SA 4.0,https://stackoverflow.com/questions/67084327/sql-datetimeoffset-eventdatetime-conversion-failed-when-converting-date-and,SQL DATETIMEOFFSET (Eventdatetime ) - Conversion failed when converting date and/or time from character string,,,
14,"['sql', 'sql-server', 'encoding', 'utf-8', 'etl']","{'account_id': 1804740, 'reputation': 524, 'user_id': 1642127, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/oASyT.jpg?s=256&g=1', 'display_name': 'Paweł Sopel', 'link': 'https://stackoverflow.com/users/1642127/pawe%c5%82-sopel'}",False,558,,1,1,1658094470,1617282209,1617282684.0,66905072,CC BY-SA 4.0,https://stackoverflow.com/questions/66905072/get-and-md5-hash-of-an-utf-8-encoded-string-in-sql-server,Get and MD5 hash of an UTF-8 encoded string in SQL Server,,,
15,"['sql', 'google-bigquery']","{'account_id': 11219766, 'reputation': 3666, 'user_id': 8231270, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c6e1120519e52171ff9641bb6cb3b86?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mr Singh', 'link': 'https://stackoverflow.com/users/8231270/mr-singh'}",True,9287,,3,2,1657690091,1618317571,1618329685.0,67075060,CC BY-SA 4.0,https://stackoverflow.com/questions/67075060/missing-whitespace-between-literal-and-alias-at-in-bigquery-sql,Missing whitespace between literal and alias at in bigquery sql,,,
16,"['sql', 'sql-server', 'tsql']","{'account_id': 20459732, 'reputation': 306, 'user_id': 15012638, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/48c5c0087dffb66ae73fdcacf03b0b05?s=256&d=identicon&r=PG&f=1', 'display_name': 'Martin James', 'link': 'https://stackoverflow.com/users/15012638/martin-james'}",True,458,67419210.0,4,1,1656917738,1619785054,,67333790,CC BY-SA 4.0,https://stackoverflow.com/questions/67333790/full-text-search-vs-fuzzy-search-based-on-many-columns,Full text search VS Fuzzy Search based on many columns,,,
