,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
0,"['sql', 'sql-server', 'sql-server-2008-r2']","{'account_id': 1211433, 'reputation': 33582, 'user_id': 1179880, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/02d09848db9f59fa45d61d9c4100e779?s=256&d=identicon&r=PG', 'display_name': 'whytheq', 'link': 'https://stackoverflow.com/users/1179880/whytheq'}",True,384665,22148787.0,11,119,1669368522,1351249210,1618472997.0,13085655,CC BY-SA 4.0,https://stackoverflow.com/questions/13085655/search-of-table-names,Search of table names,,,,,
1,"['mysql', 'sql', 'select', 'pivot']","{'account_id': 875298, 'reputation': 1672, 'user_id': 925063, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/fmvt4.jpg?s=256&g=1', 'display_name': 'Ruben_PH', 'link': 'https://stackoverflow.com/users/925063/ruben-ph'}",True,2535,12675203.0,2,4,1668921863,1349067335,1349621419.0,12667699,CC BY-SA 3.0,https://stackoverflow.com/questions/12667699/sql-query-fields-as-columns,SQL Query fields as columns,,,,,
2,"['sql', 'ruby-on-rails-3', 'activerecord', 'arel']","{'account_id': 1488758, 'reputation': 5480, 'user_id': 1396395, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/fe769223c305b9945f8b295d1f60f8d5?s=256&d=identicon&r=PG', 'display_name': 'ChuckE', 'link': 'https://stackoverflow.com/users/1396395/chucke'}",True,2231,,2,4,1668416079,1351164423,,13067573,CC BY-SA 3.0,https://stackoverflow.com/questions/13067573/arel-how-to-write-attr-null-in-arel-speak,Arel: How to write attr = NULL in arel speak?,,,,,
3,"['sql', 'ms-access', 'self-join']","{'account_id': 1339819, 'reputation': 1141, 'user_id': 1281743, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/5dbedf7206ff8c00127fc7b876fba552?s=256&d=identicon&r=PG', 'display_name': 'Nelluk', 'link': 'https://stackoverflow.com/users/1281743/nelluk'}",True,2222,13013604.0,5,2,1667940013,1350913512,1350915622.0,13012761,CC BY-SA 3.0,https://stackoverflow.com/questions/13012761/select-parents-that-have-no-children-in-a-self-join-relationship,Select parents that have no children in a self-join relationship,,,,,
4,"['sql', 'postgresql', 'insert', 'export', 'postgresql-copy']","{'account_id': 449292, 'reputation': 8368, 'user_id': 844005, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/c5940c4ff6837313a7142576d0e7f84e?s=256&d=identicon&r=PG&f=1', 'display_name': 'null', 'link': 'https://stackoverflow.com/users/844005/null'}",True,273829,12816187.0,11,263,1667759538,1349859098,1660960749.0,12815496,CC BY-SA 4.0,https://stackoverflow.com/questions/12815496/export-specific-rows-from-a-postgresql-table-as-insert-sql-script,Export specific rows from a PostgreSQL table as INSERT SQL script,,,,,
5,"['sql', 'sql-server', 'join']","{'account_id': 930381, 'reputation': 4637, 'user_id': 960362, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/031e30c4f9c0728b3a557e9a1844247f?s=256&d=identicon&r=PG', 'display_name': 'tarheel', 'link': 'https://stackoverflow.com/users/960362/tarheel'}",True,341062,23901947.0,5,86,1667350074,1351556012,1667349975.0,13131496,CC BY-SA 4.0,https://stackoverflow.com/questions/13131496/how-to-do-join-on-multiple-criteria-returning-all-combinations-of-both-criteria,"How to do join on multiple criteria, returning all combinations of both criteria?",,,,,
6,"['javascript', 'sql', 'sqlite', 'node.js']","{'account_id': 1045328, 'reputation': 19831, 'user_id': 1050447, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/5017ec24332d7354fa71f0c94fd74558?s=256&d=identicon&r=PG', 'display_name': 'Adam Waite', 'link': 'https://stackoverflow.com/users/1050447/adam-waite'}",False,8803,,1,-1,1666407930,1349776341,1351858896.0,12797332,CC BY-SA 3.0,https://stackoverflow.com/questions/12797332/sqlite-select-from-table-where-id-troubles,SQLite SELECT * FROM table WHERE id=? Troubles,,,,,
7,"['python', 'sql', 'sqlalchemy']","{'account_id': 441767, 'reputation': 6439, 'user_id': 832057, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/a5cbd07efd53a3e16124de3829abec0e?s=256&d=identicon&r=PG', 'display_name': 'tiho', 'link': 'https://stackoverflow.com/users/832057/tiho'}",True,162786,12942437.0,9,93,1664866394,1350500388,1495540025.0,12941416,CC BY-SA 3.0,https://stackoverflow.com/questions/12941416/how-to-count-rows-with-select-count-with-sqlalchemy,How to count rows with SELECT COUNT(*) with SQLAlchemy?,,,,,
8,"['sql', 'database', 'postgresql', 'auto-increment', 'postgresql-serial']","{'account_id': 216210, 'reputation': 1471, 'user_id': 1374478, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3e2fc14d87bd1a7ff6e41066287a4ebc?s=256&d=identicon&r=PG', 'display_name': 'AntiGMO', 'link': 'https://stackoverflow.com/users/1374478/antigmo'}",True,64589,12836448.0,5,59,1664495891,1349946499,1664495047.0,12836043,CC BY-SA 4.0,https://stackoverflow.com/questions/12836043/how-to-insert-a-record-into-a-table-with-a-column-declared-with-the-serial-funct,How to insert a record into a table with a column declared with the SERIAL function,,,,,
9,"['sql', 'sql-server', 'tsql', 'sql-server-2008-r2']","{'account_id': 1650483, 'reputation': 51, 'user_id': 1521193, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/08cceff4f137dd9bfa93f845d84a0ed7?s=256&d=identicon&r=PG', 'display_name': 'kjh23', 'link': 'https://stackoverflow.com/users/1521193/kjh23'}",True,4341,12938363.0,4,0,1664253218,1350489057,,12938273,CC BY-SA 3.0,https://stackoverflow.com/questions/12938273/sql-server-most-recent-date-and-sale-amount-columns,SQL Server - Most recent date and sale amount columns,,,,,
10,"['mysql', 'sql', 'stored-functions']","{'account_id': 996041, 'reputation': 645, 'user_id': 1011953, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/a325452a7376e6d67cf010297b91a992?s=256&d=identicon&r=PG', 'display_name': 'iraxef', 'link': 'https://stackoverflow.com/users/1011953/iraxef'}",False,10020,,2,3,1663733195,1351115406,1351120189.0,13058331,CC BY-SA 3.0,https://stackoverflow.com/questions/13058331/mysql-function-selecting-and-returning-column,MySQL Function: Selecting and returning column,,,,,
11,"['sql', 'database', 'relation', 'relational-algebra']","{'user_type': 'does_not_exist', 'display_name': 'user379888'}",True,46589,12998834.0,4,13,1663360662,1350828257,1663360662.0,12998521,CC BY-SA 4.0,https://stackoverflow.com/questions/12998521/understanding-the-concept-of-insertion-anomaly,understanding the concept of Insertion Anomaly,,,,,
12,"['php', 'sql', 'html-select']","{'account_id': 1918685, 'reputation': 11, 'user_id': 1730682, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19f41f9540be153ab78aee9576b84df3?s=256&d=identicon&r=PG', 'display_name': 'newbie_17', 'link': 'https://stackoverflow.com/users/1730682/newbie-17'}",True,1730,,3,1,1663255936,1349802323,1663255936.0,12804922,CC BY-SA 4.0,https://stackoverflow.com/questions/12804922/how-to-select-all-option-for-multiple-dropdowns-and-perform-query-in-php-and-mys,How to select all option for multiple dropdowns and perform query in php and mysql? easier method?,,,,,
13,"['php', 'html', 'mysql', 'sql']","{'user_type': 'does_not_exist', 'display_name': 'user1698602'}",True,5957,12681409.0,2,6,1661627238,1349124052,1349130282.0,12680738,CC BY-SA 3.0,https://stackoverflow.com/questions/12680738/mysql-query-with-limit-and-large-offset-taking-forever,MySQL query with limit and large offset taking forever,,,,,
14,"['sql', 'tsql', 'sql-server-2005', 'stored-procedures', 'clrstoredprocedure']","{'account_id': 119286, 'reputation': 43, 'user_id': 310879, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/24270f8193166b6d962ec2aef373b9e1?s=256&d=identicon&r=PG', 'display_name': 'Praful Ravindra', 'link': 'https://stackoverflow.com/users/310879/praful-ravindra'}",False,4190,,4,1,1660747132,1350898266,,13008464,CC BY-SA 3.0,https://stackoverflow.com/questions/13008464/how-to-extract-date-fields-from-string-text-field-in-sql-server-2005,How to extract date fields from string/text field in sql server 2005,,,,,
15,"['sql', 'sql-server', 'tsql']","{'account_id': 1647594, 'reputation': 501, 'user_id': 1518823, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/75d96123cbeed68fea52e4f74f74e834?s=256&d=identicon&r=PG', 'display_name': 'jaielob', 'link': 'https://stackoverflow.com/users/1518823/jaielob'}",True,309979,12663048.0,11,48,1660639146,1349022947,1619274647.0,12662954,,https://stackoverflow.com/questions/12662954/query-error-with-ambiguous-column-name-in-sql,Query error with ambiguous column name in SQL,1666333501.0,Duplicate,,,
16,"['sql', 'sql-server', 'sql-server-2005']","{'account_id': 1626304, 'reputation': 164245, 'user_id': 1501794, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/VyUv5.jpg?s=256&g=1', 'display_name': 'Rahul Tripathi', 'link': 'https://stackoverflow.com/users/1501794/rahul-tripathi'}",True,31749,,6,4,1659528591,1349622707,,12769991,CC BY-SA 3.0,https://stackoverflow.com/questions/12769991/how-to-execute-multiple-stored-procedures-at-a-time,How to execute multiple stored procedures at a time?,,,,,
17,"['sql', 'sql-server', 'sql-server-2008', 'cumulative-sum']","{'account_id': 1578027, 'reputation': 2947, 'user_id': 1464026, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/4b5777e2f53645a075942c406f772ef3?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/1464026/sam'}",True,74326,,13,30,1659437854,1349074862,1448362092.0,12668785,CC BY-SA 3.0,https://stackoverflow.com/questions/12668785/cumulating-value-of-current-row-sum-of-previous-rows,Cumulating value of current row + sum of previous rows,,,,,
