,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,locked_date
0,['sql'],"{'account_id': 16088526, 'reputation': 659, 'user_id': 11612543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24e48ace9c763a0697afd16adb92105c?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlvinH', 'link': 'https://stackoverflow.com/users/11612543/alvinh'}",True,7918,6,2,1668532196,1592027077,1592027388.0,62356006,CC BY-SA 4.0,https://stackoverflow.com/questions/62356006/sql-count-more-than-average-having-vs-where,SQL: Count more than average HAVING vs. WHERE,,,,
1,"['sql', 'scala', 'apache-spark', 'pyspark', 'apache-spark-sql']","{'account_id': 9659814, 'reputation': 83, 'user_id': 7168266, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1243561245664342/picture?type=large', 'display_name': 'John Coffey', 'link': 'https://stackoverflow.com/users/7168266/john-coffey'}",True,1379,4,3,1668520297,1592948451,1668520297.0,62544200,CC BY-SA 4.0,https://stackoverflow.com/questions/62544200/spark-merge-rows-in-one-row,Spark merge rows in one row,62544717.0,,,
2,"['sql', 'sql-server', 'database', 'triggers']","{'account_id': 14987069, 'reputation': 13, 'user_id': 10819337, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a158708db107cfa0bf5aadef0d276db?s=256&d=identicon&r=PG&f=1', 'display_name': 'ali.qb', 'link': 'https://stackoverflow.com/users/10819337/ali-qb'}",True,3799,2,0,1668277544,1591800269,1591802034.0,62306406,CC BY-SA 4.0,https://stackoverflow.com/questions/62306406/sql-server-trigger-delete-from-table-after-delete,SQL Server trigger: Delete From Table AFTER DELETE,62306972.0,,,
3,"['javascript', 'sql', 'typescript', 'typeorm']","{'account_id': 976822, 'reputation': 12727, 'user_id': 2304170, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/cFWku.jpg?s=256&g=1', 'display_name': 'DarkLite1', 'link': 'https://stackoverflow.com/users/2304170/darklite1'}",True,1897,1,3,1668074378,1591428654,,62228684,CC BY-SA 4.0,https://stackoverflow.com/questions/62228684/typeorm-how-to-write-to-different-databases,typeorm how to write to different databases?,62245268.0,,,
4,"['python', 'sql', 'dataframe', 'apache-spark', 'pyspark']","{'account_id': 18742153, 'reputation': 91, 'user_id': 13665204, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-jc9ysLsHr0M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucneVeeUi9nt9h5yrxz3OeZPORTY8g/photo.jpg?sz=256', 'display_name': 'shreder1921', 'link': 'https://stackoverflow.com/users/13665204/shreder1921'}",True,3343,2,1,1668029749,1592745178,1592750178.0,62499029,CC BY-SA 4.0,https://stackoverflow.com/questions/62499029/pyspark-query-and-sql-pyspark-query,pyspark query and sql pyspark query,,,,
5,"['mysql', 'sql']","{'account_id': 17310399, 'reputation': 51, 'user_id': 12538162, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAKlv7OXDTpR_h9s1FmBbchflTktbs_9pEmrH8x=k-s256', 'display_name': 'Aarrav Agarwal', 'link': 'https://stackoverflow.com/users/12538162/aarrav-agarwal'}",True,6948,3,3,1667979279,1593025224,1593028194.0,62562281,CC BY-SA 4.0,https://stackoverflow.com/questions/62562281/how-to-draw-triangle-star-pattern-with-mysql-without-using-stored-procedure,How to draw Triangle star pattern with MySQL without using Stored Procedure?,,,,
6,"['python', 'sql', 'sqlite', 'binding']","{'account_id': 18565011, 'reputation': 35, 'user_id': 13528190, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg971t_WCe3hVGS1U4ggSBDxtpShHvbMxBGbIz1iQ=k-s256', 'display_name': 'inexile', 'link': 'https://stackoverflow.com/users/13528190/inexile'}",False,48,1,-3,1667637275,1591629215,,62265284,CC BY-SA 4.0,https://stackoverflow.com/questions/62265284/sqlite3-incorrect-number-of-bindings-supplied,sqlite3: Incorrect number of bindings supplied,,,,
7,"['sql', 'azure-sql-database']","{'account_id': 7975059, 'reputation': 41, 'user_id': 6018514, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/db403f52a19fed26e468b2c04f0cbae1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Steve Meyer', 'link': 'https://stackoverflow.com/users/6018514/steve-meyer'}",True,980,2,0,1667437533,1593100468,1593168820.0,62579389,CC BY-SA 4.0,https://stackoverflow.com/questions/62579389/option-recompile-faster-when-using-local-variables,option recompile faster when using local variables,62593193.0,,,
8,"['php', 'sql', 'laravel']","{'account_id': 14720690, 'reputation': 125, 'user_id': 10631415, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Prince Asamoah', 'link': 'https://stackoverflow.com/users/10631415/prince-asamoah'}",True,1084,2,0,1667255895,1592149224,,62374716,CC BY-SA 4.0,https://stackoverflow.com/questions/62374716/how-to-display-html-values-from-a-database-in-a-blade-view-in-laravel,how to display html values from a database in a blade view in Laravel?,62374749.0,,,
9,"['sql', 'arrays', 'json', 'postgresql', 'aggregate-functions']","{'account_id': 7243902, 'reputation': 33, 'user_id': 5526521, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebe3e8f83cf4c4914e9217ccc7bc0484?s=256&d=identicon&r=PG&f=1', 'display_name': 'Basavraj', 'link': 'https://stackoverflow.com/users/5526521/basavraj'}",True,4191,3,3,1667227253,1592050215,1641943826.0,62359561,CC BY-SA 4.0,https://stackoverflow.com/questions/62359561/postgres-get-multiple-rows-into-a-single-json-object,Postgres get multiple rows into a single json object,62360072.0,,,
