,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from
0,"['sql', 'oracle', 'syntax', 'calculated-columns']","{'account_id': 41574, 'reputation': 19788, 'user_id': 120888, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/1bc4ef3a499a15e9d6b5a27b02ddeb46?s=256&d=identicon&r=PG', 'display_name': 'Giffyguy', 'link': 'https://stackoverflow.com/users/120888/giffyguy'}",True,186,61146410.0,2,3,1668718780,1586540452,1586550745.0,61145679,CC BY-SA 4.0,https://stackoverflow.com/questions/61145679/why-doesnt-oracle-recognize-a-stored-generated-column-definition,Why doesn&#39;t Oracle recognize a stored generated column definition?,,,,
1,"['sql', 'postgresql', 'foreign-keys', 'information-schema', 'database-metadata']","{'account_id': 5127244, 'reputation': 25146, 'user_id': 4108803, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/6FukI.png?s=256&g=1', 'display_name': 'blackgreen', 'link': 'https://stackoverflow.com/users/4108803/blackgreen'}",True,506,61250769.0,1,4,1668457280,1587038514,1587087220.0,61249732,CC BY-SA 4.0,https://stackoverflow.com/questions/61249732/null-values-for-referential-constraints-unique-constraint-columns-in-informati,NULL values for referential_constraints.unique_constraint_* columns in information schema,,,,
2,"['sql', 'oracle', 'oracle11g']","{'account_id': 16697198, 'reputation': 307, 'user_id': 12068058, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e4d30fcb8c6dc6c330554cfcab26d281?s=256&d=identicon&r=PG&f=1', 'display_name': 'Serum', 'link': 'https://stackoverflow.com/users/12068058/serum'}",True,7501,,4,5,1668245503,1586877491,1586877853.0,61211205,CC BY-SA 4.0,https://stackoverflow.com/questions/61211205/how-can-i-set-auto-increment-of-a-primary-key-in-the-table-in-sql-developer,How can I set auto increment of a primary key in the table in SQL DEVELOPER?,,,,
3,"['sql', 'postgresql', 'psycopg2', 'python-3.7', 'postgresql-12']","{'account_id': 16338934, 'reputation': 47, 'user_id': 11800280, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10157872015804617/picture?type=large', 'display_name': 'Calil', 'link': 'https://stackoverflow.com/users/11800280/calil'}",True,1058,61648056.0,1,0,1667798397,1587999356,1667798397.0,61461740,CC BY-SA 4.0,https://stackoverflow.com/questions/61461740/select-rows-from-database-using-varying-multiple-where-conditions,Select rows from database using varying multiple WHERE conditions,,,,
4,"['sql', 'postgresql', 'routes', 'combinatorics', 'product-variations']","{'account_id': 8419915, 'reputation': 460, 'user_id': 6946122, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/mgAzD.jpg?s=256&g=1', 'display_name': 'sequoia', 'link': 'https://stackoverflow.com/users/6946122/sequoia'}",True,429,61671881.0,4,5,1667772192,1586365897,1667772192.0,61106218,CC BY-SA 4.0,https://stackoverflow.com/questions/61106218/sql-update-with-all-possible-combinations,SQL: Update with all possible combinations,,,,
5,"['sql', 'ms-access']","{'account_id': 9113344, 'reputation': 468, 'user_id': 6781190, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://lh6.googleusercontent.com/-MTsq6jGgD3g/AAAAAAAAAAI/AAAAAAAAAYo/GuiQztfX8ew/photo.jpg?sz=256', 'display_name': 'Rafael Rodrigues Santos', 'link': 'https://stackoverflow.com/users/6781190/rafael-rodrigues-santos'}",True,28,61446924.0,1,1,1667687261,1587929566,1667687261.0,61446875,CC BY-SA 4.0,https://stackoverflow.com/questions/61446875/ms-access-sql-code-query-issue-with-not-in,MS Access SQL code - query issue with NOT IN,,,,
6,"['java', 'sql', 'sqlite', 'google-chrome']","{'account_id': 18307997, 'reputation': 81, 'user_id': 13331457, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg7uNorQL3BvLE0CnkSlR2fq4f6kwVRf1cUt414UBw=k-s256', 'display_name': 'DALJIT SINGH', 'link': 'https://stackoverflow.com/users/13331457/daljit-singh'}",True,1461,61261060.0,1,0,1667393134,1587048725,1587128387.0,61253276,CC BY-SA 4.0,https://stackoverflow.com/questions/61253276/time-spent-on-each-chrome-tab-website-from-data-stored-in-history-sqlite,Time spent on each chrome tab/website from data stored in History sqlite,,,,
7,"['sql', 'presto', 'translate']","{'account_id': 16868059, 'reputation': 21, 'user_id': 12197272, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCdB1RpKbAh_PGRSNjEp57FB0b5ab1OlEpclafY=k-s256', 'display_name': 'Larissa Tsuda', 'link': 'https://stackoverflow.com/users/12197272/larissa-tsuda'}",True,868,,2,2,1667231159,1585751026,1585834724.0,60973158,CC BY-SA 4.0,https://stackoverflow.com/questions/60973158/does-presto-have-a-function-like-translate,Does Presto have a function like translate()?,,,,
8,"['mysql', 'sql', 'join']","{'account_id': 16407193, 'reputation': 17, 'user_id': 11851462, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-9iTgLIcbdBg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rehaSlRjSdHZ3dkNkzGQkcQOMMcyA/photo.jpg?sz=256', 'display_name': 'Mukesh Narwal', 'link': 'https://stackoverflow.com/users/11851462/mukesh-narwal'}",True,58,61041539.0,2,-3,1667160354,1586082040,1667160354.0,61041097,CC BY-SA 4.0,https://stackoverflow.com/questions/61041097/sql-query-giving-repetitive-results,SQL query giving repetitive results,,,,
9,"['sql', 'oracle']","{'account_id': 15715926, 'reputation': 35, 'user_id': 11340143, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d55e39b12736644e0e19ead25f17833e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Musa', 'link': 'https://stackoverflow.com/users/11340143/musa'}",False,340,,2,0,1667160307,1585842342,1585852579.0,60995562,CC BY-SA 4.0,https://stackoverflow.com/questions/60995562/need-to-remove-duplicates-in-my-query-oracle-r12,Need to remove duplicates in my query oracle r12,,,,
10,"['sql', 'sql-server']","{'account_id': 17440660, 'reputation': 13, 'user_id': 12642777, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/443b9929b0ef74bdae8010541054184c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hasan Bilir', 'link': 'https://stackoverflow.com/users/12642777/hasan-bilir'}",True,78,61099602.0,2,-1,1667159907,1586345197,1667159907.0,61099565,CC BY-SA 4.0,https://stackoverflow.com/questions/61099565/sql-server-credit-debit-and-balance,"SQL Server Credit, Debit and Balance",,,,
11,"['sql', 'database', 'schema']","{'account_id': 15143898, 'reputation': 19, 'user_id': 10928191, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f9a851ec4f91d365b60f8b0849de7a35?s=256&d=identicon&r=PG&f=1', 'display_name': 'user10928191', 'link': 'https://stackoverflow.com/users/10928191/user10928191'}",True,40,,1,0,1666991487,1586434104,,61120811,,https://stackoverflow.com/questions/61120811/difference-between-database-schema-database-and-data-version-control,"Difference between Database Schema, Database and Data - version control",1666994765.0,Needs more focus,,
12,"['sql', 'google-bigquery']","{'account_id': 18197515, 'reputation': 11, 'user_id': 13242309, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/72bb607f3e0771c571984603c2b8dd09?s=256&d=identicon&r=PG&f=1', 'display_name': 'sharath', 'link': 'https://stackoverflow.com/users/13242309/sharath'}",True,601,61076593.0,1,0,1665666621,1586207011,1586335035.0,61068936,CC BY-SA 4.0,https://stackoverflow.com/questions/61068936/convert-single-row-into-multiple-rows-bigquery-sql,Convert single row into multiple rows Bigquery SQL,,,,
13,"['mysql', 'sql']","{'account_id': 7548566, 'reputation': 117, 'user_id': 5730811, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9590936d4130245c37422c14ca77ad8d?s=256&d=identicon&r=PG&f=1', 'display_name': 'J. Doe', 'link': 'https://stackoverflow.com/users/5730811/j-doe'}",True,70,,1,0,1665589865,1586264938,1665589865.0,61080775,CC BY-SA 4.0,https://stackoverflow.com/questions/61080775/sql-join-two-tables-and-count-also-null-values,SQL - JOIN two tables and COUNT (also NULL values),,,,
14,"['sql', 'oracle', 'where-clause']","{'user_type': 'does_not_exist', 'display_name': 'user2388827'}",False,111,,1,1,1665586631,1585850548,1665586631.0,60998103,CC BY-SA 4.0,https://stackoverflow.com/questions/60998103/how-to-filter-records-which-includes-open-intervals-or-specific-closed-intervals,How to filter records which includes open intervals or specific closed intervals with Oracle SQL WHERE clause?,,,,
15,"['sql', 'sql-server', 'oledb', 'sql-server-2019']","{'account_id': 7488528, 'reputation': 729, 'user_id': 5691001, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/1f546bf86e1f84a892cf928b230d68b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ash', 'link': 'https://stackoverflow.com/users/5691001/ash'}",False,7006,,1,1,1663833275,1586427266,,61118849,CC BY-SA 4.0,https://stackoverflow.com/questions/61118849/cannot-connect-to-sql-server-2019-using-new-msoledbsql,Cannot connect to SQL Server 2019 using new MSOLEDBSQL,,,,
