,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,migrated_from,protected_date,closed_date,closed_reason
0,"['sql', 'postgresql', 'elixir', 'phoenix-framework', 'ecto']","{'user_type': 'does_not_exist', 'display_name': 'user11346330'}",True,606,1,0,1669173804,1620280026,1669173804.0,67412525,CC BY-SA 4.0,https://stackoverflow.com/questions/67412525/can-we-change-the-primary-key-for-the-all-the-migration-which-is-in-production,Can we change the primary key for the all the migration which is in production?,,,,,
1,"['python', 'sql', 'pandas']","{'account_id': 13138476, 'reputation': 2638, 'user_id': 9490769, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xt4Z0.png?s=256&g=1', 'display_name': 'oskros', 'link': 'https://stackoverflow.com/users/9490769/oskros'}",True,376,2,4,1668071224,1622104252,1668071224.0,67718518,CC BY-SA 4.0,https://stackoverflow.com/questions/67718518/how-to-automate-parameters-passed-into-pandas-read-sql,How to automate parameters passed into pandas.read_sql?,67774630.0,,,,
2,"['sql', 'cassandra', 'cql', 'cqlsh']","{'account_id': 975043, 'reputation': 403, 'user_id': 996565, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/c4fecb24832d416ab96c10fbaf20c184?s=256&d=identicon&r=PG', 'display_name': 'Sunny', 'link': 'https://stackoverflow.com/users/996565/sunny'}",True,46,1,2,1667872423,1621726635,1667872423.0,67654994,CC BY-SA 4.0,https://stackoverflow.com/questions/67654994/updating-a-column-in-a-table-based-on-its-value-from-another-table-on-id-match,Updating a column in a table based on its value from another table on id match,67656907.0,,,,
3,"['sql', 'random', 'databricks', 'sample']","{'account_id': 544764, 'reputation': 26490, 'user_id': 914308, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/faf93acfc52667bc4e8caf785b249ddc?s=256&d=identicon&r=PG', 'display_name': 'screechOwl', 'link': 'https://stackoverflow.com/users/914308/screechowl'}",True,341,2,0,1667660704,1621887532,,67678482,CC BY-SA 4.0,https://stackoverflow.com/questions/67678482/databricks-tablesample-only-using-certain-groups,Databricks : tablesample only using certain groups,,,,,
4,"['sql', 'druid']","{'account_id': 10822141, 'reputation': 13, 'user_id': 7959258, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1cee442347dc04bc6f3f6d1d8930ecec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Loren Gilmore', 'link': 'https://stackoverflow.com/users/7959258/loren-gilmore'}",True,1091,2,1,1667537430,1622231572,,67744771,CC BY-SA 4.0,https://stackoverflow.com/questions/67744771/druid-sql-group-by-date,Druid SQL group by date,67744826.0,,,,
5,"['sql', 'postgresql', 'window-functions']","{'account_id': 16322955, 'reputation': 532, 'user_id': 11788255, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a70759c60db20f81d61ef565cd29cd6d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jane Borges', 'link': 'https://stackoverflow.com/users/11788255/jane-borges'}",True,791,3,1,1667476022,1621350213,1621357189.0,67588925,CC BY-SA 4.0,https://stackoverflow.com/questions/67588925/how-to-find-consecutive-dates-in-postgres-sql,How to Find Consecutive Dates in Postgres SQL,67589916.0,,,,
6,"['sql', 'firebird']","{'account_id': 8562104, 'reputation': 2196, 'user_id': 6415828, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/sb7NP.jpg?s=256&g=1', 'display_name': 'Diego Alves', 'link': 'https://stackoverflow.com/users/6415828/diego-alves'}",True,180,3,-1,1666364076,1621091594,1621094958.0,67548231,CC BY-SA 4.0,https://stackoverflow.com/questions/67548231/is-there-a-way-to-use-datediff-with-literal-dates-in-firebird,Is there a way to use datediff with literal dates in Firebird?,,,,,
7,"['mysql', 'sql', 'select', 'query-optimization']","{'account_id': 8181081, 'reputation': 191, 'user_id': 12105661, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/83c6776a7cfc40cf45c67793b0b8efd4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Viktor', 'link': 'https://stackoverflow.com/users/12105661/viktor'}",True,1515,2,0,1666103708,1621893263,,67679369,CC BY-SA 4.0,https://stackoverflow.com/questions/67679369/checking-multiple-columns-for-one-value-with-greater-than-or-equal,Checking multiple columns for one value with greater than or equal (&gt;=),67679955.0,,,,
8,"['sql', 'postgresql']","{'account_id': 11206850, 'reputation': 13, 'user_id': 8222203, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/15cfcd5bf270a20b2829366e25367e48?s=256&d=identicon&r=PG&f=1', 'display_name': 'dev', 'link': 'https://stackoverflow.com/users/8222203/dev'}",True,1178,4,0,1665863131,1621994737,1621995115.0,67697628,CC BY-SA 4.0,https://stackoverflow.com/questions/67697628/postgres-bank-account-transaction-balance,Postgres Bank Account Transaction Balance,67697809.0,,,,
9,"['sql', '.net', 'postgresql', 'npgsql', 'unnest']","{'account_id': 2097086, 'reputation': 444, 'user_id': 1865593, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/4d526f1f4c99a6f2c7c71e15cb9ab81d?s=256&d=identicon&r=PG', 'display_name': 'trinny', 'link': 'https://stackoverflow.com/users/1865593/trinny'}",False,247,1,2,1665651255,1621488013,1621492319.0,67614396,CC BY-SA 4.0,https://stackoverflow.com/questions/67614396/unnest-and-bulk-insert-in-postgresql-using-net-npgsql,Unnest and bulk insert in PostgreSQL using .NET Npgsql,,,,,
10,"['sql', 'amazon-redshift']","{'account_id': 20910324, 'reputation': 179, 'user_id': 15361369, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a30fb97670ec4ea55a214e3c42d040c9?s=256&d=identicon&r=PG&f=1', 'display_name': 'IOIOIOIOIOIOI', 'link': 'https://stackoverflow.com/users/15361369/ioioioioioioi'}",True,4946,2,2,1663775037,1620903590,,67518075,CC BY-SA 4.0,https://stackoverflow.com/questions/67518075/redshift-nested-case-when-if-then-else,Redshift nested case when/ If then else,67518353.0,,,,
11,"['sql', 'excel', 'data-analysis']","{'account_id': 19901207, 'reputation': 1, 'user_id': 14581168, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiQ2nOgeB-u_1AZQJWJ-PuXVMraXR-dXHqOMcZp=k-s256', 'display_name': 'Fivermori', 'link': 'https://stackoverflow.com/users/14581168/fivermori'}",False,534,2,0,1663756543,1620961334,,67528571,CC BY-SA 4.0,https://stackoverflow.com/questions/67528571/how-to-connect-excel-with-sql-database,How to connect Excel with SQL Database?,,,,,
12,"['sql', 'sqlite', 'indexing', 'query-optimization', 'database-optimization']","{'account_id': 21193883, 'reputation': 415, 'user_id': 15585831, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d2e0c18f813c23713208a431e4e64a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'zenno2', 'link': 'https://stackoverflow.com/users/15585831/zenno2'}",True,489,1,-1,1662251211,1620731710,1662251211.0,67485646,CC BY-SA 4.0,https://stackoverflow.com/questions/67485646/very-slow-queries-in-a-large-database-even-with-indexes,Very slow queries in a large database even with indexes,67485684.0,,,,
