,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason
0,"['sql', 'sql-server']","{'account_id': 11102162, 'reputation': 143, 'user_id': 8150532, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/89dec06313f6bbc60ebe2f35b6fd0608?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tim', 'link': 'https://stackoverflow.com/users/8150532/tim'}",True,55,54536114.0,2,-2,1669192234,1549374528,54535903,CC BY-SA 4.0,https://stackoverflow.com/questions/54535903/select-values-with-a-more-recent-year-and-month-when-both-are-stored-in-differen,Select values with a more recent year and month when both are stored in different columns in SQL Server,,,,
1,"['php', 'mysql', 'sql', 'laravel-5', 'phpmyadmin']","{'account_id': 1131375, 'reputation': 10395, 'user_id': 1117368, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/81356cca9bfec413f43807c95de93e65?s=256&d=identicon&r=PG', 'display_name': 'mujuonly', 'link': 'https://stackoverflow.com/users/1117368/mujuonly'}",True,3656,,1,0,1668753500,1551359260,54926482,CC BY-SA 4.0,https://stackoverflow.com/questions/54926482/laravel-print-last-executed-sql-query-with-query-log,Laravel print last executed SQL query with Query log,1668753500.0,,,
2,"['sql', 'oracle', 'database-connection', 'oracle-sqldeveloper', 'oracle12c']","{'account_id': 11365562, 'reputation': 61, 'user_id': 8332579, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-51nDl_A5SUA/AAAAAAAAAAI/AAAAAAAAABs/RmW1lVK-mIc/photo.jpg?sz=256', 'display_name': 'KANE', 'link': 'https://stackoverflow.com/users/8332579/kane'}",False,13115,,2,3,1668452650,1549390352,54540588,CC BY-SA 4.0,https://stackoverflow.com/questions/54540588/status-failure-test-failed-io-error-an-existing-connection-was-forcibly-clo,Status : Failure -Test failed: IO Error: An existing connection was forcibly closed by the remote host,1584424630.0,,,
3,"['sql', 'powershell']","{'account_id': 6279476, 'reputation': 137, 'user_id': 4881054, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh5.googleusercontent.com/--fy65s8ppJI/AAAAAAAAAAI/AAAAAAAAAJc/mbpaW8JRqCc/photo.jpg?sz=256', 'display_name': 'binit joshi', 'link': 'https://stackoverflow.com/users/4881054/binit-joshi'}",True,3458,54900554.0,1,3,1667673226,1551247335,54899002,CC BY-SA 4.0,https://stackoverflow.com/questions/54899002/sql-queries-as-a-transaction-in-powershell,SQL Queries as a Transaction in Powershell,,,,
4,"['sql', 'scala', 'apache-spark', 'apache-spark-sql']","{'account_id': 8043111, 'reputation': 217, 'user_id': 6064131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1eb174cc7f749a5ce06a1551ca668597?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arghya Saha', 'link': 'https://stackoverflow.com/users/6064131/arghya-saha'}",True,6256,54678593.0,5,7,1666566532,1550029736,54662219,CC BY-SA 4.0,https://stackoverflow.com/questions/54662219/spark-advanced-window-with-dynamic-last,Spark Advanced Window with dynamic last,1663239844.0,,,
5,"['sql', 'sap']","{'account_id': 15301293, 'reputation': 13, 'user_id': 11039604, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2027941027271496/picture?type=large', 'display_name': 'Ambrose Alward', 'link': 'https://stackoverflow.com/users/11039604/ambrose-alward'}",True,64,54612519.0,2,1,1666480137,1549760574,54612402,CC BY-SA 4.0,https://stackoverflow.com/questions/54612402/i-need-to-make-a-subtotal-field-based-off-of-two-fields,I need to make a subtotal field based off of two fields,1549761788.0,,,
6,"['sql', 'sql-server-2008', 'common-table-expression']","{'account_id': 15185898, 'reputation': 85, 'user_id': 10957872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5b0147d8de5b9b313264d5bb3b76b29?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/10957872/ali'}",True,54,54518721.0,1,3,1666452704,1549285760,54516857,CC BY-SA 4.0,https://stackoverflow.com/questions/54516857/append-data-to-split-rows,Append data to split rows,1666452704.0,,,
7,"['sql', 'sql-server-2008', 'datediff']","{'account_id': 9561408, 'reputation': 186, 'user_id': 7102095, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10211015901574118/picture?type=large', 'display_name': 'Abd&#243;n Araya', 'link': 'https://stackoverflow.com/users/7102095/abd%c3%b3n-araya'}",True,39,54559927.0,1,1,1666297162,1549475681,54559776,CC BY-SA 4.0,https://stackoverflow.com/questions/54559776/simulating-networkdays-returns-wrong-business-days,Simulating NETWORKDAYS returns wrong business days,1666297162.0,,,
8,"['php', 'sql', 'database', 'oci8']","{'account_id': 13009100, 'reputation': 867, 'user_id': 9402741, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/5d122c2f4a9aa27a296f2bd2830addbf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gragas Incoming', 'link': 'https://stackoverflow.com/users/9402741/gragas-incoming'}",True,2314,54500693.0,3,0,1666204435,1549176006,54500572,CC BY-SA 4.0,https://stackoverflow.com/questions/54500572/how-to-use-prepared-statements-and-bound-parameters-in-php-oci8,How to use prepared statements and bound parameters in PHP oci8,,,,
9,"['mysql', 'sql']","{'account_id': 1942464, 'reputation': 47, 'user_id': 1748332, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/59557eb64a9ddc704ba2b26ecc838f90?s=256&d=identicon&r=PG', 'display_name': 'Vicente Chazard', 'link': 'https://stackoverflow.com/users/1748332/vicente-chazard'}",True,51,54630332.0,2,0,1666193754,1549886791,54630280,CC BY-SA 4.0,https://stackoverflow.com/questions/54630280/sql-query-to-present-null-rows,SQL Query to present NULL rows,1666193754.0,,,
