,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,locked_date
0,"['php', 'sql']","{'account_id': 21979764, 'reputation': 20, 'user_id': 16255006, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/qKIlK.jpg?s=256&g=1', 'display_name': 'Crystal', 'link': 'https://stackoverflow.com/users/16255006/crystal'}",True,229,2,0,1669305907,1624440002,1624440034.0,68097023,CC BY-SA 4.0,https://stackoverflow.com/questions/68097023/in-sql-how-to-select-not-duplicate-values,"In SQL, How to select not duplicate values?",,,,,
1,"['mysql', 'sql', 'join', 'merge', 'outer-join']","{'account_id': 21979552, 'reputation': 13, 'user_id': 16254829, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxL84fnalG-EFL08g9KfXW-QeqEwAW02l4jIDBe=k-s256', 'display_name': 'ASHUTOSH DINESHKUMAR AGRAWAL', 'link': 'https://stackoverflow.com/users/16254829/ashutosh-dineshkumar-agrawal'}",True,65,1,1,1668499300,1623952219,1623952522.0,68024284,CC BY-SA 4.0,https://stackoverflow.com/questions/68024284/how-can-i-merge-monthly-sales-and-monthly-purchase-table-into-one-singe-table,How can I merge Monthly Sales and Monthly Purchase table into one singe table?,68024317.0,,,,
2,"['mysql', 'sql', 'druid', 'pydruid']","{'account_id': 10542002, 'reputation': 75, 'user_id': 16042939, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d614dc2e337d75261c9e15987b06d1b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'carsof', 'link': 'https://stackoverflow.com/users/16042939/carsof'}",True,262,1,-1,1668095979,1622756112,1668095979.0,67828929,CC BY-SA 4.0,https://stackoverflow.com/questions/67828929/find-average-value-for-each-hour-interval-in-a-certain-time-period,Find average value for each hour interval in a certain time period,67829448.0,,,,
3,"['sql', 'snowflake-cloud-data-platform']","{'account_id': 19232401, 'reputation': 367, 'user_id': 14054012, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3685ed87b8f0a436e458f396efc728d9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Blackdynomite', 'link': 'https://stackoverflow.com/users/14054012/blackdynomite'}",True,4461,2,7,1667682744,1624611106,1624619131.0,68128174,CC BY-SA 4.0,https://stackoverflow.com/questions/68128174/snowflake-sql-filter-by-transactions-in-the-last-rolling-30-days,Snowflake SQL Filter by transactions in the last rolling 30 days,68129314.0,,,,
4,"['sql', 'postgresql', 'count', 'multiple-columns', 'postgresql-12']","{'account_id': 22029906, 'reputation': 23, 'user_id': 16297338, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f1dea7ab0d7afd85e158d2798e0777c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Johannes', 'link': 'https://stackoverflow.com/users/16297338/johannes'}",True,1003,2,1,1667452376,1624451296,1624547429.0,68099827,CC BY-SA 4.0,https://stackoverflow.com/questions/68099827/sql-postgresql-count-multiple-columns-with-conditions,SQL / Postgresql count multiple columns with conditions,68099860.0,,,,
5,"['sql', 'sql-server', 'amazon-web-services', 'aws-dms']","{'account_id': 1951182, 'reputation': 2288, 'user_id': 1755223, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d4da56551aa740c836416a93a5b2bc06?s=256&d=identicon&r=PG', 'display_name': 'Juan Rey Hern&#225;ndez', 'link': 'https://stackoverflow.com/users/1755223/juan-rey-hern%c3%a1ndez'}",True,6524,2,1,1667411882,1623443724,,67943220,CC BY-SA 4.0,https://stackoverflow.com/questions/67943220/aws-dms-endpoint-connection-fails-in-replication-instance-error-1020912,AWS DMS. Endpoint connection fails in replication instance (Error: 1020912),,,,,
6,"['sql', 'select', 'axapta', 'x++', 'dynamics-365-operations']","{'account_id': 188665, 'reputation': 2004, 'user_id': 427525, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/acdcbae20309e73600b218a3ac2dea63?s=256&d=identicon&r=PG', 'display_name': 'Brian Kessler', 'link': 'https://stackoverflow.com/users/427525/brian-kessler'}",True,554,2,0,1666999327,1624462641,1624496189.0,68102982,CC BY-SA 4.0,https://stackoverflow.com/questions/68102982/how-can-use-executequerywithparameters-with-sqlbuilderselectexpression-to-join-a,How can use executeQueryWithParameters with SQLBuilderSelectExpression to join an x++/sql statement in Microsoft Dynamics?,,,,,
7,"['sql', 'filter', 'google-bigquery', 'datetime-format', 'partitioning']","{'account_id': 21895350, 'reputation': 29, 'user_id': 16181690, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ggr_bNPR7M64bgSzjJ0ztv0kd-NJIpnS520Tg8GLFM=k-s256', 'display_name': 'HK Chan', 'link': 'https://stackoverflow.com/users/16181690/hk-chan'}",True,878,1,0,1665811562,1623300408,,67914891,CC BY-SA 4.0,https://stackoverflow.com/questions/67914891/find-the-top-2-vendors-per-country-in-each-year-available-in-the-dataset-big,"Find the top 2 vendors per country, in each year available in the dataset? - bigquery SQL",67915012.0,,,,
8,"['sql', 'postgresql', 'upsert', 'sql-merge']","{'account_id': 13762124, 'reputation': 1023, 'user_id': 9931604, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ae492cebffadb95cb51396289762088?s=256&d=identicon&r=PG&f=1', 'display_name': 'dros', 'link': 'https://stackoverflow.com/users/9931604/dros'}",True,604,2,0,1665697890,1624459445,1624462603.0,68102072,CC BY-SA 4.0,https://stackoverflow.com/questions/68102072/sql-server-merge-statement-in-postgresql,SQL Server MERGE statement in Postgresql?,,,,,
9,"['sql', 'postgresql']","{'account_id': 1141389, 'reputation': 83, 'user_id': 1125190, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0c2c42ed1a1ca72274afd428a7bb9573?s=256&d=identicon&r=PG', 'display_name': 'Giri', 'link': 'https://stackoverflow.com/users/1125190/giri'}",False,309,1,0,1664562738,1624486844,1624487433.0,68107606,CC BY-SA 4.0,https://stackoverflow.com/questions/68107606/postgres-what-is-the-difference-between-regexp-match-vs-regexp-matches,Postgres: What is the difference between regexp_match vs regexp_matches,,,,,
