,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason
0,"['sql', 'sql-server', 'powershell', 'ssis', 'etl']","{'account_id': 13829188, 'reputation': 31, 'user_id': 9982600, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-WrFbICvpvRA/AAAAAAAAAAI/AAAAAAAAAB4/49gVgKAmRpg/photo.jpg?sz=256', 'display_name': 'ahmed moharram', 'link': 'https://stackoverflow.com/users/9982600/ahmed-moharram'}",False,1968,3,3,1668989190,1547369748,1547400169.0,54167348,CC BY-SA 4.0,https://stackoverflow.com/questions/54167348/microsoft-sqlserver-batchparser-issue,Microsoft.SqlServer.BatchParser Issue,,,,
1,"['sql', 'sqlite', 'delphi', 'firedac']","{'account_id': 15210371, 'reputation': 9, 'user_id': 10975397, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c71689bfe1e2549c3dd9cd52b7915def?s=256&d=identicon&r=PG&f=1', 'display_name': 'user10975397', 'link': 'https://stackoverflow.com/users/10975397/user10975397'}",False,882,0,0,1668939355,1548606212,1668939355.0,54390243,CC BY-SA 4.0,https://stackoverflow.com/questions/54390243/load-image-as-blob-into-listview,Load image as blob into ListView,,,,
2,"['sql', 'ssis', 'etl', 'business-intelligence']","{'account_id': 6563614, 'reputation': 1519, 'user_id': 5073958, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/ypA94.png?s=256&g=1', 'display_name': 'Caz1224', 'link': 'https://stackoverflow.com/users/5073958/caz1224'}",True,572,1,1,1668619555,1546907396,,54083769,CC BY-SA 4.0,https://stackoverflow.com/questions/54083769/ssis-foreach-ado-enumerator-performance-issues,SSIS ForEach ADO Enumerator - Performance Issues,54121280.0,,,
3,"['sql', 'sql-server']","{'account_id': 7796397, 'reputation': 45, 'user_id': 5897316, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/014e2f82c1dcc4259deb93857f036ddb?s=256&d=identicon&r=PG&f=1', 'display_name': 'gaurav b', 'link': 'https://stackoverflow.com/users/5897316/gaurav-b'}",True,345,3,0,1668545764,1547741228,1547741454.0,54239873,CC BY-SA 4.0,https://stackoverflow.com/questions/54239873/i-want-to-update-values-of-a-column-in-a-table-to-title-case,I want to update values of a column in a table to Title case,,,,
4,"['sql', 'sql-server', 'tsql', 'substring', 'charindex']","{'account_id': 4258027, 'reputation': 486, 'user_id': 3483150, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/6129234eb644df96acb759e13b8994ec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stephanie', 'link': 'https://stackoverflow.com/users/3483150/stephanie'}",True,1908,6,-2,1667670406,1548430524,1548434949.0,54368402,CC BY-SA 4.0,https://stackoverflow.com/questions/54368402/subtraction-of-charindex-in-substring-is-not-working,Subtraction of CHARINDEX in SUBSTRING is not working,54368533.0,,,
5,"['sql', 'sql-server', 'outer-join']","{'account_id': 14239070, 'reputation': 146, 'user_id': 10286012, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/667193e34d0c9a6dd7804e95e358a047?s=256&d=identicon&r=PG&f=1', 'display_name': 'HiPierr0t', 'link': 'https://stackoverflow.com/users/10286012/hipierr0t'}",True,54,1,2,1667347582,1546985867,1667347582.0,54100535,CC BY-SA 4.0,https://stackoverflow.com/questions/54100535/full-outer-join-takes-only-left-table-but-no-where-clause,Full Outer Join Takes Only Left Table (but no where clause),54100549.0,,,
6,"['sql', 'sqlite', 'interpolation', 'sparse-data']","{'account_id': 15097565, 'reputation': 11, 'user_id': 10895589, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-vV4_fSUJxlw/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcY52ZBANv_F5JTAZ3ICcS96G3welw/mo/photo.jpg?sz=256', 'display_name': 'Nutty Bunny', 'link': 'https://stackoverflow.com/users/10895589/nutty-bunny'}",True,475,2,-3,1666818897,1547128685,1666818897.0,54130288,CC BY-SA 4.0,https://stackoverflow.com/questions/54130288/how-to-replace-null-with-the-previous-value,How to replace NULL with the previous value?,54130453.0,,,
7,"['sql', 'sql-server']","{'account_id': 15185898, 'reputation': 85, 'user_id': 10957872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5b0147d8de5b9b313264d5bb3b76b29?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/10957872/ali'}",False,60,0,0,1666737546,1548769986,1666737546.0,54422639,CC BY-SA 4.0,https://stackoverflow.com/questions/54422639/detecting-repeated-records-and-marking-old-ones-with-the-new-record-id,Detecting repeated records and marking old ones with the new record ID,,,,
8,"['sql', 'sql-server', 'tsql', 'sql-server-2008']","{'account_id': 15185898, 'reputation': 85, 'user_id': 10957872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5b0147d8de5b9b313264d5bb3b76b29?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/10957872/ali'}",True,83,2,0,1666577207,1548859609,1666577207.0,54443235,CC BY-SA 4.0,https://stackoverflow.com/questions/54443235/with-cte-compare-rows-with-same-id-and-updating-oldest-one-to-0-sql-server-2008,"With CTE, compare rows with same ID and updating oldest one to 0 SQL Server 2008",54444050.0,,,
9,"['python', 'sql', 'r', 'python-3.x', 'google-bigquery']","{'account_id': 6768404, 'reputation': 19362, 'user_id': 5212614, 'user_type': 'registered', 'accept_rate': 32, 'profile_image': 'https://i.stack.imgur.com/2qaHz.jpg?s=256&g=1', 'display_name': 'ASH', 'link': 'https://stackoverflow.com/users/5212614/ash'}",True,5219,5,2,1665761600,1548044534,,54283480,CC BY-SA 4.0,https://stackoverflow.com/questions/54283480/how-to-list-sizes-of-all-tables-in-all-datasets-in-google-big-query,How to list sizes of all tables in all datasets in Google Big Query,,,,
10,"['php', 'sql']","{'user_type': 'does_not_exist', 'display_name': 'user10993283'}",True,51,1,0,1665591382,1548896392,1665591382.0,54451886,CC BY-SA 4.0,https://stackoverflow.com/questions/54451886/guestbook-does-not-let-me-make-an-anonymous-entry,Guestbook does not let me make an anonymous entry,54452136.0,,,
11,"['sql', 'amazon-web-services', 'amazon-athena', 'presto']","{'account_id': 13401663, 'reputation': 41, 'user_id': 9671011, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/186344b3f5c358968ecda4b530856f70?s=256&d=identicon&r=PG&f=1', 'display_name': 'NandSci17', 'link': 'https://stackoverflow.com/users/9671011/nandsci17'}",True,6629,3,2,1665218447,1547569806,1665215335.0,54203027,CC BY-SA 4.0,https://stackoverflow.com/questions/54203027/column-name-with-a-space-athena,Column name with a Space - Athena,,,,
12,"['sql', 'apache-spark', 'apache-spark-sql', 'conditional-statements', 'window-functions']","{'account_id': 7204004, 'reputation': 25, 'user_id': 5500280, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ff3eaacb3b6c4c3a5a73ec4c19ac81e9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robin Larson', 'link': 'https://stackoverflow.com/users/5500280/robin-larson'}",True,701,2,1,1663597678,1546597841,1663597351.0,54037163,CC BY-SA 4.0,https://stackoverflow.com/questions/54037163/if-or-case-conditions-in-spark-sql-lag-function-to-get-last-not-null-lag,If or case conditions in Spark SQL lag function to get last not null lag,54038476.0,,,
13,"['sql', 'sql-server-2012']","{'account_id': 15014340, 'reputation': 21, 'user_id': 10837796, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e2c334354ec36ec26d633493a5799ac3?s=256&d=identicon&r=PG&f=1', 'display_name': 'shinymmy', 'link': 'https://stackoverflow.com/users/10837796/shinymmy'}",False,15399,1,2,1663578120,1546572505,,54032781,CC BY-SA 4.0,https://stackoverflow.com/questions/54032781/check-tls1-2-for-sql-server-connection,Check TLS1.2 for SQL Server Connection,,,,
14,"['mysql', 'sql', 'wordpress', 'optimization']","{'account_id': 4115590, 'reputation': 97, 'user_id': 3377238, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100007856735031/picture?type=large', 'display_name': 'lion', 'link': 'https://stackoverflow.com/users/3377238/lion'}",True,5568,3,-2,1662589588,1547223112,,54150200,CC BY-SA 4.0,https://stackoverflow.com/questions/54150200/wordpress-site-with-200k-posts-sql-calc-found-rows-with-joins-slow-optimize-for,Wordpress site with 200K posts SQL_CALC_FOUND_ROWS with JOINs slow? Optimize for speed?,54156354.0,,,
15,"['sql', 'excel', 'vba', 'onedrive', 'adodb']","{'account_id': 6644194, 'reputation': 562, 'user_id': 5128961, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SEr4k.gif?s=256&g=1', 'display_name': 'DavidN', 'link': 'https://stackoverflow.com/users/5128961/davidn'}",False,1101,2,3,1662378137,1546895053,1546896972.0,54081879,CC BY-SA 4.0,https://stackoverflow.com/questions/54081879/how-can-i-run-a-sql-query-within-an-excel-workbook-saved-to-onedrive,How can I run a SQL query within an Excel Workbook saved to OneDrive?,,,,
16,"['sql', 'sql-server', 'sql-order-by']","{'account_id': 9590657, 'reputation': 137, 'user_id': 7121660, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://www.gravatar.com/avatar/4c6944cb894d81d27d601e047a84a58e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Syan', 'link': 'https://stackoverflow.com/users/7121660/syan'}",True,183,2,-1,1661930008,1547739667,1547740810.0,54239384,CC BY-SA 4.0,https://stackoverflow.com/questions/54239384/how-to-make-null-values-come-last-when-sorting-with-multiple-column-in-sql,How to make null values come last when sorting with multiple column in SQL?,,,,
17,"['php', 'sql', 'sql-server', 'html', 'azure']","{'account_id': 15202228, 'reputation': 1, 'user_id': 10969878, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b0d184f1340f501292a26b121b276dab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rachel P', 'link': 'https://stackoverflow.com/users/10969878/rachel-p'}",False,9559,2,0,1661169680,1548461383,1548693402.0,54374432,CC BY-SA 4.0,https://stackoverflow.com/questions/54374432/connecting-an-html-webpage-to-a-sql-server,Connecting an HTML webpage to a SQL Server,,,,
18,"['php', 'sql']","{'user_type': 'does_not_exist', 'display_name': 'user10911186'}",True,1031,1,-2,1660921031,1547721543,1660921031.0,54234062,CC BY-SA 4.0,https://stackoverflow.com/questions/54234062/how-to-fix-login-function-in-php,How to fix Login function in PHP,54234870.0,,,
19,"['sql', 'postgresql']","{'account_id': 15054549, 'reputation': 71, 'user_id': 10865256, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c0f6248444089543b0c2c1cf82aecba?s=256&d=identicon&r=PG&f=1', 'display_name': 'DCLopes', 'link': 'https://stackoverflow.com/users/10865256/dclopes'}",True,34476,7,7,1660906223,1546562983,1645081119.0,54031813,CC BY-SA 4.0,https://stackoverflow.com/questions/54031813/i-am-trying-to-copy-a-file-but-getting-error-message,"I am trying to copy a file, but getting error message",,,,
20,"['sql', 'sql-server', 'union']","{'account_id': 1049072, 'reputation': 1206, 'user_id': 1832471, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/26f3073933240e0815d9da22d8eb8b00?s=256&d=identicon&r=PG', 'display_name': 'Jeggy', 'link': 'https://stackoverflow.com/users/1832471/jeggy'}",True,150,2,1,1660791315,1547651970,1660791315.0,54220178,CC BY-SA 4.0,https://stackoverflow.com/questions/54220178/union-by-single-column,Union by single column,54220223.0,,,
21,"['sql', 'sqlite']","{'account_id': 2776157, 'reputation': 16991, 'user_id': 2389707, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/c47bd5ed06885650284db355d8dbd37c?s=256&d=identicon&r=PG&f=1', 'display_name': 'iveqy', 'link': 'https://stackoverflow.com/users/2389707/iveqy'}",True,272,5,-1,1660298512,1547979337,1547981293.0,54275427,CC BY-SA 4.0,https://stackoverflow.com/questions/54275427/get-latest-updated-timestamp-from-sqlite,Get latest updated timestamp from sqlite,,,,
22,"['sql', 'apache-spark', 'apache-spark-sql', 'databricks', 'delta-lake']","{'account_id': 7578172, 'reputation': 2671, 'user_id': 7644168, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/Yo2Wp.jpg?s=256&g=1', 'display_name': 'samba', 'link': 'https://stackoverflow.com/users/7644168/samba'}",True,36034,7,19,1660131218,1548926151,1557970101.0,54457068,CC BY-SA 4.0,https://stackoverflow.com/questions/54457068/how-to-drop-a-column-from-a-databricks-delta-table,How to drop a column from a Databricks Delta table?,54458078.0,,,
23,"['sql', 'sql-server', 'installation', 'freeze']","{'account_id': 8923486, 'reputation': 1236, 'user_id': 6659001, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-WVGqUAmuZ5I/AAAAAAAAAAI/AAAAAAAAAEc/8RLDkL-Dsa8/photo.jpg?sz=256', 'display_name': 'Sylvain Martens', 'link': 'https://stackoverflow.com/users/6659001/sylvain-martens'}",True,22786,2,23,1659977571,1548520436,,54380363,CC BY-SA 4.0,https://stackoverflow.com/questions/54380363/microsoft-sql-server-stuck-at-install-sqlsupport-cpu64-action,Microsoft SQL Server stuck at &quot;Install_SQLSupport_CPU64_Action&quot;,54380415.0,1599013000.0,,
24,"['sql', 'sql-server', 'tsql']","{'account_id': 12986290, 'reputation': 853, 'user_id': 9387082, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/81adca95e3837589c2b73cec9b34874f?s=256&d=identicon&r=PG&f=1', 'display_name': 'sathish', 'link': 'https://stackoverflow.com/users/9387082/sathish'}",True,90800,3,82,1659533363,1548310889,1550964139.0,54340470,CC BY-SA 4.0,https://stackoverflow.com/questions/54340470/trim-is-not-a-recognized-built-in-function-name,TRIM is not a recognized built-in function name,54340529.0,,,
25,"['mysql', 'sql', 'pivot-table', 'entity-attribute-value']","{'account_id': 92711, 'reputation': 38145, 'user_id': 253976, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/2ad45d31210b3893868a79038f811ec4?s=256&d=identicon&r=PG', 'display_name': 'StackOverflowNewbie', 'link': 'https://stackoverflow.com/users/253976/stackoverflownewbie'}",True,541,5,1,1659454095,1548121011,1548337860.0,54300062,CC BY-SA 4.0,https://stackoverflow.com/questions/54300062/sql-how-to-display-products-options-whether-or-not-they-have-them,"SQL - how to display products&#39; options, whether or not they have them?",54300709.0,,,
