,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['mysql', 'sql', 'arrays', 'json', 'sql-insert']","{'account_id': 18970257, 'reputation': 29, 'user_id': 13843880, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjgQ6iYdwM-jQnChuc50P0gMhYKYV1Q0PdUHYtZ=k-s256', 'display_name': 'Assad Rajab', 'link': 'https://stackoverflow.com/users/13843880/assad-rajab'}",True,13332,65268825.0,5,1,1669363716,1607799981,1607800623.0,65268777,CC BY-SA 4.0,https://stackoverflow.com/questions/65268777/sql-insert-json-into-table-column,SQL Insert JSON into table column,,,
1,"['sql', 'postgresql', 'csv']","{'account_id': 20141879, 'reputation': 3, 'user_id': 14771437, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0940fb48f3f46e990dbccd456e6aaf20?s=256&d=identicon&r=PG&f=1', 'display_name': 'tabbacio', 'link': 'https://stackoverflow.com/users/14771437/tabbacio'}",True,4082,65163934.0,3,0,1669253578,1607210003,1651434238.0,65162979,CC BY-SA 4.0,https://stackoverflow.com/questions/65162979/error-extra-data-after-last-expected-column-on-postgresql-while-the-number-of-c,ERROR: extra data after last expected column on PostgreSQL while the number of columns is the same,,,
2,"['sql', 'left-join']","{'account_id': 14466528, 'reputation': 31, 'user_id': 10449722, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-lT6OwWwhfSI/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DUxDXhlMWEmvUjWknvAUBWjcprUKg/mo/photo.jpg?sz=256', 'display_name': 'Deb Kumer', 'link': 'https://stackoverflow.com/users/10449722/deb-kumer'}",False,60,,0,-1,1669049329,1607364751,1669049329.0,65187119,CC BY-SA 4.0,https://stackoverflow.com/questions/65187119/sql-query-help-to-join-three-or-more-tables,SQL query help to join three or more tables,,,
3,"['sql', 'amazon-web-services', 'amazon-athena', 'presto']","{'account_id': 17060764, 'reputation': 115, 'user_id': 12344258, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f00088a9f700ea921b36d4c5f9f03410?s=256&d=identicon&r=PG&f=1', 'display_name': 'shaheed313', 'link': 'https://stackoverflow.com/users/12344258/shaheed313'}",True,3696,,1,4,1666991299,1608050277,1666991299.0,65309990,CC BY-SA 4.0,https://stackoverflow.com/questions/65309990/converting-scientific-notation-to-decimal-in-sql-presto,Converting scientific notation to decimal in SQL Presto,,,
4,"['sql', 'database', 'oracle', 'plsql', 'oracle11g']","{'account_id': 13711427, 'reputation': 61, 'user_id': 9893677, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Shruti sharma', 'link': 'https://stackoverflow.com/users/9893677/shruti-sharma'}",True,8472,65426508.0,3,0,1666685670,1608662117,1608662788.0,65414070,CC BY-SA 4.0,https://stackoverflow.com/questions/65414070/oru-10027-buffer-overflow-limit-of-100000-bytes,"ORU-10027: buffer overflow, limit of 100000 bytes",,,
5,"['sql', 'google-bigquery']","{'account_id': 20235785, 'reputation': 73, 'user_id': 14841035, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-br1HbM0o10U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnfffMIvYPfMGnXZFAQb55BM_ASUA/s96-c/photo.jpg?sz=256', 'display_name': 'hustlecorean', 'link': 'https://stackoverflow.com/users/14841035/hustlecorean'}",True,757,65333816.0,4,1,1666480180,1608171494,1608181388.0,65333811,CC BY-SA 4.0,https://stackoverflow.com/questions/65333811/selecting-rows-that-have-row-number-more-than-1,Selecting rows that have row_number more than 1,,,
6,"['python', 'sql', 'postgresql', 'psycopg2']","{'account_id': 14729320, 'reputation': 623, 'user_id': 10637188, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2540789319279497/picture?type=large', 'display_name': 'Alec Mather', 'link': 'https://stackoverflow.com/users/10637188/alec-mather'}",True,1359,65451641.0,2,1,1665776752,1608653926,1608929311.0,65412161,CC BY-SA 4.0,https://stackoverflow.com/questions/65412161/execute-a-query-for-multiple-sets-of-parameters-with-psycopg2,Execute a query for multiple sets of parameters with psycopg2,,,
7,"['sql', 'sql-server']","{'account_id': 20092253, 'reputation': 21, 'user_id': 14732489, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/4130038820345610/picture?type=large', 'display_name': 'Abhishek Kapoor', 'link': 'https://stackoverflow.com/users/14732489/abhishek-kapoor'}",True,57,,1,1,1665624610,1608013049,1608015829.0,65300914,CC BY-SA 4.0,https://stackoverflow.com/questions/65300914/i-want-to-use-dynamic-result-in-a-different-query,I want to use dynamic result in a different query,,,
8,"['sql', 'postgresql', 'logging', 'transactions', 'rollback']","{'account_id': 19410964, 'reputation': 43, 'user_id': 14195399, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-P63wXrV_8cc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUo7Jvr_fn5oDw8t8rqeQtU2zYrQ/photo.jpg?sz=256', 'display_name': 'Milan Labanc', 'link': 'https://stackoverflow.com/users/14195399/milan-labanc'}",True,307,,2,0,1665546657,1608733581,1665546657.0,65425888,CC BY-SA 4.0,https://stackoverflow.com/questions/65425888/postgres-save-rows-from-temp-table-before-rollback,Postgres: Save rows from temp table before rollback,,,
9,"['sql', 'ruby-on-rails', 'postgresql', 'datetime', 'gaps-and-islands']","{'account_id': 2183842, 'reputation': 179, 'user_id': 1932723, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/90a7da3f02a50ade456ce6efca9a4f93?s=256&d=identicon&r=PG', 'display_name': 'viktorsmari', 'link': 'https://stackoverflow.com/users/1932723/viktorsmari'}",True,272,65265390.0,2,2,1665496279,1607761960,1607783649.0,65263015,CC BY-SA 4.0,https://stackoverflow.com/questions/65263015/finding-multiple-consecutive-dates-datetime-in-ruby-on-rails-postgresql,Finding multiple consecutive dates (datetime) in Ruby on Rails / Postgresql,,,
