,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
0,"['sql', 'sql-server', 'tsql', 'pivot']","{'account_id': 1145396, 'reputation': 1342, 'user_id': 1128293, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c864bdf90f55669de7a1d3a2d32bf78?s=256&d=identicon&r=PG', 'display_name': 'Vipin Jain', 'link': 'https://stackoverflow.com/users/1128293/vipin-jain'}",True,43954,13953752.0,1,18,1668254723,1355922541,1668254723.0,13953134,CC BY-SA 4.0,https://stackoverflow.com/questions/13953134/convert-access-transform-pivot-query-to-sql-server,Convert Access TRANSFORM/PIVOT query to SQL Server,,,,,
1,"['sql', 'sql-server', 'sql-server-2008', 'tsql']","{'account_id': 42539, 'reputation': 10543, 'user_id': 123951, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/b328f7a256c5095ee628dd7e60dab48f?s=256&d=identicon&r=PG', 'display_name': 'Raj', 'link': 'https://stackoverflow.com/users/123951/raj'}",True,27562,22733306.0,4,21,1667571613,1354857808,,13757387,CC BY-SA 3.0,https://stackoverflow.com/questions/13757387/getting-sql-server-cross-database-dependencies,Getting SQL Server Cross database Dependencies,,,,,
2,"['sql', 'sql-server']","{'account_id': 1947013, 'reputation': 229, 'user_id': 1751909, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/aecd1cfff4c4127a470ccf69a88db69c?s=256&d=identicon&r=PG', 'display_name': 'user1751909', 'link': 'https://stackoverflow.com/users/1751909/user1751909'}",True,36324,13758687.0,7,8,1666816346,1354864787,1453720376.0,13758631,CC BY-SA 3.0,https://stackoverflow.com/questions/13758631/what-to-do-get-a-two-digit-number-by-using-datepart-in-sql,what to do get a two digit number by using datepart () in sql?,,,,,
3,"['mysql', 'sql', 'select']","{'account_id': 786870, 'reputation': 819, 'user_id': 858989, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3be69bf7f50e88a99caef37695fd8fc7?s=256&d=identicon&r=PG', 'display_name': 'Ye Wint', 'link': 'https://stackoverflow.com/users/858989/ye-wint'}",True,39465,14038600.0,4,4,1666793702,1356514504,1356515472.0,14038586,CC BY-SA 3.0,https://stackoverflow.com/questions/14038586/auto-increment-varchar-in-mysql,Auto Increment varchar in MySQL,,,,,
4,"['sql', 'postgresql', 'case']","{'account_id': 1255606, 'reputation': 16421, 'user_id': 1215133, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/zzQPB.jpg?s=256&g=1', 'display_name': 'Elliot B.', 'link': 'https://stackoverflow.com/users/1215133/elliot-b'}",True,107662,13714166.0,2,33,1666704389,1354661060,1457288485.0,13713316,CC BY-SA 3.0,https://stackoverflow.com/questions/13713316/using-case-in-postgresql-to-affect-multiple-columns-at-once,Using CASE in PostgreSQL to affect multiple columns at once,,,,,
5,"['sql', 'null', 'foreign-keys']","{'account_id': 901362, 'reputation': 14509, 'user_id': 937440, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/5ba5f9ad02a9ab43d4664d17747a1230?s=256&d=identicon&r=PG', 'display_name': 'w0051977', 'link': 'https://stackoverflow.com/users/937440/w0051977'}",True,2987,,4,3,1666396332,1355514443,1355515733.0,13885305,CC BY-SA 3.0,https://stackoverflow.com/questions/13885305/sql-null-foreign-key,SQL - NULL foreign key,,,,,
6,"['sql', 'oracle']","{'account_id': 1599703, 'reputation': 81, 'user_id': 1481006, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/78533638acadbbdaf7ed7a8a30d19710?s=256&d=identicon&r=PG', 'display_name': 'Mulligan', 'link': 'https://stackoverflow.com/users/1481006/mulligan'}",True,242,13663192.0,2,0,1666126341,1354391111,1495540136.0,13663051,,https://stackoverflow.com/questions/13663051/sql-select-statement-confusion,SQL select statement confusion,1354590632.0,exact duplicate,,,
7,"['mysql', 'sql', 'select']","{'account_id': 1742330, 'reputation': 67, 'user_id': 1593374, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/cc224a80df7e769e7a2b1251e21a23f9?s=256&d=identicon&r=PG', 'display_name': 'cNb', 'link': 'https://stackoverflow.com/users/1593374/cnb'}",False,7765,,1,1,1665922126,1355653941,1558876392.0,13900419,CC BY-SA 4.0,https://stackoverflow.com/questions/13900419/mysql-query-with-left-join-and-having-clause,MySQL Query with Left Join and having clause,,,,,
8,"['mysql', 'sql', 'mysql-error-1075']","{'account_id': 2126350, 'reputation': 97, 'user_id': 1888406, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6217dda27929762619df2796f4284f53?s=256&d=identicon&r=PG', 'display_name': 'user1888406', 'link': 'https://stackoverflow.com/users/1888406/user1888406'}",True,36870,,3,9,1665760083,1355960023,1355960683.0,13963002,CC BY-SA 3.0,https://stackoverflow.com/questions/13963002/mysql-error-1075,Mysql Error: #1075,,,,,
9,"['sql', 'sql-server', 'sql-server-2008', 'ms-access']","{'account_id': 1102304, 'reputation': 2934, 'user_id': 1094442, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/cc55eaa3e0d869513575bc96c7c5e92e?s=256&d=identicon&r=PG', 'display_name': 'aSystemOverload', 'link': 'https://stackoverflow.com/users/1094442/asystemoverload'}",True,63160,13993410.0,16,43,1665757651,1356105682,,13993301,CC BY-SA 3.0,https://stackoverflow.com/questions/13993301/editing-record-issues-in-access-sql-write-conflict,Editing Record issues in Access / SQL (Write Conflict),,,,,
