,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason
0,"['sql', 'join', 'relational-database']","{'account_id': 57059, 'reputation': 25400, 'user_id': 170931, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/WA698.png?s=256&g=1', 'display_name': 'Just a learner', 'link': 'https://stackoverflow.com/users/170931/just-a-learner'}",True,197882,9615296.0,4,259,1669451380,1331196510,1669451380.0,9614922,CC BY-SA 4.0,https://stackoverflow.com/questions/9614922/does-the-join-order-matter-in-sql,Does the join order matter in SQL?,,,
1,"['mysql', 'sql', 'database', 'primary-key', 'unique-key']","{'account_id': 1258752, 'reputation': 2949, 'user_id': 1217641, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/uMrxD.jpg?s=256&g=1', 'display_name': 'Anuj', 'link': 'https://stackoverflow.com/users/1217641/anuj'}",True,640075,13349176.0,15,289,1669364260,1330947593,1669334072.0,9565996,CC BY-SA 4.0,https://stackoverflow.com/questions/9565996/difference-between-primary-key-and-unique-key,Difference between primary key and unique key,1382877487.0,,
2,"['sql', 'tsql', 'stored-procedures']","{'account_id': 51629, 'reputation': 4756, 'user_id': 154293, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/f1e9a08de2f99568324891eaee0e0153?s=256&d=identicon&r=PG', 'display_name': 'Rodniko', 'link': 'https://stackoverflow.com/users/154293/rodniko'}",True,157326,9766756.0,8,112,1669136814,1332144022,1533063978.0,9766717,CC BY-SA 4.0,https://stackoverflow.com/questions/9766717/in-sql-server-what-does-set-ansi-nulls-on-mean,"In SQL Server, what does &quot;SET ANSI_NULLS ON&quot; mean?",1666193874.0,,
3,"['sql', 'sql-server', 'tsql', 'openxml', 'xml-nil']","{'account_id': 40804, 'reputation': 97, 'user_id': 118376, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6de7117544b1e5706d716a48b4e806c8?s=256&d=identicon&r=PG', 'display_name': 'Rush', 'link': 'https://stackoverflow.com/users/118376/rush'}",True,35507,9585751.0,3,5,1667342141,1331043188,1667342141.0,9585328,CC BY-SA 4.0,https://stackoverflow.com/questions/9585328/extracting-data-from-xml-using-openxml-in-sql-server,Extracting data from XML using OpenXML in SQL Server,,,
4,"['sql', 'database', 'postgresql', 'database-design', 'many-to-many']","{'account_id': 1320869, 'reputation': 19571, 'user_id': 1266737, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/I4r3M.jpg?s=256&g=1', 'display_name': 'Radu Gheorghiu', 'link': 'https://stackoverflow.com/users/1266737/radu-gheorghiu'}",True,135536,9790225.0,1,144,1666786409,1332257286,1522795175.0,9789736,CC BY-SA 3.0,https://stackoverflow.com/questions/9789736/how-to-implement-a-many-to-many-relationship-in-postgresql,How to implement a many-to-many relationship in PostgreSQL?,,,
5,"['sql', 'postgresql', 'select']","{'account_id': 978824, 'reputation': 3258, 'user_id': 1004978, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/73239e53cbff3a55aeb0fb7a7c0701be?s=256&d=identicon&r=PG', 'display_name': 'Fofole', 'link': 'https://stackoverflow.com/users/1004978/fofole'}",True,216421,9821137.0,5,83,1666273408,1332414580,1666273408.0,9821121,CC BY-SA 4.0,https://stackoverflow.com/questions/9821121/sql-column-reference-id-is-ambiguous,SQL column reference &quot;id&quot; is ambiguous,,,
6,"['c#', 'sql', 'database', 'azure', 'blob']","{'account_id': 1054912, 'reputation': 390, 'user_id': 1057858, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/bSQgW.jpg?s=256&g=1', 'display_name': 'kavalerov', 'link': 'https://stackoverflow.com/users/1057858/kavalerov'}",True,884,11647127.0,5,2,1666266712,1332253786,,9788748,CC BY-SA 3.0,https://stackoverflow.com/questions/9788748/how-to-sync-azure-sql-with-azure-blob-storage,How to sync Azure SQL with Azure BLOB Storage?,,,
7,"['mysql', 'sql', 'union', 'left-join']","{'account_id': 362626, 'reputation': 5614, 'user_id': 705926, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/353dea0597d18148c0ed8a83b7eb6ea8?s=256&d=identicon&r=PG', 'display_name': 'stergosz', 'link': 'https://stackoverflow.com/users/705926/stergosz'}",True,422,9620039.0,2,-2,1666032061,1331207803,1331226101.0,9617272,CC BY-SA 3.0,https://stackoverflow.com/questions/9617272/sql-union-breaks-query,sql UNION breaks query,,,
8,"['sql', 'sql-server', 'database']","{'account_id': 1065970, 'reputation': 2413, 'user_id': 1066530, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/2meZp.png?s=256&g=1', 'display_name': 'Sas', 'link': 'https://stackoverflow.com/users/1066530/sas'}",True,97379,9725789.0,6,33,1664363877,1331835462,1464348580.0,9725732,CC BY-SA 3.0,https://stackoverflow.com/questions/9725732/how-to-sum-up-time-field-in-sql-server,How to sum up time field in SQL Server,,,
9,['sql'],"{'account_id': 1306815, 'reputation': 307, 'user_id': 1255646, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/32bf2a5c64e09efedb25133ce466a78d?s=256&d=identicon&r=PG', 'display_name': 'evglynn', 'link': 'https://stackoverflow.com/users/1255646/evglynn'}",True,24321,9609763.0,5,1,1663152868,1331153426,1331228101.0,9608838,CC BY-SA 3.0,https://stackoverflow.com/questions/9608838/import-fixed-width-text-to-sql,Import fixed width text to SQL,,,
