,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['sql', 'powerbi', 'snowflake-cloud-data-platform', 'powerbi-desktop']","{'account_id': 15315001, 'reputation': 85, 'user_id': 11049128, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156252663502686/picture?type=large', 'display_name': 'Shobi', 'link': 'https://stackoverflow.com/users/11049128/shobi'}",False,1306,1,2,1669059796,1645652660,71244394,CC BY-SA 4.0,https://stackoverflow.com/questions/71244394/native-queries-arent-supported-by-this-value-snowflake-powerbi,Native Queries aren&#39;t supported by this value - Snowflake &amp; PowerBi,,,,
1,"['sql', 'oracle', 'performance', 'plsql']","{'account_id': 21500231, 'reputation': 29, 'user_id': 15844561, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg-80y3RXwkzg81Rc0k2cn8s6P8LTJiaf2nxx0RUw=k-s256', 'display_name': 'Austin Rock', 'link': 'https://stackoverflow.com/users/15844561/austin-rock'}",False,109,2,0,1668958714,1643753140,70948156,CC BY-SA 4.0,https://stackoverflow.com/questions/70948156/tuning-performance-of-large-oracle-sql-query,Tuning Performance of Large Oracle SQL Query,1643755479.0,,,
2,"['sql', 'sql-server', 'failed-installation', 'sql-server-2019']","{'account_id': 24127642, 'reputation': 101, 'user_id': 18095676, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzaoYzhilMiXgVThQvtakCE4oBLTSDN3BMyT4vp=k-s256', 'display_name': 'Isma&#239;l Chammami', 'link': 'https://stackoverflow.com/users/18095676/isma%c3%afl-chammami'}",True,6265,3,6,1668956756,1643765839,70949657,CC BY-SA 4.0,https://stackoverflow.com/questions/70949657/sql-server-2019-installation-windows-11-wait-on-the-database-engine-recovery-ha,SQL Server 2019 installation Windows 11 &quot;Wait on the Database Engine recovery handle failed&quot; Error,1666963253.0,,,
3,"['php', 'mysql', 'sql', 'xampp']","{'account_id': 22515699, 'reputation': 95, 'user_id': 16709949, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhZeUG_dyM4IQ4__CHWsA39cfEXQkNU2Rg4Zhh8=k-s256', 'display_name': 'msa720', 'link': 'https://stackoverflow.com/users/16709949/msa720'}",False,2700,3,1,1668888446,1643930320,70979630,CC BY-SA 4.0,https://stackoverflow.com/questions/70979630/xampp-mysql-not-starting-opt-lampp-bin-mysql-server-263-kill-no-such-proces,XAMPP MySQL not starting: /opt/lampp/bin/mysql.server: 263: kill: No such process,,,,
4,"['sql', 'hiveql', 'amazon-athena', 'presto']","{'account_id': 10833789, 'reputation': 31, 'user_id': 14830764, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e7a30476d4a325ce224fe53932c3448b?s=256&d=identicon&r=PG&f=1', 'display_name': 'ckush', 'link': 'https://stackoverflow.com/users/14830764/ckush'}",True,628,3,2,1668320443,1643796840,70953792,CC BY-SA 4.0,https://stackoverflow.com/questions/70953792/how-to-get-the-partition-column-names-for-a-table,How to get the partition column names for a table?,1644077916.0,,,
5,"['sql', 'querying']","{'account_id': 16704178, 'reputation': 21, 'user_id': 12073052, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ed1278970a96031c966b11666a2bed5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kaleko', 'link': 'https://stackoverflow.com/users/12073052/kaleko'}",True,604,2,2,1668036188,1644587464,71081202,CC BY-SA 4.0,https://stackoverflow.com/questions/71081202/like-with-multiple-character-conditions-using-percentage,LIKE with multiple character conditions using percentage,,,,
6,"['sql', 'snowflake-cloud-data-platform']","{'account_id': 19728870, 'reputation': 1345, 'user_id': 14444816, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/TWTYZ.jpg?s=256&g=1', 'display_name': 'KristiLuna', 'link': 'https://stackoverflow.com/users/14444816/kristiluna'}",True,795,3,0,1668029098,1645646100,71243253,CC BY-SA 4.0,https://stackoverflow.com/questions/71243253/snowflake-when-value-doesnt-exist-make-sure-its-null-and-not-empty,Snowflake -When value doesn&#39;t exist make sure its NULL and not empty,,71243323.0,,
7,"['python', 'mysql', 'sql', 'python-3.x', 'database']","{'account_id': 17368546, 'reputation': 3, 'user_id': 12583136, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-JfirHXin0Ms/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcc-75GgxAHoXn6doPYJ8lkgghGnw/photo.jpg?sz=256', 'display_name': 'Sang Park', 'link': 'https://stackoverflow.com/users/12583136/sang-park'}",True,356,2,0,1667514269,1645072156,71152541,CC BY-SA 4.0,https://stackoverflow.com/questions/71152541/how-do-i-get-the-data-extracted-from-api-to-my-database,How do I get the data extracted from API to my database,,71153199.0,,
8,"['sql', 'sqlite', 'flask']","{'account_id': 20187900, 'reputation': 15, 'user_id': 14806791, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-ALkU5xcAL9U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnAzm_I_yuw9FDpzOROvLxY9TnbWQ/s96-c/photo.jpg?sz=256', 'display_name': 'AsM', 'link': 'https://stackoverflow.com/users/14806791/asm'}",True,92,1,-1,1667437597,1645475112,71212597,CC BY-SA 4.0,https://stackoverflow.com/questions/71212597/cannot-update-sql-boolean-value,Cannot update SQL Boolean value,1667437597.0,74233795.0,,
9,"['sql', 'pandas', 'dataframe', 'google-bigquery', 'bigdata']","{'account_id': 24243201, 'reputation': 3, 'user_id': 18195280, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e5672c31b7002c5d68433605e986002?s=256&d=identicon&r=PG', 'display_name': 'Kristina Isaenko', 'link': 'https://stackoverflow.com/users/18195280/kristina-isaenko'}",True,92,2,0,1667328512,1644752711,71100314,CC BY-SA 4.0,https://stackoverflow.com/questions/71100314/sql-counting-users-that-have-multiple-transactions-and-have-at-least-one-trans,SQL - Counting users that have multiple transactions and have at least one transaction that has been made within 7 days interval of the other one,1667328512.0,71101894.0,,
