,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
0,"['sql', 'scala', 'apache-spark']","{'account_id': 26223102, 'reputation': 1, 'user_id': 19900183, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmncCDAt4ucVnJRy467DWkOqEFPXdU8sSgD7mtda=k-s256', 'display_name': 'nikhil Thomas', 'link': 'https://stackoverflow.com/users/19900183/nikhil-thomas'}",False,118,0,0,1669284988,1662084105,1662112350.0,73577093,CC BY-SA 4.0,https://stackoverflow.com/questions/73577093/spark-scala-how-to-pass-column-value-from-one-table-as-column-condition-another,Spark Scala: How to Pass column value from one table as column condition another Dataframe Creation,,,
1,"['sql', 'common-table-expression', 'window-functions', 'amazon-athena']","{'account_id': 1975908, 'reputation': 763, 'user_id': 1773702, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/c8a1f07bf80fa3a855d8bdc0f2062892?s=256&d=identicon&r=PG', 'display_name': 'azaveri7', 'link': 'https://stackoverflow.com/users/1773702/azaveri7'}",True,42,1,1,1669121485,1663840642,,73812713,CC BY-SA 4.0,https://stackoverflow.com/questions/73812713/how-to-optimize-sql-query-for-funnel-analysis,How to optimize SQL query for funnel analysis?,74532925.0,,
2,"['sql', 'powershell']","{'account_id': 26354970, 'reputation': 29, 'user_id': 20012092, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmnca42k1mOEWi43XSCbaVcklry8j29trr5OwUKX=k-s256', 'display_name': 'Shubh kumar', 'link': 'https://stackoverflow.com/users/20012092/shubh-kumar'}",False,33,1,0,1668996229,1664355510,1664360562.0,73878755,CC BY-SA 4.0,https://stackoverflow.com/questions/73878755/get-disk-values-are-different-in-powershell-and-in-sql-database,Get-Disk values are different in powershell and in sql database,,,
3,"['sql', 'elixir', 'phoenix-framework', 'ecto']","{'account_id': 26290287, 'reputation': 1, 'user_id': 19957392, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucr0o_VFON9pW2h142whQgrLTbfISgJo2RwHfikchw=k-s256', 'display_name': 'Liam Tsuyoshi', 'link': 'https://stackoverflow.com/users/19957392/liam-tsuyoshi'}",False,58,1,0,1668857809,1662867496,1668857809.0,73676640,CC BY-SA 4.0,https://stackoverflow.com/questions/73676640/select-all-in-ecto-query,Select all in ecto query,,,
4,"['c#', 'sql', 'asp.net-core', '.net-6.0', 'ef-core-6.0']","{'account_id': 26272713, 'reputation': 9, 'user_id': 19942398, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f018eb92848b0acb2feac9235d6fcde6?s=256&d=identicon&r=PG', 'display_name': 'aidasu', 'link': 'https://stackoverflow.com/users/19942398/aidasu'}",True,891,2,0,1668803103,1662660287,1662705970.0,73653368,CC BY-SA 4.0,https://stackoverflow.com/questions/73653368/sqlexception-cannot-insert-explicit-value-for-identity-column-in-table-ogretme,SqlException: Cannot insert explicit value for identity column in table &#39;Ogretmenler&#39; when IDENTITY_INSERT is set to OFF,,,
5,"['python', 'sql', 'pandas']","{'account_id': 17873467, 'reputation': 1, 'user_id': 12984138, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9621e563bf921c8c11ca0c1e28c1c82b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Floor', 'link': 'https://stackoverflow.com/users/12984138/floor'}",False,43,1,0,1668556026,1664377570,1664528270.0,73883778,CC BY-SA 4.0,https://stackoverflow.com/questions/73883778/compare-different-datsets-columns-python-sql,Compare different datsets columns - Python/SQL,,,
6,"['sql', 'oracle', 'database-administration']","{'account_id': 6292162, 'reputation': 77, 'user_id': 4889441, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67c379f56924842f9b7b231ced5eef95?s=256&d=identicon&r=PG&f=1', 'display_name': 'Learning_something_new', 'link': 'https://stackoverflow.com/users/4889441/learning-something-new'}",False,127,2,0,1668521859,1664475975,,73900114,CC BY-SA 4.0,https://stackoverflow.com/questions/73900114/need-to-know-all-the-username-that-is-using-the-oracle-client-version-less-than,Need to know all the USERNAME that is using the oracle client version less than 19c,,,
7,"['sql', 'postgresql', 'flutter', 'dart', 'supabase']","{'account_id': 16032126, 'reputation': 173, 'user_id': 11570741, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a003b8ea001d3dab6b2c901935730f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'tailor', 'link': 'https://stackoverflow.com/users/11570741/tailor'}",True,385,2,0,1668437686,1662901777,,73679550,CC BY-SA 4.0,https://stackoverflow.com/questions/73679550/how-to-queries-in-supabase-realtime,How to queries in supabase realtime?,73685474.0,,
8,"['mysql', 'sql', 'mariadb']","{'account_id': 889735, 'reputation': 904, 'user_id': 928249, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/a9d8d2fda6bd2123d9ce789c4d0ae52b?s=256&d=identicon&r=PG', 'display_name': 'webmaster_sean', 'link': 'https://stackoverflow.com/users/928249/webmaster-sean'}",True,57,2,0,1668385851,1663113973,,73710216,CC BY-SA 4.0,https://stackoverflow.com/questions/73710216/sql-empty-result-set-for-checking-if-date-is-past-the-current-date,SQL - empty result set for checking if date is past the current date,73724272.0,,
9,"['sql', 'go']","{'account_id': 20516126, 'reputation': 9, 'user_id': 15056745, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cd5ab2a528d7e4979e1f372fe6f7b89c?s=256&d=identicon&r=PG&f=1', 'display_name': 'JackPhillips', 'link': 'https://stackoverflow.com/users/15056745/jackphillips'}",False,46,0,0,1668208967,1663926279,1668208967.0,73825858,CC BY-SA 4.0,https://stackoverflow.com/questions/73825858/averaging-values-and-getting-standard-devs-from-database-to-build-graph,Averaging values and getting standard devs from database to build graph,,,
10,"['sql', 'lint', 'sqlfluff']","{'account_id': 373254, 'reputation': 762, 'user_id': 722785, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/683b39730e13bd63a2286f882b82e638?s=256&d=identicon&r=PG', 'display_name': 'Ryan Dunphy', 'link': 'https://stackoverflow.com/users/722785/ryan-dunphy'}",False,101,0,0,1668111764,1664520829,1668111764.0,73905006,CC BY-SA 4.0,https://stackoverflow.com/questions/73905006/sqlfluff-dialect-support-for-if-not-exists,SQLFluff Dialect support for &quot;IF NOT EXISTS&quot;,,,
11,"['mysql', 'sql', 'inner-join']","{'account_id': 25643903, 'reputation': 46, 'user_id': 19412289, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/320578712c277592d77ee1667c7acc8b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sahil Mangukiya', 'link': 'https://stackoverflow.com/users/19412289/sahil-mangukiya'}",True,76,1,1,1667907549,1663319412,1667907549.0,73742506,CC BY-SA 4.0,https://stackoverflow.com/questions/73742506/how-to-write-an-update-query-using-joins-and-the-arithmetic-operator,How to write an update query using joins and the arithmetic operator,73768985.0,,
